任务ID(末3位是任务的id，前面位表示归属的目标id，1001001即目标id=1001、任务id=1),归属目标(SurviveObjectiveDef的ID),名称,描述(加上@1会显示任务计数，使用@item_道具id#添加可查看详情的道具),任务追踪框描述(使用@item_道具id#添加道具文本，默认颜色#cfa7a0f),任务完成事件类型【1自动完成，2破坏方块，3获得道具，4加工道具，5冶炼道具，6道具损坏，7使用道具，8击败生物，9繁殖生物，10驯服生物，11玩家死亡，12（未用），13设置复活点，14抵达生态，15生存时间，16跳过夜晚，17方块交互(手持GoalID1:item点GoalID2:item，GoalID1=0为直接点击方块，GoalID2=0为放置方块)，18符文镶嵌(消耗指定符文石道具)，19修复道具，20烹饪道具，21施肥，22生物交互(手持GoalID1:item点GoalID2:monster，GoalID1=0为直接点击生物，不允许GoalID2=0)，23NPC交易，24游戏开始完成，25抵达星球，26编书，27钓鱼，28拆书，29符文镶嵌(消耗指定副材料道具)，30（未用），31符文镶嵌(获得指定效果类型EnchantType)，32种植，33放置方块（A放在B顶面），34穿戴装备】,任务完成对象(道具：I_itemID(若使用组则填“IG_道具ID”)、生物：M_monsterID、生态：B_biometypename、星球：P_planet(0=迷拉星，1=烈焰星，2=萌眼星)、T_tunestoneEnchantType，0代表任意),任务完成对象交互对象(17、22类型的任务需要配置Goal ID1和Goal ID2，使用1去交互2),任务完成对象所需数值,X轴(在任务展示框中的横轴坐标),Y轴(在任务展示框中的纵轴坐标),前置任务ID1,前置任务ID2,前置任务ID3,前置任务ID4,前置任务ID5,自动跟踪下个任务ID,任务奖励类型(0道具，1星星),任务奖励(奖励为星星则不填或填0),奖励数量,奖励发放类型(1=自动发放 2=手动领取),任务icon(填写“id”，获取显示对应item的图标，填写“#id”表示使用生物头像，路径：Assetruntime\Assets\Resources\ui\roles),指引图片(读取Assetruntime\Assets\Resources\ui\survivetaskguide目录下的文件名),旧版成就ID(对应achievement.csv)
1002005,1002,伐木工,手持@item_11002#，采集树干！获取更多@item_11323#@1#r(@item_11323#在往后的旅途中至关重要),砍树收集@item_11323#@1,3,I_11323,,6,5,1,1002004,,,,,1002006,0,11323,3,2,200,1002005,1227
1002006,1002,建筑能手,用@item_11323#加工@item_206#@1#r(除了@item_206#，大多数的木质道具加工都需要用到@item_11323#，大可多收集一些),加工@item_206#@1,4,I_206,,3,6,1,1002005,,,,,1002007,0,206,3,2,206,1002006,
1002007,1002,栖身之所,放置@item_206#@1#r(刚传来的星站附近好像有一栋破房子，或许可以用@item_206#修复一下，就不愁住了),放置@item_206#@1,17,I_206,,3,7,1,1002006,,,,,1002008,0,11323,3,2,206,1002007,1333
1002008,1002,武装自己,用@item_11323#和@item_11627#加工@item_12012#@1#r(野外求生总是危机四伏，一把趁手的武器必不可少！),加工@item_12012#@1,4,I_12012,,1,8,1,1002007,,,,,1002009,0,11323,3,2,12012,1002008,1224
1002009,1002,动手！,击败任意生物@1#r(最好的防御就是进攻？试试刚做好的武器手感如何),击败任意生物@1,8,0,,1,9,1,1002008,,,,,1002010,0,12500,3,2,13101,1002009,1225
1002010,1002,黑暗中的光明！,用@item_11323#和@item_11226#加工@item_298#@1#r(注意！小火炬的燃烧时间有限，熄灭了需要重新点燃，但充当临时的照明工具绝对没问题),加工@item_298#@1,4,I_298,,3,10,1,1002009,,,,,1002011,0,298,3,2,298,1002010,1231
1002011,1002,篝火晚会,用@item_298#点燃@item_1200#@1#r(星站附近的破房子里或许有现成的@item_1200#，也可以自己加工一个。),点燃@item_1200#@1,17,I_298,I_1200,1,11,1,1002010,,,,,1002012,0,12522,2,2,1200,1002011,1228
1002012,1002,工匠,用@item_11323#和@item_11627#加工@item_800#@1#r(工匠台，旅行居家必备！哇哦~能加工更多的物品),加工@item_800#@1,4,I_800,,1,12,1,1002011,,,,,1002013,0,12600,3,2,800,1002012,1233
1002013,1002,求生必备,用@item_12600#和@item_11226#加工@item_828#@1#r(加工时需要使用@item_800#。加工好后，记得把@item_828#放在安全的地方，附近有威胁的话是没法睡觉的！),加工@item_828#@1,4,I_828,,1,13,1,1002012,,,,,1002014,0,11226,5,2,828,1002013,
1002014,1002,好好休息一下,使用@item_828#睡一觉吧#r(点击@item_828#可以躺上去，但是白天可睡不着，需要到晚上才行。迷拉星的夜晚从18：00开始，注意看时间噢),点击放置好的@item_828#睡一觉,17,0,"I_828,I_582,I_883,I_884,I_885",1,14,1,1002013,,,,,1003001,1,0,1,1,828,1002014,
1003001,1003,烤肉，香！,将任意@item_12513#放在篝火上烤熟，获得任意@item_12514#@1#r(绝大多数动物掉落的肉都能进行烤制，在野外直接吃生肉也是非常危险的事，请烤熟了再吃！),使用@item_1200#烤制获得任意@item_12514#@1,20,"I_12517,I_12519,I_12523,I_12531,I_12533,I_12536,I_12608,I_12521,I_12705,I_12706",,1,1,1,,,,,,1003002,0,12522,1,2,12522,1003001,1229
1003002,1003,被烤肉征服,吃些@item_12514#恢复体力吧@1#r(吃完以后感觉浑身充满力量！),食用@item_12514#@1,7,"I_12517,I_12519,I_12523,I_12531,I_12533,I_12536,I_12608,I_12521,I_12705,I_12706",,1,2,1,1003001,,,,,1003003,0,12523,1,2,12523,1003002,
1003003,1003,矿物克星,用@item_11627#和@item_11323#加工@item_11012#@1#r(有了@item_11012#才能更快的采集矿物，空手采矿也太痛苦了！),加工@item_11012#@1,4,I_11012,,1,3,1,1003002,,,,,1003004,0,101,5,2,11012,1003003,1223
1003004,1003,新能源？,手持@item_11012#挖掘@item_402#获取@item_11201#@1#r(@item_11201#是迷拉星上最常见的冶炼燃料，无论地上还是地下都挺常见，记得留意一下。),采集@item_402#@1,2,I_402,,3,4,1,1003003,,,,,1003005,0,11201,3,2,11201,1003004,1238
1003005,1003,全新矿物！,手持@item_11012#挖掘@item_451#@1#r(@item_451#在迷拉星分布很广，地上地下产量都很多),采集@item_451#@1,2,I_451,,3,5,1,1003004,,,,,1003006,0,11226,10,2,451,1003005,1237
1003006,1003,冶炼台加工者,用@item_11226#和@item_101#加工@item_802#@1#r(有了@item_802#就能冶炼金属，该整点矿来升级一下工具了),加工@item_802#@1,4,I_802,,1,6,1,1003005,,,,,1003007,0,451,2,2,802,1003006,1234
1003007,1003,金属冶炼：黄铜,在@item_802#里用燃料烧制@item_451#提炼@item_11329#@1#r(@item_11329#是一种非常基础的金属，用途很广，可以先用来升级一下工具，提高效率),冶炼获得@item_11329#@1,5,I_11329,,3,7,1,1003006,,,,,1003008,0,11329,2,2,11329,1003007,1239
1003008,1003,更加趁手的工具,用@item_11329#和@item_11323#加工@item_11011#@1#r(加工时需要使用@item_800#。有了@item_11011#，挖矿速度可不能同日而语了！),加工@item_11011#@1,4,I_11011,,1,8,1,1003007,,,,,1003009,0,11329,2,2,11011,1003008,
1003009,1003,野外求生第一课,完成“新晋探索者”目标中的所有任务。#r(已经学会了野外生存的最基础手段，是举一反三的时候了。虚空幻影的诡计还没破灭，再加把劲吧！),完成新晋探险者目标中的所有任务,1,0,,1,9,1,1003008,,,,,1004001,1,0,1,1,14107,,
1004001,1004,农耕伊始,用@item_11627#和@item_11323#加工@item_11032#@1#r(有了它就能开垦耕地了),加工@item_11032#@1,4,I_11032,,1,1,1,,,,,,1004002,0,11323,3,2,11032,1004001,1241
1004002,1004,开垦耕地,手持@item_11032#对@item_100#或@item_101#使用，使其变为耕地@1#r(PC端对准方块长按右键，移动端长按方块即可开垦耕地),手持@item_11032#开垦耕地@1,7,IG_11032,,3,2,1,1004001,,,,,1004003,0,11400,3,2,102,1004002,
1004003,1004,粮食大王,将@item_11400#播种在@item_102#上@1#r(手持@item_11400#点击@item_102#就能种上了),播种@item_11400#@1,17,"I_11400,I_229",I_102,3,3,1,1004002,,,,,1004004,0,11311,10,2,11400,1004003,1242
1004004,1004,施肥,对作物使用@item_11311#@1#r(@item_11311#能够加快绝大多数的植物生长，但不是每一次施肥都能成功……),对作物使用@item_11311#@1,21,I_11311,,3,4,1,1004003,,,,,1004005,0,11311,10,2,11311,1004004,
1004005,1004,大丰收！,收获成熟的@item_229#@1#r(第一次丰收总是让人毕生难忘),收获@item_229#@1,2,I_229,,1,5,1,1004004,,,,,1004006,0,229,5,2,229,1004005,
1004006,1004,掌厨的第一步,用@item_104#加工@item_200108#@1#r(加工时需要使用@item_800#。篝火可以使用@item_298#点燃，还记得吗？将@item_200108#放置于点燃的@item_1200#上就能制作更多美食了),加工@item_200108#@1,4,I_200108,,1,1,2,,,,,,1004007,0,229,3,2,200108,1004006,1235
1004007,1004,准备原料,用@item_229#加工@item_344#@1#r(加工时需要使用@item_800#。@item_344#是许多菜品的基础原料),加工@item_344#@1,4,I_344,,3,2,2,1004006,,,,,1004008,0,344,3,2,344,,
1004008,1004,美味出锅,烹饪出@item_12502#@1#r(在@item_200108#中使用@item_344#吧，然后等待美味出锅),在@item_200108#里烹饪@item_12502#@1,20,I_12502,,1,3,2,1004007,,,,,1004009,0,12502,1,2,12502,1004008,1236
1004009,1004,大快朵颐,食用@item_12502#@1#r(只有吃饱，才有力气干活！),食用@item_12502#@1,7,I_12502,,1,4,2,1004008,,,,,1004010,0,12502,1,2,12502,1004009,
1004010,1004,背包装不下啦！,用@item_11323#加工@item_1180#@1#r(背包中放不下的物品可以存到储物箱里),加工@item_1180#@1,4,"I_1180,I_1181",,1,1,3,,,,,,1004011,0,11323,3,2,1180,1004010,
1004011,1004,抵御强敌,用@item_11323#加工@item_812#并放置@1#r(房子装上门后，既能方便进出，还可以防止怪物进到房子里。但要小心，@item_812#有可能会被野人破坏！),加工并放置@item_812#@1,17,I_812,,1,3,3,1004017,,,,,1004012,0,11323,3,2,812,1004012,1280
1004012,1004,防御工事,用@item_11323#加工@item_821#并放置@1#r(拿着@item_821#点已经放好的@item_821#就能可以连起来了),加工并放置@item_821#@1,17,I_821,,10,4,3,1004011,,,,,1004013,0,821,5,2,821,1004013,
1004013,1004,城防出入口,用@item_11323#和@item_11227#加工@item_535#并放置@1#r(@item_535#可以和木桩连在一起，让怪物无法随意进入你的据点),加工并放置@item_535#@1,17,I_535,,1,5,3,1004012,,,,,1004014,0,535,2,2,535,1004014,
1004014,1004,神秘石像,用@item_104#加工@item_596#并放置@1#r(奇怪的石像光是看着就有一种奇特的感觉，触摸它或许会有什么事情发生),加工并放置@item_596#@1,17,I_596,,1,6,3,1004013,,,,,1004015,0,104,3,2,596,1004015,1339
1004015,1004,在此，重新开始,向@item_596#献上星星@1#r(点击@item_596#后，选择“献上一颗星星”，在野外遭遇不测时菈米能带领你回到此处),向@item_596#献上星星@1,13,I_596,,1,7,3,1004014,,,,,1004016,1,0,1,2,596,1004016,1339
1004016,1004,野外求生第二课,完成“学无止境”目标中的所有任务。#r(学会了更多的求生知识，是时候更进一步了。),完成“学无止境”目标中的所有任务,1,0,,1,8,2,1004005,1004009,1004015,,,1005001,1,0,1,1,14107,,
1004017,1004,自然光源,用@item_837#加工@item_905#或@item_907#@1#r（永久照明的自然光源，或许可以代替随时会熄灭的火把）,加工@item_905#或@item_907#@1,4,"I_905,I_907",,1,2,3,1004010,,,,,1004011,0,837,3,2,905,1004011,
1005001,1005,坚韧的外皮,狩猎获得@item_11307#@1#r(需要击败沃沃兽或是狐狸才能获得@item_11307#，得仔细找找着了),获得@item_11307#@1,3,I_11307,,2,1,1,,,,,,1005002,0,11307,2,2,11307,1005001,
1005002,1005,黄铜装备！,加工并穿戴任意黄铜装备，例如@item_12216#@1#r(换上黄铜装备后就更抗揍了，哈哈！),加工并穿戴任意黄铜装备@1,34,IG_12216,,1,2,1,1005001,,,,,1005003,0,11307,2,2,12216,1005002,
1005003,1005,更锋利的武器,使用@item_11329#和@item_11323#加工@item_12004#@1#r(有了@item_12004#战斗能力直线上升),加工@item_12004#@1,4,I_12004,,1,3,1,1005002,,,,,1005004,0,11329,2,2,12004,1005003,1224
1005004,1005,抓小偷,击败虚空使徒获得@item_11911#@1#r(虚空幻影就是靠着这群使徒四处偷取创造之力，必须阻止他们！),击败虚空使徒获得@item_11911#@1,3,I_11911,,1,4,1,1005003,,,,,1005005,0,11323,5,2,11911,1005004,
1005005,1005,升级工匠台！,将@item_800#升级为@item_797#@1#r(手持@item_11911#点击放置好的将@item_800#就能进行升级，@item_797#可以直接看到所有的加工配方),手持@item_11911#点击@item_800#,17,I_11911,I_800,1,5,1,1005004,,,,,1005006,0,11911,1,2,797,1005005,1332
1005006,1005,焕然一新,进行一次工具或装备维修@1#r(使用@item_797#或@item_800#都可以，点击工匠台打开页面后，选择左侧的“道具修理”，把需要修理的物品放进去吧。),进行一次工具或装备维修@1,19,0,,1,6,1,1005005,,,,,1005007,0,11329,2,2,797,1005006,
1005007,1005,提高冶炼效率,用@item_11329#加工@item_799#@1#r(更换成更高级的冶炼台后，可以一次性冶炼多组矿物，效率翻倍),加工@item_799#@1,4,I_799,,1,7,1,1005006,,,,,1005008,0,11323,3,2,799,1005007,1240
1005008,1005,更可靠的矿物,采集@item_401#@1#r(@item_401#质地比@item_451#更为坚硬，矿物分布也更深，需要往地下多挖几层才能找到，但也别挖的太深了),采集@item_401#@1,2,I_401,,3,8,1,1005007,,,,,1005009,0,401,2,2,401,1005008,
1005009,1005,金属冶炼：秘银,冶炼获得@item_11209#@1#r(有了@item_11209#后就能加工更耐用的工具和装备了，还能加工更多的方块，建议多储备一些。),冶炼获得@item_11209#@1,5,I_11209,,3,9,1,1005008,,,,,1005010,0,11209,2,2,11209,1005009,1247
1005010,1005,秘银工具！,加工@item_11013#@1#r(@item_11013#的挖掘速度要远快于@item_11011#，而且可以使用符文镶嵌获得更高效的能力),加工@item_11013#@1,4,I_11013,,1,10,1,1005009,,,,,1005011,0,11911,1,2,11013,1005010,
1005011,1005,自然凝练的力量,加工@item_785#@1#r(使用@item_785#就能给工具、武器或是装备镶嵌符文了，符文石有许多种，在地下探索一下吧。),加工@item_785#@1,4,I_785,,1,11,1,1005010,,,,,1005012,0,11911,1,2,785,1005011,
1005012,1005,激发符文力量,进行一次符文镶嵌#r(点击@item_785#打开页面后，就能在左侧的工具和符文石中自由挑选了。多尝试几次吧，符文镶嵌不是每次都能成功。不过要注意秘银以上强度的工具才能镶嵌符文),使用@item_785#进行一次符文镶嵌,18,0,,1,12,1,1005011,,,,,1005013,0,11612,1,2,11603,1005012,1249
1005013,1005,更进一步！,完成“熟练探索者”目标中的所有任务。#r(你已经能够独当一面了，继续强化自己，战胜虚空幻影吧！),完成“熟练探索者”目标中的所有任务,1,0,,1,13,1,1005012,,,,,1006001,1,0,1,1,14107,,
1006001,1006,往日碎片,在地下采集@item_598#获得@item_11205#@1#r(@item_11331#是由@item_11205#构成的，有大量的@item_598#在很久以前就深埋于迷拉星地下),在地下采集@item_598#@1,2,I_598,,2,1,1,,,,,,1006002,0,11205,1,2,11205,1006001,
1006002,1006,星链能源,用@item_11205#加工@item_11331#@1#r(顾名思义，@item_11331#是星站供能的关键道具),加工@item_11331#@1,4,I_11331,,1,2,1,1006001,,,,,1006003,1,0,1,1,11331,1006002,
1006003,1006,岛在天上？！,在迷拉星上踏入空岛生态#r(迷拉星上不可思议的生态，地表脱离悬浮到了天上，却维持在了一个非常稳定的状态),踏入空岛生态,14,B_BIOME_AIR_PLAINS,,1,3,1,1006002,,,,,1006004,0,11227,6,2,118,1006003,
1006004,1006,外来者贸易,在空岛商人处购得@item_11334#@1#r(安吉洛星人有在宇宙中四处收集宝藏的癖好，同时又非常喜欢高处，在空岛上应该能找到他们的身影。他们一定屯了不少@item_11334#),在空岛商人处购得@item_11334#@1,3,I_11334,,1,4,1,1006003,,,,,1006005,0,11209,1,2,11334,1006004,1252
1006005,1006,组装完成！,加工@item_11335#@1#r(迷拉星上的星站基本都被虚空破坏了，即便激活后也只能在星球内进行传送，必须使用@item_11335#恢复其远距传送模块才行),加工@item_11335#@1,4,I_11335,,1,5,1,1006004,,,,,1006006,0,11204,1,2,11335,1006005,
1006006,1006,修复星站,使用@item_11331#点击@item_594#@1将其重新激活#r(激活后星站就能重新连入星链网络了，只要多激活一些星站，旅途就会轻松很多),使用@item_11331#点击@item_594#@1,17,I_11331,I_594,1,6,1,1006005,,,,,1006007,0,11511,1,2,594,1006006,
1006007,1006,升级星站,使用@item_11335#点击@item_595#@1将其升级#r(升级成@item_597#后就可以进行相邻星球间的传送了),使用@item_11335#点击@item_595#,17,I_11335,I_595,1,6,2,1006005,,,,,1006008,0,11330,1,2,595,1006007,1253
1006008,1006,星球旅行一大步,完成“星链工程师”目标中的所有任务。#r(修复星站后便可以前往烈焰星和萌眼星了，离击败虚空幻影又更近了一步。),完成“星链工程师”目标中的所有任务,1,0,,1,7,1,1006006,1006007,,,,1007001,1,0,1,1,14107,,
1007001,1007,踏入雨林,在迷拉星上踏入雨林生态#r(迷拉星的雨林树木高大且非常密集，处处充满危险。在雨林的雷暴天中最好不要外出，被雷劈中可不是闹着玩的！),踏入雨林生态,14,B_RAINFOREST,,1,1,2,,,,,,1007002,1,0,1,2,395,1007001,
1007002,1007,雨林之芯,破坏@item_396#获得@item_11601#@1#r(雨林乔木的树干上偶尔会析出一些晶体，需要仔细静下心来仔细找找),获得@item_11601#@1,3,I_11601,,3,2,2,1007001,,,,,1007003,0,11601,2,2,11601,1007002,1335
1007003,1007,古老之钥,用@item_11601#和@item_11329#加工获得@item_11597#@1#r(@item_11597#上雕刻着古老迷拉星人的语言，记录着“雨林神庙”开启的方法),加工获得@item_11597#@1,4,I_11597,,1,3,2,1007002,,,,,1007004,0,11601,2,2,11597,1007003,1336
1007004,1007,雨林神庙！,在雨林中找到@item_578#后，使用@item_11597#点击以激活，召唤出雨林神庙#r(羽蛇神就在里面！),召唤出雨林神庙,17,I_11597,I_578,1,4,2,1007003,,,,,1007005,0,11209,3,2,578,1007004,
1007005,1007,羽蛇神,击败羽蛇神#r(羽蛇神的诞生源自一场意外。“神圣果实”深藏于其体内，经历了不知多久的岁月……),击败羽蛇神,8,M_3878,,1,5,2,1007004,,,,,1007006,0,200096,1,2,#3878,1007005,1337
1007006,1007,神圣种子,获得@item_591#@1#r(“神圣果实”中寄存的封印密钥，通过遗传基因代代相传……),获得@item_591#@1,3,I_591,,1,6,2,1007005,,,,,1007007,0,11209,3,2,591,1007006,1338
1007007,1007,生命之奇迹,把@item_591#种到土坑里，种出神圣树@1#r(神圣树与其他植物不同，无法使用@item_11311#加速其生长，只能慢慢等待),种下@item_591#@1,32,I_591,,1,7,2,1007006,,,,,1007008,0,378,5,2,590,1007007,1264
1007008,1007,象征“生命”的密钥,在神圣树的高处采集并获得@item_587#@1#r(神圣树高耸入云，而果实长在高处的树干内。采摘的过程是非常危险的，需要小心),获得@item_587#@1,3,I_587,,1,8,2,1007007,,,,,1008001,1,0,1,2,587,1007008,1265
1007009,1007,展翅翱翔,加工并穿戴@item_11591#@1#r(羽蛇神的翅膀羽毛非常结实却又异常的轻，把@item_11591#背在身上就能进行滑翔了),加工并穿戴@item_11591#@1,34,I_11591,,1,6,1,1007005,,,,,1007013,0,11207,3,2,11591,1007009,
1007010,1007,闪闪发亮的树叶,在夜晚的雨林中采集发光的乔木树叶，获得@item_11596#@1#r(切记，一旦到了白天，叶片上星光粉尘将会消散),获得@item_11596#@1,3,I_11596,,1,2,3,1007001,,,,,1007011,0,11599,3,2,11596,1007010,
1007011,1007,巫术？,加工@item_11569#@1#r(没嵌入晶石的话，仅仅只是一根木棍罢了),加工@item_11569#@1,4,I_11569,,1,3,3,1007010,,,,,1007012,0,11596,3,2,11569,1007011,
1007012,1007,巫术！！！,加工任意法杖@1，比如@item_11580##r(晶石的种类有好几种，野人祭司就是靠着这些晶石才有的五花八门的能力),加工任意法杖@1,4,IG_11580,,1,4,3,1007011,,,,,1007009,0,11570,1,2,11586,1007012,
1007013,1007,谢幕！“生命之章”,完成“雨林迷踪”目标中的所有任务,完成“雨林迷踪”目标中的所有任务,1,0,,1,10,2,1007012,1007008,1007009,,,1008001,1,0,1,1,14107,,
1008001,1008,抵达烈焰星,乘坐星站顺利抵达烈焰星#r(烈焰星是星系中距离恒星最近的一颗行星，地表温度奇高，且几乎被熔岩所覆盖。前往烈焰星前必须做好充足的准备),乘坐星站顺利抵达烈焰星,25,P_1,,1,1,1,,,,,,1008002,1,0,1,2,124,1008001,1254
1008002,1008,黑龙试炼Ⅰ,战胜远古黑龙！#r(黑龙守护烈焰断剑已过去了不知多长岁月，但仍未忘记其与“昔日者”们定下的约定。想要得到“烈焰断剑”，就必须先通过它的试炼，向黑龙证明自己的力量吧！),战胜远古黑龙,8,M_3502,,1,2,1,1008001,,,,,1008003,0,200097,1,2,#3502,1008002,1024
1008003,1008,代表“勇气”的密钥,获得@item_588##r(烈焰断剑里寄存了封印密钥的其中一段，解除火山封印必不可少),获得@item_588#,3,I_588,,1,3,1,1008002,,,,,1009001,0,11205,3,2,588,1008003,1257
1008004,1008,难度提升！,加工@item_11215#，激活@item_765#，召唤熔岩黑龙,召唤熔岩黑龙,17,I_11215,"I_765,I_740",1,3,2,1008002,,,,,1008005,0,417,1,2,11215,1008004,
1008005,1008,黑龙试炼Ⅱ,战胜熔岩黑龙！#r(黑龙化身成熔岩形态开启第二次试炼，战胜它，变得更强！),战胜熔岩黑龙！,8,M_3503,,1,4,2,1008004,,,,,1008006,0,11221,3,2,#3503,1008005,1329
1008006,1008,难度拉满！,加工@item_11216#，激活@item_765#，召唤混乱黑龙,召唤混乱黑龙,17,I_11216,"I_765,I_741",1,5,2,1008005,,,,,1008007,0,409,1,2,11216,1008006,
1008007,1008,黑龙试炼∞,战胜混乱黑龙！#r(黑龙化身成混乱形态开启了第三级试炼，这是最难的考验了，需要充足的准备。),战胜混乱黑龙！,8,M_3504,,1,6,2,1008006,,,,,1008010,0,11612,10,2,#3504,1008007,1330
1008008,1008,获得焱焱蟹壳,击败焱焱蟹获得@item_12605#@1#r(焱焱蟹能在烈焰星如此之高的温度下生存，甚至能在岩浆中游泳，都离不开它身上这层神奇的坚壳),获得@item_12605#@1,3,I_12605,,1,2,3,1008001,,,,,1008009,0,11307,5,2,12605,1008008,
1008009,1008,装备防火背包,加工并穿戴@item_12277#@1#r(有了@item_12277#就能抵御烈焰星的高温了),加工并穿戴@item_12277#@1,34,I_12277,,1,3,3,1008008,,,,,1008004,0,12605,1,2,12277,1008009,
1008010,1008,谢幕！“勇气之章”,完成“亘古试炼”目标中的所有任务,完成““亘古试炼”目标中的所有任务,1,0,,1,7,1,1008003,1008007,1008009,,,1009001,1,0,1,1,14107,,
1009001,1009,抵达萌眼星,乘坐星站顺利抵达萌眼星#r(萌眼星是迷拉星唯一的卫星，引力比起迷拉星要小得多。在这颗星球上生活着一群长相独特的原住生物，似乎有点难沟通……),乘坐星站顺利抵达萌眼星,25,P_2,,1,1,2,,,,,,1009002,1,0,1,2,118,1009001,1258
1009002,1009,驱散虚空侵蚀,帮助远古巨人摆脱虚空的侵蚀#r(远古巨人被虚空腐蚀太深，已经无法挽回，唯一的办法只能将其破坏。#r需要找到祭坛后，在@item_1042#旁4格放下@item_408# 、@item_409# 、@item_449# 、@item_450# 才能召唤远古巨人),帮助远古巨人摆脱虚空的侵蚀,8,M_3514,,1,2,1,1009001,,,,,1009003,0,200098,1,2,#3514,1009002,1262
1009003,1009,代表“智慧”的密钥,获得@item_589#@1#r(@item_589#曾是古老迷拉星人在人工生命领域的重大突破，里面寄存着火山封印三段密钥的其中一段),获得@item_589#@1,3,I_589,,1,3,1,1009002,,,,,1001001,0,410,1,2,589,1009003,1263
