ID,名字,描述,追踪
1030,烘焙麵包,製作1個#L#cfa7a0f小麥麵包#n@1#r（隨時吃一個，不會餓肚子）,製作#cfa7a0f小麥麵包
1031,麵包師,製作1個#L#cfa7a0f長麵包#n@1,製作#cfa7a0f長麵包
1032,蛋糕師,製作#L#cfa7a0f蛋糕#n@1,製作#cfa7a0f蛋糕
1033,鬥牛士,打敗牛獲得#L#cfa7a0f生牛肉#n@1#r（牛吃草，哞哞哞）,獲得#cfa7a0f生牛肉
1034,皮革,打敗牛獲得#L#cfa7a0f軟皮革#n@1,拾取#cfa7a0f軟皮革
1035,烤烤牛排,用熔煉爐製作#L#cfa7a0f烤牛排#n@1,製作#cfa7a0f烤牛排
1036,小雞快跑,打敗雞拾取#L#cfa7a0f生雞肉#n@1#r（雞吃麥子種子，嘰嘰嘰）,拾取#cfa7a0f生雞肉
1037,金蛋銀蛋,拾取#L#cfa7a0f小雞蛋#n@1,獲得#cfa7a0f雞蛋
1038,烤雞,用熔煉爐製作#L#cfa7a0f烤雞肉#n@1,製作#cfa7a0f烤雞肉
1039,咩,打敗羊拾取#L#cfa7a0f生羊腿#n@1#r（羊吃草，咩咩咩）,拾取#cfa7a0f生羊腿
1040,掠奪毛料,打敗羊或使用鐵剪拾取#L#cfa7a0f毛料#n@1,拾取#cfa7a0f綿毛料
1041,毛料地毡,製作#L#cfa7a0f地氈#n@1,製作#cfa7a0f地毡
1042,愛美之心,拾取#L#cfa7a0f花朵#n@1#r（美麗的花朵，比較稀有）,拾取#cfa7a0f花朵
1043,色彩世界,製作一種#L#cfa7a0f顏料#n@1,製作#cfa7a0f颜料
1044,嘿，這真好看,製作#L#cfa7a0f紅色毛料#n@1,製作#cfa7a0f紅色綿毛料
1045,軌道旅行,製作#L#cfa7a0f鐵軌道#n@1,製作#cfa7a0f鐵軌道
1046,出發！,製作#L#cfa7a0f軌道車#n@1,製作#cfa7a0f礦車
1047,廚師,完成前置任務後自動完成該任務,製作#cfa7a0f大餐
1048,懂生活,完成前置任務後自動完成該任務,製作#cfa7a0f紅色玻璃塊
1049,豬培養者,手持草/肉飼料或青瓜大餐在草垛旁餵食兩頭豬，使其繁殖小豬達到200頭@1,繁殖#cfa7a0f豬
1050,牛放牧,手持一把雜草或草飼料在草垛旁餵食兩頭牛，使其繁殖出小牛達到200頭@1,繁殖#cfa7a0f牛
1051,呦！,手持一把雜草或草飼料在草垛旁餵食兩頭羊，使其繁殖小羊達到200頭@1,繁殖#cfa7a0f羊
1052,召喚小雞,手持草飼料在窩旁餵食雞，使其繁殖小雞達到200只@1,繁殖#cfa7a0f雞
1053,大規模繁殖基地,完成前置任務後自動完成該任務,完成#cfa7a0f養殖動物系列成就
1054,石劍,製作1把#L#cfa7a0f石矛#n@1#r(危險總是出現在黑暗中),製作#cfa7a0f石劍
1055,更鋒利,製作1把#L#cfa7a0f短劍#n@1#r（搭個房子能有效保護自己）,製作#cfa7a0f鐵劍
1056,無用廢材,製作1把#L#cfa7a0f突刺長槍#n@1#r（裝備齊全，就不擔心被偷襲）,製作#cfa7a0f金劍
1057,削怪如泥,製作1把#L#cfa7a0f能量劍#n@1#r（現在要懲罰那些欺負人的野人）,製作#cfa7a0f鑽石劍
1058,遠程打擊,製作1把#L#cfa7a0f木製短弓#n@1#r(木製短弓拉滿可以射得更遠，需要石箭）,製作#cfa7a0f木制短弓
1059,我需要石箭,製作1支#L#cfa7a0f石箭#n@1,製作#cfa7a0f石箭
1060,皮甲頭,製作1頂#L#cfa7a0f皮頭盔#n@1#r（可以穿在身上，增加防禦）,製作#cfa7a0f皮頭盔
1061,鐵甲頭,製作1頂#L#cfa7a0f精鐵頭盔#n@1#r（實用的裝備，增加防禦）,製作#cfa7a0f鐵質頭盔
1062,鑽甲頭,製作1頂#L#cfa7a0f藍鑽頭盔#n@1#r（高級裝備，增加很多防禦）,製作#cfa7a0f鑽石頭盔
1063,皮甲胸,製作1件#L#cfa7a0f皮胸甲#n@1#r（可以穿在身上，增加防禦）,製作#cfa7a0f皮胸甲
1064,鐵甲胸,製作1件#L#cfa7a0f精鐵胸甲#n@1#r（實用的裝備，增加防禦）,製作#cfa7a0f鐵質胸甲
1065,鑽甲胸,製作1件#L#cfa7a0f藍鑽胸甲#n@1#r（高級裝備，增加很多防禦）,製作#cfa7a0f鑽石胸甲
1066,皮甲腿,製作1條#L#cfa7a0f皮護腿#n@1#r（可以穿在身上，增加防禦）,製作#cfa7a0f皮護腿
1067,鐵甲腿,製作1條#L#cfa7a0f精鐵護腿#n@1#r（實用的裝備，增加防禦）,製作#cfa7a0f鐵質護腿
1068,鑽甲腿,製作1條#L#cfa7a0f藍鑽護腿#n@1#r（高級裝備，增加很多防禦）,製作#cfa7a0f鑽石護腿
1069,皮甲足,製作1雙#L#cfa7a0f皮靴子#n@1#r（可以穿在身上，增加防禦）,製作#cfa7a0f皮靴子
1070,鐵甲足,製作1雙#L#cfa7a0f精鐵靴子#n@1#r（實用的裝備，增加防禦）,製作#cfa7a0f鐵質靴子
1071,鑽甲足,製作1雙#L#cfa7a0f藍鑽靴子#n@1#r（高級裝備，增加很多防禦）,製作#cfa7a0f鑽石靴子
1072,@Null@,@Null@,@Null@
1073,防禦大師,你成為一個裝備大師了@1,完成#cfa7a0f防禦成就
1074,我需要紙,製作1張#L#cfa7a0f紙張@1#r（採集黑皮甘蔗製作）,製作#cfa7a0f紙張
1075,灌魔手册,製作1本#L#cfa7a0f空白手冊#n@1,製作#cfa7a0f空白的書
1076,附魔大師,完成前置任務後自動完成該任務,完成#cfa7a0f附魔成就
1077,消滅他們！,完成前置任務後自動完成該任務,打敗#cfa7a0f怪物
1078,獵手公敵,打敗200隻野人獵手@1,打敗#cfa7a0f野人獵手
1079,地心公敵,打敗100只虛空使徒@1,打敗#cfa7a0f虛空使徒
1080,野人公敵,打敗500隻野人@1,打敗#cfa7a0f野人
1081,爆爆蛋！,打敗200只爆爆蛋@1,打敗#cfa7a0f爆爆蛋
1082,與神齊名,完成前置任務後自動完成該任務,完成#cfa7a0f打敗迷拉星生物系列成就
1083,勤勞礦工一,製作100支#L#cfa7a0f石礦鎬#n@1#r（石礦鎬可以採集秘銀）,製作#cfa7a0f石礦鎬
1084,勤勞礦工二,製作50支#L#cfa7a0f秘銀鎬#n@1#r（秘銀鎬可以採集高級礦）,製作#cfa7a0f秘銀鎬
1085,勤勞礦工三,製作20支#L#cfa7a0f鑽頭#n@1#r（鑽頭可以採集礦石）,製作#cfa7a0f鑽頭
1086,玻璃一,熔煉10塊#L#cfa7a0f玻璃塊#n@1,熔煉#cfa7a0f玻璃塊
1087,玻璃二,熔煉500塊#L#cfa7a0f玻璃塊#n@1,熔煉#cfa7a0f玻璃塊
1088,玻璃三,熔煉2000塊#L#cfa7a0f玻璃塊#n@1,熔煉#cfa7a0f玻璃塊
1089,來份秘銀一,冶煉10份#L#cfa7a0f秘銀#n@1,冶煉#cfa7a0f秘銀
1090,來份秘銀二,冶煉100份#L#cfa7a0f秘銀#n@1,冶煉#cfa7a0f秘銀
1091,來份秘銀三,冶煉300份#L#cfa7a0f秘銀#n@1,冶煉#cfa7a0f秘銀
1092,鎢金礦一,開採10塊#L#cfa7a0f鎢金礦石#n@1,開採#cfa7a0f鎢金礦石
1093,鎢金礦二,開採50塊#L#cfa7a0f鎢金礦石#n@1,開採#cfa7a0f鎢金礦石
1094,鎢金礦三,開採200塊#L#cfa7a0f鎢金礦石#n@1,開採#cfa7a0f鎢金礦石
1095,訓狼大師一,用雞蛋馴服1只狼@1,馴服#cfa7a0f狼
1096,訓狼大師二,用雞蛋馴服5只狼@1,馴服#cfa7a0f狼
1097,訓狼大師三,用雞蛋馴服20只狼@1,馴服#cfa7a0f狼
1098,熾炎一,冶煉5份#L#cfa7a0f熾炎#n@1,冶煉#cfa7a0f熾炎
1099,熾炎二,冶煉100份#L#cfa7a0f熾炎#n@1,冶煉#cfa7a0f熾炎
1100,熾炎三,冶煉500份#L#cfa7a0f熾炎#n@1,冶煉#cfa7a0f熾炎
1101,星能高手一,開採10塊#L#cfa7a0f星能礦石#n@1,開採#cfa7a0f星能礦石
1102,星能高手二,開採200塊#L#cfa7a0f星能礦石#n@1,開採#cfa7a0f星能礦石
1103,星能高手三,開採500塊#L#cfa7a0f星能礦石#n@1,開採#cfa7a0f星能礦石
1104,我需要石箭一,製作10支#L#cfa7a0f石箭#n@1,製作#cfa7a0f石箭
1105,我需要石箭二,製作100支#L#cfa7a0f石箭#n@1,製作#cfa7a0f石箭
1106,我需要石箭三,製作1000支#L#cfa7a0f石箭#n@1,製作#cfa7a0f石箭
1107,森林衛士一,種植超過10棵樹@1#r（手持#L#cfa7a0f樹木種子#n在土坑中種植）,種植#cfa7a0f樹
1108,森林衛士二,種植超過200棵樹@1#r（手持#L#cfa7a0f樹木種子#n在土坑中種植）,種植#cfa7a0f樹
1109,森林衛士三,種植超過2000棵樹@1#r（手持#L#cfa7a0f樹木種子#n在土坑中種植）,種植#cfa7a0f樹
1110,豬排！一,製作50份#L#cfa7a0f烤豬排#n@1,製作#cfa7a0f烤豬排
1111,豬排！二,製作200份#L#cfa7a0f烤豬#n@1,製作#cfa7a0f烤豬排
1112,豬排！三,製作1000份#L#cfa7a0f烤豬排#n@1,製作#cfa7a0f烤豬排
1113,牛肉！一,製作50份#L#cfa7a0f烤牛肉#n@1,製作#cfa7a0f烤牛肉
1114,牛肉！二,製作200份#L#cfa7a0f烤牛肉#n@1,製作#cfa7a0f烤牛肉
1115,牛肉！三,製作1000份#L#cfa7a0f烤牛肉#n@1,製作#cfa7a0f烤牛肉
1116,烤雞！一,製作50份#L#cfa7a0f烤雞肉#n@1,製作#cfa7a0f烤雞肉
1117,烤雞！二,製作200份#L#cfa7a0f烤雞肉#n@1,製作#cfa7a0f烤雞肉
1118,烤雞！三,製作1000份#L#cfa7a0f烤雞肉#n@1,製作#cfa7a0f烤雞肉
1119,烤羊肉！一,製作50份#L#cfa7a0f烤羊肉#n@1,製作#cfa7a0f烤羊肉
1120,烤羊肉！二,製作200份#L#cfa7a0f烤羊肉#n@1,製作#cfa7a0f烤羊肉
1121,烤羊肉！三,製作1000份#L#cfa7a0f烤羊肉#n@1,製作#cfa7a0f烤羊肉
1122,棉花一,製作50個#L#cfa7a0f棉花塊#n@1,製作#cfa7a0f棉花塊
1123,棉花二,製作200個#L#cfa7a0f棉花塊#n@1,製作#cfa7a0f棉花塊
1124,棉花三,製作1000個#L#cfa7a0f棉花塊#n@1,製作#cfa7a0f棉花塊
1125,岩石粉碎機一,開採100塊#L#cfa7a0f岩石#n@1,開採#cfa7a0f岩石
1126,岩石粉碎機二,開採1000塊#L#cfa7a0f岩石#n@1,開採#cfa7a0f岩石
1127,岩石粉碎機三,開採5000塊#L#cfa7a0f岩石#n@1,開採#cfa7a0f岩石
1128,我怕黑一,製作50支#L#cfa7a0f燃燒的小火炬#n@1,製作#cfa7a0f燃燒的小火炬
1129,我怕黑二,製作200支#L#cfa7a0f燃燒的小火炬#n@1,製作#cfa7a0f燃燒的小火炬
1130,我怕黑三,製作500支#L#cfa7a0f燃燒的小火炬#n@1,製作#cfa7a0f燃燒的小火炬
1131,再接再厲一,失敗1次@1,#cfa7a0f失敗
1132,再接再厲二,失敗100次@1,#cfa7a0f失敗
1133,再接再厲三,失敗500次@1,#cfa7a0f失敗
1134,海洋美食一,製作1份#L#cfa7a0f烤呆呆魚#n,製作#cfa7a0f烤呆呆魚
1135,海洋美食二,製作10份#L#cfa7a0f烤呆呆魚#n,製作#cfa7a0f烤呆呆魚
1136,海洋美食三,製作100份#L#cfa7a0f烤呆呆魚#n,製作#cfa7a0f烤呆呆魚
1137,混亂終結,打敗混亂黑龍#r（混亂黑龍：\(-^-)/）@1,打敗#cfa7a0f混亂黑龍
1138,製作火箭,蒐集材料製作#L#cfa7a0f火箭#n@1,製作#cfa7a0f火箭
1139,登陸萌眼星！,乘坐火箭到萌眼星採集#L#cfa7a0f萌眼星石塊#n@1,採集#cfa7a0f萌眼星石塊
1140,激活圖騰,使用#L#cfa7a0f星啟石#n激活圖騰@1,激活#cfa7a0f圖騰
1141,星銅鑽頭,製作#L#cfa7a0f星銅鑽頭#n@1,合成#cfa7a0f星銅鑽頭
1142,噴射鉤爪,製作#L#cfa7a0f噴射鉤爪#n@1,合成#cfa7a0f噴射鉤爪
1143,待續...,更多冒險即將到來,更多冒險即將到來
1144,氧氣發明者,在工匠台用珍珠、礁石、黃銅、木料製作#L#cfa7a0f氧氣提煉器#n@1,製作#cfa7a0f氣體提煉器
1145,萬全準備,玻璃、黃銅 製作#L#cfa7a0f壓縮氣罐#n@1,製作#cfa7a0f壓縮氣罐
1146,太空之樂,用壓縮氣罐和星銅石製作#L#cfa7a0f氧氣背包#n@1,製作#cfa7a0f噴氣背包
1147,太空土,用萌眼星草塊、萌眼星石塊、瓶裝水和動物肥料製作#L#cfa7a0f培養基#n@1,製作#cfa7a0f培養基
1148,宇宙冒險家,完成前置任務後自動完成該任務,完成#cfa7a0f製作萌眼星系列成就
1149,打敗萌眼叮叮,打敗200個萌眼叮叮@1,打敗#cfa7a0f萌眼叮叮
1150,打敗萌眼咚咚,打敗200個萌眼咚咚@1,打敗#cfa7a0f萌眼咚咚
1151,打敗萌眼噹噹,打敗200個萌眼噹噹@1,打敗#cfa7a0f萌眼噹噹
1152,打敗重力巫師,打敗100個重力巫師@1,打敗#cfa7a0f重力巫師
1153,星球大戰！,完成前置任務後自動完成該任務,完成#cfa7a0f打敗萌眼星生物成就
1154,萌眼星生存一,在萌眼星生存7天@1,在萌眼星#cfa7a0f生存
1155,萌眼星生存二,在萌眼星生存60天@1,在萌眼星#cfa7a0f生存
1156,萌眼星生存三,在萌眼星生存365天@1,在萌眼星#cfa7a0f生存
1157,氧氣果一,吃掉10個#L#cfa7a0f氧氣果#n@1,吃#cfa7a0f氧氣果
1158,氧氣果二,吃掉100個#L#cfa7a0f氧氣果#n@1,吃#cfa7a0f氧氣果
1159,氧氣果三,吃掉500個#L#cfa7a0f氧氣果#n@1,吃#cfa7a0f氧氣果
1160,激活圖騰一,激活5個#L#cfa7a0f圖騰#n@1,激活#cfa7a0f圖騰
1161,激活圖騰二,激活50個#L#cfa7a0f圖騰#n@1,激活#cfa7a0f圖騰
1162,激活圖騰三,激活300個#L#cfa7a0f圖騰#n@1,激活#cfa7a0f圖騰
1163,點亮圖騰一,點亮5個#L#cfa7a0f圖騰#n@1,激活#cfa7a0f圖騰
1164,點亮圖騰二,點亮50個#L#cfa7a0f圖騰#n@1,激活#cfa7a0f圖騰
1165,點亮圖騰三,點亮300個#L#cfa7a0f圖騰#n@1,激活#cfa7a0f圖騰
1166,星銅礦石一,開採10個#L#cfa7a0f星銅礦石#n@1,開採#cfa7a0f星銅礦石
1167,星銅礦石二,開採100個#L#cfa7a0f星銅礦石#n@1,開採#cfa7a0f星銅礦石
1168,星銅礦石三,開採500個#L#cfa7a0f星銅礦石#n@1,開採#cfa7a0f星銅礦石
1169,紫熒礦石一,開採10個#L#cfa7a0f紫熒礦石#n@1,開採#cfa7a0f重力礦石
1170,紫熒礦石二,開採100個#L#cfa7a0f紫熒礦石#n@1,開採#cfa7a0f重力礦石
1171,紫熒礦石三,開採500個#L#cfa7a0f紫熒礦石#n@1,開採#cfa7a0f重力礦石
1172,遠古巨像,藍鑽/孔雀石/星銅石/紫熒石塊在圖騰核心旁4格放下召喚遠古巨像打敗它@1,打敗#cfa7a0f遠古石像
1173,遠古巨人,打敗遠古巨人@1,打敗#cfa7a0f遠古巨人
1174,@Null@,@Null@,@Null@
1175,我需要些木頭,採集木頭，獲得一個#L#cfa7a0f木頭方塊#n@1#r（長按樹幹採集）,採集#cfa7a0f木頭
1176,手藝活！,使用任意木頭製作木板，用4個木板製作1個#L#cfa7a0f工具箱#n@1#r（先打開背包，左邊標籤選擇製作）,製作#cfa7a0f工具箱
1177,@Null@,@Null@,@Null@
1178,@Null@,@Null@,@Null@
1179,@Null@,@Null@,@Null@
1180,@Null@,@Null@,@Null@
1181,@Null@,@Null@,@Null@
1182,@Null@,@Null@,@Null@
1183,@Null@,@Null@,@Null@
1184,@Null@,@Null@,@Null@
1185,@Null@,@Null@,@Null@
1186,@Null@,@Null@,@Null@
1187,@Null@,@Null@,@Null@
1188,@Null@,@Null@,@Null@
1189,@Null@,@Null@,@Null@
1190,@Null@,@Null@,@Null@
1191,@Null@,@Null@,@Null@
1192,@Null@,@Null@,@Null@
1193,@Null@,@Null@,@Null@
1194,@Null@,@Null@,@Null@
1195,@Null@,@Null@,@Null@
1196,@Null@,@Null@,@Null@
1197,@Null@,@Null@,@Null@
1198,@Null@,@Null@,@Null@
1199,@Null@,@Null@,@Null@
1200,@Null@,@Null@,@Null@
1201,站穩腳跟,在極限模式中生存7天@1,生存#cfa7a0f天
1202,紅紅火火,在極限模式中生存60天@1,生存#cfa7a0f天
1203,生存大師,在極限模式中生存365天@1,生存#cfa7a0f天
1204,野人！,打敗50隻野人@1,打敗#cfa7a0f野人
1205,野萌寶！,打敗20隻野萌寶@1,打敗#cfa7a0f野萌寶
1206,虛空使徒！,打敗50隻虛空使徒@1,打敗#cfa7a0f虛空使徒
1207,貿易,與遊商交易20次@1,與游商交易#cfa7a0f
1208,沙漠貿易,與沙漠商人交易50次@1,與沙漠商人交易#cfa7a0f
1209,冰原貿易,與冰原商人交易200次@1,與冰原商人交易#cfa7a0f
1210,爆爆蛋！,打敗30只爆爆蛋@1,打敗#cfa7a0f爆爆蛋
1211,硫磺弓手！,打敗100只硫磺弓手@1,打敗#cfa7a0f硫磺弓手
1212,屠龍勇士！,打敗遠古黑龍@1,打敗#cfa7a0f遠古黑龍
1213,星能材料,開採100塊#L#cfa7a0f星能礦石#n@1,開採#cfa7a0f星能礦石
1214,武器儲備,冶煉500份#L#cfa7a0f秘銀#n@1,冶煉#cfa7a0f秘銀
1215,一顆恒久遠,開採20塊#L#cfa7a0f鎢金礦#n@1,開採#cfa7a0f鎢金礦
1216,香噴烤雞,製作100份#L#cfa7a0f烤雞全家桶#n@1,製作#cfa7a0f烤雞全家桶
1217,麵食大王,製作50個#L#cfa7a0f烤肉麵條#n@1,製作#cfa7a0f烤肉麵條
1218,金的也能吃？,製作50個#L#cfa7a0f香溢食物#n@1,製作#cfa7a0f香溢食物
1219,@Null@,@Null@,@Null@
1220,@Null@,@Null@,@Null@
1221,我需要些石頭,#cfa7a0f採集石塊#n或#cfa7a0f加工岩石#n獲取#L#cfa7a0f石料#n@1#r（長按石塊採集、背包-加工界面拆解岩石）,在地面採集#cfa7a0f石料
1222,更多的材料,砍樹獲取#L#cfa7a0f細樹枝#n@1#r（長按樹枝採集）,從樹上獲取#cfa7a0f細樹枝
1223,石器時代開始！,用石料和樹枝製作#L#cfa7a0f石鎬#n@1#r（打開背包-加工界面，左邊標籤選擇製作）,製作#cfa7a0f石鎬
1224,原始人的武器,用木料製作#L#cfa7a0f木棒#n@1#r（晚上很危險，一定要用武器來保護自己）,製作#cfa7a0f木棒
1225,獵人,打敗夜晚出沒的野人@1#r（哦？你想成為獵人嗎？）,打敗#cfa7a0f野人
1226,開始美好的生活~,用石料和樹枝製作#L#cfa7a0f石斧#n@1#r（我能用來先做房子嗎？）,打開背包製作#cfa7a0f石斧
1227,伐木工,手持石斧，找到一棵樹，破壞它！採集#L#cfa7a0f木料#n@1#r（發家致富的源泉),砍樹採集#cfa7a0f木料
1228,篝火晚會,用岩石和木料製作#L#cfa7a0f篝火#n@1#r（夜晚時，明亮和溫暖會給人安全感）,製作#cfa7a0f篝火
1229,烤肉，香！,將生肉放在篝火上烤熟，獲得#L#cfa7a0f熟豬肉#n@1#r（吃了後感覺渾身都是力量！）,#cfa7a0f烤肉
1230,斬草除根,採集野草獲取#L#cfa7a0f一把雜草#n@1#r（用來捆東西很好用）,收集#cfa7a0f一把雜草
1231,黑暗中的光明！,用樹枝和一把雜草製作#L#cfa7a0f燃燒的小火炬#n@1#r（簡易的火炬只能燃燒一小段時間）,製作#cfa7a0f燃燒的小火炬
1232,採石工,岩石大多藏在地表之下，用石鎬向下挖，獲取#L#cfa7a0f岩石#n@1#r（看起來，大部分東西都需要用到石頭）,到地下開採#cfa7a0f岩石
1233,工匠,用木料和石料製作#L#cfa7a0f不完整工匠台#n@1#r（工匠台，旅行居家必備！哇哦~能製作更多的物品）,製作#cfa7a0f不完整工匠台
1234,冶煉台製作者,用岩石和土塊製作#L#cfa7a0f冶煉台#n@1#r（各種礦石冶煉起來，金屬工具造起來！）,在工匠台做#cfa7a0f冶煉台
1235,廚師的第一步,在工匠台使用岩石製作#L#cfa7a0f石鍋#n@1#r（能製作美味的食物啦）,在工匠台做#cfa7a0f石鍋
1236,吃飽才有力氣,用玉米粉在石鍋製作出#L#cfa7a0f麵條#n@1#r（石鍋記得放在篝火上喲，果然只有吃飽，才有力氣乾活！）,在石鍋里做#cfa7a0f麵條
1237,銅器時代的開始！,手持石鎬在地下採集#L#cfa7a0f銅合金礦#n@1#r（看我在地底深處挖到了什麼！）,採集#cfa7a0f銅合金礦
1238,新能源？,手持石鎬在地下採集#L#cfa7a0f可燃冰#n@1#r（地表以及懸崖峭壁有時候也有哦）,採集#cfa7a0f可燃冰
1239,金屬冶煉：銅,在冶煉台里用銅合金礦燒制提煉#L#cfa7a0f黃銅#n@1#r（可以做更好的工具了）,冶煉得到#cfa7a0f黃銅
1240,銅爐打造者,在工匠台用黃銅製作#L#cfa7a0f銅爐#n@1,製作#cfa7a0f銅爐
1241,石耙,用石料和樹枝製作#L#cfa7a0f石耙#n@1#r（有了它就能耕地了）,製作#cfa7a0f石耙
1242,糧食大王,手持#L#cfa7a0f玉米種子#n播種在耕地上@1#r（只能種植在耕地上）,種植#cfa7a0f玉米
1243,@Null@,@Null@,@Null@
1244,@Null@,@Null@,@Null@
1245,@Null@,@Null@,@Null@
1246,@Null@,@Null@,@Null@
1247,金屬冶煉：秘銀,在冶煉台里用秘銀礦燒制提煉#L#cfa7a0f秘銀#n@1,冶煉得到#cfa7a0f秘銀
1248,秘銀爐打造者,在工匠台用秘銀，製作#L#cfa7a0f秘銀爐#n@1,用工匠台做#cfa7a0f秘銀爐
1249,符文工具！,在符文台進行一次符文石激活@1#r（效率符文石可激活工具，攻擊符文石可激活武器，防禦符文石可激活護甲）,進行#cfa7a0f符文石激活
1250,金屬冶煉：鈦,把鈦合金礦放置熔爐燒制提煉#L#cfa7a0f鈦合金#n@1,冶煉得到#cfa7a0f鈦合金
1251,科技時代的起源！,用鈦合金和樹枝製作#L#cfa7a0f鈦合金鎬#n@1#r（挖礦時間，開始！）,製作#cfa7a0f鈦合金鎬
1252,不一樣的材料,在空島上尋找#L#cfa7a0f智能芯片#n@1#r（出發，往遠方探險吧！）,獲取#cfa7a0f智能芯片
1253,升級星站,使用#L#cfa7a0f星站升級元件#n升級星站傳送艙@1#r（升級後才能去往更遠的星球）,升級#cfa7a0f星站傳送艙
1254,新大陸-烈焰星,拜訪烈焰星#r（最好攜帶防火服避免被燒傷）,前往#cfa7a0f烈焰星
1255,@Null@,@Null@,@Null@
1256,（已廢棄）屠龍之人,打敗遠古黑龍#r(沒那麼容易哦）,打敗#cfa7a0f遠古黑龍
1257,烈焰星鑰匙,從龍巢中取得#L#cfa7a0f斷劍#n@1#r（這是激活火山祭壇的三鑰匙之一）,獲取#cfa7a0f斷劍
1258,新大陸-萌眼星,拜訪萌眼星#r（這裡空氣稀薄，帶上氧氣面罩吧！）,前往#cfa7a0f萌眼星
1259,萌眼星酋長,使用#L#cfa7a0f星啟石#n激活圖騰@1#r（附近密室有驚喜！）,激活#cfa7a0f圖騰
1260,星銅鑽頭,收集星銅石、星能礦、木料和萌眼星石塊製作#L#cfa7a0f星銅鑽頭#n@1#r（聽說高原跟空島有星銅迷人的光輝）,製作#cfa7a0f星銅鑽頭
1261,噴射鉤爪,收集星銅石、紫熒石、重力結晶和星能礦製作#L#cfa7a0f噴射鈎爪#n@1#r（它能使你飛檐走壁）,製作#cfa7a0f噴射鈎爪
1262,遠古巨人的召喚者,召喚並擊敗萌眼星上的遠古巨人@1#r（需要鎢金塊/琥珀塊/星銅石塊/紫熒石塊在圖騰核心旁4格放下召喚）,打敗#cfa7a0f遠古巨人
