ID,名称,描述,说明
1030012,玩家獲得道具,當 玩家 獲得道具,
1030013,玩家消耗道具,當 玩家 消耗道具,
1030014,玩家點擊生物或玩家,當 玩家 點擊生物或玩家,
1030015,玩家點擊方塊,當 玩家 點擊方塊,
1030016,玩家騎乘,當 玩家 騎乘坐騎/載具,
1030017,玩家取消騎乘,當 玩家 取消騎乘,
1030018,玩家運動狀態改變,當 玩家 開始%1,
1030019,玩家發生碰撞,當 玩家 碰撞任意玩家/生物,
1030020,玩家拾取道具,當 玩家 拾取掉落物,
1030021,玩家進入區域,當 玩家 進入%1,進入區域和離開區域事件無法觸發開發者相關的動作，例如播放廣告、顯示商品購買窗口、打開開發者商店
1030022,玩家離開區域,當 玩家 離開%1,進入區域和離開區域事件無法觸發開發者相關的動作，例如播放廣告、顯示商品購買窗口、打開開發者商店
1030023,玩家裝備欄改變,當 玩家 的裝備欄發生變化,
1030024,玩家揹包欄改變,當 玩家 的揹包欄發生變化,
1030025,玩家快捷欄改變,當 玩家 的快捷欄發生變化,
1030026,玩家選擇快捷欄,當 玩家 選中快捷欄,
1030027,玩家丟棄道具,當 玩家 丟棄道具,
1030028,玩家穿上裝備,當 玩家 穿上裝備,
1030029,玩家脫下裝備,當 玩家 脫下裝備,
1030030,玩家顯示聊天信息,當 玩家 的聊天框顯示%1,
1030031,玩家輸入聊天信息,當 玩家 在聊天框發送%1,
1030032,玩家按下按鍵,當 玩家 按下%1,
1030033,玩家長按按鍵,當 玩家 長按%1,
1030034,玩家鬆開按鍵,當 玩家 鬆開%1,
1030035,玩家獲得狀態,當 玩家 獲得狀態,
1030036,玩家失去狀態,當 玩家 失去狀態,
1030037,玩家失去指定狀態,當 玩家 失去%1狀態,
1030038,玩家等級發生改變,當 玩家 等級發生變化,
1030039,玩家輸入聊天信息（包含字符串）,當任意玩家在聊天框輸入包含%1的信息,當玩家在聊天框中輸入包含指定文本併發出時
1030040,當玩家選中指定道具,當玩家在快捷欄選中%1,
1030041,玩家邀請好友,當 玩家 邀請好友,
1040001,生物受到傷害,當 生物 受傷,
1040002,生物進行攻擊,當 生物 開始攻擊,
1040003,生物攻擊命中,當 生物 攻擊命中,
1040004,生物造成傷害,當 生物 造成傷害,
1040005,生物被擊敗,當 生物 被擊敗,
1040006,生物擊敗目標,當 生物 擊敗目標,
1040007,生物進入區域,當 生物 進入%1,
1040008,生物離開區域,當 生物 離開%1,
1040009,生物運動狀態改變,當 生物 開始%1,
1040010,生物發生碰撞,當 生物 碰撞任意玩家/生物,
1040011,生物屬性改變,當 生物 的屬性%1發生變化,
1040012,生物被創建,當 生物 被創建,
1040013,生物獲得狀態,當 生物 獲得狀態,
1040014,生物失去狀態,當 生物 失去狀態,
1040015,生物失去指定狀態,當 生物 失去%1,
1040016,此生物受到傷害,當 此類生物 受到傷害,
1040017,此生物進行攻擊,當 此類生物 開始攻擊,
1040018,此生物攻擊命中,當 此類生物 攻擊命中目標,
1040019,此生物造成傷害,當 此類生物 對目標造成傷害,
1040020,此生物被擊敗,當 此類生物 被擊敗,
1040021,此生物擊敗目標,當 此類生物 擊敗目標,
1040022,此生物行動狀態改變,當 此類生物 開始%1,
1040023,此生物發生碰撞,當 此類生物 碰撞任意玩家/生物,
1040024,此生物屬性改變,當 此類生物 %1屬性變化,
1040025,此生物被創建,當 此類生物 被創建,
1040026,此生物獲得狀態,當 此類生物 獲得狀態,
1040027,此生物失去狀態,當 此類生物 失去狀態,
1040028,此生物被玩家點擊,當 此類生物 被玩家點擊,
1050001,方塊被挖掘完畢,當 方塊 被挖掘完畢,
1050002,方塊被破壞,當 方塊 被破壞,
1050003,方塊開關狀態變化,當 方塊 開關狀態發生變化,
1050004,儲存容器道具發生改變,當 儲存容器 內道具發生變化,
1050005,方塊被創建,當 方塊 被創建,
1050006,儲存容器被放入道具,當 儲存容器 被放入道具,
1050007,儲存容器被取出道具,當 儲存容器 被取出道具,
1050008,方塊被挖掘,當 方塊 被挖掘,
1050009,方塊被挖掘中斷,當 方塊 被挖掘但中斷,
1050010,此方塊被挖掘,當 此類方塊 被挖掘,
1050011,此方塊被挖掘完畢,當 此類方塊 完成挖掘,
1050012,此方塊被挖掘中斷,當 此類方塊 挖掘中斷,
1050013,此方塊被破壞,當 此類方塊 被破壞,
1050014,此方塊被創建,當 此類方塊 被創建,
1050015,此方塊開關狀態變化,當 此類方塊 的開關狀態發生變化,
1050016,此方塊被獲取,當 玩家/生物 獲取此類方塊,
1050017,此方塊被玩家點擊,當 玩家 點擊此類方塊,
1050018,方塊顏色改變,當 方塊 顏色發生改變,
1060001,投擲物擊中目標,當 投擲物 擊中任意玩家/生物/方塊,
1060002,投擲物進入區域,當 投擲物 進入%1,
1060003,投擲物離開區域,當 投擲物 離開%1,
1060004,掉落物進入區域,當 掉落物 進入%1,
1060005,掉落物離開區域,當 掉落物 離開%1,
1060006,掉落物被拾取,當 掉落物 被拾取,
1060007,掉落物消失,當 掉落物 消失,
1060008,投擲物被創建,當 投擲物 被創建,
1060009,,,
1060010,此道具被丟棄,當 此類道具 被丟棄,
1060011,此道具消失,當 此類道具 掉落物消失,
1060012,此道具損壞,當 此類道具 損壞,
1060013,此投擲物擊中目標,當 此類投擲物 擊中任意目標,
1060014,此投擲物被創建或消耗,當 此類投擲物 被創建或消耗,
1060015,此道具被消耗,當 此類道具 被消耗,
1060016,此包裹被打開,當 此類包裹道具 被打開,
1060017,此裝備被穿上,當 此類裝備道具 被穿上,
1060018,此裝備被脫下,當 此類裝備道具 被脫下,
1060019,此裝備被破壞,當 此類裝備道具 被玩家/生物破壞,
1060020,此道具被使用,當 此類道具 被玩家使用,
1060021,當掉落物以指定方式被創建,當掉落物以%1被創建,
1060022,當掉落物以任意方式被創建,當掉落物以任意方式被創建,
1070001,位置上特效被創建,當 特效 創建在位置,
1070002,玩家身上特效被創建,當 特效 創建在玩家,
1070003,生物身上特效被創建,當 特效 創建在生物,
1070004,投擲物特效被創建,當 特效 創建在投擲物,
1070005,當特效在掉落物上創建,當 特效 創建在掉落物,
1080001,此狀態被生物獲得,當 生物 獲得此類狀態,
1080002,此狀態從生物身上移除,當 生物 失去此類狀態,
1080003,此狀態被玩家獲得,當 玩家 獲得此類狀態,
1080004,此狀態從玩家身上移除,當 玩家 失去此類狀態,
1090001,此配方合成完畢,當 此類配方 合成完畢,
1090002,配方合成完畢,當 配方 合成完畢,
1100001,熔鍊開始,當 熔鍊 開始,
1100002,熔鍊完成,當 熔鍊 完成,
1100003,此熔鍊開始,當 此類熔鍊 開始,
1100004,此熔鍊完成,當 此類熔鍊 完成,
110001,玩家的載具,%1的載具,
1110001,劇情開始,當 劇情 開始,
1110002,劇情結束,當 劇情 結束,
1110003,此劇情開始,當 此段劇情 開始,
1110004,此劇情結束,當 此段劇情 結束,
1120001,按鈕被鬆開,當前界面任意按鈕被鬆開,
1120002,界面被打開,當前界面被打開,
1120003,界面關閉,當前界面關閉,
1120004,按鈕被按下,當前界面任意按鈕被按下,
1120005,玩家在界面輸入字符串,當 玩家 在界面輸入任意字符串,
1120006,當前界面的 按鈕 被鬆開,當前界面的%1被鬆開,
1120007,當前界面的 按鈕 被按下,當前界面的%1被按下,
1120008,當 玩家 在當前界面的輸入框輸入內容,當 玩家 在當前界面的%1輸入內容,
1130001,音樂播放,當 界面音樂 開始播放,
1140001,大會員購買（1個月）,當 玩家 購買1個月大會員,
1140002,大會員購買（3個月）,當 玩家 購買3個月大會員,
1140003,任意玩家購買或提取開發者商店道具,當 玩家 購買或提取開發者商店道具,
120001,隨機特效類型,隨機的特效類型,
120002,特效類型,特效類型%1,
120003,特效類型組,特效類型組%1,
130001,獲取當前播放廣告位的名字,獲取當前播放廣告位的名字,
140001,方塊類型,方塊類型%1,
140002,方塊類型組,方塊類型組%1,
140003,方塊類型名,%1的類型名,
140004,方塊類型描述,%1的插件描述,
140005,方塊類型的外觀,%1的外觀,
150001,文字板,內容爲%1的文字板，字體大小%2，不透明度%3%，編號%4，自動換行%5,
150002,漂浮文字,內容爲%1的漂浮文字，字體大小%2，編號%3,
150003,進度條,當前值%1、最大值%2的進度條，顏色%3，編號%4,
150004,指向對象的箭頭,指向%1的箭頭，大小%2，顏色%3，編號%4,
150005,指向位置的箭頭,指向%1的箭頭，大小%2，顏色%3，編號%4,
150006,指向對象的引導面,指向%1的引導面，大小%2，顏色%3，編號%4,
150007,指向位置的引導面,指向%1的引導面，大小%2，顏色%3，編號%4,
150008,指向對象的引導線,指向%1的引導線，大小%2，顏色%3，編號%4,
150009,指向位置的引導線,指向%1的引導線，大小%2，顏色%3，編號%4,
150010,圖片,圖片爲%1，大小爲%2倍，不透明度爲%3%，編號爲%4,
160001,隨機顏色,隨機顏色,
170001,位置組中指定編號的位置,%1中編號爲%2的位置,
170002,位置組中的隨機位置,%1中的隨機位置,
180001,區域組中指定編號的區域,%1中編號爲%2的區域,
180002,區域組中的隨機區域,%1中的隨機區域,
190001,數值組中指定編號的數值,%1中編號爲%2的數值,
190002,數值組中的隨機數值,%1中的隨機數值,
190003,獲取數值組中的最大值,獲取%1中的最大值,
190004,獲取數值組中的最小值,獲取%1中的最小值,
200001,字符串組中指定編號的字符串,%1中編號爲%2的字符串,
200002,字符串組中的隨機字符串,%1中的隨機字符串,
20001,數值運算,%1%2%3,
20002,取餘,%1Mod%2,
20003,隨機數,生成隨機整數:%1至%2,
20004,最大值,%1與%2的%3,
20005,整除,%1整除%2,
20006,位置的座標值,%1的%2座標值,
20007,位置間的水平角度,%1與%2間的水平角度,
20008,位置間的垂直角度,%1與%2間的垂直角度,
20009,冪運算,%1的%2次冪,
20010,開方,%1開%2次方,
20011,絕對值,%1的絕對值,
20012,三角函數,%1%2%3,
20013,固定底對數函數,%1%2,
20014,任意底對數函數,Log%1%2,
20015,取整,%2%1,
20016,角度與弧度轉換,將%1轉換爲%2,
20019,邏輯異或,%1異或%2,
20020,高級四則運算,%1%2%3,
2010001,數值對比,%1%2%3,
2010002,隨機數,%1%2%3,
2010003,最大值或最小值,%1%2%3,
2010004,整除,%1%2%3,
2010005,位置的座標值,%1%2%3,
2010006,位置與位置的水平角度,%1%2%3,
2010007,位置與位置的垂直角度,%1%2%3,
2010008,冪運算,%1%2%3,
2010009,開方,%1%2%3,
2010010,絕對值,%1%2%3,
2010011,三角函數,%1%2%3,
2010012,取整,%1%2%3,
2010013,角度與弧度轉換,%1%2%3,
2010018,任意值比較,%1%2%3,
2010019,邏輯與,%1與%2,
2010020,邏輯或,%1或%2,
2010021,邏輯非,非%1,
2020001,遊戲時刻,%1%2%3,
2020002,玩家數量,%1%2%3,
2020003,天氣判斷,%1%2%3,
2020004,重力判斷,%1%2%3,
2020005,觸發器狀態判斷,%1爲啓用狀態,
2020006,觸發器組狀態判斷,%1爲啓用狀態,
2030001,隊伍屬性判斷,%1%2%3,
2040001,玩家屬性判斷,%1%2%3,
2040002,擁有的道具數量,%1%2%3,
2040003,玩家組中玩家編號判斷,%1%2%3,
2040004,玩家隊伍判斷,%1%2%3,
2040005,玩家個體判斷,%1%2%3,
2040006,玩家面向角度,%1%2%3,
2040007,處於玩家組的判斷,%1%2處於%3中,
2040008,玩家處於區域的判斷,%1%2處於%3中,
2040009,玩家狀態效果判斷,%1%2處於%3中,
2040010,動畫表情判斷,%1%2爲%3,
2040011,玩家設置判斷,%1的%2爲%3,
2040012,選擇快捷欄鍵位,%1%2%3,
2040013,手持道具類型判斷,%1%2%3,
2040014,裝備欄判斷,%1%2%3,
2040015,玩家穿有裝備判斷,%1%2穿有%3,
2040016,玩家外觀判斷,%1%2%3,
2040017,玩家揹包空間判斷,%1的快捷欄和揹包能存下%2個%3爲%4,
2040018,玩家揹包持有道具判斷,%1的%2持有%3爲%4,
2040019,目標對象類型判斷,事件中的目標對象類型是%1爲%2,
2040020,判斷玩家好友關係,%1%2是好友關係爲%3,
2040021,玩家是否關注作者,%1已經%2,
2050001,玩家組中的玩家數量,%1%2%3,
2050002,玩家組中的玩家的編號,%1%2%3,
2050003,玩家組中指定編號的玩家,%1%2%3,
2060001,生物屬性,%1%2%3,
2060003,處於生物組的判斷,%1%2處於%3中,
2060004,生物類型判斷,%1%2%3,
2060005,生物個體判斷,%1%2%3,
2060006,生物面向角度,%1%2%3,
2060007,生物處於區域的判斷,%1%2處於%3中,
2060008,生物狀態效果判斷,%1%2處於%3中,
2060009,生物隊伍判斷,%1%2%3,
2060010,生物組中生物編號判斷,%1%2%3,
2060011,生物設置判斷,%1的%2爲%3,
2060012,生物外觀判斷,%1%2%3,
2070001,生物組中生物的數量,%1%2%3,
2070002,生物組中的指定編號的生物,%1%2%3,
2080001,掉落物數量判斷,%1%2%3,
2080002,掉落物處於區域內,%1%2處於%3中,
2080003,道具類型判斷,%1%2%3,
2080004,投擲物處於區域內,%1%2處於%3中,
2090001,位置與位置之間的距離,%1%2%3,
2090002,方塊類型判斷,%1%2%3,
2090003,方塊開關狀態判斷,%1的方塊開關狀態爲%2,
2090004,方塊處於區域判斷,%1%2處於%3中,
2090005,方塊朝向判斷,處於%1的方塊朝向%2爲%3,
2090006,指定位置的方塊類型,處於%1的方塊類型%2%3,
2090007,方塊設置判斷,%1的%2爲%3,
2100001,計時器時間判斷,%1%2%3,
2100002,布爾值比較,%1%2%3,
2100003,字符串比較,%1%2%3,
2100004,音樂類型判斷,%1%2%3,
2100005,從服務器表獲取值完成判斷,從服務器表或排行榜獲取值完成判斷爲%1,"1.承接從表或排行榜獲取值的動作
2.會將該事件的所有參數傳遞過來（例如觸發事件玩家，觸發事件生物等等）"
2100006,判斷玩家大會員身份,%1%2迷你世界大會員爲%3,
210001,布爾值組中指定編號的布爾值,%1中編號爲%2的布爾值,
210002,布爾值組中的隨機布爾值,%1中的隨機布爾值,
2110001,特定玩家的載具,%1%2%3,
2120001,特效判斷,%1%2%3,
2130001,播放廣告完成判斷,當前播放廣告完成判斷爲%1,
2140001,狀態效果判斷,%1%2%3,
2140002,積木判斷,檢測%1的%2存在%3檢測模式%4要求%5,
2140003,可執行積木判斷,檢測%1的%2可執行積木存在%3檢測模式%4要求%5,
2140004,運行環境判斷,檢測當前是否運行在課中,
2150001,元件判斷,%1%2%3的%4,
2150002,頁面判斷,%1%2%3,
220001,方塊類型組中指定編號的方塊類型,%1中編號爲%2的方塊類型,
220002,方塊類型組中的隨機方塊類型,%1中的隨機方塊類型,
221001,檢測 區域相似度,檢測區域相似度:原始區域%1 目的地起點%2檢測模式%3,
221002,區域內方塊類型組,獲取%1內方塊類型組,
221003,區域內總方塊數量,獲取%1內總方塊數量,
221004,區域內指定類型方塊數量,獲取%1內方塊類型爲%2的數量,
230001,道具類型組中指定編號的道具類型,%1中編號爲%2的道具類型,
230002,道具類型組中的隨機道具類型,%1中的隨機道具類型,
240001,生物類型組中指定編號的生物類型,%1中編號爲%2的生物類型,
240002,生物類型組中的隨機生物類型,%1中的隨機生物類型,
250001,計時器組中指定編號的計時器,%1中編號爲%2的計時器,
250002,計時器組中的隨機計時器,%1中的隨機計時器,
260001,特效類型組中指定編號的特效類型,%1中編號爲%2的特效類型,
260002,特效類型組中的隨機特效類型,%1中的隨機特效類型,
270004,道具類型的圖標,%1的圖標,
270005,生物的圖標,%1的圖標,
270006,生物類型的圖標,%1的圖標,
270007,狀態的圖標,%1的圖標,
270008,方塊類型的圖標,%1的圖標,
270009,玩家當前角色圖標,當前%1角色的圖標,
270010,獲取玩家快捷欄圖標,%1快捷欄爲%2的圖標,
280001,隨機投擲物類型,隨機投擲物類型,
290001,隨機音效,隨機音效,
300001,服務器獲取的位置,服務器獲取的位置,
300002,服務器獲取的區域,服務器獲取的區域,
300003,服務器獲取的數值,服務器獲取的數值,
300004,服務器獲取的字符串,服務器獲取的字符串,
300005,服務器獲取的布爾值,服務器獲取的布爾值,
300006,服務器獲取的玩家,服務器獲取的玩家,
300007,服務器獲取的方塊類型,服務器獲取的方塊類型,
300008,服務器獲取的道具類型,服務器獲取的道具類型,
300009,服務器獲取的生物,服務器獲取的生物,
30001,當前遊戲時刻,當前遊戲時間,
300010,服務器獲取的生物類型,服務器獲取的生物類型,
300011,服務器獲取的計時器,服務器獲取的計時器,
300012,服務器獲取的特效類型,服務器獲取的特效類型,
300013,排行榜獲取的排名,排行榜獲取的排名,
300014,服務器獲取的名稱（鍵）,獲取服務器和排行榜索引名稱（鍵）,
300015,服務器獲取的玩家（鍵）,獲取服務器和排行榜索引玩家（鍵）,
30002,指定排名的隊伍,排名爲%1的隊伍,
30003,當前遊戲重力倍數,當前遊戲重力,
3010001,設置全局天氣模式,設置全局天氣模式爲%1,
3010002,設置時間,設置遊戲時間爲%1,
3010003,設置重力,設置重力爲%1,
3010004,設置遊戲中途加入,設置中途加入遊戲爲%1,
3010005,發送廣播,發送廣播%1,
3010006,發送廣播並等待,發送廣播%1並等待,
3010007,設置時間流逝速度,設置遊戲時間流逝速度爲%1倍,
3010008,設置天空盒貼圖,設置%1爲%2,"1.設置天空貼圖會導致星星和雲失效
2.設置天空貼圖會天空盒頂部、腰部、底部顏色失效"
3010009,設置天空盒顏色,設置%1%2爲%3,
3010010,設置天空盒參數,設置%1%2爲%3,
3010011,發送服務器廣播到所有云服房間,發送服務器廣播%1到所有云服房間,"1.單機執行時也會生效，但只會在本地生效，不會發送給雲服房間
2.隔離：雲服調試只會發送給自己，如果需要對公開雲服發廣播，需要在公開雲服房間執行
3.限制：每個房間每15秒只能發送一條廣播"
3010012,設置天空盒模板,設置當前天空盒爲%1,
3010013,設置地形組天氣,設置%1的天氣爲%2,
3010014,設置天空盒開關,設置%1%2爲%3,
3020001,運行觸發器,運行%1，檢查如果條件爲%2，則執行動作,
3020002,循環運行觸發器,從%1到%2，執行%3,
3020003,改變觸發器狀態,改變%1狀態開啓爲%2,
3020004,改變觸發器組狀態,改變%1狀態開啓爲%2,
3040001,創建方塊,在%1創建%2，朝向爲%3,
3040002,刪除方塊,刪除在%1上的方塊,
3040003,替換方塊,替換在%1上的方塊爲%2，朝向%3,
3040004,設置方塊開關狀態,設置%1的方塊開關狀態爲%2,
3040005,設置方塊權限,設置%1的%2爲%3,
3040006,以方塊填充區域,以%1填充%2，朝向爲%3,
3040007,清空區域內方塊,清空%1內的%2,
3040008,複製區域內方塊到指定點,複製%1內的方塊並放置在%2，朝向%3,
3040009,區域替換方塊,將%1中的%2替換爲%3，朝向%4,
3040010,破壞方塊,破壞在%1上的方塊,
3040011,創建顏色方塊,"在%1創建%2，朝向爲%3,顏色爲%4（僅顏色方塊有效）",
3040012,方塊播放動作,"使%1上的方塊播放%2,播放模式%3",
3040013,替換顏色方塊,替換%1上的%2，朝向爲%3，顏色爲%4（僅顏色方塊有效）,
3040014,清空區域中所有方塊,清空%1內的所有方塊,
3040015,破壞區域中指定類型方塊,破壞%1內的%2,
3040016,破壞區域中所有方塊,破壞%1內的所有方塊,
3040017,替換區域中所有方塊,將%1內的所有方塊替換爲%2，朝向%3,
3040018,放置藍圖,在%1放置%2，旋轉%3，鏡像%4，藍圖區域全部覆蓋%5,
3050001,擊敗玩家,擊敗%1,
3050002,玩家復活到指定點,使%1復活到%2,
3050003,設置玩家復活點,設置%1的復活點爲%2,
3050004,設置玩家屬性,設置%1的%2爲%3,
3050005,給予玩家狀態效果,給予%1%2效果，永久持續%3，持續%4秒,
3050006,移除玩家狀態效果,移除%1的%2效果,
3050007,設置玩家權限,設置%1的%2爲%3,
3050008,移除玩家,將%1移出本局遊戲,
3050009,玩家加入觀戰模式,使%1加入觀戰模式,
3050010,設置玩家隊伍,設置%1的隊伍爲%2,
3050011,設置玩家位置,傳送%1至%2,
3050012,設置玩家朝向,設置%1的朝向爲%2,
3050013,設置玩家攝像機角度,設置%1的攝像機角度爲世界座標水平%2度，垂直%3度,
3050014,添加道具至玩家揹包,添加%1個%2至%3揹包,
3050016,丟棄玩家揹包道具,丟棄%1身上的%2個%3,
3050017,銷燬玩家揹包道具,銷燬%1身上的%2個%3,
3050018,玩家騎乘載具,使%1騎乘%2，位置編號%3,
3050019,玩家離開載具,使%1離開當前載具,
3050020,設置玩家視角,設置%1的視角爲%2，鎖定%3,
3050021,玩家控制載具前進,使%1駕駛載具自動前進,
3050022,玩家自動尋路,使%1嘗試自動尋路到%2，可操作%3,該事件有距離限制，超過一定（約32個方塊）範圍會導致無法觸發
3050023,玩家勝利,使%1獲得遊戲勝利,
3050024,玩家播放動畫表情,使%2播放%1,動畫表情參數輸入值範圍1-20 人物動作1-10 通用動作11-20
3050025,對玩家顯示飄窗文字,對%1顯示飄窗文字%2,
3050026,玩家使用快捷欄道具,使用%1快捷欄選中道具,
3050027,對玩家顯示聊天框信息,對%1顯示聊天框信息%2,
3050028,指定玩家道具不可丟棄,設置%1的%2不可丟棄爲%3,
3050029,指定玩家道具不可掉落,設置%1的%2不可掉落爲%3,
3050030,使玩家移動,使%1朝%2移動，速度%3,
3050031,替換玩家狀態效果,將%1身上的%2替換爲%3，永久持續%4，持續%5秒,
3050032,使玩家穿上裝備,使%1穿上揹包中的%2,
3050033,使玩家脫下裝備,使%1脫下%2的裝備至揹包中,
3050034,創建玩家裝備,創建%1至%2裝備欄中,
3050035,銷燬玩家裝備,銷燬%1%2中的裝備,
3050036,設置玩家外觀,設置%1的外觀爲%2,
3050037,恢復玩家外觀,恢復%1爲初始外觀,
3050040,使玩家對玩家造成傷害,使%1對%2造成%3點%4傷害,"1.可以獲取到傷害來源爲玩家，會顯示傷害飄字
2.近戰傷害、遠程傷害、爆炸傷害會默認加5點傷害值，會根據防禦力計算最終的傷害值
3.會觸發對應的事件（例如玩家造成傷害，玩家受到傷害），但不會觸發玩家攻擊、攻擊命中等事件"
3050041,使玩家對生物造成傷害,使%1對%2造成%3點%4傷害,"1.可以獲取到傷害來源爲玩家，會顯示傷害飄字
2.近戰傷害、遠程傷害、爆炸傷害會默認加5點傷害值，會根據防禦力計算最終的傷害值
3.會觸發對應的事件（例如玩家造成傷害，玩家受到傷害），但不會觸發玩家攻擊、攻擊命中等事件"
