id编号,标题,内容,作者,是否匿名
64,,"Melon melon apa yang durhaka.....
 Melon kundang hahahahahaha",Ucok Slebew,
65,,"So the first 1 is ""the character is a girl and she bougth her leaf umberlla when is rainning?"" You know that skin ▪3▪",《Default86》,
66,,"“Jadilah dirimu sendiri. Orang tidak harus menyukaimu, dan kamu tidak perlu peduli.”",@@◇No_Name◇,
67,,"Rasa bahagia harus terus tetap dirasakan dalam melalui perjalanan hidup, dan bukanlah hanya sekedar menjadi tujuan hidup saja.",@@◇No_Name◇,
68,,Cara paling baik untuk membayar momen-momen indah ialah dengan menikmatinya.,@@◇No_Name◇,
69,,Kebahagiaan hanyalah kesedihan yang belum terjadi.,@@◇No_Name◇,
70,,"Rasa bahagia harus terus tetap dirasakan dalam melalui perjalanan hidup, dan bukanlah hanya sekedar menjadi tujuan hidup saja.",@@◇No_Name◇,
71,,"Dalam duka pasti akan ada suka. Jangan menyerah, sebab dengan putus asa kita tidak akan menjadi apa-apa selain pecundang.",@@◇No_Name◇,
72,Puisi Karya Biru Luqman Taqiy,"Bagaikan dunia nyata miniworld
Seperti dunia fantasi bagiku walaupun kau kadang menghilang namun kau akan cepat kembali disaat aku sedih kau ada untuk ku bermain disaat aku kesepian kau menemaniku ,
Miniworld kau adalah teman terbaikk
Terimakasih mini world telah memberikan yang terbaik untuk bermain (⁠｡⁠•̀⁠ᴗ⁠-⁠)⁠✧ Mini world adalah game favorit ku ",@@mage epik()-+,
73,Tebak Tebakan,"Dipeluk bukan bantal guling,di petik bukan buah. Apaan tuhhhh??",@lionel zedwind★,
74,,"Hai, Aku Cherry. Btw senyum itu dapat pahala lho ^^",•『Cherry』•,
75,,Tahu nggak kenapa donat selalu bolong tengahnya? Karena yang utuh dan bulat hanya cintaku untukmu<3,※icha※,
76,,"Ikan ikan apa yang bisa terbang? 
Ikan burung ",|•Aida?,
77,,"Kemarin aku melihat kucing di depan rumah nah dia malah makan makanan aku, langsung pingsan",|•Aida?,
78,Tebak-tebakan,Ayo main tebak-tebakan (⁠✯⁠ᴗ⁠✯⁠) Apa yg ada di ujung pelangi?? Jawaban : Huruf I !!! hehe~,~Blue★sky~,
79,,"Halo player! 
Saya MidnightStar Senang bertemu dengan kalian, aku hanya ingin tanya di botol ini
1.Dari mana kamu menemukan botol ini? 
2.apakah kamu suka update ini? 
3.pernahkah kalian menonton animasi Xialou? 
4.apakah update ini susah? 
5.pernahkah kamu di lautan dalam? mengerikan atau susah? 6.apakah kamu bilang ""kamu nanyae"" saat membaca ini /(•_•)\",☆MidnightStar☆,
80,,"Untuk anak-anak bermain jangan sampai terlalu lama. dan juga budayakan lah membaca,ber hitung dan belajar kelak semua itu bisa membantu kalian saat dewasa nanti. tetap lah semangat jange bersedih terus karena bersedih itu tidak ada guna nya. jagalah kesehatan diri dan terimaksi bay✧⁠◝⁠(⁠⁰⁠▿⁠⁰⁠)⁠◜⁠✧

 Terimakasi sudah membaca(⁠≧⁠▽⁠≦⁠)
 Name(☆NAO♡)",⁠☆NAO⁠♡,
81,,"Hai Saya Domba, Saya Dari Indonesia Jawa Tengah, Salam Kenal Untuk Kalian yang Membaca Pesan Ini. 
Kamu Ingin Tau Apa Yang Aku Pikirkan Saat Ini? Saya Beri Tau Kalian Di Pesan Ini. Saya Rindu Dengan Teman Bermain Lama Saya, Dan Ingin Tau Kabarnya, Tapi Sayang Saya Tidak Tau Kontak Ataupun Nomor Mereka Karma Jarak Ku Dengan Dia Jauh, Aku Selalu Berdoa Agar Tuhan Selalu Memberikan Kesehatan Dan Kesuksesan Kepada Teman Teman Saya Dan Juga Untuk Kamu Yang Membaca Pesan Ini.",{}Mini-Domba{},
82,,"
Kamu Sudah Berapa Lama Bermain Game Mini World?
 Kalau Saya Sejak Awal Maret 2019 Lalu. 
Kamu Ingin Tau Skin Yang Pertama Saya Dapat? 
 Kalau Kamu Skin Apa Yang Pertamakali didapatkan? Selama Kamu Bermain Mini World Apa Ada Keluh Kesah? Aku Sangat Kesal Dengan Bug Pada Game Tersebut Dan Juga Lag. Lalu Bagaimana Kesanmu Bermain Game Mini World Selama Ini? Kalau Saya Sangat Suka Karna Game Ini Meningkatkan Kreatifitas Saya, Dan Juga Saya Bermain Tidak Sia sia Karna Saya Menjadi Mini Dev Dan Itu Mendapatkan Uang. Kamu Tanya Apa Itu Banyak? Menurutku Lumayan Untuk Beli Apa Yang Saya Inginkan. Kamu Ingin Bertanya Apa Kepadaku? Silahkan Saya Juga Ingin Bertanya Sedikit Nih. Kamu Tinggal Dimana? Segitu Saja Sih. Sekian Pesan Ini Saya Sampaikan Dan Terimakasih Sudah Membacanya. Semoga Kalian Diberi Kesehatan Dan Kesuksesan Dari Tuhan. 
Ikan Hiu Makan Tomat I Love You So Much ",{}Mini-Domba{},
83,,"Kenangan di mini world
Dari awal saya main di tahun 2018 sampai 2023 Punya banyak kenangan indah di game ini sampai tidak bisa kulupakan.dari bermain survinal dan membuat peta bersama teman. Adalah hal terindah bagiku. Semenjak 2021 teman-teman saya pada offline dan membuat saya kesepian dan sedih. Saya harap tahun ini akan lebih baik :)
Hanya itu saja yang bisa ku sampaikan. ",♧Kayla_Amanda♧,
84,,"Dokter: Anda kelebihan berat badan. 
Pasien: Saya pikir saya ingin pendapat kedua. 
Dokter: Kamu juga jelek.",✿「Cat-!」☂︎,
85,,"“Hidup memang penuh dengan misteri, tapi kamu harus yakin bisa memecahkannya.”",Aeris ≈,
86,,"“Jangan takut menghadapi masa depan, hadapi dan perjuangkanlah.”",Aeris ≈,
87,,"“Semakin keras kamu bekerja untuk sesuatu, semakin besar perasaanmu saat mencapainya.”",Aeris ≈,
88,,"“Hidup adalah perjuangan, perjalanan adalah suatu pembelajaran. Jika tak ada pengorbanan, lambat laun kita akan tersisihkan.”",Aeris ≈,
89,,“Lakukan pekerjaanmu dengan sepenuh hati. Maka kau akan sukses.”,Aeris ≈,
90,,"“Ingatlah selalu bahwa kamu lebih berani daripada yang kamu yakini, lebih kuat dari yang terlihat, dan lebih pintar dari yang kamu kira.”",Aeris ≈,
91,,Jangan menyerah. Hal-hal besar membutuhkan waktu. Bersabarlah.,Aeris ≈,
92,,"Kemenangan ada di depan mata, raihlah dengan usaha dan doa. Selamat berjuang.",Aeris ≈,
93,,"Fokuslah mencapai tujuan, walau banyak hal menarik di dalam perjalanan.",Aeris ≈,
94,,"Semakin sulit sebuah perjuangan, semakin indah saat saat mencapai kemenangan.",Aeris ≈,
95,,"Ketika dalam sebuah perjuangan terdapat tantangan yang besar, berarti keberhasilan yang menanti juga lebih besar.",Aeris ≈,
96,,Tidak ada kata tidak mungkin sebelum kamu mencobanya.,Aeris ≈,
97,,semoga miniworld menjadi game yang dikenal banyak orang dan bahkan bisa mengalahkan game game terkelal lainnyaヾ (• ω • ') o),affah iyah,
98,,"Siapa orang yang membuka botol ini dan membaca surat ini, semoga mendapatkan keberuntungan dan keselamatan saat bermain di game Mini World ini ",Ah Tong,
99,Tebak Tebakan,"sapi apa yang masuk kamar?
sapietuh",ahadiatgaming,
100,,"Satu satu aku sayang mini world, dua dua aku sayang mini world, tiga tiga aku sayang mini world, satu dua tiga aku sayang mini world",AI not AL,
101,,"Hai semua, semoga di tahun ini saya mendapatkan jodoh dan saya bisa membanggakan Mama saya pergi ke kota suci yaitu Mekah dan semoga Tahun depan saya lulus dan masuk di universitas Indonesia amin amin ya robbal alamin",Akbar ツ,
102,,I love mini world :v,Al~Fath,
103,,Hasil Tidak Akan Mengkhianati Usaha!,Alfaro Gold Ψ,
104,,Kenapa Tekstur Pack Realistis Mini World Hanya Beberapa Blok Yang Berubah ?,Alfaro Gold Ψ,
105,,"Pembohong Dimana Mana, Apakah Mereka Bisa Di Percaya?",Alfaro Gold Ψ,
106,,"Kekosongan di hatiku mulai dipenuhi amarah. Kemarahan yang tenang, dan aku percaya bahwa tidak ada yang bisa memahami luka itu",Alfaro Gold Ψ,
107,,"Keheningan tidak terlalu buruk, sampai pada akhirnya aku merasa kesepian...",Alfaro Gold Ψ,
108,,"Aku kesepian. Aku merasakannya secara mendalam, bahwa keadaan sendiri ini mungkin tidak akan pernah hilang. Tapi aku menyambut baik kesepian. Ini bukan kesepian yang menggerogoti bagian dalam seseorang, tetapi tidak memiliki ruang di dalam dirinya untuk menyendiri dengan nyaman.",Alfaro Gold Ψ,
109,,"Istilah ‘maaf’ tidak masuk akal bagi ku. Memaafkan memungkinkan kita berhenti memikirkan suatu masalah, yang tidak selalu sehat. Tapi jika kita lupa, kita tidak belajar dari kesalahan kita",Alfaro Gold Ψ,
110,,Kalian Akan Memilih Ocean Atau Gurun ?,Alfaro Gold Ψ,
111,,"Terlalu cepat aku tahu, betapa aku menyukainya",Alfaro Gold Ψ,
112,,"Aku harap, kamu akan menemui seseorang yang mencintaimu saat kamu sedih.",Alfaro Gold Ψ,
113,,"Kesepian bukanlah kurangnya teman, kesepian bukanlah kurangnya tujuan. Tapi untuk menikmati waktu luang menjadi diri sendiri",Alfaro Gold Ψ,
114,,Tidak ada yang lebih menyakitkan dibandingkan dengan dikecewakan oleh satu orang yang kita pikir tidak akan pernah menyakiti kita,Alfaro Gold Ψ,
115,,"Kepercayaan itu seperti kaca. Saat rusak, kau mungkin bisa memperbaikinya. Tapi kau masih bisa melihat retakannya",Alfaro Gold Ψ,
116,,"Beberapa luka lama memang sangat sulit untuk sembuh sepenuhnya, mereka bisa berdarah kembali hanya karena ucapan yang sangat ringan",Alfaro Gold Ψ,
117,,"Sebagian kecil adalah Kebenaran, sedangkan sebagian besar adalah kepalsuan",Alfaro Gold Ψ,
118,,Kebahagiaan tidak akan pernah sampai kepada mereka yang gagal menghargai apa yang sudah mereka miliki,Alfaro Gold Ψ,
119,,Janganlah pernah menyerah ketika Anda masih mampu berusaha lagi. Tidak ada kata berakhir sampai Anda berhenti mencoba,Alfaro Gold Ψ,
120,,"Memang akan sulit bagiku untuk melupakanmu, namun biarlah waktu yang nanti akan mengurusnya",Alfaro Gold Ψ,
121,,Isinya Kosong...,Alfaro Gold Ψ,
122,,Orang kuat itu bukan berarti dia selalu kuat,Alfaro Gold Ψ,
123,,"Aku salah, dan aku menyadari aku seorang idiot, kenapa aku seperti ini...",Alfaro Gold Ψ,
124,,"Kenyataannya, ada tidak tahu apa yang akan terjadi besok. Hidup adalah pengendaraan yang gila dan tidak ada yang menjaminnya",Alfaro Gold Ψ,
125,,Hidup adalah cermin dan akan merefleksikan kembali kepada para pemikir mengenai apa yang mereka pikirkan,Alfaro Gold Ψ,
126,,"Aku selalu mencoba untuk mengubah kemalangan menjadi kesempatan, walau sering gagal tetapi hasilnya tetap bagus",Alfaro Gold Ψ,
127,,Jangan bersedih ketika mengalami kegagalan dalam meraih mimpi dan percayalah akan ada mimpi lain yang lebih besar dan lebih baik dari mimpimu yang gagal sebelumnya,Alfaro Gold Ψ,
128,,"Kedewasaan tidak dilihat dari usia, tetapi dilihat dari sikap dan tingkah laku",Alfaro Gold Ψ,
129,,"Tidak perlu menjadi seseorang yang serba bisa, cukup tekuni satu bidang yang kamu suka dan jadilah hebat dengannya",Alfaro Gold Ψ,
130,,Lebih baik diam daripada memperpanjang masalah,Alfaro Gold Ψ,
131,,Kamu tidak bisa pergi atau lari dari tanggung jawab esok hari dengan menghindarinya hari ini.,Alfaro Gold Ψ,
132,,Balas dendam terbaik adalah dengan membuat dirimu lebih baik darinya,Alfaro Gold Ψ,
133,,Kata 'pulang' itu selalu terdengar lebih indah dibandingkan kata 'pergi'. Tetapi orang harus merasa rindu untuk bisa menikmati keindahan pulang,Alfaro Gold Ψ,
134,,"Berhenti memikirkan segala hal secara berlebihan, itu bisa menghancurkan kebahagiaanmu. Kebahagiaan itu harus selalu dirasakan dalam perjalanan hidup. Jangan hanya menjadi tujuan hidup belaka.",Alfaro Gold Ψ,
135,,Terkadang kita sering membuat usaha yang kita lakukan menjadi sia sia,Alfaro Gold Ψ,
136,,"Selama kamu masih mau berjuang dan berusaha, cara untuk maju dan mencapai kesuksesan itu akan selalu ada",Alfaro Gold Ψ,
137,,"Kita hanya berpikir ketika dihadapkan pada suatu masalah, berubahlah dan jadilah diri yang lebih bijak.",Alfaro Gold Ψ,
138,,"Sulit menemukan yang ""instan"" di dunia ini. Semua perlu usaha, kerja keras, dan kepercayaan.",Alfaro Gold Ψ,
139,,Apa tanggapan anda jika seseorang meniru anda ?,Alfaro Gold Ψ,
140,,Aku terus menulis Isi Botol Surat entah akan di baca atau hilang tertelan ombak...,Alfaro Gold Ψ,
141,,"Apakah jika aku menulis ID dan Nama orang lain, surat ini menjadi miliknya? Aku takut seseorang menulis hal buruk menggunakan namaku, Itu akan merusak nama baik ku...",Alfaro Gold Ψ,
142,,"Jika kamu tidak memiliki banyak teman itu bagus, karena hampir sebagian besar manusia itu Buruk, Jangan berteman dengan orang yang buruk!",Alfaro Gold Ψ,
143,,.Semua akan mulai dan berlalu. Hidup terjadi di antara kedua hal tersebut. Pastikan itu perjalanan yang bermakna,Alfaro Gold Ψ,
144,,"Hai namaku ALHAFIZ 1723 oh ya apakah kalian siap untuk update ocean aku sih siap oh ya aku punya jokes pelaut ok dengerin kerak kerak apa yang menghantui pelaut pada zaman dahulu keraken sorry kalau jokes ku garing tapi aku punya kata mutiara tetaplah semangat dalam kehidupan ini karena hidup seperti kita menumpang di bus yang akan sampai pada tujuannya oke hanya itu yang ku sampaikan 
Penuh cinta -ALHAFIZ 1723-",ALHAFIZ 1723,
145,,"Orang baik memberi kebahagiaan
Orang buruk memberi pengalaman 
Orang terburuk memberi pelajaran
Dan orang terbaik memberi kenangan 
Jangan menyalahkan siapapun dalam hidup (^o^)／",alpuukat,
146,,Valentine tahun ini mau ngasi apa yaa?,alpuukat,
147,,Jadilah ingin tau dan berikan kebebasan kepada imajinasimu,alpuukat,
148,,"Kira kira tahun ini ketemu dia ga yaa?
",Annet,
149,,"Halo apa kabar mu hari ini? Jika semuanya baik maka bagus, jika tidak, jangan bersedih karena ada banyak hal di dunia ini yang akan membuatmu lebih bahagia dari hari ini.",Arendona,
150,Penemuan Baru,Ada pancing dong!!  ikannya bisa dipancing ya!!,Arie kondang,
151,,Kenapa ya item yg ad diluar / didrop bakal ilang setelah kita tidur,Auristela,
152,,"Hai semua orang bisa tidur nyenyak banget sama dia itu mah buat yang muslim terbesar iya dong harus bilang Alhamdulilah karena allah swt yang bisa 
",Aurora.piggy.peppa,
153,,"Aku bahagia,semoga mini world bisa menjadi game yang lebih baik,dan keluhannya banyak yang toxic :>,itu sangat mengganggu saya..terimakasih :D",Aya',
154,,"Demi membahagiakan Orang lain kita menjadi sosok yang Acuh kepada orang terdekat kita.

Dan tanpa sadar Orang terdekat kita itu adalah diri kita sendiri.",Azriady,
155,,"Pelaut yang tangguh tidak terlahir di laut yang tenang.

Semakin sulit ujian yang kita hadapi, itu tandanya kita disiapkan untuk menjadi orang besar.",Azriady,
156,,"Halo semua,kalian lebih suka mini world block art atau craeta?",bagas,
157,,"Jika seseorang melemparmu dengan batu, balaslah dengan bunga sekalian dengan potnya.",Bebek Goreng,
158,,Apakah kalian pernah berimajinasi di dalam suatu game?,bimbim,
159,,"Hai Mini World ada Pujian untuk game Mini World Yaitu Terima kasih atas semua update yang membu at saya senang dan terimakasih juga karena telah memberi saya pengalaman game yang menyenangkan dan juga saya telah membuat map, membeli tiket, dan lainnya saya pun juga ingin berpartisi pasi Mini World karena saya punya niat untuk hal Mini World yang menurut saya hal yang berat misalnya ada teman terbaik dia tidak berteman lagi. ada map terkeren di hapus oleh ownernya, nah ada rahasia lain di balik hadiah di balik bahasa.",BLACK-VOID-91,
160,,HEWAN APA YANG PALING KUAT DAN BAIK DI ALAM LIAR!,BLACK-VOID-91,
161,,"HEWAN APA YANG PALING KUAT DAN BERBAHAYA, DI SURVIVAL WORLD",BLACK-VOID-91,
162,,HEWAN APA YANG PALING LUCU! DI MINI WORLD,BLACK-VOID-91,
163,,"(Hmm pengen top up tapi gak ada uang ya udah pake uang tabungan)
 (satu jam kemudian) lah isi tabungan nya cuman 2 ribu mending jajanin minuman aja
 (setelah jajan ke kamar) lah ada uang 15 belas ribu tidakkkkk
",Bocilgabut,
164,,Halooo mini world..! (⁠｡⁠♡⁠‿⁠♡⁠｡⁠) engga sabar banget lohh dengan adanya update baru mini world... pastinya bakal makin lebih asik lagi niihh mini world hihihi (⁠◍>⁠ᴗ<⁠◍⁠) semoga update baru mini world bisa lebih baik lagi yaa ! <3 sukses terus buat mini world... aku harap game satu ini bisa berkembang lebih baik lagi ◉⁠‿⁠◉,Chivey :3,
165,,"ketika player pc maen miniworld ""wow ada senjata bagus""just support to mobile version player pc :(",copypireate,
166,Tips ketemuan Custom,"ok halo kalian pernah gaksih mau nyari item tapi gak ketemu karena typo?
contoh:Haystack jadi haystack mungkin kalian bingung lah apa bedanya bedanya kalian tulis h kecil padahal harusnya besar H cuman gara-gara itu typo kecilpun jadi tidak bisa dicari item yang kita mau",copypireate,
167,,"Hallo saya adalah dokter pirate saya akan menyembuhkan penyakit introvert ini tips nya 
1.punya banyak mini coin 
2.punya banyak minicoin 
3.punya banyak minicoin 
4.punya banyak minicoin
5.jangan ambil duit orang tua buat beli minicoin",copypireate,
168,,Semoga hari kamu sehat dan menyenangkan bagi kalian semua,Danang,
169,,Semoga hari kamu mendapatkan gacha bagus,Danang,
170,,Semoga tahun ini Mini World menjadi lebih baik dan semakin berkembang juga menjadi game sandbox terpopuler ! Ayo bisa yoo :) jadikan Mini World lebih keren dari tahun sebelumnya !!!,Dira_Dhisca,
171,,"Perasaanku padamu seperti bom telur, saat didekatmu hatiku pun meledak :O",Dira_Dhisca,
172,,"Senang bertemu denganmu teman ! Walaupun kita berbeda negara namun kita pernah satu room bersama, akan ku rindukan momen itu :)",Dira_Dhisca,
173,,Apa ada mob yang lebih keren lagi?,Dwi Retno,
174,,Apa ada villager juga di ocean update?,Dwi Retno,
175,,aku ingin bermain mini world,Dz |Danz,
176,,"Gagah,gajah apa yang baik?
",dzaray osgarar wijaya,
177,,"⁠✿Haii semua, nama saya piann
Tapi sering nya dipanggil eko(⁠ ⁠´⁠◡⁠‿⁠ゝ⁠◡⁠`⁠)
Dari dulu aku suka banget main Mini World, karena itu, aku jadi punya banyak teman loh!
Tapi ada 2 orang yang jadi sahabat aku sampe sekarang. Aku seneng banget punya sahabat kayak mereka, susah senang aku sama mereka juga hihihi(⁠~⁠￣⁠³⁠￣⁠)⁠~. Dari awal aku main Mini World sampe sekarang aku masih sama mereka:D. Mereka kadang aneh banget wkwk, tapi itu ga masalah buat aku. Mau gimana pun kalian tetep sahabat akuu♡

Sekian dari pian ehehe
Byee semua(⁠ ⁠◜⁠‿⁠◝⁠ ⁠)",ekooww',
178,,"Hai you my the best
",Emu,
179,,Aku cinta kamu,Erahでなし,
180,Jokes I,"Halo:D ,aku es jeruk sueegerr, akupunya beberapa jokes yang mungkin bisa membuat kalian ketawa 

kenapa kalau bapak bapak naik motor selalu ketawa ? 
Karena kursi motor biasanya disebut jok  XD",Es Jeruk Suegeerrr,
181,Jokes II,"buah buah apa yang gendut ? 
Alpukat XD",Es Jeruk Suegeerrr,
182,Jokes III,"Kenapa orang botak selalu bahagia ?
Karena mereka selalu bercukur (bercukur mirip sama bersyukur)XD",Es Jeruk Suegeerrr,
183,Jokes IV,"kenapa pencuri nembak gak sakit?
 Karena gak kena LOL XD",Es Jeruk Suegeerrr,
184,,Saya Harap Versi Lautan ini Menjadi update Yang terbaik Bagi mini world.,ezraxshh,
185,,Orang bungkuk tidurnya gimana ?,Fahmi,
186,,daripada NT terus mending Night Talk with me(⁠~⁠￣⁠³⁠￣⁠)⁠~,fiola lavenia,
187,,"Dari Awal Kenal Game ini… Jujur aku ngerasa lebih mudah dipahami daripda game survival balok lainnya, selain itu mini world ini bisa Bahasa Indonesia,dan yang lebih aku suka yaitu penjelasan dari setiap kegunaan itemnya yang mudah.gak pernah senyaman ini sama game survival,dulu sering bosan setiap main game survival,tapi di mini world aku main sudah 4 tahunan belum pindah dari game balok ini. Sehari bisa main 15 Jam/Hari. Sebenarnya ada niatan buat jadi creator ,tapi belum siap.
Tengkyu ya miniworld sudah mengisi hariku dari aku jaman smp sampai gadis gini….ini Cuma ungkapan perasaan .Tetap jadi game terbaik ya lopyouuu",fitriyani2003,
188,,"Game Ini Sangat Bagus Dan Aku Suka(◍•ᴗ•◍)
Game Yang Seru Aku Jadi Suka!",GaleDanKhalis,
