ID,名字,描述,获得方式
219,Daun Larch,Dapat digunakan sebagai bahan bakar untuk @item_1200# atau sebagai penutup kepala #c0aba1dsnowman#n.,
220,Daun poplar,Dapat digunakan sebagai bahan bakar untuk @item_1200# atau sebagai penutup kepala #c0aba1dsnowman#n.,
221,Daun Redwood,Dapat digunakan sebagai bahan bakar untuk @item_1200# atau sebagai penutup kepala #c0aba1dsnowman#n.,
222,Daun Phoebe,Dapat digunakan sebagai bahan bakar untuk @item_1200# atau sebagai penutup kepala #c0aba1dsnowman#n.,
223,Daun kenari,Dapat digunakan sebagai bahan bakar untuk @item_1200# atau sebagai penutup kepala #c0aba1dsnowman#n.,
224,Rumput,Berkesempatan untuk mendapatkan @item_11226# setelah #c0aba1ddihancurkan#n.,@Null@
225,Rumput Mati,Mendapatkan @item_225# dengan #c0aba1dalat sekop#n; mendapatkan @item_11226# dengan alat lainnya.,@Null@
226,Tembak tanah,"Tanaman yang tumbuh subur di tempat teduh dan berfungsi sebagai bahan baku masakan. Mengkonsumsinya secara langsung #c0aba1d memulihkan Stamina#n, namun perlu diketahui bahwa ini dapat menyebabkan #c0aba1dmasalah pencernaan#n. Dikabarkan terdapat interaksi menarik dengan #c0aba1dHoras Spore Tree#n di Pulau Horas.",
227,Bahaya,"Tanaman yang tumbuh subur di tempat teduh dan berfungsi sebagai bahan baku masakan. Mengkonsumsinya secara langsung #c0aba1d memulihkan Stamina#n, namun perlu diketahui bahwa ini dapat menyebabkan #c0aba1dmasalah pencernaan#n. Dikabarkan terdapat interaksi menarik dengan #c0aba1dHoras Spore Tree#n di Pulau Horas.",
228,Semacam tumbuhan,#c0aba1dFeed Antlered Deers#n untuk memudahkan mereka masuk ke status #c0aba1dmilkproduction#n,Tumbuh di #c0aba1drainforest#n
229,Jagung,"Dapat dibuat menjadi @item_344#, dan @item_344# merupakan bahan baku dasar memasak. Bisa dipanggang di @item_1200#","Tanam @item_11400# di @item_102#, atau dengan memanen Jagung Liar untuk memperolehnya"
230,Buru Raksasa,,Tanam @item_11401# di @item_102# untuk memperoleh
231,Bibit Buah Biru,"Dengan cahaya matahari dan air, buah akan tumbuh kemudian",
232,Akar Udara,"Akar udara yang tergantung dari batang pohon, sangat kuat dan dapat menahan beban orang. Namun, jangan memanjat terlalu tinggi, hati-hati jatuh!",
233,Tanah Merah,"Legenda mengatakan bahwa ada sebuah pulau di laut, di mana ada banyak tanah merah. Tanah merah yang langka kaya dengan bahan-bahan aneh, tumbuhan yang ditanam di atasnya akan mengalami perubahan ajaib.",@Null@
234,Padi,"Tumbuh di #c0aba1dperairan basin#n. Bisa diproses menjadi @item_12528#, kemudian direbus jadi @item_12529# dalam @item_794#.#rBurung dodo akan berkembang biak jika diberikan padi.","Diperoleh melalui menanam @item_11404# dimana permukaan air yang ketinggiannya satu blok, dan bagian bawahnya adalah @item_101# atau @item_29#."
236,Mentimun,Dapat ditanam di @item_102#.#rYou dapat memberi makan #c0aba1dDwen#n untuk mendapatkan @item_11311#.,Diperoleh secara kebetulan dari menghancurkan Clay Jar atau mengalahkan Boom Egg.
237,Buah Aras Merah,"Buah pada kayu aras merah, bahan baku untuk memasak",
238,Rumput Semak Duri,"Rumput yang berduri, setelah #c0aba1ddihancurkan#n, berkesempatan mendapatkan @item_11226#.",
239,Buah Srikaya,"Terlalu besar, untuk dimakan potong di  @item_800# bisa dimakan",Diperoleh dengan menanam @item_11402# di @item_101#.
240,Biji Buah Srikaya,"Dengan cahaya matahari dan air yang cukup, buah akan bertumbuh kemudian.",
241,Ubi,Bisa ditanam di @item_101#. Bisa dipanggang di @item_1200#,Memiliki peluang untuk diperoleh dengan menghancurkan Clay Jars
242,Batang Kaktus,"Tumbuh di #c0aba1dgurun#n, dapat membuat senjata berduri dengan 和@item_12001#!",Diperolehi dengan menanam @item_11420# di dalam @item_103.
243,Jagung Liar,Berpeluang mendapatkan @item_229# setelah dihancurkan.,"Jagung yang bertumbuh di alam liar, kurang bergizi karena kurangnya perawatan."
244,Pohon Natal,Pohon Natal! Hiasan yang bagus!,Beli dari Pedagang Natal selama Event Natal
245,Rumput Air,"Tanaman yang bertumbuh di #c0aba1ddangkalan laut#n, rantingya yang rumit, mudah untuk menjerat makhluk dan item yang tinggalkan di atasnya. Jadi janggan tinggal terlalu lama di atasnya. Namun, jika cukup beruntung, dapat menemukan harta langka di dalam rumput air.",
246,Rumput Laut,"Tanaman air biasa yang tumbuh di #c0aba1dlaut dangkal#n, berkemungkinan menjatuhkan @item_12615# setelah dihancurkan.",Menanam rune akuisisi lengkap untuk panen rumput laut.
247,Kelopak Mengambang,"berserakan di #c0aba1dpermukaan air#n, bisa diletakkan di permukaan air untuk hiasan.",
248,Papan Mengambang,Letakkan di permukaan air untuk #c0aba1dmenanggung beban#n.,Diperoleh dengan memproses papan kayu di meja tukang.
249,Buah Pohon Pinus,"Buah pohon ponus, dapat dibuat menjadi makanan lezat.",
250,Teratai,"Tumbuh di #c0aba1dpermukaan air#n, boleh diletakkan di permukaan air untuk hiasan",
251,Bambu,"Setelah memberi makan #c0aba1dpanda#n, berpeluang #c0aba1dmenjinakkannya#n. #r#c0aba1dMemberi makan#n panda jinak untuk mendapatkan @item_11312#.","Tumbuh di #c0aba1dhutan bambu#n, juga bisa didapatkan dengan menanam @item_253# di @item_103#."
252,Daun Bambu,"Digunakan sebagai hiasan, berpeluang mendapatkan@item_253# jika dihancurkan.",
253,Rebung,"Tanam di @item_103#, untuk menumbuhkan @item_251#.",Kemungkinan di dapatkan setelah menghancurkan@item_252#.
254,Mahoni,"Dengan#c0aba1d alat kapak#n dapat dengan cepat dipotong#r dapat diproses menjadi @item_11323#, juga dapat digunakan sebagai bahan bakar",
255,Daun persik,Dapat digunakan sebagai bahan bakar untuk @item_1200# atau sebagai bahan baku untuk produksi oksigen.#rFeeding ke Redchisk dapat membuatnya berkembang biak. Ini juga dapat digunakan sebagai penutup kepala #c0aba1dsnowman # n.,
256,Bibit Pohon Persik,Tanam di @item_103# untuk menumbuhkan pohon persik.,Berpeluang mendapatkannya dengan menghancurkan @item_255#.
257,Zhenmu,"Dengan#c0aba1d alat kapak#n dapat dengan cepat dipotong#r dapat diproses menjadi @item_11323#, juga dapat digunakan sebagai bahan bakar",
258,Daun Genwood,Dapat digunakan sebagai bahan bakar untuk @item_1200# atau sebagai penutup kepala #c0aba1dsnowman#n.,
259,Bibit Pohon Langka,Pembibitan pohon langka.,Berpeluang mendapatkannya dengan menghancurkan @item_258#.
260,Kayu Langka Tanpa Daun,Tumbuh di permukaan tandus Horas. Bisa menanam @item_12582# di samping batang pohonnya. #rPerlu dipotong dengan @item_11003# atau kapak yang lebih canggih.,
261,Batang Spora Horas,Menanam rebung dan perilla di sekitarnya akan menyebabkan #c0aba1dMutasi#n.,Tumbuh di #c0aba1dsudut gelap di bawah pulau langit#n di bintang Horas.
262,Lumut,"Pertumbuhan tanaman yang lembab dan kaya akan kelembapan. Ia cenderung membuat tanah licin, dan memecahkannya akan menghasilkan @item_11595##r. Bahkan di tempat teduh yang tidak terjangkau sinar matahari yang hangat, lumut tumbuh subur dan menambah sentuhan vitalitas hijau",
263,Biji Spora Horas,"#c0aba1dMenanam#n di atas batu horas di sudut gelap, spora Horas akan bertumbuh kemudian.",
264,Papan Kayu Kelabu,"Bahan bangunan dasar, banyak digunakan dalam konstruksi kayu.",@Null@
265,Papan Kayu Langka Tanpa Daun,Dapat digunakan untuk dekorasi.,@Null@
266,Rebung Mutasi,"Memulihkan 15 stamina setelah #c0aba1dmakan #n. Dan dapatkan efek khusus #c0aba1dberpendar,fanatik menggali atau kelelahan menggali.",Mutasi disebabkan oleh spora horas yang mendekati rebung.
267,Perilla Mutasi,"Memulihkan 15 stamina setelah #c0aba1dmakan #n. Dan dapatkan efek khusus #c0aba1dberpendar, memulihkan HP atau keracunan.",Mutasi disebabkan oleh spora horas yang mendekati perilla.
268,Batang Tanaman Mutasi,@Null@,Tumbuh di #c0aba1dtempat teduh di bawah pulau langit #n di bintang Horas.
269,Rumput Warna Stabilo,Salah satu bahan untuk membuat Bola Stabilo Kecil dan Bola Stablio Besar.,Tumbuh di #c0aba1datas Pulau Langit#n di Horas
270,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
