ID,名字,描述
37,Waktu Habis,Lari cepat untuk beberapa saat
38,Tunggangan Double,Dapat membawa 2 penumpang. Undang temanmu naik dengan kamu.
39,Jalan Salju,Injak salju dan berjalan di udara. Tidak akan kehilangan HP saat jatuh
40,Tuk Tuk Charge,Dapat menggunakan klakson mobil dan menyalakan lampu depan mobil
41,Panen Melimpah,Dapat melemparkan batangan dan koin ke sekitarnya
42,4 Kereta Orang,Dapat membawa hingga 4 pemain
43,Space Warp,"Dapat mempertahankan waktu penerbangan untuk jarak tertentu, jatuh tidak akan menyebabkan kerusakan jatuh."
44,Pulau Leviathan,Bisa menyelam di air
45,Kekuatan Banteng,Tekan lama lompat untuk mengumpulkan daya. Ini akan memperlambat makhluk di depan saat mendarat.
46,Serangan Banteng,Tekan lama lompat untuk mengumpulkan daya. Itu akan mengusir makhluk di depan dalam jarak pendek saat mendarat.
47,Fluttering Blossom,"Bisa meluncur di udara untuk jarak tertentu, tidak akan kehilangan HP saat terjatuh"
48,Scattering Swan,"Bisa meluncur di udara untuk jarak tertentu, tidak akan kehilangan HP saat terjatuh"
49,Tarian Daun,Mengaktifkan efek daun melayang ketika dipakai
50,Roda Matahari,Pakai untuk mendapatkan tameng  yang dapat menahan 20 damage
51,Sinar Dewa,Dapat dipakai untuk menambahkan damage pemain sebesar 5%
52,Kembang Api Ajaib,"Setelah Charging, terpicu saat mendarat setelah melompat, kembang api akan menembak di sekitar gunung dan musik akan dimainkan"
53,Kembang api mewah,"Setelah Charging, terpicu saat mendarat setelah melompat, kembang api akan menembak di sekitar gunung dan musik akan dimainkan"
54,Charge,Charge kedepan
55,Knockback,Charge kedepan untuk memberikan knockback pada mahluk di depanmu
56,Hover,"Saat menggunakan mount, karakter akan melayang dari tanah dan efek suara putaran baling-baling akan diputar secara otomatis pada saat yang bersamaan."
57,Meluncur Rendah,"Meluncur di ketinggian rendah untuk jarak pendek, menahan tombol Lompat saat jatuh akan mencegah kerusakan pada diri sendiri"
58,Meluncur Tinggi,"Meluncur di ketinggian rendah untuk jarak yang lebih jauh, menahan tombol Lompat saat jatuh akan mencegah kerusakan pada diri sendiri"
59,Lights and Feathers,Panggil 3 angsa hantu kecil untuk berenang di sekitar gunung setelah digunakan
60,Danau Angsa,Bisa menyelam ke dalam air untuk berenang
61,Morning Flight,"Dapat terbang untuk jarak tertentu di udara, dan tidak akan menguras kesehatan selama musim gugur"
62,Gelombang Cahaya Super,"Saat bergerak, secara otomatis akan memancarkan gelombang cahaya dingin cool"
63,Sinar Penghancur,"Saat bergerak, itu akan secara otomatis memancarkan gelombang cahaya merah keemasan yang keren"
64,Gelombang Cahaya Ilahi,"Saat bergerak, secara otomatis akan memancarkan gelombang cahaya dingin cool"
65,Sinar pemurnian,"Saat bergerak, itu akan secara otomatis memancarkan gelombang cahaya perak-ungu yang keren"
66,Melampaui awan,"Dapat mengapung di udara untuk jarak pendek, dan tidak akan habis selama musim gugur"
67,Breakthrough,"Dapat terbang untuk jarak tertentu di udara, dan tidak akan habis selama musim gugur"
68,Lompatan Dimensi,Will muncul 15 blok jauhnya ke arah yang runcing setelah menggunakan skill
69,Angin puyuh,"Setelah digunakan, tornado kecil akan mengikuti di belakang mobil"
70,Gelembung Ajaib,Banyak gelembung akan muncul di seluruh tubuh.
71,Sayap Zephyr,"Dapat terbang untuk jarak tertentu di udara, dan tidak akan habis selama musim gugur"
72,Magic Gush,Aliran air biru akan muncul di sekitar Anda.
73,Air Mata Ajaib,Sebuah perisai energi dapat dibentuk.
74,Cahaya Merah,Cahaya merah yang berputar di sekitar Anda.
75,Balok Emas,Kacang emas yang berputar di sekitar Anda.
76,Cahaya Biru,Cahaya biru yang berputar di sekitar Anda.
77,Kelopak yang jatuh,Kelopak kecil jatuh di sekitar Anda
78,Kupu-kupu Berkibar,Kupu-kupu dan bunga bermekaran di sekitarmu
79,Kelopak terbang,Kelopak dan bunga merah muda terbang di sekitar Anda
80,Berlayar,Ketuk tombol Lompat untuk mempercepat 20% selama 10 detik.
81,Beginner summon,Ketuk tombol Lompat untuk memanggil 1 jin kecil yang mengikuti Anda.
82,Intermediate summon,Klik tombol lompat dan jin bintang akan muncul untuk mengikuti.
83,Advance summon,Klik tombol lompat dan jin mutiara akan muncul mengikuti.
84,Dewa tersembunyi,"Setelah mengklik tombol lompat, klik tombol lompat lagi di udara untuk memasuki keadaan tak terlihat."
85,Spirited Away,Roda gigi emas akan muncul di sekitar tubuh.
86,Purple Lightning,Petir ungu akan muncul di sekitar tubuh.
87,Windfury,Tekan lama tombol lompat untuk mengumpulkan energi untuk memanggil tornado untuk menerbangkan siapa pun di depan Anda.
88,Spiral Flight,"Setelah mengklik tombol lompat, klik tombol lompat lagi di udara untuk melayang di langit."
89,Gelombang suara,Efek sinar laser mengelilingi tubuh.
90,Suara elektronik,Petir berwarna-warni mengelilingi tubuh.
91,Ayunan irama,Tekan lama tombol lompat untuk meningkatkan kesehatan diri sendiri dan rekan satu tim dalam rentang tertentu.
92,Superstar tiba,Tekan lama tombol lompat untuk meningkatkan kesehatan sekutu dalam jarak tertentu dan mengurangi kesehatan monster dalam jangkauan.
93,Bunga Berkibar,Ada kelopak yang beterbangan di sekujur tubuh.
94,Awan Mengambang,Tekan lama tombol lompat untuk terbang pada jarak tertentu di udara.
95,Linglong,Anda bisa berjalan di atas air.
96,Angin sepoi-sepoi,Ada kelopak yang beterbangan di sekujur tubuh.
97,Kipas menari,Ada kelopak yang beterbangan di sekujur tubuh.
98,Bergoyang,Tekan lama tombol lompat untuk terbang pada jarak tertentu di udara.
99,ekstasi,"Klik tombol use untuk mengaktifkan phantom magic circle, dan monster yang ada di dalam lingkaran magic akan terkena stun."
100,Fortune Befall,Klik untuk menggunakan kunci untuk menjatuhkan tulang daging ke udara.
101,Blue Flame,Menembakkan api biru dari belakang.
102,Dragon Flame,Api oranye mengelilingi tubuh.
103,Kaisar Meriam,"Menembakkan meriam energi. Setelah terkena, kerusakan akan diambil."
104,Dragon Soar,Terbang ke langit. Melayang bebas di udara.
105,Auspicious,Bintik-bintik emas dan batangan kecil mengelilingi tubuh.
106,Auspicious Tiger,Lampu jatuh dan koin dengan awan dan kabut mengelilingi tubuh.
107,Lompatan Harimau,Lompat ke depan untuk menyerang dengan damage.
108,raungan gunung,Menderu untuk memukul dengan damage dalam jarak tertentu.
109,Meteor,Bintang biru kemerah-merahan mengelilingi tubuh
110,Bunga kuning,Bunga putih dan fluoresensi kuning mengelilingi tubuh
111,hati merah muda,Hati merah muda dan fluoresensi biru mengelilingi tubuh
112,Bulu Terbang,Tekan lama tombol lompat untuk terbang pada jarak tertentu di udara.
113,Karunia,Kesehatan meningkat saat menerima kerusakan fatal
114,Angin,Daun bambu dan awan mengelilingi tubuh
115,Bayangan,Bayangan gunung dan sungai mengelilingi tubuh
116,Gratis,Meningkatkan kecepatan gerakan saat menerima kerusakan
117,panorama,Klik tombol gunakan untuk memberikan kerusakan pada monster di depan Anda
118,Bayangan bintang,Dikelilingi oleh titik cahaya yang bersinar.
119,Cahaya ilahi,Dikelilingi oleh cahaya yang berubah.
120,Impian ilahi,Tekan lama [lompat] untuk melepaskan sihir dan dapatkan Buff secara acak.
121,Kekuatan Kaisar,Memunculkan api di belakang pedang
122,Kekuatan Suci,Memunculkan api yang mengaliri seluruh tubuh
123,Pedang Terbang,Tekan tombol lompat untuk terbang pada jarak tertentu di udara.
124,Pedang Terbang Ganda,Naik Pedang untuk terbang bersama temanmu dan mempercepat kecepatan.
125,Mandi Gelembung,Memunculkan gelembung-gelembing diseluruh tubuh
126,Mandi Gelembung Nada,Gelembung dan nada mengambang di sekitar tubuh.
127,Tidur Berjalan,Dapat mengapung di atas air.
128,Gelembung Terapung,Tekan lama tombol lompat untuk membuat monster di sekitar Anda melayang di udara terbungkus gelembung.
129,Sok Imut,Memunculkan lambang cinta mengambang .
130,Fantasi,Memunculkan bunga merah di sekitar tubuh.
131,Ringan,Tekan tombol lompat dua kali untuk melakukan double jump.
132,Seribu Lamunan,Tekan lama tombol lompat untuk membuat monster terdekat saling menyerang satu sama lain.
133,Berkeliling,Jejak kaki kucing tersebar di sekujur tubuh.
134,Pasir Terbang,Butiran pasir mengambang di sekitar
135,Jejak Pasir,Dapat mengurangi kerusakan badai pasir saat berkendara
136,Bulu,Bulu-bulu putih berterbangan di sekujur tubuh.
137,Bulu Hijau,Bulu hijau melayang di sekitar tubuh.
138,Berkilauan,Bulu berkilau melayang di sekitar tubuh.
139,Pengembara,Tekan tombol lompat untuk terbang jauh di udara.
140,Roh Merak,"Setelah berkendara, kecerahan penglihatan akan meningkat, dan kamu dapat melihat lingkungan sekitar dengan jelas dalam gelap."
141,Pasir apung,Pasir Emas mengelilingi Tubuh
142,Ling Xi,Bunga emas yang tersebar di sekujur tubuh
143,Bulan Terapung,Dapat mengapun di atas air
144,Cake,Tekan tombol lompat untuk menghasilkan jenis makanan secara acak.
145,Lupakan kesedihanmu,Dikelilingi oleh anggrek merah muda dan bintik-bintik cahaya
146,Lupakan kekhawatiranmu,"Dikelilingi oleh bunga lily merah muda, titik-titik cahaya dan kupu-kupu"
147,Lonceng Angin,Tekan tombol lompat untuk terbang jauh di udara.
148,Keharuman,Memiliki kecepatan gerakan super cepat
149,Meluncur,Daun maple mengambang di sekitar dan cahaya bergerak dengan angin.
150,Power up,Tekan tombol lompat untuk berlari ke depan
151,Pilot,"Klik dua kali tombol lompat untuk terbang dengan ketinggian rendah, tetapi Anda tidak dapat terbang di permukaan air dan magma.Klik dua kali tombol lompat lagi untuk mendarat."
152,Serangan Balik,Saat diserang berulang kali akan mengembalikan damage serangan lawan ke lawan.
153,cahaya lilin,Di sekitar tubuh menyebar bintik-bintik cahaya.
154,Melompat,Tekan dan tahan tombol lompat untuk mengisi daya dan melompat lebih tinggi.
155,Serangan Kelinci,Mengklik tombol lompat di udara dapat dengan cepat jatuh ke tanah untuk menghancurkan blok di tanah.
156,Kelembutan,Tubuh dikelilingi oleh cahaya bintang dan kelopak.
157,Meluap Mawar,"Seluruh tubuh dikelilingi oleh cahaya bintang, kelopak, dan pita merah muda."
158,Perjalanan Ilusi,Tekan lama tombol lompat untuk terbang pada jarak tertentu di udara.
159,Ruang Impian,Klik tombol gunakan di dua posisi untuk mengatur larik transmisi dua arah.
160,Saju Terbang,Seluruh tubuh dikelilingi oleh cahaya biru dan kepingan salju kecil.
161,Daerah Beku,Mengurangi kecepatan monster di sekitar area.
162,Absolute Frozen,Menahan tombol lompat dapat membekukan monster terdekat.
163,Energi Super,Lingkaran cahaya melayang di sekitar tubuh
164,Keinginan,Dikelilingi oleh bintang-bintang kecil.
165,Kejutan.,Tekan lama tombol lompat untuk teleport ke depan dalam jarak tertentu.
166,Berboncengan.,Kamu dapat duduk bersana dengan temanmu.
167,Grunt,Dikelilingi oleh berbagai titik cahaya Monster Grunt.
168,Energi Ajaib,Tekan lama tombol melompat untuk melahirkan satu telur makhluk secara acak.
169,Mengipas,"Klik dua kali tombol melompat untuk terbang di ketinggian rendah, tetapi tidak dapat terbang di atas air atau lahar. Klik dua kali lagi untuk mendarat."
170,Bacang Harum,Dikelilingi oleh bacang kecil.
171,Berlayar,Dapat mengapung di air.
172,Memancing,Tekan lama tombol melompat di atas air untuk melempar Bacang dan memancing satu makhluk laut.
173,Awan asap,Awan berkabut
174,Pemandangan pegunungan,Memanggil tunggangan untuk menggali lebih cepat
175,Kelopak Air-Bulan,"Tahan loncatan untuk panggilan makhluk, serang monster."
176,Mimpi Manis,"Permen, partikel, hati di sekitarmu"
177,Fantasi,"HP berkurang, ATK pemain meningkat."
178,Pesta Boneka,Tahan [Lompat] untuk Beruang Bahagia dan suhu.
179,,
180,,
181,ritme,Dikelilingi dengan mengalahkan not musik.
182,Suara Bulan,Ada nada musik ungu dan emas yang berdetak di seluruh tubuh disertai dengan bintang dan bulan.
183,musik,Mengklik dua kali tombol lompat dapat mempercepat dan memulihkan poin kesehatan untuk sementara waktu.
184,Kesenangan Vault Bintang,Menekan lama tombol lompat dapat membuat monster di dekatnya tercengang.
185,Biye,Dikelilingi oleh daun-daun hijau.
186,Suaka Hijau,Dikelilingi oleh energi hijau dan bunga dan daun hijau.
187,Berkat Hutan,Mengklik dua kali tombol lompat dapat memulihkan poin kesehatan untuk jangka waktu tertentu.
188,resonansi alami,Menekan lama tombol lompat dapat memberikan kerusakan pada monster terdekat.
189,Cahaya Ajaib,Bersinar di seluruh tubuh.
190,Penari Sutra Laut,Bersinar dengan cahaya kehidupan laut.
191,Rintangan Karang,Loncat dua kali untuk perisai kerusakan
192,Amarah Pasang Surut,"Tahan lama untuk melompat dan menyiram, mengusir monster"
193,Lentera koi.,Membawa cahaya yang terang di seluruh tubuh.
194,Tarian Ikan Lampu Meliuk-Liuk.,Seluruh tubuh bersinar dengan ikan koi kecil dan titik cahaya.
195,Layar Jin Fu.,"Klik dua kali tombol loncat untuk mendapatkan perisai, yang bisa menahan beberapa kerusakan."
196,Tarian Kebahagiaan Koi.,"Menahan tombol loncatan dapat melepaskan kekuatan ikan koi, memulihkan sebagian nilai kehidupan."
197,Surreal,Tubuh bersinar dengan titik cahaya.
198,Impian anak-anak yang berputar-putar.,Mengelilingi tubuhnya adalah kuda kecil dongeng yang menari-nari anggun.
199,Berjalan di bawah cahaya bintang.,Tombol ganda loncat dapat memberikan efek percepatan sementara.
200,Getaran melodi.,"Tahan tombol lompatan untuk mengeluarkan melodi dongeng, membuat monster di sekitar menjadi pingsan sesaat."
201,Naik kuda melambung tinggi.,Terkibar debu di sekitarnya.
202,Serangan permen.,Melempar permen ke segala arah.
203,Bayangan yang tidak nyata.,Menyebar di sekitarnya adalah bayangan wajan datar.
