ID,名字,描述,追踪
1118,焼きドードー鳥肉！(III),#L#cfa7a0f焼きドードー鳥肉を1000個作る#n@1,#cfa7a0f焼きドードー鳥肉を作る
1119,焼きツノジカ肉！(I),#L#cfa7a0f焼きツノジカ肉を50個作る#n@1,#cfa7a0f焼きツノジカ肉を作る
1120,焼きツノジカ肉！(II),#L#cfa7a0f焼きツノジカ肉を200個作る#n@1,#cfa7a0f焼きツノジカ肉を作る
1121,焼きツノジカ肉！(III),#L#cfa7a0f焼きツノジカ肉を1000個作る#n@1,#cfa7a0f焼きツノジカ肉を作る
1122,コットン (I),50個コットン#L#cfa7a0fをつくります#n@1,コットン#cfa7a0fをつくります
1123,コットン (II),200個コットン#L#cfa7a0fをつくります#n@1,コットン#cfa7a0fをつくります
1124,コットン (III)),1000個コットン#L#cfa7a0fをつくります#n@1,コットン#cfa7a0fをつくります
1125,岩石粉砕機(I),#L#cfa7a0f岩石の採掘（100個）#n@1,#cfa7a0f岩石を採掘する
1126,岩石粉砕機(II),#L#cfa7a0f岩石の採掘（1000個）#n@1,#cfa7a0f岩石を採掘する
1127,岩石粉砕機(III),#L#cfa7a0f岩石の採掘（5000個）#n@1,#cfa7a0f岩石を採掘する
1128,暗いのは嫌(I),#L#cfa7a0f小さな燃え盛る松明を50個作る#n@1,#cfa7a0f小さな燃え盛る松明を作る
1129,暗いのは嫌(II),#L#cfa7a0f小さな燃え盛る松明を200個作る#n@1,#cfa7a0f小さな燃え盛る松明を作る
1130,暗いのは嫌(III),#L#cfa7a0f小さな燃え盛る松明を500個作る#n@1,#cfa7a0f小さな燃え盛る松明を作る
1131,復活再開(I),失敗1回@1,#cfa7a0f失败
1132,復活再開(II),失败100回@1,#cfa7a0f失败
1133,復活再開(III),失败500回@1,#cfa7a0f失败
1134,海のグルメ(I),#L#cfa7a0f焼きボケボケ魚を1個作る#n,#cfa7a0f焼きボケボケ魚を作る
1135,海のグルメ(II),#L#cfa7a0f焼きボケボケ魚を10個作る#n,#cfa7a0f焼きボケボケ魚を作る
1136,海のグルメ(III),#L#cfa7a0f焼きボケボケ魚を100個作る#n,#cfa7a0f焼きボケボケ魚を作る
1137,@Null@,@Null@,@Null@
1138,ロケットを作る,@Null@,#cfa7a0fロケット#nを作る
1139,@Null@,@Null@,@Null@
1140,@Null@,@Null@,@Null@
1141,@Null@,@Null@,@Null@
1142,@Null@,@Null@,@Null@
1143,@Null@,@Null@,@Null@
1144,酸素発明家,パール、サンゴ礁、銅と木の材料を使って、#L#cfa7a0f酸素リファイン装置#nを作る。@1,#cfa7a0f酸素リファイン装置#nを合成する
1145,準備万全,ガラスと銅を使って、#L#cfa7a0f圧縮ガスタンク#nを作る。@1,#cfa7a0f圧縮ガスタンク#nを合成する
1146,宇宙の楽しさ,圧縮ガスタンクと星銅石を使って、#L#cfa7a0f酸素かばん#nを作る。@1,#cfa7a0f酸素かばん#nを合成する
1147,宇宙の土,萌目プラネット石ブロック、萌目プラネット草ブロック、ペットボトルの水と動物の肥料を使って、#L#cfa7a0f培地#nを作る。@1,#cfa7a0f培地#nを合成する
1148,宇宙冒険家,前置任務を達成したら自動的にこの任務を達成する,宇宙はもっと大きな冒険の舞台だ！
1149,萌目ロッキーに勝つ,萌目ロッキー200体を倒す@1,#cfa7a0f萌目ロッキー#nを倒す
1150,萌目フロスティに勝つ,萌目フロスティ200体を倒す@1,#cfa7a0f萌目フロスティ#nを倒す
1151,萌目ブリーに勝つ,萌目ブリー200体を倒す@1,#cfa7a0f萌目ブリー#nを倒す
1152,萌目シュウちゃんに勝つ,萌目シュウちゃん200体を倒す@1,#cfa7a0f萌目シュウちゃん#nを倒す
1153,惑星大戦！,前置任務を達成したら自動的にこの任務を達成する,完成#cfa7a0f萌目プラネットの生物を倒す任務
1154,萌目プラネット生存(I),萌目プラネットで7日間生存する@1,#cfa7a0f萌目プラネット#nで生存する
1155,萌目プラネット生存(II),萌目プラネットで60日間生存する@1,#cfa7a0f萌目プラネット#nで生存する
1156,萌目プラネット生存(III),萌目プラネットで365日間生存する@1,#cfa7a0f萌目プラネット#nで生存する
1157,酸素果実(I),#L#cfa7a0f酸素果実#n10個を食べる@1,#cfa7a0f酸素果実#nを食べる
1158,酸素果実(II),#L#cfa7a0f酸素果実#n100個を食べる@1,#cfa7a0f酸素果実#nを食べる
1159,酸素果実(III),#L#cfa7a0f酸素果実#n500個を食べる@1,#cfa7a0f酸素果実#nを食べる
1160,トーテムを活性化させる(I),#L#cfa7a0fトーテム#n5個を活性化する@1,#cfa7a0fトーテム#nを活性化する
1161,トーテムを活性化させる(II),#L#cfa7a0fトーテム#n50個を活性化する@1,#cfa7a0fトーテム#nを活性化する
1162,トーテムを活性化させる(III),#L#cfa7a0fトーテム#n300個を活性化する@1,#cfa7a0fトーテム#nを活性化する
1163,トーテムを明るくする(I),#L#cfa7a0fトーテム#n5個を明るくする@1,#cfa7a0fトーテム#nを明るくする
1164,トーテムを明るくする(II),#L#cfa7a0fトーテム#n50個を明るくする@1,#cfa7a0fトーテム#nを明るくする
1165,トーテムを明るくする(III),#L#cfa7a0fトーテム#n300個を明るくする@1,#cfa7a0fトーテム#nを明るくする
1166,星銅鉱石(I),#L#cfa7a0f星銅鉱石の採掘（10個）#n@1,#cfa7a0f星銅鉱石を採掘する
1167,星銅鉱石(II),#L#cfa7a0f星銅鉱石の採掘（100個）#n@1,#cfa7a0f星銅鉱石を採掘する
1168,星銅鉱石(III),#L#cfa7a0f星銅鉱石の採掘（500個）#n@1,#cfa7a0f星銅鉱石を採掘する
1169,紫蛍鉱石(I),#L#cfa7a0f紫蛍鉱石の採掘（10個）#n@1,#cfa7a0f紫蛍鉱石を採掘する
1170,紫蛍鉱石(II),#L#cfa7a0f紫蛍鉱石の採掘（100個）#n@1,#cfa7a0f紫蛍鉱石を採掘する
1171,紫蛍鉱石(III),#L#cfa7a0f紫蛍鉱石の採掘（500個）#n@1,#cfa7a0f紫蛍鉱石を採掘する
1172,@Null@,@Null@,@Null@
1173,@Null@,@Null@,@Null@
1174,@Null@,@Null@,@Null@
1175,@Null@,@Null@,@Null@
1176,@Null@,@Null@,@Null@
1177,@Null@,@Null@,@Null@
1178,@Null@,@Null@,@Null@
1179,@Null@,@Null@,@Null@
1180,@Null@,@Null@,@Null@
1181,@Null@,@Null@,@Null@
1182,@Null@,@Null@,@Null@
1183,@Null@,@Null@,@Null@
1184,@Null@,@Null@,@Null@
1185,@Null@,@Null@,@Null@
1186,@Null@,@Null@,@Null@
1187,@Null@,@Null@,@Null@
1188,@Null@,@Null@,@Null@
1189,@Null@,@Null@,@Null@
1190,@Null@,@Null@,@Null@
1191,@Null@,@Null@,@Null@
1192,@Null@,@Null@,@Null@
1193,@Null@,@Null@,@Null@
1194,@Null@,@Null@,@Null@
1195,@Null@,@Null@,@Null@
1196,@Null@,@Null@,@Null@
1197,@Null@,@Null@,@Null@
1198,@Null@,@Null@,@Null@
1199,@Null@,@Null@,@Null@
1200,@Null@,@Null@,@Null@
1201,足場を固める,サバイバルモードに7日間生存する@1,#cfa7a0f日間生存する
1202,グッドライフ,サバイバルモードに60日間生存する@1,#cfa7a0f日間生存する
1203,サバイバルマスター,サバイバルモードに365日間生存する@1,#cfa7a0f日間生存する
1204,野蛮人！,野蛮人50個を倒す@1,#cfa7a0f野蛮人#nを倒す
1205,野蛮人ベビー！,野蛮人ベビー20個を倒す@1,#cfa7a0f野蛮人ベビー#nを倒す
1206,虚空使徒！,虚空使徒を50体倒す@1,#cfa7a0f虚空使徒を倒す
1207,貿易,行商人と取引する20回@1,#cfa7a0f行商人と取引する
1208,砂漠貿易,砂漠商人と取引する50回@1,#cfa7a0f砂漠商人と取引する
1209,氷原貿易,氷原商人と取引する200回@1,#cfa7a0f氷原商人と取引する
1210,ばくばくエッグ！,ばくばくエッグ30個を倒す@1,#cfa7a0fばくばくエッグを倒す
1211,硫黄射手！,硫黄射手100個を倒す@1,#cfa7a0f硫黄射手を倒す
1212,ドラゴンスレイヤー！,太古のブラックドラゴンを倒す@1,#cfa7a0f太古のブラックドラゴン#nを倒す
1213,スターエナジー材料,#L#cfa7a0fスターエナジー鉱石の採掘（100個）#n@1,#cfa7a0fスターエナジー鉱石を採掘する
1214,武器蓄積,#L#cfa7a0fミスリル#nの製錬（500部）@1,#cfa7a0fミスリル#nを製錬する
1215,永遠の輝き,#L#cfa7a0fタングステン鉱石の採掘（20個）#n@1,#cfa7a0fタングステン鉱石を採掘する
1216,焼きドードー鳥肉宴会,#L#cfa7a0fローストドードー鳥ファミリーバケットを100個作る#n@1,#cfa7a0fローストドードー鳥ファミリーバケットを作る
1217,面キング,#L#cfa7a0f焼肉メンを50個作る#n@1,#cfa7a0f焼肉メンを作る
1218,金でも食える？,#L#cfa7a0f芳醇食品を50個作る#n@1,#cfa7a0f芳醇食品を作る
1219,@Null@,@Null@,@Null@
1220,@Null@,@Null@,@Null@
1221,石材料がほしい,#cfa7a0f石材料を収集#nあるいは#cfa7a0f岩石を加工#nすると#L#cfa7a0f石材料#n@1を獲得する#r(石材料を収集、バックパックの加工ページで岩石を解体),#cfa7a0f石材料を地面に収集
1222,もっと材料,木の伐採、#L#cfa7a0f細い木の枝#nを獲得@1#r（木の枝を長押しして集める）,木の枝から#cfa7a0f細い木の枝#nを獲得
1223,石器時代の始まり！,石と木の枝を使って#L#cfa7a0f石のツルハシを作る#n@1#r（バックパックを開けて、左側のラベルを選んで作る）,作る#cfa7a0f石のツルハシ
1224,原始兵器,木を使って#L#cfa7a0f棒を作る#n@1#r（夜は危険。身を守るために武器を使わなければならない）,作る#cfa7a0f棒
1225,ハンター,夜に出没する野人を倒す#r（ああ？ハンターになりたいですか？）,倒す#cfa7a0f野人
1226,素晴らしい生活を始める～,石と枝を使って#L#cfa7a0f石のオノを作る#n@1#r（最初に家を作るのに使用できますか？）,バックパックを開いて＃cfa7a0f石のオノを作る
1227,木材伐採工,石のオノを使って木を見つけて破壊してください！#L#cfa7a0f木材を収集する。 #n@1#r（富の源）,#cfa7a0f木材を集める
1228,焚き火パーティー,岩石や木材を使って#L#cfa7a0f焚き火#nを作る@1#r(夜間は明るさと暖かさで安心感を与える）,#cfa7a0f焚き火を作る
1229,焼肉、美味しい！,焚き火に生アルパカ肉を置いて焼く。#L#cfa7a0f調理したアルパカ肉#nを獲得@1#r（食べた後は力に満ちている！）,#cfa7a0f調理したアルパカ肉
1230,草を刈る,地面に草を集めて、#L#cfa7a0f一握りの雑草#nを手に入れる@1#r（物を結ぶために使用される）,集める#cfa7a0f一握りの雑草
1231,暗闇の中での光！,枝と一握りの雑草を使って#L#cfa7a0f小さな燃え盛る松明を作る#n@1#r(短時間しか焼けない),作る#cfa7a0f小さな燃え盛る松明
1232,采石工,石鎬を使って地下に石を掘りて、#L#cfa7a0f岩石#nを獲得する。@1#r（ほとんどのものは石を使う必要があるようだ）,地下に集める#cfa7a0f岩石
1233,職人,木材と石ブロックを使って、#L#cfa7a0f不完全な職人台 #n@1を作る#r（すごい～、もっとアイテムが作れそう）,作る#cfa7a0f不完全な職人台
1234,製錬所メーカー,一握りの雑草と土のブロックを使用して#L#cfa7a0f製錬所を作る@1#r,職人台で作る#cfa7a0f製錬所
1235,シェフになるための第一歩,石を使って#L#cfa7a0f石鍋#n@1を作る#r（美味しい食べ物を作れる）,職人台で作る#cfa7a0f石鍋
1236,途上の糧,トウモロコシ粉を使って石鍋で#L#cfa7a0fメンを作る#n@1#r（やっぱり、満腹の場合にのみ一生懸命働くことができる！）,石鍋で作る#cfa7a0fメン
1237,青銅器時代の始まり！,石鎬を使って、地下の#L#cfa7a0f銅合金鉱を集める#n@1#r（地下の深くに掘ったものを見てください！）,集める#cfa7a0f銅合金鉱
1238,新能源？,石鎬を使って、地下に#L#cfa7a0fメタンハイドレートを集める#n@1#r（表面や崖にある場合もあるよ）,集める#cfa7a0fメタンハイドレート
1239,金属精錬：銅,銅合金鉱石を製錬所で焼成して、#L#cfa7a0f銅を精製すること#n@1#r(もっといい道具があるはず),精錬して得る#cfa7a0f銅
1240,銅の製錬所メーカー,銅のインゴットを使って#L#cfa7a0f銅の製錬所#n@1#rを作る,作る#cfa7a0f銅の製錬所
1241,石のレーキ,石と枝を使って#L#cfa7a0f石のレーキ#nを作る@1#r（それを使えば、土地を耕すことができる）,作る#cfa7a0f石のレーキ
1242,食糧キング,トウモロコシの種子を使って、畑にを播種する#r（畑にのみ植えることができる）,植える#cfa7a0fトウモロコシの種子
1243,@Null@,@Null@,@Null@
1244,@Null@,@Null@,@Null@
1245,@Null@,@Null@,@Null@
1246,@Null@,@Null@,@Null@
1247,金属精錬：ミスリル,ミスリル鉱石を製錬所に入れて中温で焼成・精製し、#L#cfa7a0fミスリル#n@1を得る,精錬して得る#cfa7a0fミスリル
1248,ミスリルの製錬所メーカー,鋳鉄インゴットを使って#L#cfa7a0fミスリルの製錬所#n@1を作る,職人台で作る#cfa7a0fミスリルの製錬所
1249,ルーンツール！,ルーンテーブルでルーンストーンをアクティベートする#r（効率的なルーンストーンにはツールをはめ込むことができ、攻撃ルーンストーンには武器をはめ込むことができ、防御的なルーンストーンには鎧をはめ込むことができる）,アクティベートする#cfa7a0fルーンストーン
1250,金属精錬：チタン,チタン合金鉱石をミスリルの製錬所で焼いて精錬し、#L#cfa7a0f チタン合金#n@1を得る,精錬して得る#cfa7a0fチタン合金
1251,技術時代の始まり！,チタン合金と枝を使用して、#L#cfa7a0fチタンのツルハシを作る#n@1#r（マイニング時間、スタート！）,作る#cfa7a0fチタンのツルハシ
1252,異なった材料,スカイアイランドでスマートチップを探してください#r（出発して、遠くを探検してください！）,得る#cfa7a0fスマートチップ
1253,スターステーションをアップグレードする,スターステーションアップグレードパーツを使用して、スターステーションテレポーターをアップグレードする#r（アップグレード後にのみ、より遠いプラネットに移動できる）,アップグレード#cfa7a0fスターステーションテレポーター
1254,新大陸-炎プラネット,炎プラネット#rを訪れる（火傷を防ぐために耐火服を持参することをお勧めします）,行く#cfa7a0f炎プラネット
1255,@Null@,@Null@,@Null@
1256,@Null@,@Null@,@Null@
1257,炎プラネットの鍵,ドラゴンの穴から#L#cfa7a0f激しい炎の剣#n@1#rを入手します（これは火山の祭壇をアクティブにするための3つのキーの1つです）,得る#cfa7a0f激しい炎の剣
1258,新大陸-萌目プラネット,萌目プラネットを訪れる#r（ここは空気が薄いので、酸素マスクをつけてください！）,行く#cfa7a0f萌目プラネット
1259,萌目プラネット首長,#L#cfa7a0f青いクリスタル#nを使ってトーテムを活性化@1#r(近くの密室にサプライズがあります！),アクティブ#cfa7a0fトーテム
1260,星銅ドリルビット,星銅石、スターエナジー鉱石、木材と萌目プラネット石ブロックを収集して、作製#L#cfa7a0f星銅ドリルビット#n@1#r(高原と空島に星銅の魅力的な輝きがあると聞きました),作る#cfa7a0f星銅ドリルビット
1261,噴射フック,スターエナジー鉱石、星銅石、紫蛍石と重力の結晶を収集して作製#L#cfa7a0f噴射フック#n@1#r(軒先走壁を作ることができます),作る#cfa7a0f噴射フック
1262,太古巨人の召喚者,萌目プラネットの太古巨人を召喚して倒した@1#r(タングステンブロック/琥珀色のブロック/星銅石のブロック/紫蛍石のブロックが必要でトーテムコアのそばに4マス置いて召喚),倒す#cfa7a0f太古巨人
1263,萌目プラネッのの鍵,太古の巨人を破って#L#cfa7a0f巨人の目#n@1#rを獲得しました(火山祭壇を活性化する三つの鍵の一つです),得る#cfa7a0f巨人の目
1264,聖木の作成者,穴を掘って植えなさい！植えて！@1#r(聖木の先端で3つの鍵の1つを得ることができる),植える#cfa7a0f聖木
1265,聖なる果実,聖なる木の幹の先端の聖なる木のコアを採集して#L#cfa7a0f聖なる果実#n@1#rを得る(これは火山祭壇を活性化する三鍵の一つである),取る#cfa7a0f神聖なる果実
1266,地獄の門,ミラプラネット、萌目プラネット、炎プラネットの3つの鍵を集め、火山エリアで祭壇を活性化する@1#r(ボイドファントムの居場所の入口に入る),アクティブ#cfa7a0f火山の祭壇
1267,救世主！,虚空幻影を破る@1,倒す#cfa7a0fボイドファントム
1268,サツマイモ,畑にサツマイモの種を播種して#L#cfa7a0fサツマイモ#nを得る@1,植える#cfa7a0fサツマイモ
1269,マッシュサツマイモを作る,サツマイモを用いて石鍋で作ると、#L#cfa7a0fマッシュサツマイモ#nが得られる@1,作る#cfa7a0fマッシュサツマイモ
1270,フライドサツマイモ！,マッシュサツマイモ、ドラゴンズブラッドフラワーと紙を用いて石鍋で調理すると、#L#cfa7a0fフライドサツマイモ#nが得られる@1,作る#cfa7a0fフライドサツマイモ
1271,生サイ肉を得る,サイを1頭破って#L#cfa7a0f生サイ肉#nを得ることができます@1,得る#cfa7a0f生サイ肉
1272,生サイ肉,生サイ肉を使ってたき火にのせて焼くと#L#cfa7a0f焼きサイ肉#nが得られます@1,焼く#cfa7a0f焼きサイ肉
1273,焼肉メン,メン、スターフラワー、焼きサイ肉を使って#L#cfa7a0f焼肉メン#n@1,作る#cfa7a0f焼肉メン
1274,プロテイン,ドードー鳥の給餌#L#cfa7a0fドードー鳥の卵#n@1を収穫します,拾う#cfa7a0fドードー鳥の卵
1275,巨大ブルフルーツ餅,ボトル入り糖液や巨大ブルフルーツなどを使って#L#cfa7a0f巨大ブルフルーツ餅#nを作る@1,作る#cfa7a0fスパイスメロンスティック
1276,ハッピーホリデイ～,ボトル入りミルク、サツマイモ、生ドードー鳥肉とトウモロコシ粉を使って#L#cfa7a0fピザ#nを作る@1,作る#cfa7a0fピザ
1277,サクランボ,木で#L#cfa7a0fサクランボ#nを収集する@1,得る#cfa7a0fサクランボ
