ID,购买提示
39,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
40,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
45,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
46,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
47,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
48,تطلق بواسطة الشراء
49,تطلق في الإحتفالات
50,تطلق في الإحتفالات
51,تطلق في الإحتفالات
52,تطلق في الإحتفالات
53,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
54,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
55,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
56,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
57,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
58,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
59,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
60,تطلق في الإحتفالات
61,تطلق في الإحتفالات
62,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
63,تطلق في الإحتفالات
64,تطلق في الإحتفالات
65,تطلق في الإحتفالات
66,تطلق في الإحتفالات
67,تطلق في الإحتفالات
68,تطلق بواسطة الشراء
69,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
70,تساعدك الفاكهة المحدودة على اطلاق الأغراض. لا تأتي بالفاكهة الذهبيّة والشائعة.
71,شراء لفتح (الترفيه المناسب والاستهلاك الرشيد)
72,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
73,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
74,يمكن الحصول على عناصر فتح في عرض مول خاص، شراء حزم هدايا
75,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
76,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
77,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
78,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
79,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
80,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
81,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
82,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
83,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
84,شراء لفتح (الترفيه المناسب والاستهلاك الرشيد)
85,شراء لفتح (الترفيه المناسب والاستهلاك الرشيد)
86,شراء لفتح (الترفيه المناسب والاستهلاك الرشيد)
87,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
88,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
89,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
90,@Null@
91,@Null@
92,يمكن أن تساعدك ثمار الحديقة على إلغاء قفل العناصر. (استمتع بالترفيه مع الاستهلاك المناسب)
93,يمكن أن تساعدك ثمار الحديقة على إلغاء قفل العناصر. (استمتع بالترفيه مع الاستهلاك المناسب)
94,يمكن أن تساعدك ثمار الحديقة على فتح العناصر. (استمتع بالترفيه مع الاستهلاك المناسب)
95,المعدات التي تم فتحها يمكن الحصول عليها من فاكهة الحديقة
96,المعدات التي تم فتحها يمكن الحصول عليها من فاكهة الحديقة
97,المعدات التي تم فتحها يمكن الحصول عليها من فاكهة الحديقة
98,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
99,يمكن الحصول على العناصر غير المؤمنة من ثمرة حدث الحديقة، غير متوفرة في الفاكهة الذهبية والفواكه العادية (الترفيه المناسبة والاستهلاك الرشيد)
100,شراء غير مؤمّن (الترفيه المعتدل والاستهلاك العقلاني)
101,يمكن الحصول على الدعائم غير المقفلة من درج بطاقة Mount. (الترفيه المعتدل والاستهلاك العقلاني)
102,يمكن الحصول على الدعائم غير المقفلة في آلة رسم بطاقة Mount. (الترفيه المعتدل والاستهلاك العقلاني)
103,فتح الشراء (الاستهلاك الرشيد للترفيه المعتدل)
104,يمكن الحصول على عناصر فتح القفل في آلة بطاقة التثبيت. (الاستهلاك الرشيد للترفيه المعتدل)
105,فتح الشراء (الاستهلاك الرشيد للترفيه المعتدل)
106,يمكن الحصول على عناصر فتح القفل في آلة بطاقة التثبيت. (الاستهلاك الرشيد للترفيه المعتدل)
107,يمكن الحصول على عناصر فتح القفل في آلة بطاقة التثبيت. (الاستهلاك الرشيد للترفيه المعتدل)
108,فتح الشراء (الاستهلاك الرشيد للترفيه المعتدل)
109,يمكن الحصول على عناصر فتح القفل في آلة بطاقة التثبيت. (الاستهلاك الرشيد للترفيه المعتدل)
110,يمكن الحصول على عناصر فتح القفل في آلة بطاقة التثبيت. (الاستهلاك الرشيد للترفيه المعتدل)
111,يمكن الحصول على عناصر الفتح من خلال حزم هدايا خاصة. (ترفيه معتدل واستهلاك عقلاني)
112,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
113,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
114,شراء فتح (الترفيه المعتدل الاستهلاك العقلاني)
115,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
116,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
117,شراء فتح (الترفيه المعتدل الاستهلاك العقلاني)
118,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
119,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
120,شراء فتح (الترفيه المعتدل الاستهلاك العقلاني)
121,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
122,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
123,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
124,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
125,
126,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
127,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
128,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
129,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
130,شراء فتح (الترفيه المعتدل الاستهلاك العقلاني)
131,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
132,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
133,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
134,يمكن الحصول على العناصر غير المؤمنة في آلة سحب بطاقة التثبيت. (الترفيه المعتدل والاستهلاك العقلاني)
135,
136,
137,يمكن الحصول عليها من خلال المشاركة في الأحداث
138,يمكن الحصول عليها عبر المشاركة في الأحداث المقامة في اللعبة
139,يمكن الحصول عليها عبر المشاركة في الأحداث المقامة في اللعبة
140,يمكن الحصول عليها عبر المشاركة في الأحداث المقامة في اللعبة
141,العناصر القابلة للفتح من الفعاليات.
142,العناصر القابلة للفتح من الفعاليات.
143,
144,
145,يمكن الحصول على العناصر المقفلة من خلال الأنشطة التشغيلية.
146,شراء إلغاء القفل (ترفيه معتدل واستهلاك عقلاني)
147,يمكن الحصول على العناصر المفتوحة في آلة سحب الخيل. (الترفيه المعتدل والاستهلاك العقلاني)
148,يمكن الحصول على أدوات الفتح في آلة السحب للخيل. (ترفيه معتدل واستهلاك عقلاني)
149,شراء فتح (ترفيه معتدل واستهلاك عقلاني)
150,يمكن الحصول على العناصر المفتوحة في آلة سحب المهور. (ترفيه معتدل واستهلاك عاقل)
151,يمكن الحصول على عناصر فتح الأدوات في آلة سحب الحيوانات الأليفة. (ترفيه معتدل واستهلاك عقلاني)
152,شراء فتح (ترفيه معتدل واستهلاك عقلاني)
153,يمكن الحصول على العناصر المفتوحة في آلة سحب الحصان . (ترفيه معقول و استهلاك منطقي)
154,يمكن الحصول على العناصر القابلة للفتح في آلة سحب الخيول. (ترفيه معتدل واستهلاك عقلاني)
155,
156,احصل عليها من الشراء
157,يمكن الحصول على فتح العناصر من درج الجبل. (يرجى أن تكون معقولًا في اللعبة وإنفاقك.)
158,يمكن الحصول على فتح العناصر من درج المونت. (يرجى أن تكون عقلانيًا مع اللعبة وإنفاقك.)
159,الحصول عن طريق الشراء
160,يمكن الحصول على فتح العناصر من درج الجبل. (يرجى التحلي بالعقلانية في اللعبة واستثماراتك.)
161,يمكن الحصول على فتح العناصر من درج الجبل. (يرجى التحلي بالعقلانية في اللعبة وإنفاقك.)
162,فتح العناصر يمكن الحصول عليه من الأحداث.
163,فتح العناصر يمكن الحصول عليها من الأحداث.
164,قفل العناصر يمكن الحصول عليها من الأحداث.
165,
166,
