ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
10,جرس,"الغزال اللطيف ,يعيش في قرية الكريسماس السعيده.",@Null@,تأثير خاص :اطلاق هالة عيد الكريسماس,صورة الرأس : فتح صورة الرأس صغار الغزلان والفراشات.,اثار الاقدام: ترك اثار غزلان الكريسماس بالاماكن التي تم المرور من خلالها.,,,
11,شيونووا صائد البرية,"شيوونوا الشجاع القادم من القطب الشمالي ,اصبحت النسور جميعاً اصدقائه.",@Null@,تأثير خاص : اطلاق تويجيات الورود.,صورة الرأس : فتح صورة الرأس لشيونووا.,اثار الاقدام: ترك اثار كرات الثلج بالاماكن التي تم المرور من خلالها.,,,
12,يو جي,"جنية سقطت من الجنة,تقابل سامسون بالصدفة.",@Null@,تأثير خاص : اثارة الجنون,صورة الرأس : فتح صورة الرأس ليو جي.,@Null@,,,
13,موروبج,"المتوحد الذي يتدرب خارجاً بالجبل,احياناً يلتقي بيو جي.",@Null@,تأثير خاص : اثارة الجنون,صورة الرأس : فتح صورة الرأس لسامسون.,اثار الاقدام: ترك اثار للاقدام بالاماكن التي تم المرور من خلالها.,,,
14,جوي رئيس شرطة الغرب,"اسف ,ربما لا تحبك اعيرتي النارية.",@Null@,تأثير خاص: تطلق الارجل التراب والدخان كالكاوبوي.,صورة الرأس : فتح صورة الرأس لجووي.,اثار الاقدام: ترك نجوم الشرطة بالاماكن التي تم المرور من خلالها.,,,
15,لوكس قائد فريق كرة السله,"عبقري كرة السله.اتخاذ الموقع بشكل انيق,التسديد البارع,فهو نجم اللعبة.",@Null@,@Null@,صورة الرأس : فتح صورة الرأس للوكس,اثار الاقدام: ترك كرة السلة بالاماكن التي تم المرور من خلالها.,,,
16,رئيس فريق التشجيع كلار,"مثل لوكس ,فانها تستطيع لفت انظار كل الحاضرين .",@Null@,@Null@,صورة الرأس : فتح صورة كلارا رئيس فريق التشجيع.,اثار الاقدام: ترك الاشرطة الملونة بالاماكن التي تم المرور من خلالها.,,,
17,زهر الروز,هل من احد يرغب في مصاحبتي في رحلتي البعيدة؟,@Null@,ثأثير خاص للصحة: يطلق قلوب الحب الساحرة.,صورة الرأس : فتح صورة لوسي,@Null@,,,
18,الكابتن تيتش,"اريد ان اصبح اشهر قبطان للقراصنه,ابحث عن الكنوز في البحار.",@Null@,@Null@,صورة الرأس : فتح صورة القبطان,اثار الاقدام: ترك اثار للاقدام بالاماكن التي تم المرور من خلالها.,,,
19,ماري,اذاً فانا ارغب ان اصبح اشهر مساعد لقبطان القراصنة.,@Null@,ثأثير خاص للصحة: يطلق قلوب الحب الساحرة.,صورة الرأس : فتح صورة الرأس.,@Null@,,,
20,جين يي,انا لا اخاف من السيف.,@Null@,البصمة: أخمصة الهواء,صورة الرأس : فتح صورة الرأس.,@Null@,,,
21,بناية ازهار صغيرة,"الاكثر هو رأس الجاذبية , مثل زهرة لوتس المياه ,لطيف جداً.",@Null@,الآثار: براعم خوخ عائمة,صورة الرأس : فتح صورة الرأس.,@Null@,,,
22,ليليث,خدعة او معاملة,@Null@,الآثار: نفخة الساحرة,صورة الرأس : فتح صورة الرأس.,@Null@,,,
23,قد وريورز,لا تظنّ أن لطفي هو ضعف,@Null@,الآثار: ورود زرقاء,أفاتار: فكّ أفاتار ووشانج,@Null@,,,
24,دراجونات,مهمّتي هي أن أحمي عالمك!,@Null@,البصمة: دخان أسود,أفاتار: فكّ أفاتار دراجونات,@Null@,,,
25,ايرلانج,سأساعد في إبعاد الأرواح الشريرة والحفاظ على أمانك!,@Null@,الآثار: تردّدات ايجابيّة,أفاتار: فكّ أفاتار ايرلانغ,@Null@,,,
26,ميرمايل,أخبرتني ماما دائمًا أنك لا تهرب ، لا تعمل بدون ابن أحلام.,@Null@,تأثير الجسم: نعمة الحلم,الصورة الرمزية: فتح الشخصيه Mermale.,@Null@,,,
27,ميسوسو,كبير باني الحلم البيئي لخطة الحماية العالمية ، يكافح من أجل جعل العالم أفضل.,يمكنك الحصول على أجزاء من برنامج حامي خطة الخطة العالمية.,تأثير الجسم: نعمة الطبيعة,الصورة الرمزية: فتح الشخصي Misoso ل.,@Null@,,,
28,ميني - إكس,حراسة الوقت يحب السفر والموسيقى.,@Null@,تأثير الجسم: تحيط بها الجسيمات الإلكترونية,الصورة الرمزية: فتح الصورة الرمزية ل Mini-X,@Null@,,,
29,ميني - تي,ما هو داخل البدلة الباردة ، هو الروح المحترقة ، التي تهدف إلى المجرة اللانهائية الشاسعة.,@Null@,تأثير الجسم: تحيط بها الجسيمات الإلكترونية,الصورة الرمزية: فتح الصورة الرمزية ل Mini-T,@Null@,,,
30,جنيّة القمر,ترقص على ضوء القمر,@Null@,الآثار: شكل القمر الهلال وهو ينجرف حولها,صورة الرأس : فتح صورة الرأس.,@Null@,,,
31,بامبكي,ساحر غامض وقويّ، يملك كتابًا مليئًا بسحر الكنوز وقبّعة سحريّة تبدو بلا فائدة,@Null@,الآثار: يطلق هالة سحريّة,أفاتار: فكّ صورة بامبكي الشخصيّة,@Null@,,,
32,شالي,انّها أميرة صغيرة من المملكة الغامضة الواقعة تحت البحار ضاعت في عالم الميني وورلد. كلّ من يجعلها سعيدة سيسمعها تغنّي.,@Null@,الآثار: قطرات عائمة حولها,أفاتار: فكّ صورة شيلي الشخصيّة,البصمات: تترك بصمات أصداف بحرية حيثما تمرّ,,,
33,كريستوفر,سرّ الشتاء يكمن في أنّ كل ندفة ثلج حيّة بحدّ ذاتها وتقوم بحماية بعضها البعض.,@Null@,الآثار: ندفات ثلج تتساقط حول الجسم,أفاتار: فكّ صورة كريستوفر الشخصيّة,@Null@,,,
34,بوبو,إنّ دودو وبوبو أصدقاء مقرّبين من ميسرا. بسبب ضعفهم فإن ثقتهم بأنفسهم منخفضة جدًا. بدأوا رحلة ايجاد كوكبًا حيث يمكنهم الحصول على اللون السحريّ على أمل أن يصبحوا أكثر قوّة.,@Null@,الآثار: يغيّر لونه ليتناغم مع البيئة المحيطة,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
35,دودو,إنّ دودو وبوبو أصدقاء مقرّبين من ميسرا. بسبب ضعفهم فإن ثقتهم بأنفسهم منخفضة جدًا. بدأوا رحلة ايجاد كوكبًا حيث يمكنهم الحصول على اللون السحريّ على أمل أن يصبحوا أكثر قوّة.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,@Null@,@Null@,,,
36,بوبو,إنّ دودو وبوبو أصدقاء مقرّبين من ميسرا. بسبب ضعفهم فإن ثقتهم بأنفسهم منخفضة جدًا. بدأوا رحلة ايجاد كوكبًا حيث يمكنهم الحصول على اللون السحريّ على أمل أن يصبحوا أكثر قوّة.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,@Null@,@Null@,,,
37,ساكورا,فتاة تركت أحلامها وأرادت السفر. ليس للمغامرة فحسب، بل ايضًا للعيش بالطريقة الني تتمنّاها.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمة: يترك بصمة بتلات حيثما يمشي,@Null@,,,
38,مارشال زهانلانغ,خاض هذا المارشال حروبًا كثيرة. وهو يبدو كقائد لقوّات البحريّة السماويّة.,@Null@,الآثار: رذاذ متبعثر حوله,أفاتار: فكّ الصورة الشخصيّة,البصمات: يترك بصمات ماء حيثما يمرّ,,,
39,ايفا,إنّ أيفا اللطيفة والصادقة تستخدم الصولجان لنشر الحبّ والأمل في كلّ زاوية من عالم ميني وورلد كما أنّها تحرس كافّة أجيال المستكشفين. (يمكن الحصول على ايفا من الاحتفال فقط),يمكنها فتها في الإحتفال,الآثار: ريش يطفو,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
40,ميني - بيت,انّه دي جي من الفراغ يحبّ موسيقى الروك الالكترونيّة. وهو نجم رائع على المسرح ويتمتّع بحسّ قويّ بالايقاع.,@Null@,الآثار: أذيال بصواعق,أفاتار: فكّ الصورة الشخصيّة,البصمة: تركت بصمة حيثما مررت,,,
41,لانسلوت,ما هي الفروسيّة؟ حيثما يمتدّ السيف، تتحقّق العدالة!,@Null@,الآثار: محاط بالنجوم,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
42,ميكا مياو,تمّ التحقّق من شبكة الإتّصال. والبرج الكهرومغناطيسيّ جاهز. تريد أن تدعوني مهووسًا؟ كلا كلا، إنّه عشق العلماء الرومنسي! هل الشحن منخفض؟ قم بالشحن,@Null@,@Null@,أفاتار: فكّ الصورة الشخصيّة,البصمة: تترك بصمة الكترونيّة حيثما تمرّ,,,
43,ساموراي سانباي,حركة جيّدة، إنّما هل أنت متاّكّد من منافستك لقبضتي المزدوجة؟,@Null@,@Null@,أفاتار: فكّ الصورة الشخصيّة,البصمة: تترك بصمة غبار.,,,
44,المتسابقة مياو,إنّ كأس البطل هذا هو هديّة عيد ميلادي! المتسابقة مياو التي تحبّ الحياة في المدينة تظهر مرّة جديدة في الحلبة. بالنسبة لها، الفوز بطريقة جميلة أهمّ بكثير من النصر.,@Null@,@Null@,أفاتار: فكّ الصورة الشخصيّة,البصمة: تترك بصمة على شكل قلب.,,,
45,المقاتلة لين,مقاتلة نشطة. دائمًا ما تشجّع نفسها. تحبّ أن تخيط لكل مناسبة.,@Null@,@Null@,أفاتار: فكّ الصورة الشخصيّة,البصمة: تترك بصمة كرة فوضى,,,
46,المقاتل آن,يحبّ أن يبدو رائعًا أمام الآخرين. انّما دائمًا ما يتذمّر شريكه بسبب لامبالاته.,@Null@,@Null@,أفاتار: فكّ الصورة الشخصيّة,البصمة: تترك بصمة سهم.,,,
47,الببغاء يويو,هل تعتقد أنّ لكل سحابة رائحتها الخاصّة. أودّ أن أكون جناحك وأصطحبك إلى أجمل مكان في العالم.,@Null@,تأثير خاصّ: ضوء ذهبيّ يلمع على التاج,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
48,ميني - أس,إنّه من واجبي أن أحافظ على السلام من أجل أصدقائي وبيتي!,@Null@,تأثير خاصّ: تضاء ميكا في الخلف من خلال الشعاع الذهبيّ.,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,المهرّج,مرحبا أيّها المسافر العزيز، هل ترغب في مشاهدة عرض السحر المذهل؟ يمكنك ايجاد كافّة العروض الرائعة هنا!,@Null@,@Null@,أفاتار: فكّ الصورة الشخصيّة,البصمة: يترك نمطًا سحريًا عندما يمرّ.,,,
51,كانا,إنّني هنا لأكسر القواعد. هل تودّ أن تجرّب بعض الحلوى أو مطرقتي؟,@Null@,@Null@,أفاتار: فكّ الصورة الشخصيّة,البصمة: تترك نمط مصّاصة عندما تمرّ.,,,
52,أوبتيموس برايم,أنا أوبتيموس برايم، وإنّني أرسل هذه الرسالة لكي يتمّ تذكّر ماضينا بشكل دائم، فإنّنا نعيش على هذه الذكريات.,@Null@,الأثار: يمكن أن يتحوّل في اللعبة ويغيّر الشكل,أفاتار: فكّ الصورة الشخصيّة,البصمة: يترك نمط تخييم عندما يمرّ,تشوه: انقر فوق زر التشوه الموجود على اليسار لتبديل شكل الروبوت / السيارة!,المهارات الحصرية للمحولات: هجوم Autobots والدفاع!,
53,ميجاترون,أقوم بذلك لأستفيد من خداعي. يحزنني أن تتمكّن أنت أيضًا من الإستفادة منها.,@Null@,الأثار: يمكن أن يتحوّل في اللعبة ويغيّر الشكل,أفاتار: فكّ الصورة الشخصيّة,البصمة: يترك نمط تخييم عندما يمرّ,تشوه: انقر فوق زر التشوه الموجود على اليسار لتبديل شكل الروبوت / السيارة!,مهارة حصرية للمحولات: مدفع الانصهار!,
54,رغوة موس,ما هي أهمّ الأشياء في ليلة عيد الميلاد؟ الثلج وقالب الحلوى والسحر وحضورك الرائع!,@Null@,@Null@,أفاتار: فكّ الصورة الشخصيّة,البصمة: تترك نمط فراولة عندما تمرّ.,,,
55,كومكات,إحدى التوائم اللطيفة التي اتت خصّيصًا من أجل ميني وورلد. يأتي التوائم من مكان غنيّ. يحبّ كومكات أن يجمع الفاكهة والأوراق المتساقطة وأن يقوم بأشياء للآخرين. بحسب كلماته، فإنّ المشاركة هو سرّ الغنى!,@Null@,@Null@,أفاتار: فكّ الصورة الشخصيّة,البصمة: يترك نمط الكستناء عندما يمرّ.,,,
56,سنوي,إحدى التوائم اللطيفة التي وصلت للتوّ إلى ميني وورلد. إنّ التوائم هم من مكان غنيّ. تمضي سنوي التي تعمل بجهد وقتًا طويلاً في مساعدة الآخرين. بعد أن قدمت إلى ميني وورلد، تأمل بأن تتعرّف على المزيد من الأصدقاء وتنقل قوّة الغنى إلى الآخرين.,@Null@,الآثار: زهور متبعثرة حول الجسد.,أفاتار: فكّ الصورة الشخصيّة,البصمة: تترك نمط العقدة الصينيّة عندما تمرّ.,,,
57,الجدّ لين,يبدو كبالغ قذر. في الحقيقة إنّه السيّد القويّ للمدينة الشماليّة وأيضًا معلّم جينيي والمقاتلة لين وآن. بعد سنوات كثيرة من القتال، لم يعد يهتمّ بأمور الحياة الإنسانيّة.,يمكنها فتها في الإحتفال,@Null@,أفاتار: فكّ الصورة الشخصيّة,البصمة: يترك بصمة قرع عندما يمرّ في المكان.,,,
58,النحلة الطنّانة,أنا النحلة الطنانة، صديقتك المفضّلة. أوبتيموس برايم، لقد كنت مستعدّة لأيّ تضحية مقابل السلام.,@Null@,الأثار: يمكن أن يتحوّل في اللعبة ويغيّر الشكل,أفاتار: فكّ الصورة الشخصيّة,البصمة: يترك بصمة تخييم عندما يمرّ بالمكان,تشوه: انقر فوق زر التشوه الموجود على اليسار لتبديل شكل الروبوت / السيارة!,مهارة حصرية للمحولات: طعنة الدبور!,
59,الزهرة الخياليّة,تتمتّع الزهرة الخياليّة عندما تتمشى في الحديقة. تقوم بزرع الكثير من الزهور حول منزلها. ينجذب الأطفال الذين يمشون بالقرب من حديقتها الى الرائحة. لقد سمعت هذه المرّة أنّ القوّة الموجودة في نجمة السحر ستغيّر الزهور. وكونها بستانيّة فإنّها فرحة جدًا في القدوم.,@Null@,الآثار: محاطة بضوء النجوم,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
60,آريل,آريل النجمة الساطعة في السماء التي يمكنها أن تحقّق الأحلام. عندما يتمنّى أحدهم أمنية، تسمعها آريل وتخلق عالمًا جديدًا في داخله.,@Null@,الآثار: محاطة بقوس القزح,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
61,فهدة الثلج,ولدت على جبل الثلج، وتمّ اختيارها لتكون حامية الهضبة. إنّها لطيفة ولكنّها تظهر شجاعة كبيرة عندما تقوم بالدفاع عن بيتها.,يمكنها فتها في الإحتفال,الأثار: محاطة بالثلج,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
62,ايللي,أخذت ايللي إلى أرض العجائب عبر بطاقة البوكر. إنّها مغامرة مجهولة. إلاّ أنّ السيّد أرنب هو أفضل مرافق. دائمًا ما سيتواجد إلى جانبها.,@Null@,الآثار: محاطة بالزهور,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
63,الضفدع نينجا,بدأ الضفدع نينجا بتعلّم النينجوتسو وهو صغير في السنّ. وقد أصبح الآن معلّمًا، غير أنّ أكثر الأوقات التي يشتاق إليها هي عند استلقائه إلى جانب البحيرة.,يمكنها فتها في الإحتفال,@Null@,أفاتار: فكّ الصورة الشخصيّة,البصمة: يترك نمط ضفدع عندما يمرّ في المكان.,,,
64,ستارسكريم,يظنّ ستارسكريم أنّه ولد ليكون قائد الديسيبتيكونز. إنّه يملك لسانًا حادًا وغالبًا ما يدّعي القوّة والمكسب أمام ميجاترون. غالبًا ما يجعل تصرّفه هذا ميجاترون منزعجًا للغاية.,@Null@,الآثار: يمكن أن تتحوّل في اللعبة وتغيّر شكلها,أفاتار: فكّ الصورة الشخصيّة,البصمة: يترك نمط التخييم عندما يمرّ في المكان,تشوه: انقر فوق زر التشوه الموجود على اليسار لتبديل شكل الروبوت / السيارة!,المهارات الحصرية للمحولات: تنبيه جوي!,
65,القضيب الساخن,إنّه هادئ ومسؤول للغاية. هو قائد الاوتوبوت المستقبليّ، الأمل الجديد للسلام في الكون. مهما كان الوضع خطرًا، ستجده يتصرّف في الحال وبدون تردّد.,@Null@,الآثار: يمكن أن تتحوّل في اللعبة وتغيّر شكلها,أفاتار: فكّ الصورة الشخصيّة,البصمة: يترك نمط التخييم عندما يمرّ في المكان,تشوه: انقر فوق زر التشوه الموجود على اليسار لتبديل شكل الروبوت / السيارة!,مهارة حصرية للمحولات: البرق الأحمر!,
66,غالفاترون,إنّه أقوى من ميجاترون وأكثر وحشيّة. لا مثيل لثقته بنفسه وطموحه بالغزو والحكم. لا يكفي الكون لاشباع شهيّة هذا الطاغي الوحشيّ.,@Null@,الآثار: يمكن أن تتحوّل في اللعبة وتغيّر شكلها,أفاتار: فكّ الصورة الشخصيّة,البصمة: يترك نمط التخييم عندما يمرّ في المكان,تشوه: انقر فوق زر التشوه الموجود على اليسار لتبديل شكل الروبوت / السيارة!,المهارات الحصرية للمحولات: الليزر الانصهار!,
67,راوول,من خلال المشي بين الحقيقي والخيالي، اعتاد راوول على معالجة المشاكل اليوميّة كما لو كانت مراحل من لعبة وحلّها واحدة تلو الأخرى. إن لم يحالفه الحظّ ولا المقدرة، يقوم بتركها للزمن. إنّ الوقت ينضج الأشخاص. والنضوج هو الجواب الأمثل لكل مسألة.,يمكنها فتها في الإحتفال,الآثار: محاط بشخصيّات,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
68,لين,تحبّ لين أن تأخذ صديقها الصغير كيوب في رحلات مكوكية بين الخيال والواقع. إنّ استكشاف العالم والاستمتاع يعني الكثير لها. لا تكلّ أبدًا ودائمًا ما تبحث عن ضوء النيون الذي يمكن أن يلمسها.,يمكنها فتها في الإحتفال,الآثار: محاطة بجزئيّات بنفسجيّة,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
69,سيان,كونها من نسل أوّل مشغل في العالم لزونجز، إلاّ أنّها تحلم أيضًا بأن تصبح معلّمة جوتشانغ. لذا اتفقت سيان ووالداها بأنّها طالما تقوم بالحفاظ على سمعة مشغل زونجز، يمكنها عندئذ الاستمرار في تعلّم الجوتشانغ. لا يتعارض الإثنان بالنسبة لسيان لأنّها تريدهما معًا.,@Null@,الآثار: محاطة بالأوراق,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
70,توايلايت سباركل,إنّ توايلايت سباركل هي الأكثر معرفة. تحبّ القراءة وتملك روح القيادة. تساعدها الأميرة سيليستيا على تعلّم سحر الصداقة وخلق المزيد.,@Null@,الآثار: محاطة بجزئيّة سحريّة,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
71,الأميرة سيليستيا,إنّها حاكمة مملكة ايكيستريا، وتملك القوّة العظمى للسحر. غير أنّها أيضًا فتاة لطيفة ومرحة للغاية. قالب الحلوى هو المفضّل لديها دائمًا.,@Null@,الآثار: محاطة بجزئيّة ذهبيّة,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
72,فلاترشاي,تعيش فلاترشاي في كوخ خشبيّ على حافّة وادي بوني ويربطها صداقة بحيوانات مختلفة. غالبًا ما توجّههم للعيش معًا كرمز للطف والعيش بتناغم.,@Null@,الآثار: محاطة بجزئيّة ذهبيّة,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
73,الأميرة لونا,الأميرة لونا هي أخت الأميرة سيليستيا. إنّها الحاكمة الثانية لايكيستريا وتهتمّ بالليل والأحلام وصعود القمر. تخلّص البوني في الكوابيس. تبدو غامضة وبعيدة إلا أنّها لطيفة فعلاً.,يمكنها فتها في الإحتفال,الآثار: محاطة بنمط القمر,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
74,جريملوك,إنّ جريملوك هو قائد الدينوبوت وأيضًا الأكثر قوّة. غير أنّ شخصيّته المتهوّرة تجعل الأوتوبوس قلقين للغاية. إلاّ أنّه يقود الدينوبوتس أيضًا ويخلّص الاوتوبوس مرّات كثيرة.,يمكنها فتها في الإحتفال,الآثار: محاط بشرارات كهرومغناطيسيّة,أفاتار: فكّ الصورة الشخصيّة,البصمة: يترك بصمة تخييم عندما يمرّ بالمكان,تشوه: انقر فوق زر التشوه الموجود على اليسار لتبديل شكل الروبوت / الديناصور الميكانيكي!,مهارة حصرية للمحولات: زئير الديناصور!,
75,سووب,إنّ أفكار سووب البسيطة وتصرّفاته المتهوّرة هي مزعجة بالفعل. غير أنّه محارب يملك قلبًا طيّبًا. يلعب دورًا كبيرًا في فريق الدينوبوتس ويقوم بمهمّات في غاية الأهميّة.,@Null@,الآثار: محاط بشرارات كهرومغناطيسيّة,أفاتار: فكّ الصورة الشخصيّة,البصمة: يترك بصمة تخييم عندما يمرّ بالمكان,تشوه: انقر فوق زر التشوه الموجود على اليسار لتبديل شكل الروبوت / الديناصور الميكانيكي!,مهارة حصرية للمحولات: أجنحة سريعة!,
76,سنارل,إنّ سنارل هو شخص خارج الفريق. يحبّ أن يجعل الآخرين ييهتمّون بأمور استراتيجيّة. لا يريد إلاّ أن يلحق توجيه جريملوك والمشاركة في الحرب. ما يجعله أكثر محاربي جريملوك قوّة في أرض المعركة.,@Null@,الآثار: محاط بشرارات كهرومغناطيسيّة,أفاتار: فكّ الصورة الشخصيّة,البصمة: يترك بصمة تخييم عندما يمرّ بالمكان,تشوه: انقر فوق زر التشوه الموجود على اليسار لتبديل شكل الروبوت / الديناصور الميكانيكي!,مهارة حصرية للمحولات: اكتساح توتنهام العظام!,
77,ليوناردو,يقال أنّه رسّام مسافر يستخدم سحر الألوان لتنقية العالم. يمكن تغيير الألوان الدافئة أمّا الألوان الباردة فهي هادئة. ينطبق ذلك على ليوناردو أيضًا. فخليط الأزرق والبرتقاليّ يشبه شخصيّته الهادئة والحماسيّة.,يمكنها فتها في الإحتفال,@Null@,أفاتار: فكّ الصورة الشخصيّة,البصمة: يترك صبغة زرقاء عندما يمرّ في المكان,,,
78,تاليا,قم بتبديل أغراضك الثمينة معي! سأقدّم لك كلّ ما تحلم به! وصلت هذه الرسائل بإمضاء تاليا إلى الأشخاص الذين يحبّون السحر في الكون الصغير. توجد أيضًا جزيرة عائمة وملكة غامضة وجميلة تدعى تاليا على كوكب أوفا!,يمكنك الحصول عليها في جاشابون,الآثار: محاطة بوردة بنفسجيّة,أفاتار: فكّ الصورة الشخصيّة,البصمة: تترك صبغة ورديّة عندما تمرّ في المكان,,,
79,أوتاه,نادرًا ما يتمكّن أحدهم من إيجاد أوتاه. قد يظهر في بعض الفصول ويستخدم السحر ليشفي أمراض القبيلة ويتخلّص من الكوابيس. إنّ سحره ودوائه فعّالان للغاية إنّما غامضان أيضًا. لقد كان ناسكًا وابنًا مستحقًا للغابة.,@Null@,الآثار: محاط بشخصيّة الساحرة,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
80,السيّد لابي الأرنب,إنّ أقصى سعادة عند لابي هي تمكّنه من السفر من كوكب لآخر كونه السيّد أرنب. غير أنّ ايللي تبدو قادرة على معرفته بالرغم من تنكّره. إنّ وقوع بطاقة بالصدفة جمعهما معًا فبدأت مغامرة رائعة. هل هذا سحر البوكر؟ كلا، إنّه سحر القدر!,يمكنها فتها في الإحتفال,الآثار: محاط بنمط الأرنب,أفاتار: فكّ الصورة الشخصيّة,@Null@,تشوه: انقر فوق زر التشوه الموجود على اليسار لتبديل شكل الأرنب / الإنسان!,مهارة السيد الأرنب الحصرية: الوقت ينفد!,
81,بينكي باي,"إنّ بينكي باي هي أشهر فرس صغير يحبّ الحفلات وتملك طاقة مذهلة. تحبّ المزاح والغناء وتتمتّع بشخصيّة فرحة. إنّها تمثّل ""الضحك"" في عنصر التناغم.",@Null@,الآثار: محاطة بقلوب ورديّة,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
82,كارول,تحبّ كارول الكاندي لأنّها دائمًا ما تمنحها الحظّ. عندما تتسكّع في الطرقات، يدخلها صاحب متجر الكاندي إلى المتجر. كما أنّها تلتقي بالشبح الصغير وتتعلّم السحر هناك. تفضّل وخذ من الكاندي! لا شكّ أنّك ستندهش بسبب وعاء كارول المليء بالسكريات!,@Null@,الآثار: محاطة بضوء سحريّ,أفاتار: فكّ الصورة الشخصيّة,@Null@,,,
83,جيري,لماذا تجد هلام التوفو إمّا حلوًا أو مالحًا؟ لم لا يمكن أن يكون حلوًا ومالحًا في نفس الوقت؟ يبدو أنّ القليل من عصير البرتقال قد يفيد. دائمًا ما يفكّر جيري بأفكار غريبة الأطوار فيمزج مكوّنات مختلفة لانتاج أكثر الأطعمة غرابة.  تعاني والدته مورمايل بسبب ذلك. بالنسبة له، فإنّ كلّ طعم هو يمثّل تحدّيًا فعليًا للمعدة.,تحصل عليها في جاشابون,@Null@,أفاتار: فكّ الصورة الشخصيّة,اثار الاقدام: ترك اثار للاقدام بالاماكن التي تم المرور من خلالها.,,,
