ID,名称
370007,التريبل 4 (L)
370008,التريبل 5
370009,التريبل 5 (ل)
370010,التريبل 6
370011,التريبل 6 (L)
370012,التريبل 7
370013,ألتو 1
370014,ألتو 1 (لتر)
370015,ألتو 2
370016,ألتو 2 (L)
370017,ألتو 3
370018,ألتو 4
370019,ألتو 4 (L)
370020,ألتو 5
370021,ألتو 5 (L)
370022,ألتو 6
370023,ألتو 6 (L)
370024,ألتو 7
370025,باس 1
370026,باس 1 (لتر)
370027,باس 2
370028,باس 2 (لتر)
370029,باس 3
370030,باس 4
370031,باس 4 (L)
370032,باس 5
370033,باس 5 (لتر)
370034,باس 6
370035,باس 6 (L)
370036,باس 7
380001,موقف رئيسي W
380002,المفتاح أ
380003,المفتاح S
380004,المفتاح د
380005,مفتاح الفضاء
380006,مفتاح التحول
380007,المفتاح ب
380008,المفتاح ج
380009,المفتاح E
380010,المفتاح F
380011,المفتاح G
380012,مفتاح H
380013,المفتاح الأول
380014,المفتاح J
380015,كي كي
380016,المنصب الرئيسي L
380017,المركز الرئيسي M
380018,المركز الرئيسي N
380019,مفتاح O
380020,مفتاح P
380021,مفتاح Q
380022,مفتاح R
380023,المفتاح T
380024,مفتاح يو
380025,المركز الرئيسي الخامس
380026,المفتاح X
380027,الموقف الرئيسي Y
380028,مفتاح Z
390001,شريط سريع 1
390002,شريط سريع 2
390003,شريط سريع 3
390004,شريط سريع 4
390005,شريط سريع 5
390006,شريط سريع 6
390007,شريط الاختصار 7
390008,اختصار شريط 8
400001,شريط الاختصار في الأحداث
40001,اكس
40002,ي
40003,زد
410001,آثار الدولة في الأحداث
420001,عمود المعدات 1 (خوذة)
420002,جير بار 2 (صدرية)
420003,شريط المعدات 3 (طماق)
420004,جير بار 4 (بوتس)
420005,عمود المعدات 5 (زخرفة الظهر)
430001,شريط المعدات في هذا الحدث
440001,نوع المخلوق الذي أثار الحدث
440002,نوع المخلوق المستهدف في الحدث
440003,آخر نوع مخلوق تم إنشاؤه
450001,الوصفة في الحدث
460001,الصهر في الحدث
470001,حبكة الحدث
480001,عدد العناصر في الحدث
490001,كلمة المجلس
490002,نص عائم
490003,شريط التقدم
490004,السهم يشير إلى الاعتراض
490005,سهم يشير إلى الموقع
490006,توجيه السطح إلى الكائن
490007,موقف مشيرا دليل السطح
490008,دليل خط للاعتراض
490009,دليل الخط مشيرا إلى الموقع
490010,الصورة
500001,ترتيب تصاعدي
500002,ترتيب تنازلي
50001,نظام زاوية
50002,نظام راديان
510001,المكونات في الحدث
520001,واجهة التحرير الحالية
520002,واجهة في الحدث
530001,يطير
530002,طريقة الحركة الافتراضية
540001,سنة
540002,شهر
540003,يوم
540004,تايم
540005,نقطه
540006,الثاني
540007,الطابع الزمني (ثانية)
550001,سلسلة في الحدث
570001,الموسيقى في الحدث
580001,وقفة
580002,استعادة
580003,قريب
590001,اختر لوحة القيادة في العالم
600001,كائن عالمي
60001,تسجيل الدخول
60002,Ln
610001,حلقة
610002,عزف وحيد
620001,هذا المنطق
680001,قوة الهجوم
680002,الحد الأقصى لعدد المداخن
680003,دفاع المشاجرة
680004,الدفاع بعيد المدى
680005,دفاع الانفجار
680006,حرق الدفاع
680007,الدفاع عن السموم
680008,الدفاع عن الفوضى
680009,أقصى متانة
680010,أقصى فاصل إطلاق النار
680011,سعة المجلة القصوى
690001,لاعب يتجاهل البنود
690002,تلف الصندوق وانخفض
690003,المخلوقات تقهر وتسقط
690004,مكعبات تتكسر وتطيح
690005,إنشاء الزناد
690006,إسقاط كائن إنشاء اللعب نقل
700001,حلقة
700002,عزف وحيد
700003,توقف عند الإطار الأخير بعد اللعب
700004,عمل الصحافة وضع اللعب الأصلي
70001,أسفل
70002,تقريب
70003,فوق
710001,جميع قضبان الظهر
710002,جميع أشرطة الاختصار
710003,جميع أعمدة المعدات
720001,حقيبة الظهر الشبكة 1
720002,حقيبة الظهر الشبكة 2
720003,حقيبة الظهر الشبكة 3
720004,حقيبة الظهر الشبكة 4
720005,حقيبة الظهر الشبكة 5
720006,حقيبة الظهر الشبكة 6
720007,حقيبة الظهر الشبكة 7
720008,حقيبة الظهر الشبكة 8
720009,حقيبة الظهر الشبكة 9
720010,حقيبة الظهر الشبكة 10
720011,حقيبة الظهر الشبكة 11
720012,شبكة الظهر 12
720013,حقيبة الظهر الشبكة 13
720014,شبكة الظهر 14
720015,حقيبة الظهر الشبكة 15
720016,حقيبة الظهر الشبكة 16
720017,شبكة الظهر 17
720018,حقيبة الظهر الشبكة 18
720019,حقيبة الظهر الشبكة 19
720020,حقيبة الظهر الشبكة 20
720021,حقيبة الظهر الشبكة 21
720022,شبكة الظهر 22
720023,شبكة الظهر 23
720024,شبكة الظهر 24
720025,حقيبة الظهر الشبكة 25
720026,حقيبة الظهر الشبكة 26
720027,شبكة الظهر 27
720028,شبكة الظهر 28
720029,شبكة الظهر 29
720030,حقيبة الظهر الشبكة 30
730001,لاعب
730002,البيولوجيا
740001,0 درجة
740002,90 درجة
740003,180 درجة
740004,270 درجة
800001,النصر
800002,تفشل
80001,ضرر المشاجرة
80002,تراوحت الأضرار
80003,أضرار الانفجار
80004,حرق الضرر
80005,ضرر السم
80006,ضرر الفوضى
80007,إسقاط الضرر
80008,إصابة الاختناق
810001,عرض
810002,يخفي
820001,نفس نوع البلوك
820002,تجاهل نوع البلوك
830001,اكس
830002,ي
840001,زيادة
840002,يقلللل
840003,تغيير إلى
850001,لا تخفيف
850002,التحول الخطي
850003,مربع منحنى مقارب
850004,منحنى مربع يتلاشى
850005,منحنى مربع داخل وخارج
850006,المنحنى الأسي يدخل تدريجيا
850007,المنحنى الأسي الناشئ
850008,المنحنى الأسي داخل وخارج
850009,منحنى دائري واردة
850010,منحنى دائري يتلاشى
850011,منحنى دائري داخل وخارج
850012,منحنى الانحدار يدخل تدريجيا
850013,منحنى الانحدار يظهر تدريجيا
850014,منحنى الظهر داخل وخارج
850015,منحنى الربيع دخول تدريجي
850016,منحنى الربيع يتلاشى
850017,منحنى الربيع داخل وخارج
850018,منحنى الارتداد يدخل تدريجيا
850019,منحنى كذاب يظهر تدريجيا
850020,منحنيات ترتد داخل وخارج
860001,عرض
860002,عالية
870001,وضع صارم
870002,الوضع الضبابي
880001,المعلمات متسقة
880002,تجاهل المعلمات
900001,الفترة الزمنية الحالية
900002,0 نقطة
900003,الساعه ٤
900004,الساعه ٦
900005,الساعه ٨
900006,الساعه ١٢
900007,الساعه ١٦
900008,الساعه ١٨
900009,الساعه ٢٠
90001,نعم
90002,لا
910001,خريطة السماء
910002,خريطة الشمس
910003,خريطة القمر
920001,السماء أعلى اللون
920002,لون الخصر السماء
920003,اللون في قاع السماء
920004,السماء ضوء اللون
920005,لون الضوء المحيط
920006,لون الشمس
920007,لون القمر
920008,لون السحاب
920009,لون الضباب
930001,حجم الشمس
930002,حجم القمر
930003,كثافة النجوم
930004,سرعة حركة السحب
930005,كثافة السحب
930006,ارتفاع السحابة
930007,أقرب مسافة إلى الضباب
930008,أبعد مسافة من الضباب
940001,القوة
940002,المدى
940003,السرعة
940004,عدم انتظام الحركة
950001,نسبة التباين
950002,تشبع
950003,شدة الضوء الكاشف
950004,شدة التعرض
950005,شدة الضوء حجم
950006,شدة جاما
960001,تحرك مع الشخصية
960002,تدوير مع الحرف
960003,المسافة البادئة التلقائية بعد الحجب
960004,الكاميرا تدور نفسها
970001,متعدد الاتجاهات
970002,فقط اليسار واليمين
970003,صعودا وهبوطا فقط
970004,لا يمكن تدوير
980001,X-المحور
980002,المحور ص
980003,محور Z
990001,المجموعة المشتركة
990002,مجموعة المحيط
990003,مجموعة الصحراء
990004,جماعة متجمدة عادية
990005,مجموعة منطقة الذروة المتجمدة
990006,التكوين البركاني
990007,تكوين الأراضي الرطبة
