ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
36,Bobo,"Dudu ve Bobo, Misra'nın iyi arkadaşlarıdır, ancak genellikle çok zayıf oldukları için kendilerini aşağılık hissederler. Renk büyüsünün bir gezegende elde edilebileceğini duyana kadar umutla ilerlediler (kilidini açmak için mini yıldız atölyesi çizim paketini satın alın, tüm Dudu ve Bobo kostümlerini toplayın, renk değiştiren kostüm Dudu ve bobo'nun kilidini açacak!)",@Null@,Avatar: Avatarın kilidini açın.,@Null@,@Null@,,,
37,Sakura,"Rüyasından çıkan bir kız gibi, bir yolculuğa çıkmak istedi. Bu sefer sadece macera için değil, aynı zamanda istediğini yaşamak için.",@Null@,Avatar: Avatarın kilidini açın.,"Ayakizi: Nereye geçerse, ayak izlerini bırakmak",@Null@,,,
38,Mareşal Zhanlang,Bu mareşal birçok savaş yaşamıştır. Göksel Deniz Kuvvetlerinin komutanı gibi görünüyor.,@Null@,Özel vücut efekti: sular yayar!,Avatar: avatarın kilidini aç.,Ayak izleri: Geçtiği her yerde sıçrayan ayak izleri kalır.,,,
39,Eva,"Dürüst ve nazik Eva, elinde asasını sallayarak, nesiller boyu kaşifleri koruyarak mini kıtanın her köşesine sevgi ve umut serpti. (Eva sadece etkinlikle elde edilebilir~)",Kilidi açma eşyası etkinlikten elde edilir,Özel vücut efekti: vücutta yüzen tüyler!,Avatar: avatarın kilidini aç.,@Null@,,,
40,Mini-Beat,"Boşluktan DJ, dünyanın en iyi elektrik rock'ını seviyor. Güçlü bir ritim duygusuyla parti sahnesinin en göz kamaştırıcı yıldızıdır.",@Null@,Özel vücut efekti: Kuyrukta yıldırım!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde notaların ayak izleri kalır.,,,
41,Lancelot,"Şövalyelik nedir?Kılıcın işaret ettiği yer, adalet sağlanacak!",@Null@,Özel vücut efekti: Yıldızlar vücutta yüzüyor!,Avatar: avatarın kilidini aç.,@Null@,,,
42,Mecha Miyav,"Ağ bağlantısı kontrolü.Elektromanyetik taret hazır.Bana inek mi diyorsun?Hayır, hayır, bu bilim insanının romantizmi!Ah?Güç düşük. Hadi şarj edelim.",@Null@,@Null@,Avatar: avatarın kilidini aç.,Ayak izleri: Geçtiği her yerde elektron parçacıkları bırakılacaktır.,,,
43,Samurai Senbei,"İyi hareket, Ama İkili kalkanımla rekabet edeceğine emin misin?",@Null@,@Null@,Avatar: avatarın kilidini aç.,Yürüyen ayak izleri: Geçtiği her yerde tozlu ayak izleri kalır.,,,
44,Yıldız kanat,"""Bu yarışmanın şampiyonluk kupası benim doğum günü hediyem!""
 Müreffeh şehir hayatını seven yıldız kanat bir kez daha sahaya çıktı. Onun için şampiyonluk önemli ama daha da önemlisi güzel bir şekilde kazanmak! """,@Null@,@Null@,Avatar: avatarın kilidini aç.,Ayak İzleri: Gittiğiniz her yerde küçük aşk ayak izleri olacaktır.,,,
45,Suikastçı Li,Canlılık dolu suikastçılar genellikle kendilerini neşelendirmek için konuşurlar. Uçan iğneler kullanmayı ve tüm eşyalara yünlü çantaları örmeyi seviyor.,@Null@,@Null@,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde kürk toplarının ayak izleri kalır.,,,
46,Suikastçı An,Başkalarının gözünde soğuk biri olduğunu umuyor ve her gün havalı olmaya çalışıyor. Ancak çoğu zaman konsantrasyon eksikliği nedeniyle partnerden şikayet edilir.,@Null@,@Null@,Avatar: avatarın kilidini aç.,Yürüyen ayak izleri: Geçtiği her yerde dart ayak izleri kalacak.,,,
47,Papağan YOYO,Her bulutun kendine bir kokusu olduğuna inanıyor musun? Senin kanatların olmak ve seni dünyanın en güzel yerine götürmek istiyorum.,@Null@,Özel vücut efekti: taçta altın ışık!,Avatar: avatarın kilidini aç.,@Null@,,,
48,Mini-S,Arkadaşlarım ve evim için barışı korumak benim görevim!,@Null@,Özel vücut efekti: altın parçacıklar ve elektrik ışığı arka mekana saçılacak!,Avatar: avatarın kilidini aç.,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,Joker,"Merhaba, sevgili gezgin, müthiş sihir şovunu görmek ister misin? Tüm fantastik performanslar burada!",@Null@,@Null@,Avatar: avatarın kilidini aç.,Yürüyen ayak izleri: Geçtiği her yerde sihirli desenler bırakılacaktır.,,,
51,Kana,Kuralları çiğnemek için buradayım. Şekerli bir sebep verebilirim!,@Null@,@Null@,Avatar: avatarın kilidini aç.,Yürüyen ayak izleri: Geçtiği her yerde lolipop ayak izleri kalacak.,,,
52,Optimus Prime,"Ben Optimus Prime, ve bu mesajı yıldızlararası uzayda sürgün edilen tüm Patronlara gönderiyorum.",@Null@,Özel vücut efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar:unlock profile picture,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,#cda5b0a Deformasyon: Robotun / aracın şeklini değiştirmek için soldaki Deformasyon düğmesine tıklayın! #n,#cda5b0a Transformers özel becerileri: Autobotlar saldırı ve savunma! #n,
53,Megatron,"İster başarısızlık ister ihanet olsun, asla fethedilmeyeceğim, Megatron'um.",@Null@,Özel vücut efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar:unlock profile picture,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,#cda5b0a Deformasyon: Robotun / aracın şeklini değiştirmek için soldaki Deformasyon düğmesine tıklayın! #n,#cda5b0a Transformers özel yeteneği: Füzyon Topu! #n,
54,Noel şirin kız,"Noel arifesinin en önemli şeyleri nelerdir? Kar, kek, büyü ve sen!",@Null@,@Null@,Avatar: avatarın kilidini aç.,Yürüyen ayak izleri: Geçtiği her yerde çilek ayak izleri kalacak.,,,
55,Kamkat,"Yeni gelen sevimli ikizler. İkizler zengin bir yerdendir. Giden Kamkat meyveleri ve düşen yaprakları toplamayı ve başkaları için bir şeyler yapmayı sever. Onun sözleriyle paylaşmak, zengin olmanın sırrıdır!",@Null@,@Null@,Avatar: avatarın kilidini aç.,Ayak izleri: Geçtiği her yerde kestane ayak izleri kalacak.,,,
56,Snowe,Mini Dünya'ya yeni gelen sevimli ikizler. İkizler zengin bir yerdendir. Çalışkan Snowe başkalarına yardım etmek için çok zaman harcıyor. Mini World'e geldikten sonra daha fazla arkadaş edinmesini ve zenginliğin gücünü başkalarına iletmesini umuyor.,@Null@,Vücut özel efektleri: vücutta yüzen çiçekler!,Avatar: avatarın kilidini aç.,Ayak izleri: Geçtiği her yerde barış düğümlerinin ayak izleri kalacak.,,,
57,Büyükbaba Lin,"Slovence bir çocuk gibi görünüyor. Aslında Kuzey Şehri'nin en güçlüdür ve ayrıca Jinyi, Suikastçı LI ve An'nin öğretmeni. Uzun yıllar süren kavgalardan sonra, şimdi insan yaşamı işlerine hiç dikkat etmiyor.",Kilidi açma eşyası etkinlikten elde edilir,@Null@,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde şarap kabağının ayak izleri kalır.,,,
58,Bumblebee,"Ben Bumblebee ve en eski arkadaşım Optimus Prime, hayatımı senin için vermeye hazırım.",@Null@,Özel vücut efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,#cda5b0aDeformasyon: Robotun / aracın şeklini değiştirmek için soldaki Deformasyon düğmesine tıklayın! #n,#cda5b0aTransformers Özel Beceri: Wasp Stab! #n,
59,Çiçek Perisi,"Çiçek perisi bahçede dolaşmaktan hoşlanıyor. Evinin etrafına çok sayıda çiçek dikiyor. Yürüyen çocukların hepsi kokudan etkileniyor. Bu kez, sihirli yıldız üzerindeki gücün çiçekleri değiştireceğini duyar. Bir bahçıvan olarak gelmekten çok memnun.",@Null@,Özel vücut efekti: yıldız ışığı ile çevrili!,Avatar: avatarın kilidini aç.,@Null@,,,
60,Arell,"Arell, gökyüzünden parlak yıldız. Hayalleri gerçekleştirme gücüne sahip olun. Her Arell küçük bir arkadaş arıyor. Küçük arkadaş bir dilek tuttuğunda, Arell bunu duyar ve onunla yeni bir dünya yaratır.",@Null@,Özel vücut efekti: Gökkuşağı ile çevrili,Avatar: avatarın kilidini aç.,@Null@,,,
61,Kar Leoparı,Plato koruyucusu olarak seçilen kar dağda doğdu. Yumuşaktır ama evini savunurken büyük cesaret gösterir.,Kilidi açma eşyası etkinlikten elde edilir,Özel vücut efekti: Kar ile çevrili,Avatar: avatarın kilidini aç.,@Null@,,,
62,Ellie,Ellie bir poker kartıyla harikalar diyarına götürülür. Bu bilinmeyen bir macera. Ama Bay Tavşan en iyi arkadaştır. Daima onun yanında olacak.,@Null@,Özel vücut efekti: Çiçek ile çevrili,Avatar: avatarın kilidini aç.,@Null@,,,
63,Ninja Kurbağası,"Ninja Kurbağası, genç yaşta ninjutsu öğrenmeye başladı. Şimdi bir usta oldu, ama en çok özlediği zaman havuzun yanında yattığı zamandır.",Kilidi açma eşyası etkinlikten elde edilir,@Null@,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde kurbağaların ayak izleri kalacak.,,,
64,Starscream,"Starscream, ""Decepticon'ların lideri olmaya yazgılı"" olduğunu hissetti, hızlı konuşmayı severdi ve her zaman güç için Megatron ile rekabet etmek istedi, bu yüzden istemeden birçok Decepticon'un saldırı planlarını yok etti ve Megatron'un başını ağrıttı. .",@Null@,Özel vücut efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,#cda5b0aDeformasyon: Robotun / aracın şeklini değiştirmek için soldaki Deformasyon düğmesine tıklayın! #n,#cda5b0a Transformers Özel Becerileri: Hava Uyarısı! #n,
65,Hot Rod,"Sakin, ve sorumluluklu biri. Autobot'un gelecekteki lideri ve evrendeki yeni barış umududur. Kötülük karşısında korkusuzdur. Durum ne kadar tehlikeli olursa olsun, tereddüt etmeden hemen harekete geçer.",@Null@,Vücut özel efektleri: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,#cda5b0aDeformasyon: Robotun / aracın şeklini değiştirmek için soldaki Deformasyon düğmesine tıklayın! #n,#cda5b0aTransformers Özel Yetenek: Kırmızı Yıldırım! #n,
66,Galvatron,"Megatron'dan daha güçlü, daha zalim ve acımasız bir tirandır.Dönüşümden sonra, fethetme ve yönetme konusundaki güveni ve hırsı eşsizdir.O gücün vücut bulmuş halidir ve tüm evren bu acımasız tiranın iştahını tatmin edemez.",@Null@,Özel vücut efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,#cda5b0aDeformasyon: Robotun / aracın şeklini değiştirmek için soldaki Deformasyon düğmesine tıklayın! #n,#cda5b0aTransformers Özel Beceriler: Füzyon Lazer! #n,
67,Raul,"Sanal ve gerçek arasında yürürken, Raul günlük sorunları oyun seviyesi olarak alıp tek tek çözerdi.Şans ve yetenek işe yaramazsa, o zamana bırakın, Zaman insanları büyütür ve büyüme de her sorunun nihai cevabı.",Kilidi açma eşyası etkinlikten elde edilir,Vücut özel efektleri: etrafta yüzen karakterler!,Avatar: avatarın kilidini aç.,@Null@,,,
68,Lynn,Lynn arkadaşına sanal ve gerçek arasında küçük Cube mekik almayı seviyor. Dünyayı keşfetmek ve eğlencenin tadını çıkarmak onun için çok şey ifade ediyor. Asla durmaz ve her zaman ona dokunabilecek neon ışığı arar.,Kilidi açma eşyası etkinlikten elde edilir,Özel vücut efekti: etrafta yüzen mor parçacıklar!,Avatar: avatarın kilidini aç.,@Null@,,,
69,Tatlı Cyan,Tatlı Cyan Cok Güzel GuZheng(Bir enstrüman) Çalıyor. Hemde bir tane Üçgen piriç tatlısısatış yapıyor. O Guzheng(Bir enstrüman) ustası olmak istiyor. Guzheng'in(Bir enstrüman) ustası ve zongzi'yi(bir tatlı) satmada iyi bir patron olabilir mi?,@Null@,Vücut etkileri: Zong vücutta yüzen yapraklar!,Avatar: avatarın kilidini aç.,@Null@,,,
70,Twilight Sparkle,"Twilight Sparkle en bilgili biridir. Okumayı seviyor ve liderliği var. Princess Celestia, arkadaşlığın büyüsünü öğrenmesine ve daha fazlasını yaratmasına yardımcı oldu.",@Null@,Özel vücut efekti: Sihirli tune ile çevrili,Avatar: avatarın kilidini aç.,@Null@,,,
71,Princess Celestia,"Son derece etkili Equestria ülkesinin yöneticilerinden biridir ve güçlü bir büyüye sahiptir. Prenses Celestia günün sorumlusu olmasına rağmen, çok cana yakın ve pasta yemeyi seviyor, çok tatlı değil mi!",@Null@,Özel vücut efekti: Altın parçacık ile çevrili,Avatar: avatarın kilidini aç.,@Null@,,,
72,Fluttershy,"Son derece etkili Midilli ülkesinin yöneticilerinden biridir ve güçlü bir büyüye sahiptir. Prenses Celestia günün sorumlusu olmasına rağmen, çok cana yakın ve pasta yemeyi seviyor, çok tatlı değil mi!",@Null@,Özel vücut efekti: Altın parçacık ile çevrili,Avatar: avatarın kilidini aç.,@Null@,,,
73,Princess Luna,"Fluttershy, Midilli Vadisi'nin kenarında ahşap bir evde yaşıyor, her türlü hayvanla iletişim kurup arkadaş olabiliyor ve onları birlikte hareket etmeye yönlendirebiliyor. Uyum unsurunda ""iyiliği"" temsil eder.",Kilidi açma eşyası etkinlikten elde edilir,Özel vücut efekti: Ay çevirili.,Avatar: avatarın kilidini aç.,@Null@,,,
74,Grimlock,"Prenses Luna, Prenses Celestia'nın kız kardeşi, ikinci hükümdardır, gece ve rüyalardan sorumlu, ayın yükselmesinden ve genellikle kötü rüyadaki kurtarmasından sorumlu. Gizemli gözüküyor ama aslında sevimli.",Kilidi açma eşyası etkinlikten elde edilir,Özel vücut efekti: Elektromanyetik kıvılcım titremesi,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,#cda5b0aDeformasyon: Robot / mekanik dinozor formunu değiştirmek için soldaki Deformasyon düğmesine tıklayın! #n,#cda5b0aTransformers Özel Yetenek: Tyrannosaurus Roar! #n,
75,Swoop,Swoop'un basit düşünceleri ve pervasız davranışları bazen baş ağrısına neden olabilir ama aslında iyi kalpli bir savaşçıdır.Robot dinozor ekibinde büyük rol oynar ve savaş öncesi önemli bir keşif görevini üstlenir.,@Null@,Özel vücut efekti: Elektromanyetik kıvılcım titremesi,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,#cda5b0aDeformasyon: Robot / mekanik dinozor formunu değiştirmek için soldaki Deformasyon düğmesine tıklayın! #n,#cda5b0aTransformers Özel Yetenek: Swift Wings! #n,
76,Hırıltı,Hırıltı grup dışı bir adam. Stratejik meselelerle başkalarının ilgilenmesine izin vermeyi seviyor. Sadece Grimlock'un emirlerini takip etmesi ve doğrudan savaşa gitmesi gerekiyor. Bu aynı zamanda onu savaş alanındaki en güçlü Grimlock savaşçısı yapar.,@Null@,Özel vücut efekti: Elektromanyetik kıvılcım titremesi,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,#cda5b0aDeformasyon: Robot / mekanik dinozor formunu değiştirmek için soldaki Deformasyon düğmesine tıklayın! #n,#cda5b0aTransformers Özel Beceri: Kemik Mahmuzları Süpürme! #n,
77,Sanatçı Leonardo,Dünyayı arındırmak için renk büyüsü kullanan seyahat eden bir Sanatçı olduğu söylenir. Sıcak renkler değiştirilebilir ve soğuk renkler sessizdir. Aynı şey Sanatçı Leonardo için de geçerlidir: turuncu ve mavinin birleşimi tıpkı onun karakter sakinlik ve coşkusu gibi,Kilidi açma eşyası etkinlikten elde edilir,@Null@,Avatar: avatarın kilidini aç.,Ayak izleri: Geçtiği her yerde mavi boya kalacak.,,,
78,Thalia,"Değerli eşyalarınızı benimle değiş tokuş edin! Sana hayal ettiğin her şeyi vereceğim! Bir gün mini Evrende sihire düşkün kişilere Thalia imzalı mektuplar gönderilir. Offa Planet'te yüzen bir ada ve güzel, gizemli bir Kraliçe Thalia var!",Kilidi açma eşyası etkinlikten elde edilir,Özel vücüt etkisi: mor çiçek çevrili,Avatar: avatarın kilidini aç.,Ayak izleri: Geçtiği her yerde gül desenleri kalacak,,,
79,Uta,"Nadiren kimse Uta'yı bulabilir. Her zaman ormanın derinliklerinde saklanır, hayvanlar ve elflerle iletişim kurar. Belli mevsimlerde ortaya çıkıp kabilenin rahatsızlıklarını iyileştirmek ve kabusları ortadan kaldırmak için sihir kullanırdı, kehaneti ve tıbbı çok etkili ama yine de bir o kadar gizemliydi, bir keşiş ve ormanın değerli bir evladıydı.",@Null@,Özel vücüt efekti: büyücülük karakteri ile çevrili,Avatar: avatarın kilidini aç.,@Null@,,,
80,Tavşan Bey Laby,"Tavşan Bey Raby için en gurur verici şey farklı gezegenler arasında seyahat edebilmesidir. Ama Alice onun kılığına girdiğini görebiliyor gibiydi. Yanlışlıkla düşürülen bir oyun kartı, tanışmalarını sağlar ve harika macera başlar. Pokerin büyüsü bu mu? Hayır, bu kaderin büyüsü!",Kilidi açma eşyası etkinlikten elde edilir,Vücut efektleri: vücutta yüzen bir tavşan amblemi,Avatar: avatarın kilidini aç.,@Null@,#cd65b00Deformasyon: Tavşan / insansı formu değiştirmek için soldaki Deformasyon düğmesine tıklayın! #n,#cd65b00Bay Tavşan Özel Yeteneği: Zaman tükeniyor! #n,
