接口ID,土耳其语,土耳其语,土耳其语,土耳其语,土耳其语,土耳其语,土耳其语
20005,Dünya yönetimi,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",Macera modu - Serbest mod,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Hardcore mode') end"
20006,Dünya yönetimi,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",Tek mod veya Macera modu - Serbest mod,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Survival mode-Free mode') end"
20007,Dünya yönetimi,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",Oluşturma modundan hayata dönüş,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('Single Survival mode') end"
20008,Dünya yönetimi,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",Özel oyunun düzenleme modu,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('Survival mode, turned from creation mode') end"
20009,Dünya yönetimi,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",Özel oyunun operasyon modu,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('Customized edit mode') end"
20010,Dünya yönetimi,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",Oyunun mevcut saatini elde et (s),"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('Customized operation mode') end"
20011,Dünya yönetimi,getHours,World:getHours(),none,"ErrorCode.OK, result:number",Perspektif düzenleme durumunu al,"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('Current time:', dayTime) end"
20012,Dünya yönetimi,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0Default，1Edit，2Test",Perspeftif düzenleme durumunu ayarla,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('Current view editing state:', state) end"
20013,Dünya yönetimi,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,Özel kamera yapılandırması alın,"--Get Camera(userdata)，Back to nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --Customized view
        config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,Dünya yönetimi,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",Blok aralığını (chunk) elde etme,local result = World:getCustomCameraConfig()
20015,Dünya yönetimi,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number",Belirlenen alandaki oyuncu edinme,"local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')')  end"
20016,Dünya yönetimi,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:number designate type, x1|y1|z1:number starting point, x2|y2|z2:number ending point","ErrorCode.OK, num:number, objids:tableobjid array",Tüm oyuncuları al. Hayatta kalma durumlarını kontrol edebilir,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,Dünya yönetimi,getPlayerTotal,World:getPlayerTotal(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number Number",Tüm oyuncuları al. Hayatta kalma durumlarını kontrol edebilir,local result = World:getPlayerTotal(alive)
20018,Dünya yönetimi,getAllPlayers,World:getAllPlayers(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number number, array:table player uin array",Rastgele Oyuncu,"local aliveType = -1 --Get all players data
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20019,Dünya yönetimi,randomOnePlayer,World:randomOnePlayer(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, uin:number",Aktör kaldır,"local aliveType = 1 --Any survivors Id
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,Dünya yönetimi,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,"Yaratık üret (canavar, NPC, hayvanlar vb. dahil)","local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --Remove Actor
        local result = World:despawnActor(array[#array])
        if result == ErrorCode.OK then print('Despawn the last actor') end
end"
20021,Dünya yönetimi,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid array",Yaratığı kaldır,"local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --Little cow
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
        for idx = 1, #objIds do --Set the Oxygen dependence
                Creature:setOxygenNeed(objids[idx], true)
        end 
end"
20022,Dünya yönetimi,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,Belirtilen konumda eşyaları üret,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
20023,Dünya yönetimi,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",Eşyaları kaldır (Bölge ile),"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --Item's id and number
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,Dünya yönetimi,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:number starting point, x2|y2|z2:number ending point",ErrorCode.OK,Eşyaları kaldır (ID ile),"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('Successfully remove Item in designate region') end"
20025,Dünya yönetimi,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,Mermi Üret,"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('Successfully remove designate item') end"
20026,Dünya yönetimi,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,Bloğun dolu olup olmadığı,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,Blok yönetimi,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Bloğun sıvı olup olmadığı,"local result = Block:isSolidBlock(x, y, z)"
30002,Blok yönetimi,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Bloğun hava olup olmadığı,"local result = Block:isLiquidBlock(x, y, z)"
30003,Blok yönetimi,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Bloğun ilgili ID alın,"local result = Block:isAirBlock(x, y, z)"
30004,Blok yönetimi,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",blockalldata güncelleme+bildirim ayarla,"local result = Block:getBlockID(x, y, z)"
30005,Blok yönetimi,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Bloğu yok et,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,Blok yönetimi,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,Bloğu yerleştirin,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,Blok yönetimi,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:boolean whether it is placed right",blockalldata ayarla ve etraftaki boklara bildirim,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,Blok yönetimi,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,blockalldata ayarla ve mevcut konumdaki bloğu güncelle,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,Blok yönetimi,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Blok ayarı ve özellik durumunu ayarla,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
30010,Blok yönetimi,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,Fonksiyon bloğunun şalter durumunu elde edin,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,Blok yönetimi,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",Fonksiyon bloğunun şalter durumunu ayarlayın,local result = Block:getBlockSwitchStatus(pos)
30012,Blok yönetimi,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,Oyuncu olup olmadığını kontrol edin,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,Oyun Aktörü,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.OK is player is player,Bir canavar olup olmadığını kontrol edin,local result = Actor:isPlayer(objid)
40002,Oyun Aktörü,isMob,Actor:isMob(objid),objid,ErrorCode.OK is monster is monster,Aktörün tipini al: yaratık/oyuncu ...,local result = Actor:isMob(objid)
40003,Oyun Aktörü,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",Havada olup olmadığı,local result = Actor:getObjType(objid)
40004,Oyun Aktörü,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,Aktörün yerini elde et,local result = Actor:isInAir(objid)
40005,Oyun Aktörü,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",Aktörün konumunu ayarla,local result = Actor:getPosition(objid)
40006,Oyun Aktörü,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Atlama,"local result = Actor:setPosition(objid, x, y, z)"
40007,Oyun Aktörü,jump,Actor:jump(objid),objid:number,ErrorCode.OK,Kendini öldür,local result = Actor:jump(objid)
40008,Oyun Aktörü,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,Şu anki bakış yönünü elde et,local result = Actor:killSelf(objid)
40009,Oyun Aktörü,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",Hedef aktöre doğru hareket et,local result = Actor:getCurPlaceDir(objid)
40010,Oyun Aktörü,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,Hedef konuma doğru hareket et,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,Oyun Aktörü,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,Buff ekle,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,Oyun Aktörü,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,Herhangi bit buff olup olmadığı,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,Oyun Aktörü,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",Buff'ı sil,"local result = Actor:hasBuff(objid, buffid)"
40014,Oyun Aktörü,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,Tüm buff'ı temizle,"local result = Actor:removeBuff(objid, buffid)"
40015,Oyun Aktörü,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,Tüm negatif buff'ı temizle,local result = Actor:clearAllBuff(objid)
40016,Oyun Aktörü,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,Buff listesini al,local result = Actor:clearAllBadBuff(objid)
40017,Oyun Aktörü,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuff number, array:tablebuffid array",Mevcut index'e karşı buff'ın kalan itck' elde edin,local result = Actor:getBuffList(objid)
40018,Oyun Aktörü,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",Mevcut kan miktarı ekle,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,Oyun Aktörü,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,Mevcut kan miktarı elde et,"local result = Actor:addHP(objid, hp)"
40020,Oyun Aktörü,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",Mevcut maksimum kan miktarı elde et,local result = Actor:getHP(objid)
40021,Oyun Aktörü,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Oksijen hacmini arttır,local result = Actor:getMaxHP(objid)
40022,Oyun Aktörü,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,Oksijen hacmini elde et,"local result = Actor:addOxygen(objid, oxygen)"
40023,Oyun Aktörü,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",İlgili ekipmanın büyüsünü arttır,local result = Actor:getOxygen(objid)
40024,Oyun Aktörü,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,İlgili ekipmanın büyüsünü temizle,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,Oyun Aktörü,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,En yakın bloğun ID'sini ara,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,Oyun Aktörü,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",Aktörün perspektifinin yanal ofset açısını ayarla,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,Oyun Aktörü,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:number angle",ErrorCode.OK,Aktörün perspektifinin yanal ofset açısını elde et,"local result = Actor:setFaceYaw(objid, yaw)"
40028,Oyun Aktörü,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",Aktörün yanal ofset açısını döndür,local result = Actor:getFaceYaw(objid)
40029,Oyun Aktörü,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Aktörün yukarıya bakış açısını ayarla,"local result = Actor:turnFaceYaw(objid, offset)"
40030,Oyun Aktörü,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:number upward view",ErrorCode.OK,Aktörün yukarıya bakış açısını elde et,"local result = Actor:setFacePitch(objid, pitch)"
40031,Oyun Aktörü,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",Aktörün yukarıya bakış açısını döndür,local result = Actor:getFacePitch(objid)
40032,Oyun Aktörü,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Efekt oynat,"local result = Actor:turnFacePitch(objid, offset)"
40033,Oyun Aktörü,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Efekti durdur,"local result = Actor:playBodyEffect(objid, type)"
40034,Oyun Aktörü,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Dosya efektlerini oynat,"local result = Actor:stopBodyEffect(objid, type)"
40035,Oyun Aktörü,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:string file name, sync:bool synchronize",ErrorCode.OK,Dosya efektlerini durdur,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,Oyun Aktörü,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:string file name",ErrorCode.OK,Sesi Oynat,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,Oyun Aktörü,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,Sesi oynat (belirli tür:GSOUND_TYPE),"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,Oyun Aktörü,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:number designate name (GSOUND_TYPE)",ErrorCode.OK,actid olan yaratık IDli yaratığı sil,"local result = Actor:playSoundSpecial(objid, name, type)"
40039,Oyun Aktörü,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,Hasar türünü ayarla,"local result = Actor:clearActorWithId(actorid, bkill)"
40040,Oyun Aktörü,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,Bağışıklık hasarı türünü ayarla,"local result = Actor:setAttackType(objid, attacktype)"
40041,Oyun Aktörü,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,Araca binin ve inin,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,Oyun Aktörü,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:number ride",ErrorCode.OK,Yaratık davranış özelliklerinin durumunu ayarlayın,"local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,Oyun Aktörü,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,Hedef konuma yol bulma,"local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,Oyun Aktörü,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,Binek yaratığın objid alın,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,Oyun Aktörü,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,nil,local result = Actor:getRidingActorObjId(objid)
50001,Oyuncu,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",nil,local result = Player:getAttr(attrtype)
50002,Oyuncu,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Oda sahibi alın,"local result = Player:setAttr(attrtype, val)"
50003,Oyuncu,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",Yerel oyuncu olup olmadığını tespit et,local result = Player:getHostUin()
50004,Oyuncu,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.OK is local player is local player,Yerel oyuncunun uin'ini elde edin,local result = Player:isMainPlayer(objid)
50005,Oyuncu,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",Oyuncunun yarışma sonucunu elde edin,local result = Player:getMainPlayerUin()
50006,Oyuncu,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",Oyuncunun yarışma sonucunu ayarlayın,local result = Player:getGameResults(objid)
50007,Oyuncu,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,Oyunun puanını elde edin,"local result = Player:setGameResults(objid, result)"
50008,Oyuncu,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",Oyunun puanını ayarla,local result = Player:getGameScore(objid)
50009,Oyuncu,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",Oyuncunun sıralamasını elde edin,"local result = Player:setGameScore(objid, score)"
50010,Oyuncu,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number",Oyunculara sıralamayı ayarlayın,local result = Player:getGameRanking(objid)
50011,Oyuncu,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,Oyuncuya eşya ekleyin,"local result = Player:setGameRanking(objid, rank)"
50012,Oyuncu,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1 is shortcut bar prior 2 is backpack bar prior)",ErrorCode.OK,Doğum noktasına transfer edin,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,Oyuncu,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,Oyuncu tarafından şu anda tutulan eşya ID'sini alın,local result = Player:teleportHome(objid)
50014,Oyuncu,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",Oyuncunun takma adını al,local result = Player:getCurToolID(objid)
50015,Oyuncu,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",Sırt çantasının içeriğini çıkarın,local result = Player:getNickname(objid)
50016,Oyuncu,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,Oyuncunun ölüm sayısını alın,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,Oyuncu,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",Oyuncunun bıraktığı can sayısını alın,local result = Player:getDieTimes(objid)
50018,Oyuncu,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",Yaratık takımını ayarlayın,local result = Player:getLeftLifeNum(objid)
50019,Oyuncu,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,Yratık takımını elde edin,"local result = Player:setTeam(objid, team)"
50020,Oyuncu,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Mevcut tokluk aderecesini elde edin,local result = Player:getTeam(objid)
50021,Oyuncu,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,Mevcut doygunluğu ayarla,local result = Player:getFoodLevel(objid)
50022,Oyuncu,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,Şu anda kullanılan kısayol çubuğu tuşunu alın,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,Oyuncu,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",Mevcut oyuncu tarafından tutulan öğelerin tüketimini ayarlayın,local result = Player:getCurShotcut(objid)
50024,Oyuncu,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:number items number",ErrorCode.OK,CD'yi kur,"local result = Player:onCurToolUsed(objid, num)"
50025,Oyuncu,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,Oyuncuyu belirtilen noktaya dirilt,"local result = Player:setSkillCD(objid, itemid, cd)"
50026,Oyuncu,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Oyuncunun diriliş noktasının konumunu değiştirin,"local result = Player:reviveToPos(objid, x, y, z)"
50027,Oyuncu,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Oyuncu animasyonu oynatır,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,Oyuncu,playAct,"Player:playAct(objid, actid)","objid:number, actid:number动作id",ErrorCode.OK,Oynatıcıya pencere metnini göster,"local result = Player:playAct(objid, actid)"
50029,Oyuncu,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:string text content",ErrorCode.OK,Oyuncunun mevcut öğeyi kullanmasını sağlayın,"local result = Player:notifyGameInfo2Self(objid, info)"
50030,Oyuncu,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:number state of using, onshift:boolean whether to press shift",ErrorCode.OK,Oyuncu kamerasını döndür,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,Oyuncu,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,Oyuncunun perspektif modunu değiştir,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,Oyuncu,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,Yaratık davranış özelliklerinin durumunu ayarlayın,"local result = Player:changeViewMode(objid, viewmode, islock)"
