ID,名字,描述
65,Arındırıcı ışınlar,"Jet hareket ederken, otomatik olarak soğuk gümüş-mor ışık dalgaları yayar."
66,Yükselen bulut,Kısa bir mesafe boyunca havada uçabilir ve düşme sırasında can kaybetmez
67,Atılım,Düşme sırasında kan kaybı olmadan havada belli bir mesafe uçabilir
68,Zaman ve uzay atlama,"Uzay-zaman atlama becerisini kullandıktan sonra, sivri yönde 15 blok ötede görünür."
69,Kasırga,"Kullanımdan sonra, arabanın arkasından küçük bir hortum gelecek"
70,Sihirli köpük,Birçok kabarcık vücudun her yerinde görünecek.
71,Rüzgar kanatları,Havada belli bir mesafe uçabilir ve düşme sırasında kan kaybetmez
72,Sihirli su akışı,Etrafında devamlı olarak dönen mavi su akışı çkar.
73,Mucize gözyaşları,Bir enerji kalkanı oluşabilir.
74,Kırmızı parıltı,Etrafında devamlı olarak dönen kırmızı parıltı çıkar.
75,Altın ışık,Etrafında devamlı olarak dönen altın parıltı çıkar.
76,Mavi parıltı,Etrafında devamlı olarak dönen mavi parıltı çıkar.
77,Düşen yaprakları,Etrafınızdaki küçük yaprakları
78,Kelebek flutter,Kelebekler ve etrafınızdaki çiçek açan çiçekler
79,Uçan yaprakları,Etrafında uçan pembe yaprakları ve çiçekler
80,Yelken açmak,10 saniye boyunca% 20 hızlandırmak için atlama düğmesine dokunun.
81,Başlangıç ​​Summon,Seni takip eden 1 küçük geni toplamak için atlama düğmesine dokunun.
82,Ara çağlar,Atlama düğmesine tıklayın ve bir yıldız genie takip edilecek görülecektir.
83,Gelişmiş çağlar,Atlama düğmesine tıklayın ve bir inci cinsi izlenecek görünecektir.
84,Gizli Tanrı,"Atlama düğmesine tıkladıktan sonra, görünmez duruma girmek için orta havada tekrar atlama düğmesini tıklayın."
85,Ruhsuz,Vücudun etrafında altın dişliler görünecektir.
86,Mor yıldırım,Vücudun etrafında mor yıldırım görünecektir.
87,Rüzgarhane,Önünüzdeki herkesi havaya uçurmak için Tornado'yu çağırmak için enerji toplamak için atlama düğmesine uzun basın.
88,Spiral uçuş,"Atlama düğmesine tıkladıktan sonra, gökyüzüne taşımak için orta havada tekrar atlama düğmesini tıklayın."
89,Ses dalgaları,Vücudu çevreleyen lazer ışık efekti.
90,Elektronik ses,Gövdeyi çevreleyen renkli yıldırım.
91,Ritim salıncak,Kendiniz ve takım arkadaşları belirli bir aralıkta sağlığını artırmak için atlama düğmesine uzun basın.
92,Süperstar geldi,Müttefiklerin sağlığını belirli bir aralıkta artırmak ve menzil içindeki canavarların sağlığını azaltmak için atlama düğmesine uzun basın.
93,Çırpınan çiçekler,Vücudun her yerinde uçan yapraklar var.
94,Yüzen bulutlar,Havada belirli bir mesafeyi uçmak için atlama tuşuna uzun basın.
95,Linglong,Su üzerinde yürüyebilirsiniz.
96,Hafif esinti,Vücudun her yerinde uçan yapraklar var.
97,Dans fanı,Vücudun her yerinde uçan yapraklar var.
98,Sallanma,Havada belirli bir mesafeyi uçurmak için atlama düğmesine uzun basın.
99,Ecstasy,Phantom Magic Circle'u etkinleştirmek için Kullan düğmesini tıklayın ve sihirli dairedeki canavarlar sersemlemektedir.
100,Servet,Et kemiklerini havada bırakmak için anahtarı kullanmak için tıklayın.
101,Mavi alev,Arkadan mavi alevler fışkırtıyor.
102,Ejderha ateşi,Vücudu saran turuncu alevler.
103,imparator topu,"Bir enerji topu ateşler. Bir kez vurulduğunda, hasar alınacaktır."
104,Ejderha Yükselişi,Gökyüzüne uçun. Havada özgürce süzülmek.
105,hayırlı,Altın lekeler ve küçük külçeler gövdeyi çevreler.
106,uğurlu kaplan,Bulutlar ve sis ile düşen ışıklar ve madeni paralar vücudu çevreler.
107,Kaplan Sıçrayışı,Hasarla vurmak için ileri sıçrayın.
108,dağ kükremesi,Belirli bir aralıkta hasarla vurmak için kükreme.
109,Meteor,Pembemsi mavi yıldızlar vücudu çevreler
110,Sarı çiçek,Vücudu saran beyaz çiçekler ve sarı floresan
111,pembe kalp,Vücudu saran pembe kalpler ve mavi floresan
112,uçan tüy,Havada belirli bir mesafe uçmak için atlama düğmesine uzun basın.
113,nimet,Ölümcül hasar alındığında sağlık arttı
114,Rüzgâr,Bambu yaprakları ve bulutlar vücudu çevreler
115,Gölge,Dağların ve nehirlerin gölgeleri bedeni sarar
116,Özgür,Hasar alırken hareket hızını arttırır
117,Panoramik,Önünüzdeki canavarlara hasar vermek için kullan düğmesine tıklayın.
118,Yıldız Gölgesi,Etrafta parıltı.
119,İlahi parıltı,Trans akan ışık.
120,İlahi rüya,Büyülemek ve rastgele güçlendirme almak için atlama tuşunu basılı tutun
121,İmparator Dao,Başak mecazi bir alev oluşturacak.
122,Kutsal yol,Vücudun her yerinde flamalar var.
123,Kılıç uçan,Havada biraz mesafe uçmak için atlama düğmesine uzun basın.
124,İmparatorluk kılıcı çift sinek,Arkadaşlarınızla binebilirsiniz ve çift kılıç da hareket hızını artırabilir.
125,Kabarcık banyosu,Etrafta yüzen kabarcıklar var.
126,Müzik notası kabarcık banyosu,Etrafta uçan baloncuklar ve müzik notaları var.
127,Uyurgezerlik,Su üzerinde yüzebilir.
128,Yüzen kabarcık,Etrafınızdaki canavarların kabarcıklara sarılı havada yüzmesini sağlamak için atlama düğmesine uzun basın.
129,Sevimli davran,Etrafta dolaşan bir sürü sevgi var.
130,Yüzen rüya,Tüm vücuda kırmızı çiçekler serpilir.
131,Işık,"Atlama düğmesine tıkladıktan sonra, iki aşamada atlamak için havada tekrar atlama düğmesine tıklayın."
132,Binlerce Yanılsama,"Atlama düğmesine uzun süre basmak, yakındaki canavarların bir fanteziye düşmesine ve birbirlerine saldırmasına neden olabilir."
133,Bir gezintiye çık,Vücudun her yerinde yüzen kedi ayak izleri var.
134,Uçan kum,Etrafta yüzen kum taneleri vardı.
135,Kum adım,"Sürüşten sonra, kum fırtınalarının hasarını azaltabilir."
136,Brocade gibi,Beyaz tüyler vücudun her tarafına yayıldı.
137,Fucui,Etrafta yüzen yeşil tüyler var.
138,Linlang,Muhteşem tüyler vücudun etrafında dalgalandı.
139,Gezmek,Havada bir mesafe uçmak için atlama düğmesine uzun basın.
140,Kuşun ruhu,"Bindikten sonra, görüş alanının parlaklığı büyük ölçüde iyileştirilir ve etrafınızdaki ortam geceleri net bir şekilde görülebilir."
141,Çabuk kum,Akan altın kum akan kalp dolgusu ile çevrili.
142,Ispanak,Altın osmantus çiçekleri vücudun her yerinde dalgalandı.
143,Yüzen ay,Su üzerinde yüzebilir.
144,Pastayı yendi,Rastgele bir gıda maddesi oluşturmak için atlama düğmesine uzun basın.
145,Endişeleri unut,Vadinin pembe zambakları ve biraz ışık ve gölge ile çevrili
146,Endişelenme.,"Vadinin pembe zambakları, küçük ışıklar ve kelebekler ile çevrili"
147,Rüzgar çanları,Havada bir mesafe uçmak için atlama düğmesine uzun basın.
148,Kokulu,Süper hızlı hareket hızına sahiptir.
149,Slayt,Vücudun her yerinde rüzgarla hareket eden akçaağaç yaprakları ve ışık olacak.
150,Güç hızlanması,Uzun bir mesafe için ileri koşmak için atlama düğmesine basın.
151,Pilot,"Düşük irtifada uçmaya devam etmek için atlama tuşuna çift tıklayın, ancak su ve lav üzerinde uçamaz. İnmek için atlama tuşuna tekrar çift tıklayın."
152,Domuzlar savaşıyor,"Ardışık saldırılara maruz kaldığında, düşmanın saldırı hasarı düşmana iade edilir."
153,Mum ışığı,Etrafta yüzen ışık noktaları var.
154,Sıçrama,Daha yükseğe atlamak için enerjiden tasarruf etmek için atlama düğmesine uzun basın.
155,Tavşan vuruşu,Hızla inmek ve yerdeki blokları yok etmek için havadaki atlama düğmesine tıklayın.
156,Şefkat,"Etrafı yıldızlarla, gölgelerle ve yapraklarla çevrili."
157,Toz,"Yıldızlar, yapraklar ve açık pembe ışık bantları ile çevrilidir."
158,Fantezi etrafında seyahat,Havada bir mesafe uçmak için atlama düğmesine uzun basın.
159,Rüya alanı,İki yönlü aktarım dizisi ayarlamak için iki konumun her birinde Kullan düğmesini tıklatın.
160,Kar,Mavi ışık ve küçük kar taneleri ile çevrilidir.
161,Buz sahası,Çevreye giren canavarlar yavaşlayacak.
162,Mutlak sıfır,Yakındaki canavarları dondurmak için atlama düğmesine uzun basın.
163,Süper enerji,Bir diyafram açıklığıyla çevrili
164,bir dilek tut,Etrafı küçük yıldızlarla çevrili.
165,sürpriz,Bir mesafeyi ileri ışınlamak için atlama düğmesine uzun basın.
166,Çift Yolculuk,Arkadaşlarınla birlikte at sürebilirsin.
167,Gollum,Her türlü küçük Gollum Canavarı ışık noktalarıyla çevrili.
168,Mucize enerjisi,Rastgele bir biyolojik yumurta oluşturmak için atlama düğmesine uzun basın.
169,Flutter,"Atlama düğmesine çift tıklamak düşük bir irtifada uçmaya devam edebilir, ancak su yüzeyi ve magma üzerinde uçamaz. Atlama düğmesine tekrar çift tıklamak inebilir."
170,hamur tatlısı tütsü,Vücudun etrafında yüzen narin küçük zongzi var.
171,yelken aç,Su üzerinde yüzebilir.
172,deniz balıkçılığı,Zongzi atmak ve bir deniz yaratığı elde etmek için sudaki atlama düğmesine uzun basın.
173,Duman bulutu,Sisli bulutlar
174,Dağ manzarası,Daha hızlı kazmak için eyer çağırma
175,Su-Ay Çiçekleri,"Zıplamayı basılı tut, yaratık çağır, canavarlara saldır."
176,Tatlı Rüya,"Şekerler, parçacıklar, kalpler etrafında"
177,Fantazi,HP azaldıkça oyuncunun ATK artar.
178,Oyuncak Bebek Partisi,Mutlu Ayıı çağırma ve sıcaklık.
179,,
180,,
181,ritim,Dayak müzik notalarıyla çevrili.
182,Ayın Sesi,Yıldızlar ve ay eşliğinde vücudun her yerinde atan mor ve altın müzik notaları var.
183,müzik,"Atlama tuşuna çift tıklamak, bir süreliğine sağlık noktalarını hızlandırabilir ve geri yükleyebilir."
184,Yıldız Kasası Zevk,Atlama düğmesine uzun süre basmak yakındaki canavarları sersemletebilir.
185,Biye,Yeşil yapraklarla çevrili.
186,Yeşil Sığınma,"Yeşil enerji, çiçekler ve yeşil yapraklarla çevrilidir."
187,Ormanın Kutsaması,"Atlama tuşuna çift tıklamak, bir süre sağlık noktalarını geri yükleyebilir."
188,doğal rezonans,"Atlama düğmesine uzun süre basmak, yakındaki canavarlara zarar verebilir."
189,Harika Işık,Her yerde parlıyor.
190,Deniz İpek Dansçısı,Deniz yaşamı ışığıyla parlıyor.
191,Mercan Resifi,Hasar kalkanı için çift dokunma zıplama
192,Gelgit Öfkesi,"Uzun basılı tutun, sıçrayın ve yakındaki canavarları püskürtün"
193,Koi Lambası,parlayan bir ışık saçıyor.
194,Dans eden lambalama balığı.,Tüm bedeni küçük koi balıkları ve ışık noktalarıyla süslendi.
195,Jinfu Ekranı,"Çift tıklama atlama tuşuyla bir kalkan elde edebilirsiniz, kısmi hasarlara karşı koruma sağlar."
196,En Şanslı Dans.,"Uzun basınçla atla düğmesi, bazı sağlık puanların geri kazanılması için bir koi balığının gücünü serbest bırakabilir."
197,Rüya gibi.,Vücudu ışık noktalarıyla doluydu.
198,Çocukların düşleri dönüyor.,Masal küçük atlarının etrafında dans ederek dolaşıyor.
199,Yıldız Işıkları Galopu.,Çift tıklayarak zıplama tuşunu kullanarak geçici hızlanma efekti elde edebilirsiniz.
200,Melodi ahenkli şekilde yayılır.,"Uzun basın zıplama tuşunu masal melodi serbest bırakmak için kullanabilirsiniz, bu çevredeki canavarları geçici bir baygınlık durumuna sokar."
201,Bir ata binip toz olmuş gibi hızla ilerliyor.,Vücudunda toz bulutları uçuşuyor.
202,Şekerli saldırı,Çevreye şeker atma.
203,Hayali bir gölgenin varlığı.,Etrafında tava hayaleti uçuşan bir görüntü var.
