ID,名字,描述,获得方式
26,Drift şişesi,"Okyanus ve nehir ekolojisinde #c0aba1d #n dışarı atıldığında, akım dileğinizi mesafeye götürecek, belki bir gün mesafede bulunacak",Deri kaydırmayı almak için küçük bir cam şişe karesine yerleştirin
27,Uzakta sürüklenme şişesi,"Sürüklenen şişede mühürlenen not genellikle önemli bilgiler veya yürekten nimetler içerir. Tabii ki, belirli bir zamanda birinin düşünceleri de olabilir. Dağları ve denizleri geçmiş ve zamanı geçmiş gibi görünüyor... Şişeyi yere koyun ve görmek için notu çıkarın...",Balıkçılık ve okyanusu keşfetmek için bir şans var
28,Küçük cam şişe (kare),Lay ve yazılı deri kaydırmayı içeri koy,
29,sarı kum,Yaygın olarak su kenarı ve çöl alanlarında bulunan kürek aletleri hızlı bir şekilde çıkarılabilir ve genellikle cam ateşlemek için kullanılan kuvars kumu işlemek için hammaddelerdir.,#c0aba1d sahil #n ve #c0aba1d çöl alanlarında yaygın #n
30,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
31,Katı Buz Sivri Uçları,Buz Sivri uçları oldukça #c0aba1dstable#n'dir. Etraflarındayken kask taktığınızdan emin olun!,
32,Yüzen Buz Sivri Uçları,Bu Buz Sivri Uçlarının #c0aba1ddrop#n olması oldukça muhtemeldir. Etraflarındayken kask taktığınızdan emin olun!,
33,Sıradan Kristal Çekirdekli Cevher,@item_11013# veya daha gelişmiş olanlarla toplanması gerekir.,Buz Sahası'nın #c0aba1dSnow Dağı Mağaraları#n'sinde ve Yağmur Ormanları'nın #c0aba1dunderground#n'sinde ortaya çıkabilecek nadir cevherler.
34,Frostfire Cevheri,Ürpertici soğuk yayan cevherler. @item_11011# veya daha gelişmiş olanlarla toplanması gerekir. Çevredeki sıcaklık # n'yi #c0aba1dlower.,Buz Sahası'nın #c0aba1dSnow Dağı Mağaraları#n'ında ortaya çıkabilecek nadir cevherler.
35,Frostfire Taşı,Çok sayıda @item_11824#'dan yapılmış ürpertici bir blok. Çevre sıcaklığını # n #c0aba1dsignificantly düşürecektir.,
36,Mağara Girişi Yenileme,,
37,Mağara Tüneli Yenileme,,
38,Mağara Mağarası Yenileme,,
39,Mağara Deliği Yenileme,,
40,Geçersiz Kristal Blok,"Void Kristal Bloklar kullanılarak hazırlanmış bu özel blok, çevredeki alanı aydınlatır. Hiçlik Gecesi sırasında en güçlü canavarları çekebileceği için onu @item_596# altına yerleştirirken dikkatli olun. Akıllıca kullan!",
100,Çimenli Toprak Bloğu,"Yüzeydeki bir blok, küreklerle hızlı bir şekilde toplanabilir. #c0aba1dUse @item_102# haline getirmek için tırmıklar. @item_103# yapmak için Kürekleri kullanın.",@item_101# üzerinde @item_11226# kullanarak edinin.
101,lod,Yüzeyin altında kolayca bulunur. Yağmurdan sonra yeşillikleri filizleyebilir ve çim blokları olabilir. Kürek aletleri hızla mayınlanabilir. #c0aba1d ekili arazi olmak için tırmık araçlarını kullanın ve toprak çukuru olmak için kürek araçlarını kullanın,Yüzeyin altında mevcuttur
102,ekilebilir arazi,"Bitkiler dikilebilir, suya yakın olabilir veya nemli tutmak ve mahsul büyümesini kolaylaştırmak için su kaynakları ile sulanabilir",
103,kir çukuru,Çiçek tohumları ve fidanları su kaynağına yakın ekilebilir veya nemli ve bitki büyümesine elverişli tutmak için su ile sulanabilir,
104,kaya,"Yeraltında her yerde görülebilir, kazma aletleri hızla mayınlanabilir",
105,bluestone,Taş ve yosundan yapılmış yapı malzemeleri,
106,ince sarı kum,"Genellikle sahil ve çöl alanlarında bulunan kürek araçları hızlı bir şekilde çıkarılabilir, kuvars kumu işlemek için hammadde, kuvars kumu genellikle cam ateşlemek için kullanılır #r yerçekimi etkisi altına girer",Kıyı ve çöl alanlarında yaygın
107,çakıl kazık,"Sağlam olmayan çakıl yığınları, kürek aletleri hızla çıkarılabilir. Aşağıda boş #r , üzerinde durmak çökecek, sağlam durmaya dikkat edin",
108,Düz sarı tuğla,Sarı kumdan ateşlenen yapı malzemeleri,
109,kum,"Bitkilerin büyüyemediği çorak pıhtılar, kürek aletleri hızla çıkarılabilir",
110,Dağınık taşlar,"Madencilikten sonra elde edilen rüzgar tarafından giyilen küçük kaya, taş aletleri işlemek için kullanılır",
111,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
112,siyah spar,Boşluğun hayaletinden etkilenen jeolojik yapı büyük ölçüde değişti ve cevher artık mevcut değil,
113,Gevrek buz,"Sudaki kırılgan buz, kırıldıktan sonra yıldızlara dönüşür ve cennet ile dünya arasında dağılır",
114,silt,"Sualtı pıhtıları, kürek aletleri hızla çıkarılabilir",
115,Kabarık Kar,Çeyrek ızgara yüksekliğinde ince yumuşak bir kar laminası. Kalınlığı değiştirmek için istiflenebilir.,
116,Sevimli göz yıldız taşı,Sevimli Göz Yıldızı 'nın özel taşları güçlü anti-patlama yeteneğine sahiptir ve #c0aba1d gizli gümüş kazma #n veya daha gelişmiş kazma araçları ile çıkarılmalıdır.,
117,Sevimli gözlü yıldız çim blok,Sevimli göz yıldızının çimi bitki büyümesi için gerekli besinleri içerir. #c0aba1d mithril kürek #n veya daha gelişmiş kürek araçlarını kullanın,
118,Sevimli göz yıldızı bulutu,"Sevimli Göz Yıldız Adası 'nın etrafındaki bulutlar, üzerlerine bastığınızda kırılmaya başlayacak",
119,kuru toprak,"Sevimli Göz 'te, Myra' nın kanatlarının besin maddelerini korumak için gezegenin bitki kültürü ortamına yerleştirilmesi gerekir, aksi takdirde besin kaybederler ve kuru toprak olurlar",
120,Donmuş Toprak,"Soğuk ortamlarda, @item_100# ve @item_101# @item_120#'a dönüşür. Soğuk ortamlarda yetişen bitkilerin bu tür topraklarda yetişmesi gerekir.",
121,Donmuş Çukur,Soğuk ortamları tercih eden çiçek ve ağaçların tohum ve fidanları buraya ekilebilir.,
122,Kalın Kar,#c0aba1dlava#n ile karşılaştığında suya eriyen kalın kar. Ortam sıcaklığını # n #c0aba1dslightly düşürür.,
123,Doğal Buz,Genellikle soğuk ve karlı bölgelerde görülür ve #c0aba1dhigh sıcaklıktaki ortamlarda suya karışır #n. Kazmalar ile hızlı bir şekilde toplanabilir. Çevre sıcaklığını # n #c0aba1dslightly düşürecektir.,
124,piroksen,"Yanan yıldızın ortak kayası, kazma aletleriyle hızla çıkarılabilir",
125,Yanan kum,"Kavurucu bir koku veren sarı kum, kürek aletleriyle hızla çıkarılabilir",
126,Mogu kayası,Bilinmeyen yerlerdeki taşlar patlamalarla kolayca yok edilmez,Tüccarlar bazen satar
127,köpük bloğu,Dekoratif kareler,
128,Kırmızı kum,"Mineral elementler açısından zengin nadir kırmızı kum kazıkları, yanıcı buzla karıştırıldığında çok dengesiz olabilir",Bazen laterit adalarında ve mercan adalarında bulunur
129,Kalın kar,,
130,Kalın kar yığınları,Birlikte bir kardan adam yapmak ya da kartopu savaşı yapmak istiyorum.,
131,Katı buz,Sallanamayan süper sert buz,
132,Kükürt kristal kum,"Alev yıldızının lavında görünen, sadece tungsten altın kürek#c0aba1d  #n çıkarılabilir. Kaotik kristaller yapmak için kullanılan malzemelerden biridir. Sıvı tarafından engellendiğinde patlayacak","#c0aba1d hayat değerlidir, lütfen oyun içi davranışları taklit etmeyin #n"
133,Boş kovan,"Şimdi kalacak bal yok, #c0aba1d şeftali ağacı yaprakları koyun #n bal biriktirebilir",
134,Tam kovan,"Bal dolu bir kovan, arılara dikkat edin! Şişelenmiş bal için küçük bir cam şişe kullanın",
135,Gizemli Totem - Dünya,Eski uygarlıklarda büyük öneme sahip taş heykeller şimdi sadece dekoratif,Sevimli Göz Yıldızı Maya Medeniyeti Eserleri Koleksiyonu
136,Gizem Totem - Gökyüzü,Eski uygarlıklarda büyük öneme sahip taş heykeller şimdi sadece dekoratif,Sevimli Göz Yıldızı Maya Medeniyeti Eserleri Koleksiyonu
137,Sevimli göz yıldızı krateri,,
138,Kirlilik Küpü,,
139,Blokları kullanarak BOSS savaşı,,
140,Livestone,"Eski kahramanlar tarafından inşa edilen sihirli sunak Myra 'nın yaşam gücünü temsil eder; Efsaneye göre, karşılık gelen kutsal nesneleri üç çeşit sunağa yerleştirmek gezegenin yaratıcı gücünü serbest bırakabilir ve kötü şeylerin ortaya çıkmasına neden olabilir",
141,Cesaret Taşı,"Eski kahramanlar tarafından inşa edilen sihirli sunak, alev yıldızının cesaretini ve gücünü temsil eder; Efsaneye göre, karşılık gelen kutsal nesneleri üç sunak üzerine yerleştirmek, gezegenin yaratıcı gücünü serbest bırakabilir ve kötü şeyleri ortaya çıkarmaya zorlayabilir",
142,Bilgelik Taşı,"Eski kahramanlar tarafından inşa edilen sihirli sunak, sevimli gözlü yıldızın bilgeliğini ve gücünü temsil eder; Efsaneye göre, karşılık gelen kutsal nesneleri üç çeşit sunağa yerleştirmek, gezegenin yaratıcı gücünü serbest bırakabilir ve kötü şeylerin ortaya çıkmasına neden olabilir",
143,Kırık sunak,"Eski sunak, yaşı nedeniyle, orijinal durumunu restore edemedikten, büyüsünü kaybettikten sonra kazıldı; #r efsaneye göre, eski kahramanlar yanardağ üzerinde üç kutsal sunak inşa ettiler ve üzerine üç kutsal nesne yerleştirdiler, bu da gezegeni serbest bırakabilir Yaratılış gücü, kötü şeyleri ortaya çıkmaya zorlar",
144,Kırmızı mersin cam şişe,"Yerleştirildiğinde, küçük bir çevreyi aydınlatır",Boş ada arazisinde küçük cam şişelerde kelebekleri yakalayın
145,Mavi kelebek cam şişe,"Yerleştirildiğinde, küçük bir çevreyi aydınlatır",Boş ada arazisinde küçük cam şişelerde kelebekleri yakalayın
146,Kokulu Kelebek Cam Şişe,"Yerleştirildiğinde, küçük bir çevreyi aydınlatır",Boş ada arazisinde küçük cam şişelerde kelebekleri yakalayın
147,Beyaz kelebek cam şişe,"Yerleştirildiğinde, küçük bir çevreyi aydınlatır",Boş ada arazisinde küçük cam şişelerde kelebekleri yakalayın
148,Longxindie cam şişe,"Yerleştirildiğinde, küçük bir çevreyi aydınlatır",Boş ada arazisinde küçük cam şişelerde kelebekleri yakalayın
149,Dil Bell Kelebek Cam Şişe,"Yerleştirildiğinde, küçük bir çevreyi aydınlatır",Boş ada arazisinde küçük cam şişelerde kelebekleri yakalayın
150,laterit ekili arazi,Özel ürünler yetiştirilebilir ve suya yakın nemli tutulmalı veya duşlarla sulanmalıdır,Laterit geri kazanmak için bir tırmık kullanarak elde edildi
151,laterit çukuru,Özel bitkiler yetiştirilebilir ve suya yakın nemli tutulmalı veya duşla sulanmalıdır,Elde etmek için laterit geri kazanmak için bir kürek kullanın
152,Gezegen kaya dikey plaka,"Kurulmuş hafif levhalar, kalınlığa göre istiflenebilir",Usta masasında sevimli göz yıldızı taşlarıyla işleme
153,Bambu tahtası dikey levha,Kalınlığı değiştirmek için istiflenebilen dik hafif ahşap levhalar,Zanaatkarın masasında bambu ile işlenmiştir
154,Carmine dikey sayfa,Kalınlığı değiştirmek için istiflenebilen dik hafif ahşap levhalar,Zanaatkarın masasında karmin boyası ile boyanmış
155,Çimento tuğla dikey levha,"Kurulmuş hafif levhalar, kalınlığa göre istiflenebilir",Zanaatkarın masasında çimento tuğlaları ile işleme
156,Kükürt tuğla dikey levha,"Kurulmuş hafif levhalar, kalınlığa göre istiflenebilir",Zanaatkarın masasında kükürt tuğlalarla çalışmak
157,Taş dikey sayfa,"Kurulmuş hafif levhalar, kalınlığa göre istiflenebilir",Zanaatkarın masasında taşla çalışmak
158,Rafine taş tuğla dikey levha,"Kurulmuş hafif levhalar, kalınlığa göre istiflenebilir",Zanaatkarın masasında kaya ile çalışmak
159,Titanyum alaşımlı dikey levha,Kalınlığı değiştirmek için istiflenebilen dik ince ve hafif metal plakalar,Usta masasında titanyum alaşımı ile işlenmiş
160,Pirinç dikey levha,Kalınlığı değiştirmek için istiflenebilen dik ince ve hafif metal plakalar,Zanaatkarın masasında pirinçle çalışmak
161,Mika dikey sayfa,Kalınlığı değiştirmek için istiflenebilen dik ince ve hafif metal plakalar,Usta masasında mika ile işlendi
162,Mithril dikey plaka,Kalınlığı değiştirmek için istiflenebilen dik ince ve hafif metal plakalar,Usta masasında mithril ile işlendi
163,Yanan dikey plaka,Kalınlığı değiştirmek için istiflenebilen dik ince ve hafif metal plakalar,Zanaatkarın masasında yanan alevlerle işlendi
164,Limon sarı dikey plaka,Kalınlığı değiştirmek için istiflenebilen dik hafif ahşap levhalar,Usta masasında limon sarı boya ile boyanmış
165,Kireç dikey sayfa,Kalınlığı değiştirmek için istiflenebilen dik hafif ahşap levhalar,Zanaatkarın masasında kireç boyası ile boyama
166,Derin kestane kırmızı dikey ince plaka,Kalınlığı değiştirmek için istiflenebilen dik hafif ahşap levhalar,Zanaatkarın masasında kestane maun boyası ile boyanmış
167,Gün batımı turuncu dikey plaka,Kalınlığı değiştirmek için istiflenebilen dik hafif ahşap levhalar,Zanaatkarın masasında gün batımı turuncu boya ile boyanmış
168,Begonya kırmızı dikey plaka,Kalınlığı değiştirmek için istiflenebilen dik hafif ahşap levhalar,Zanaatkar Masasında Begonya Kırmızı Boya ile Boyalı
169,Fildişi beyaz dikey sayfa,Kalınlığı değiştirmek için istiflenebilen dik hafif ahşap levhalar,Usta masasında fildişi beyaz boya ile boyanmış
170,Sonbahar yaprak turuncu dikey plaka,Kalınlığı değiştirmek için istiflenebilen dik hafif ahşap levhalar,Usta masasında sonbahar yaprağı turuncu boya ile boyanmış
171,Dikey sayfa,Kalınlığı değiştirmek için istiflenebilen dik hafif ahşap levhalar,Zanaatkarın masasında ahşapla çalışmak
172,Sarı tuğla dikey levha,"Kurulmuş hafif levhalar, kalınlığa göre istiflenebilir",Zanaatkarın masasında sarı tuğlalarla işlendi
173,Manganez blok dikey sayfa,Kalınlığı değiştirmek için istiflenebilen dik ince ve hafif metal plakalar,Usta istasyonunda manganez nodülleri ile işleme
174,Açık gri dikey sayfa,Kalınlığı değiştirmek için istiflenebilen dik hafif ahşap levhalar,Usta masasında açık gri boya ile boyanmış
200,Kiraz ağacı,"Kiraz ağacı gövdesi, @item_800# olarak @item_11323# olarak işlenebilir, dekorasyon için kullanılabilir, yakıt olarak da kullanılabilir",Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
201,Karaçam,@item_800# 'da @item_11323#' e işlenebilen karaçam gövdeleri dekorasyon için kullanılabilir ve yakıt olarak da kullanılabilir,Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
202,Kavak,"Kavak gövdesi, @item_800# olarak @item_11323# olarak işlenebilir, dekorasyon için kullanılabilir, yakıt olarak da kullanılabilir",Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
203,Redwood,"Redwood gövdesi, @item_800# olarak @item_11323# olarak işlenebilir, dekorasyon için kullanılabilir, yakıt olarak da kullanılabilir",Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
204,nanmu,"Nanmu gövdesi, @item_800# olarak @item_11323# olarak işlenebilir, dekorasyon için kullanılabilir, yakıt olarak da kullanılabilir",Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
205,Ceviz,"Ceviz ağacı gövdesi, @item_800# olarak @item_11323# olarak işlenebilir, dekorasyon için kullanılabilir, yakıt olarak da kullanılabilir",Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
206,ahşap tahta,Ahşap binalarda yaygın olarak kullanılan temel yapı malzemesi,Zanaatkarın masasında ahşapla çalışmak
207,Sonbahar yaprak turuncu tahta,Ahşap binalarda yaygın olarak kullanılan temel yapı malzemesi,Usta masasında sonbahar yaprağı turuncu boya ile boyanmış
208,Fildişi beyaz ahşap,Ahşap binalarda yaygın olarak kullanılan temel yapı malzemesi,Usta masasında fildişi beyaz boya ile boyanmış
209,Begonya kırmızı ahşap tahta,Ahşap binalarda yaygın olarak kullanılan temel yapı malzemesi,Zanaatkar Masasında Begonya Kırmızı Boya ile Boyalı
210,Gün Batımı Portakal Tahtası,Ahşap binalarda yaygın olarak kullanılan temel yapı malzemesi,Zanaatkarın masasında gün batımı turuncu boya ile boyanmış
211,Derin kestane maun tahtası,Ahşap binalarda yaygın olarak kullanılan temel yapı malzemesi,Usta masasında derin kestane kırmızı boya ile boyanmış
212,Kiraz fidanı,"Yakıt olarak kullanılabilir, ancak çok hızlı yanar",
213,Karaçam fidanı,"Yakıt olarak kullanılabilir, ancak çok hızlı yanar",
214,Kavak fidanları,"Yakıt olarak kullanılabilir, ancak çok hızlı yanar",
215,Sekoya fidanları,"Yakıt olarak kullanılabilir, ancak çok hızlı yanar",
216,Nanmu fidanı,"Yakıt olarak kullanılabilir, ancak çok hızlı yanar",
217,Ceviz fidanı,"Yakıt olarak kullanılabilir, ancak çok hızlı yanar",
218,Kiraz Ağacı Yaprakları,@item_1200# için yakıt olarak veya #c0aba1dsnowman'ın şapkası#n olarak kullanılabilir.,
219,Karaçam yaprakları,@item_1200# için yakıt olarak veya #c0aba1dsnowman'ın şapkası#n olarak kullanılabilir.,
220,Kavak Yaprakları,@item_1200# için yakıt olarak veya #c0aba1dsnowman'ın şapkası#n olarak kullanılabilir.,
221,Kızılçam Yaprakları,@item_1200# için yakıt olarak veya #c0aba1dsnowman'ın şapkası#n olarak kullanılabilir.,
222,Phoebe Yaprakları,@item_1200# için yakıt olarak veya #c0aba1dsnowman'ın şapkası#n olarak kullanılabilir.,
223,Ceviz Yaprakları,@item_1200# için yakıt olarak veya #c0aba1dsnowman'ın şapkası#n olarak kullanılabilir.,
224,çim,"#nyok#c0aba1d , #c0aba1d avuç ot almak mümkündür #n","Gökyüzü geniştir, vahşi geniştir, rüzgar çimleri üfler ve sığırları ve koyunları görür"
225,solmuş çim,"#c0aba1d #n  #c0aba1d ölü çim #ntoplarken, geri kalanı bir avuç yabani ot #c0aba1d  #n","Liliyuan çimlerde, bir yaşında ve bir yaşında"
226,Toprak çekimi,"Gölgelerde büyüyen ve yemek pişirmek için ham madde görevi gören bir bitki. Doğrudan tüketmek #c0aba1d Dayanıklılığı#n geri kazandırır, ancak #c0aba1dsindirim sorunlarına#n neden olabileceğini unutmayın. Horas Adası'ndaki #c0aba1dHoras Spor Ağacı#n ile ilgi çekici etkileşimlere sahip olduğu söyleniyor.",
227,Perilla,"Gölgelerde büyüyen ve yemek pişirmek için ham madde görevi gören bir bitki. Doğrudan tüketmek #c0aba1d Dayanıklılığı#n geri kazandırır, ancak #c0aba1dsindirim sorunlarına#n neden olabileceğini unutmayın. Horas Adası'ndaki #c0aba1dHoras Spor Ağacı#n ile ilgi çekici etkileşimlere sahip olduğu söyleniyor.",
228,Gülhatmi,#c0aba1dBoynuzlu Geyikleri#n besleyerek #c0aba1dsüt üretimi#n durumuna geçmelerini kolaylaştırmak için,#c0aba1drainforest#n'de yetişir
229,Mısır,@item_344# şeklinde işlenebilir ve @item_344# yemek pişirmek için temel hammaddedir. @item_1200# üzerinde kızartılabilir,@item_11400#'ı @item_102# üzerine ekin veya elde etmek için Yabani Mısır toplayın
230,Dev Buru,,Elde etmek için @item_102# üzerine @item_11401# ekin
231,Dev brucella fideleri,Güneş ışığı ve su ile bir süre sonra fidelerde meyve büyüyecek,
232,hava kökü,"Büyük ağaçtan sarkan hava kökleri son derece serttir ve insanların ağırlığını taşıyabilir. Çok yükseğe tırmanmayın, düşmeye dikkat edin!",
233,laterit,"Nadir kırmızı toprak, zengin ve egzotik bileşenler, üzerinde büyüyen bitkiler bazı büyülü değişikliklere uğrayacak",Efsaneye göre denizin ortasında bir ada var ve her yerde kızıl toprak var.
234,pirinç,"#c0aba1d havzası #nsularında yetişen, bir kase çiğ pirinç içine işlenebilir ve daha sonra Dudu kuşuna beslenen bir taş tencerede pişmiş pirinç kasesine pişirilebilir #r üreme durumuna girebilir",Pirinç tohumlarının dibinde toprak veya sarı kum ve bir ızgara yüksekliği olan bir su yüzeyine ekilmesi
236,Hıyar,@item_102 # üzerinde yetiştirilebilir#rYou @item_11311 # almak için #c0aba1dDwen # n besleyebilir.,Kil Kavanozunu yok ederek veya Boom Yumurtasını yenerek tesadüfen elde edildi.
237,Sekoya meyvesi,Sekoya üzerindeki meyve yemek pişirmek için hammaddedir,
238,Bramble çim,"Dikenli çim, #c0aba1d  #n sonra bir avuç ot #c0aba1d  #n",
239,Megamarin,"Çok büyük, yemek için kesilmesi gerekiyor! Ustaların masasında işlenmesi gerekiyor.",Ekili arazilerde dev ölçekli meyve tohumları da elde edilebilir
240,Dev ölçekli tüy fideleri,Güneş ışığı ve su ile bir süre sonra fidelerde meyve büyüyecek,
241,Tatlı patates,@item_101# üzerine ekilebilir. @item_1200# üzerinde kızartılabilir,Kil Kavanozları yok ederek elde etme şansı var
242,Kaktüs sapı,"#c0aba1d çöl #nyetiştirilir, ahşap çubuklarla dikenli silahlara dönüştürülebilir!",Kaktüs tohumları kullanarak toprak çukurlarında da mevcuttur
243,Yabani mısır,Yıkımdan sonra #c0aba1d mısır elde etmek mümkündür #n,"Vahşice yetiştirilen mısır, bakım eksikliği nedeniyle çok besleyici değil"
244,Noel ağacı,"Noel Baba tarafından süslenmiş yaprak dökmeyen ağaç, genellikle binaları süslemek için kullanılır",Noel etkinlikleri sırasında Noel Baba 'nın mağazasında satın alın
245,su bitkileri,"#c0aba1d sığ deniz #nyetişen su bitkileri, karmaşık büyüme nedeniyle, üzerinde kalan canlıları ve sahne dolaşıklığı kolaydır, çok uzun kalmamaya çalışın, eğer yeterince şanslıysanız, içlerinde nadir hazineler de bulabilirsiniz",
246,Kelp,"#c0aba1d sığ deniz #n yetişen yaygın su bitkileri, yıkımdan sonra #c0aba1d yosun düşme olasılığına sahiptir #n",Kakma Rünlerin komple satın alınması kelp hasat edecek
247,Yüzen yaprakları,"#n  #c0aba1d su yüzeyine dağılmış, dekorasyon için su yüzeyine yerleştirilebilir",
248,Yüzen tahta,Suya yerleştirilir #c0aba1d ağırlığı taşır #n,Usta masasında ahşap tahtalarla işleme
249,çam konisi,Lezzetli yemek pişirmek için karaçam meyvesi,
250,Lotus,"#c0aba1d su yüzeyinde büyür #n, dekorasyon için su yüzeyine yerleştirilebilir",
251,bambu,"#c0aba1d panda #nkullandıktan sonra evcilleştirmek #c0aba1d mümkündür #n #c0aba1d yem #n evcilleştirilmiş panda, içi boş bambu direkleri elde edilebilir","#c0aba1d bambu ormanında yetiştirilen #n, toprak çukurlarına bambu sürgünleri dikilerek de elde edilebilir"
252,bambu yaprakları,"Dekorasyon olarak kullanılabilir, hasardan sonra bambu sürgünlerinin düşme şansı vardır",
253,bambu sürgünleri,#c0aba1d çukura dikilmiş #n bambuya dönüşebilir,Bambu yapraklarını yok etmek mümkündür
254,Maun,"#c0aba1d balta aletleri ile#n hızlı bir şekilde kesilebilir#r @item_11323# olarak işlenebilir, yakıt olarak da kullanılabilir",
255,Şeftali Yaprakları,@item_1200 # için yakıt olarak veya oksijen üretimi için hammadde olarak kullanılabilir.#rFeeding Redchisk'e üremesini sağlayabilir. Aynı zamanda #c0aba1dsnowman'ın şapkası#n olarak da kullanılabilir.,
256,Şeftali çiçeği fidanı,#c0aba1d çukurlarda #n şeftali ağaçlarına dönüşür,Zarar veren şeftali yapraklarının düşme şansı vardır
257,Zhenmu,"#c0aba1d balta aletleri ile#n hızlı bir şekilde kesilebilir#r @item_11323# olarak işlenebilir, yakıt olarak da kullanılabilir",
258,Genwood Yaprakları,@item_1200# için yakıt olarak veya #c0aba1dsnowman'ın şapkası#n olarak kullanılabilir.,
259,Zhenmu fidanı,Değerli ahşap fideleri,Hasarlı değerli ahşap yapraklarının düşme şansı var
260,Yapraksız değerli ahşap,Sevimli göz yıldızının çorak yüzeyinde büyür ve yanlara oksijen meyvesi ekilebilir,#c0aba1d mithril balta #n veya daha gelişmiş balta araçları kullanın
261,Starlight spor çubuğu,"Yanına bambu sürgünleri dikmek, perilla #c0aba1d mutasyona uğrayacak#n",Gökyüzü adasının altındaki gölgelerde #c0aba1d  #n
262,yosun,Nemli ve nem açısından zengin bir bitki büyümesi. Zemini kayganlaştırma eğilimi vardır ve kırılırsa @item_11595##r elde edilir. Sıcak güneş ışığının ulaşmadığı gölgede bile yosun gelişir ve yeşile canlılık katar,
263,Astrospore tohumları,"#c0aba1d sevimli göz yıldızı taşının gölgesinde #n dikildi, bir süre sonra yıldız ışığı sporları büyüyecek",
264,Kireç ahşap tahta,Ahşap binalarda yaygın olarak kullanılan temel yapı malzemesi,Zanaatkarın masasında kireç boyası ile boyama
265,Yapraksız değerli ahşap plakalar,Dekorasyon için kullanılabilir,Zanaatkarın masasında yapraksız değerli ahşaptan yapılmış
266,Mutant bambu sürgünleri,"#c0aba1d , #ntükettikten sonra 15 dayanıklılık kazanır ve aşağıdaki özel efektleri #r #c0aba1d floresan, çılgınca kazma veya kazma yorgunluğunu alır.",Bambu sürgünlerine yakın mutasyona uğramış yıldız ışığı sporları
267,mutasyona uğramış perilla,"#c0aba1d  #ntükettikten sonra 15 fiziksel güç kazanır ve floresan, yaşam kurtarma veya zehirlenme durumu #r #c0aba1d aşağıdaki özel etkileri elde eder.",Perilla 'ya yakın yıldız ışığı sporlarından mutasyona uğradı
