接口ID,越南语,越南语,越南语,越南语,越南语,越南语,越南语
30010,Khối vuông,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,Cài đặt trạng thái thuộc tính khối vuông,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,Khối vuông,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",Có được trạng thái bật- tắt của khối chức năng,local result = Block:getBlockSwitchStatus(pos)
30012,Khối vuông,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,Cài đặt trạng thái bật - tắt khối chức năng,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,Game Actor,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.OK is player is player,Kiểm tra xem có phải là người chơi,local result = Actor:isPlayer(objid)
40002,Game Actor,isMob,Actor:isMob(objid),objid,ErrorCode.OK is monster is monster,Kiểm tra xem có phải là quái vật,local result = Actor:isMob(objid)
40003,Game Actor,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",Nhận được loại actor: sinh vật/ người chơi,local result = Actor:getObjType(objid)
40004,Game Actor,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,Có phải đang trên không trung,local result = Actor:isInAir(objid)
40005,Game Actor,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",Nhận vị trí actor,local result = Actor:getPosition(objid)
40006,Game Actor,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Cài đặt vị trí actor,"local result = Actor:setPosition(objid, x, y, z)"
40007,Game Actor,jump,Actor:jump(objid),objid:number,ErrorCode.OK,Nhảy,local result = Actor:jump(objid)
40008,Game Actor,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,Tự sát,local result = Actor:killSelf(objid)
40009,Game Actor,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",Nhận hướng hiện tại,local result = Actor:getCurPlaceDir(objid)
40010,Game Actor,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,Di chuyển về phía actor mục tiêu,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,Game Actor,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,Di chuyển về phía vị trí mục tiêu,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,Game Actor,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,Thêm buff,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,Game Actor,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",Có phải có buff không,"local result = Actor:hasBuff(objid, buffid)"
40014,Game Actor,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,Xóa buff,"local result = Actor:removeBuff(objid, buffid)"
40015,Game Actor,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,Xóa tất cả buff,local result = Actor:clearAllBuff(objid)
40016,Game Actor,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,Xóa các buff xấu,local result = Actor:clearAllBadBuff(objid)
40017,Game Actor,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuff number, array:tablebuffid array",Nhận danh sách buff,local result = Actor:getBuffList(objid)
40018,Game Actor,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",Nhận phần còn lại của buff tương ứng index hiện tại,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,Game Actor,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,Thêm máu,"local result = Actor:addHP(objid, hp)"
40020,Game Actor,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",Nhận máu,local result = Actor:getHP(objid)
40021,Game Actor,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Nhận lượng máu nhiều nhất,local result = Actor:getMaxHP(objid)
40022,Game Actor,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,Thêm oxy,"local result = Actor:addOxygen(objid, oxygen)"
40023,Game Actor,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",Nhận oxy,local result = Actor:getOxygen(objid)
40024,Game Actor,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,Thêm phụ ma liên quan,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,Game Actor,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,Hủy các phụ ma liên quan,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,Game Actor,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",Tìm id khối vuông gần nhất,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,Game Actor,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:number angle",ErrorCode.OK,Cài đặt góc lệch ngang actor theo hướng di chuyển ,"local result = Actor:setFaceYaw(objid, yaw)"
40028,Game Actor,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",Nhận góc ngang actor theo hướng di chuyển,local result = Actor:getFaceYaw(objid)
40029,Game Actor,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Đổi góc ngang actor theo hướng góc bù,"local result = Actor:turnFaceYaw(objid, offset)"
40030,Game Actor,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:number upward view",ErrorCode.OK,Cài đặt góc nhìn lên của actor,"local result = Actor:setFacePitch(objid, pitch)"
40031,Game Actor,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",Nhận góc nhìn lên của actor,local result = Actor:getFacePitch(objid)
40032,Game Actor,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Đổi góc nhìn lên của actor,"local result = Actor:turnFacePitch(objid, offset)"
40033,Game Actor,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Phát các hiệu ứng,"local result = Actor:playBodyEffect(objid, type)"
40034,Game Actor,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Dừng các hiệu ứng,"local result = Actor:stopBodyEffect(objid, type)"
40035,Game Actor,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:string file name, sync:bool synchronize",ErrorCode.OK,Phát file hiệu ứng,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,Game Actor,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:string file name",ErrorCode.OK,Dừng file hiệu ứng,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,Game Actor,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,Phát âm thanh,"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,Game Actor,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:number designate name (GSOUND_TYPE)",ErrorCode.OK,Phát âm thanh (Loại:GSOUND_TYPE),"local result = Actor:playSoundSpecial(objid, name, type)"
40039,Game Actor,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,Xóa id sinh vật với actorid của sinh vật,"local result = Actor:clearActorWithId(actorid, bkill)"
40040,Game Actor,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,Cài đặt các loại sát thương,"local result = Actor:setAttackType(objid, attacktype)"
40041,Game Actor,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,Cài đặt miễn nhiễm sát thương,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,Game Actor,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:number ride",ErrorCode.OK,"Lên xe, xuống xe","local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,Game Actor,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Cài đặt hành vi, thuộc tính và trạng thái của sinh vật","local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,Game Actor,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,Tìm đường tới vị trí mục tiêu,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,Game Actor,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,Nhận objib của sinh vật thú cưỡi,local result = Actor:getRidingActorObjId(objid)
50001,Người chơi,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",nil,local result = Player:getAttr(attrtype)
50002,Người chơi,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,nil,"local result = Player:setAttr(attrtype, val)"
50003,Người chơi,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",Xem chủ phòng,local result = Player:getHostUin()
50004,Người chơi,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.OK is local player is local player,Kiểm tra xem liệu có phải là người chơi bản địa,local result = Player:isMainPlayer(objid)
50005,Người chơi,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",Xem uin của người chơi bản địa,local result = Player:getMainPlayerUin()
50006,Người chơi,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",Xem kết quả thi đấu của người chơi,local result = Player:getGameResults(objid)
50007,Người chơi,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,Cài đặt kết quả thi đấu của người chơi,"local result = Player:setGameResults(objid, result)"
50008,Người chơi,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",Xem điểm của người chơi,local result = Player:getGameScore(objid)
50009,Người chơi,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",Cài đặt điểm của người chơi,"local result = Player:setGameScore(objid, score)"
50010,Người chơi,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number",Xem xếp hạng của người chơi,local result = Player:getGameRanking(objid)
50011,Người chơi,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,Cài đặt xếp hạng của người chơi,"local result = Player:setGameRanking(objid, rank)"
50012,Người chơi,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1 is shortcut bar prior 2 is backpack bar prior)",ErrorCode.OK,Thêm công cụ cho người chơi,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,Người chơi,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,Chuyển đến điểm bắt đầu,local result = Player:teleportHome(objid)
50014,Người chơi,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",Nhận id vật phẩm hiện tại của người chơi,local result = Player:getCurToolID(objid)
50015,Người chơi,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",Xem tên của người chơi,local result = Player:getNickname(objid)
50016,Người chơi,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,Di chuyển vật phẩm trong túi,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,Người chơi,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",Xem số lần chết của người chơi,local result = Player:getDieTimes(objid)
50018,Người chơi,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",Xem số mạng còn lại của người chơi,local result = Player:getLeftLifeNum(objid)
50019,Người chơi,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,Cài đặt nhóm sinh vật,"local result = Player:setTeam(objid, team)"
50020,Người chơi,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Xem nhóm sinh vật,local result = Player:getTeam(objid)
50021,Người chơi,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,Xem độ đói hiện tại,local result = Player:getFoodLevel(objid)
50022,Người chơi,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,Cài đặt độ đói hiện tại,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,Người chơi,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",Xem thanh phím tắt hiện tại,local result = Player:getCurShotcut(objid)
50024,Người chơi,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:number items number",ErrorCode.OK,Đặt mức tiêu thụ vật phẩm đang cầm trên tay của người chơi ,"local result = Player:onCurToolUsed(objid, num)"
50025,Người chơi,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,Cài đặt CD,"local result = Player:setSkillCD(objid, itemid, cd)"
50026,Người chơi,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Hồi sinh về vị trí mặc định,"local result = Player:reviveToPos(objid, x, y, z)"
50027,Người chơi,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Chỉnh sửa vị trí hồi sinh của người chơi,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,Người chơi,playAct,"Player:playAct(objid, actid)","objid:number, actid:number动作id",ErrorCode.OK,Người chơi phát hoạt hình,"local result = Player:playAct(objid, actid)"
50029,Người chơi,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:string text content",ErrorCode.OK,Hiển thị văn bản của người chơi trong cửa sổ,"local result = Player:notifyGameInfo2Self(objid, info)"
50030,Người chơi,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:number state of using, onshift:boolean whether to press shift",ErrorCode.OK,Cho phép người chơi sử dụng công cụ hiện tại,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,Người chơi,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,Cuộn ống kính của người chơi,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,Người chơi,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,Đổi chế độ góc nhìn của người chơi,"local result = Player:changeViewMode(objid, viewmode, islock)"
50033,Người chơi,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Cài đặt hành vi, thuộc tính và trạng thái của sinh vật","local result = Player:setActionAttrState(objid, actionattr, switch)"
50034,Người chơi,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,"Bật - Tắt trạng thái thuộc tính, hành vi của người chơi","local result = Player:checkActionAttrState(objid, actionattr)"
50035,Người chơi,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Xem lượng HP tối đa,local result = Player:getMaxHP(objid)
50036,Người chơi,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Xem mức HP hiện tại,local result = Player:getCurHP(objid)
