ID,名字,描述
40,Còi Tuk Tuk,"Dùng để bấm còi, nháy đèn xe!"
41,Đại Gia Xuất Hiện!,Khi sử dụng sẽ ném ra vàng thỏi và tiền
42,4 Người Đồng Hành,Có thể chở 4 người
43,Tàu Không Gian,"có thể bay trên không trong một lúc, khi rơi sẽ không gây ra sát thương nào."
44,Đảo Cá Voi,Có thể lặn dưới nước
45,Sức mạnh của Bò,"Nhấn và giữ nút nhảy để tụ lực, khi nhảy tiếp đất có thể làm giảm tốc độ của sinh vật phía trước"
46,Sự nổi dậy của loài Bò,"Nhấn và giữ nút nhảy để tụ lực, khi nhảy tiếp đất có thể đẩy sinh vật ở phía trước đi một khoảng cách"
47,Phi Hoa,Có thể bay một khoảng cách nhất định trong không trung và không mất máu khi rơi
48,Kinh Hồng,Có thể bay một khoảng cách nhất định trong không trung và không mất máu khi rơi
49,Lá Nhảy Múa,"Khi sử dụng, kích hoạt hiệu ứng lá bay xung quanh"
50,Bánh xe mặt trời,Sử dụng để nhận chiếc khiên hấp thụ 20 sát thương
51,Thần Ánh sáng,Sử dụng để tăng sát thương người chơi lên 5%
52,Pháo hoa ma thuật,"Sau khi sạc, kích hoạt khi tiếp đất sau khi nhảy, pháo hoa sẽ bắn ra xung quanh vật cưỡi và nhạc sẽ được phát"
53,Pháo hoa tuyệt đẹp,"Sau khi sạc, kích hoạt khi tiếp đất sau khi nhảy, pháo hoa sẽ bắn ra xung quanh vật cưỡi và nhạc sẽ được phát"
54,Xung phong,Lao về phía trước
55,Xung kích,"Lao về phía trước, và có thể đánh bật những sinh vật trước mặt bạn trong một khoảng cách ngắn."
56,Lơ lửng,"Khi sử dung thần thú, nhân vật sẽ bay lượn khỏi mặt đất và hiệu ứng tiếng quạt sẽ được phát ra cùng lúc"
57,Bay Gần Mặt Đất,"Nó có thể bay ở độ cao thấp trong một khoảng cách nhất định, và nó sẽ không bị mất máu nếu bạn nhấn nút nhảy trong khi rơi."
58,Bay lên khỏi mặt đất,"Nó có thể bay một khoảng cách xa hơn ở độ cao thấp, và nó sẽ không bị mất máu nếu bạn giữ nút nhảy trong khi rơi."
59,Ánh Sáng Và Lông Vũ,Triệu hồi 3 thiên nga nhỏ bơi quanh thú cưỡi sau khi sử dụng
60,Hồ Thiên Nga,Có thể lặn xuống nước để bơi
61,Chuyến Bay Ban Mai,"Có thể bay trong một khoảng cách nhất định trong không khí, và sẽ không bị mất máu khi rơi"
62,Siêu Sóng Ánh Sáng,Khi di chuyển sẽ tự động phát ra các sóng ánh sáng dịu mát
63,Tia Hủy Diệt,Khi di chuyển sẽ tự động phát ra làn sóng ánh sáng đỏ vàng dịu mát
64,Sóng Ánh Sáng Thần Thánh,Khi di chuyển sẽ tự động phát ra các sóng ánh sáng dịu mát
65,Tia Tinh Chế,Khi di chuyển sẽ tự động phát ra những làn sóng ánh sáng tím bạc dịu mát
66,Mây Bay,"Có thể lơ lửng trên không trong một khoảng cách ngắn, và sẽ không bị mất máu khi rơi"
67,Đột Phá,"Có thể bay trong một khoảng cách nhất định trong không khí, và sẽ không bị mất máu khi rơi"
68,Bước Nhảy Thời Không,Sẽ xuất hiện cách đó 15 khối theo hướng chỉ sau khi sử dụng kỹ năng
69,Gió lốc,"Sau khi sử dụng, một cơn lốc xoáy nhỏ sẽ theo sau xe"
70,Bong Bóng Ma Thuật,Rất nhiều bong bóng sẽ xuất hiện quanh cơ thể.
71,Cánh Gió,"Có thể bay trong một khoảng cách nhất định trong không khí, và sẽ không bị mất máu khi rơi"
72,Nước ma thuật,Dòng nước xanh sẽ xuất hiện xung quanh bạn.
73,Nước mắt thần kỳ,Một lá chắn năng lượng có thể được hình thành.
74,Phát sáng đỏ,Ánh sáng đỏ xoay quanh bạn.
75,Phát sáng vàng,Ánh sáng vàng xoay quanh bạn.
76,Phát sáng xanh,Ánh sáng xanh xoay quanh bạn.
77,Cánh hoa rơi,Cánh hoa nhỏ rơi xung quanh bạn
78,Bươm bướm,Bướm và hoa nở xung quanh bạn
79,Cánh hoa bay,Cánh hoa màu hồng và bông hoa bay xung quanh bạn
80,Ra khơi,Nhấn vào nút Nhảy để tăng tốc 20% trong 10 giây.
81,Triệu hồi người mới,Nhấn vào nút Nhảy để triệu hồi 1 thần đèn nhỏ theo sau bạn.
82,Triệu hồi thường,"Ấn vào nút nhảy, một thần đèn sao sẽ xuất hiện và theo sau."
83,Triệu hồi cao cấp,"Ấn vào nút nhảy, một thần đèn lê sẽ xuất hiện và theo sau."
84,Ẩn Thần,"Sau khi ấn vào nút nhảy, ấn vào nút nhảy lần nữa ở giữa không trung để bật chế độ tàng hình."
85,Vùng đất linh hồn,Bánh răng Vàng sẽ xuất hiện quanh cơ thể.
86,Sấm sét tím,Sấm sét tím sẽ xuất hiện quanh cơ thể.
87,Windfury,"Giữ lâu vào nút nhảy để tích lũy năng lượng cho việc triệu hồi lốc xoáy, thổi bay bất cứ ai ngáng ngường."
88,Chuyến tàu bay lượn,"Sau khi ấn vào nút nhảy, ấn vào nút nhảy lần nữa ở giữa không trung để bay lượn."
89,Sóng âm,Toàn thân có hiệu ứng ánh sáng laser.
90,Điện âm,Toàn thân phủ đầy tia chớp màu sắc.
91,Nhịp điêu đong đưa,Nhấn giữ nút nhảy để tăng HP cho bản thân và đồng đội trong phạm vi nhất định.
92,Siêu sao đến,Nhấn giữ nút nhảy để tăng HP cho đồng đội và giảm HP của quái trong phạm vi nhất định.
93,Hoa Rung Rinh,Có những cánh hoa bay khắp cơ thể
94,Mây Trôi,Nhấn và giữ phím nhảy để bay một khoảng cách nhất định trong không khí
95,Linglong,Bạn có thể đi bộ trên mặt nước.
96,Gió Mát,Toàn thân có cánh hoa nhảy múa
97,Quạt Múa,Toàn thân có cánh hoa nhảy múa
98,Đong Đưa,Nhấn và giữ phím nhảy để bay một khoảng cách nhất định trong không trung.
99,Ảo Tưởng Say,"Nhấn vào nút sử dụng để kích hoạt vòng tròn pháp thuật, quái vật trong vòng tròn pháp thuật sẽ rơi vào trạng thái hôn mê."
100,Trời Ban Phước Lành,"Khi bấm vào nút sử dụng, xương may mắn sẽ rơi từ trên trời xuống"
101,Ngọn Lửa Xanh,Ngọn lửa màu xanh bắn ra từ phía sau.
102,Ngọn Lửa Rồng,Toàn thân bao quanh bởi ngọn lửa màu cam.
103,Pháo Hoàng Đế,"Bắn pháo năng lượng vào vị trí mục tiêu, gây sát thương lên quái vật bị bắn trúng."
104,Rồng Bay Lượn,"Bay lên trời cao, bay tự do trong không trung."
105,Điềm Lành,Toàn thân có đốm sáng vàng và thỏi vàng nhỏ.
106,Thú Tốt Lành,"Toàn thân bao phủ bởi những đám mây và sương mù tung bay, cùng ánh sáng và vô số đồng tiền vàng đang rơi xuống."
107,Hổ Nhảy,"Nhảy về phía trước, gây sát thương lên quái vật mà nó vồ trúng."
108,Hổ Gầm Rừng Núi,"Gầm lên một tiếng, gây sát thương lên quái vật trong một phạm vi nhất định."
109,Thiên Thạch,Những ngôi sao xanh hồng bao quanh cơ thể
110,Hoa Vàng,Hoa tắng và hào quang vàng bao quanh cơ thể
111,Trái Tim Hồng,Trái tim hồng và hào quang xanh bao quanh cơ thể
112,Phi Vũ,Nhấn nhảy để bay một khoảng cách nhất định trên không
113,Phú Quý,Tăng hồi phục khi nhận sát thương chí mạng
114,Gió Thổi,Lá tre và áng mây bao quanh cơ thể
115,Bóng,Bóng của núi và sông sẽ bao quanh cơ thể
116,Tự Do,Tăng tốc độ di chuyển khi nhận thương
117,Giang Sơn Ngàn Dặm,Nhấp vào nút sử dụng để triệu hồi núi và gây sát thương cho quái vật trước mặt.
118,Tinh Ảnh,Hạt Sáng lấp lánh toàn thân.
119,Thánh Huy,Ánh Sáng nhấp nháy toàn thân.
120,Bói Mộng,Nhấn giữ nút nhảy để phát huy phép thuật và nhận được 1 BUFF ngẫu nhiên.
121,Lối Đi Hoàng Đế,Các gai kiếm sẽ tạo thành một biểu tượng ngọn lửa.
122,Lối Đi Thánh,Toàn thân bao phủ bởi ngọn lửa chảy.
123,Ngự Kiếm Phi Hành,Nhấn giữ phím nhảy có thể bay một khoảng cách trong không trung.
124,Ngự Kiếm Song Phi,"Bạn có thể cưỡi cùng với bạn bè của mình, Ngự Kiếm Song Phi cũng có thể tăng tốc độ di chuyển."
125,Tắm Bong Bóng,Bong bóng trôi nổi khắp cơ thể.
126,Bồn Tắm Nốt Nhạc Bong Bóng,Bong bóng và nốt nhạc bay khắp cơ thể.
127,Mộng Du,Có thể nổi trôi trên mặt nước.
128,Bong Bóng Bập Bềnh,Nhấn giữ phím nhảy có thể làm cho những quái vật xung quanh bạn bị bao bọc trong bong bóng và lơ lửng trong không trung.
129,Làm Điệu,Xung quanh cơ thể có rất nhiều trái tim yêu thương.
130,Mộng Trôi,Hoa đỏ rơi rụng khắp toàn thân
131,Linh Hồn Ánh Sáng,Sau khi nhấp vào phím nhảy và nhấp vào phím nhảy một lần nữa trong không trung để có thể nhảy hai giai đoạn.
132,Ngàn Ảo Tưởng,Nhấn giữ phím nhảy có thể khiến những con quái vật gần đó rơi vào ảo ảnh và tấn công lẫn nhau.
133,Hóng Gió,Dấu chân Meo Meo trôi nổi xung quanh cơ thể.
134,Cát Bay,"Hạt cát bay quanh mình. "
135,Đạp Cát,"Ngồi phía sau có thể giảm sát thương từ Bão Cát. "
136,Như Gấm,"Lông vũ trắng bay quanh mình. "
137,Bèo Trôi,"Lông vũ màu xanh lá bay quanh mình. "
138,Ngọc Quý,"Lông vũ hoa lệ bay quanh mình. "
139,Quẩn Quanh,"Nhấp và giữ nút Nhảy có thể bay trong không trung một khoảng nhất định. "
140,Linh Hồn Khổng Tước,"Ngồi phía sau sẽ tăng biên độ lớn độ sáng góc nhìn, trong đêm tối cũng có thể nhìn rõ cảnh vật xung quanh mình. "
141,Cát Chảy,"Xung quanh mình bao bọc bởi dòng chảy lớp nhân trái tim cát vàng.  "
142,Liền Tâm,"Hoa quế vàng bay xung quanh mình. "
143,Trăng Trôi,"Có thể nổi trôi trên mặt nước. "
144,Đánh Kem,"Nhấp và giữ nút Nhảy có thể tạo ra ngẫu nhiên một loại đạo cụ Thức Ăn. "
145,Quên Buồn,Xung quanh được bao bọc bởi hoa linh lan màu hồng và những đốm sáng
146,Không Phiền Muộn,"Xung quanh được bao vậy bởi hoa linh lan màu hồng, đốm sáng và bươm bướm "
147,"Chuông Gió ","Nhấp nút Nhảy có thể bay trong không trung một khoảng cách nhất định. "
148,Hương Bay,"Có tốc độ di chuyển siêu nhanh. "
149,Trượt Nhanh,"Xunh quanh có lá phong và những dải sáng nhẹ bay theo gió. "
150,Động Lực Tăng Tốc,"Nhấp nút Nhảy có thể chạy nước rút về phía trước một khoảng cách nhất định. "
151,Phi Hành Gia,"Nhấp đúp vào phím nhảy có thể tiếp tục bay ở độ cao thấp, nhưng không thể bay trên mặt nước và dung nham, nhấp đúp vào phím nhảy một lần nữa để hạ cánh."
152,Heo Phản Kích,Khi bị tấn công liên tục sẽ trả lại sát thương tấn công của đối phương lại cho đối phương.
153,Ánh Nến,Xung quanh thân tản ra các điểm sáng.
154,Nhảy Vọt,Nhấn giữ phím nhảy lâu có thể tích lũy sức để nhảy cao hơn.
155,Thỏ Đột Kích,Nhấp vào phím nhảy trong không trung có thể nhanh chóng rơi xuống đất để phá hủy các khối trên mặt đất.
156,Dịu Dàng,Xung quanh cơ thể được bao quanh bởi ánh sáng của các ngôi sao và cánh hoa.
157,Hồng Ngập Tràn,"Toàn thân được bao quanh bởi ánh sáng của các ngôi sao, cánh hoa và dải ánh sáng màu hồng nhạt."
158,Du Chuyển Ảo Cảnh,Nhấn giữ phím nhảy có thể bay một khoảng cách trong không trung.
159,Không Gian Mơ Ước,Nhấp vào phím sử dụng ở hai vị trí tương ứng để thiết lập ma trận truyền hai chiều.
160,Tuyết Bay,Toàn thân được bao quanh bởi ánh sáng xanh và những bông tuyết nhỏ.
161,Khu Vực Băng Giá,Quái vật đi vào khu vực này sẽ bị giảm tốc độ.
162,Không Độ Tuyệt Đối,Nhấn giữ phím nhảy có thể đóng băng quái vật gần đó.
163,Siêu Năng Lượng,Vòng sáng bao quanh cơ thể
164,Ước Nguyện,Những ngôi sao nhỏ bay quanh người.
165,Bất Ngờ,Nhấn và giữ nút nhảy sẽ dịch chuyển lên phía trước một khoảng cách.
166,Song Kỵ,Có thể ngồi chung cùng bạn bè.
167,Lộc Cộc,Xung quanh cơ thể được bao bọc bởi các điểm sáng Thú Lộc Cộc nhỏ.
168,Năng Lượng Kỳ Diệu,Nhấn giữ phím nhảy có thể ngẫu nhiên tạo một quả trứng sinh vật.
169,Thình Thịch,"Nhấp đúp vào phím nhảy để tiếp tục bay ở độ cao thấp, nhưng không thể bay trên mặt nước và dung nham, nhấp đúp vào phím nhảy một lần nữa để hạ cánh."
170,Hương Bánh,Các bánh chưng nhỏ tinh tế nổi lên xung quanh cơ thể.
171,Giương Buồm,Có thể nổi trên mặt nước.
172,Câu Cá Trên Biển,Nhấn giữ phím nhảy trên mặt nước có thể ném bánh chưng và nhận được một sinh vật biển.
173,Mây Khói,Mây khói lúc ẩn lúc hiện bao phủ toàn thân!
174,Cảnh Núi,Triệu hồi thú cưỡi có thể tăng tốc độ đào.
175,Hoa Thủy Nguyệt,"Nhấn giữ nút nhảy có thể triệu hồi 1 sinh vật ngẫu nhiên, nó sẽ chủ động tấn công quái vật xung quanh."
176,Mộng Ngọt Ngào,"Kẹo ngọt, hạt và trái tim bao phủ toàn thân"
177,Ảo Tưởng,"Theo đó HP của người chơi giảm, sức tấn công sẽ tăng dần."
178,Bữa Tiệc Búp Bê,"Nhấn giữ nút nhảy có thể triệu hồi Gấu Nhỏ Vui Vẻ, khiến nhiệt độ thân thể của người chơi và thú cưỡi giữ ở mức phù hợp."
179,,
180,,
181,Âm Luật,Được bao quanh bởi các nốt nhạc.
182,Âm thanh của mặt trăng,"Xung quanh có những nốt nhạc màu tím và vàng nổi bật, kèm theo các ngôi sao và mặt trăng xung quanh."
183,Âm Nhạc,Bấm đúp vào nút nhảy để tăng tốc và phục hồi sức khỏe trong một khoảng thời gian.
184,Niềm vui của các vì sao,Nhấn và giữ nút nhảy để làm choáng những con quái vật ở gần.
185,Bích Diệp,Lá xanh bao quanh cơ thể.
186,Thiên Thanh,Lá xanh hoa tươi mang năng lượng xanh bao quanh cơ thể.
187,Phước Lành,Nhấn đúp vào nút nhảy sẽ hồi HP trong một khoảng thời gian.
188,Cộng Hưởng Tự Nhiên,Nhấn giữ nút nhảy sẽ tạo sát thương cho quái vật ở gần.
189,Ánh sáng Tuyệt vời,Lấp lánh khắp cả.
190,Nữ vũ công Lụa biển,Lấp lánh với ánh sáng của cuộc sống biển.
191,Rào san hô,Nhấn đúp để nhảy và nhận một lá chắn sát thương
192,Giận dữ của Thủy triều,Nhấn và giữ để nhảy và phun nước
193,Đèn Cá Chép,Phát ra ánh sáng xung quanh.
194,Điệu Múa Đèn Cá Chép,Những con cá chép nhỏ và đốm sáng tỏa ra xung quanh.
195,Màn Hình Jinfu,"Nhấp đúp phím nhảy có thể nhận 1 Khiên,, kháng lại một số sát thương."
196,Điệu Múa May Mắn,"Nhấn phím nhảy có thể thi triển sức mạnh Cá Koi, hồi phục điểm HP nhất định."
197,Mộng Ảo,Tia sáng lóe lên xung quanh.
198,Điệu Nhảy Tuổi Thơ,Xung quanh là những chú ngựa cổ tích đang nhảy múa.
199,Ánh Sao Lướt Nhanh,Nhấp đúp phím nhảy có thể nhận hiệu ứng tăng tốc trong thời gian ngắn.
200,Cộng Hưởng Giai Điệu,"Nhấn giữ phím nhảy có thể thi triển giai điệu cổ tích, khiến quái xung quanh vào trạng thái hôn mê trong thời gian ngắn."
201,Nhất Kỵ Tuyệt Trần,Bụi bay mù mịt xung quanh.
202,Kẹo Tấn Công,Ném kẹo tứ phía.
203,Bóng Hư Ảo,Hư ảnh chiếc chảo rải rác xung quanh.
