ID,名字
170005,Team5Cam
170006,Team6Tím
170007,Không có Team
180001,Số lượng người chơi
180002,Điểm
190001,Có thể bị đập vỡ
190002,Có thể tương tác
190003,Có thể bị đẩy
190004,Có thể rơi
200001,Trống
200002,AFK
200003,Đi dạo
200004,Tấn công cận chiến
200005,Tấn công viễn chiến
200006,Đi theo
200007,Bơi
200008,Chạy
200009,Tự nổ
200010,Bị thu hút
200011,Giao phối
210001,Mức Hp tối đa
210002,Mức Hp tối thiểu
210003,Hồi sinh
210005,Độ đói tối thiểu
210007,Lượng Oxy tối thiểu
210009,Tốc độ di chuyển
210011,Tốc độ bơi
210012,Sức nhảy
210014,Tỷ lệ Dodge
210015,Tấn công cận chiến
210016,Tấn công viễn chiến
210017,Phòng thủ cận chiến
210018,Phòng thủ viễn chiến
210019,Kích thước mô hình
220001,Có thể di chuyển
220002,Có thể tấn công
220003,Có thể bị giết
220004,Có thể thu thập công cụ
220005,Bị rơi khi chết
230001,Chọn vùng
240001,Vị trí trong Sự Kiện
240002,Điểm sinh ra
240003,Chọn vị trí
250001,Người chơi trong Kích Hoạt Sự Kiện
250002,Người chơi mục tiêu trong Sự Kiện
260001,Khối không khí
260002,Khối vuông trong Sự kiện
260003,Loại khối được tạo lần cuối
270001,Loại công cụ trong Sự Kiện
270002,Loại đạo cụ được tạo lần cuối
280001,Vật ném trong Sự Kiện kích hoạt
290001,Vật phẩm rơi trong Sự Kiện
300001,Sinh vật trong Sự Kiện kích hoạt
300002,Sinh vật mục tiêu trong Sự Kiện
300003,Chọn sinh vật
300004,Sinh vật được tạo ra lần cuối
310001,Biểu cảm trong Sự Kiện
320001,ĐÚNG
320002,SAI
330001,Sin
330002,Cos
330003,Tan
340001,Hiệu ứng đặc biệt trong Sự kiện
340002,Loại hiệu ứng đặc biệt được tạo lần cuối
350001,Hướng trên
350002,Hướng dưới
350003,Hướng trái
350004,Hướng phải
350005,Hướng trước
350006,Hướng sau
360001,Thực hiện hành động của đối tượng
370001,Cao âm 1
370002,Cao âm 1 (Thăng)
370003,Cao âm 2
370004,Cao âm 2 (Thăng)
370005,Cao âm 3
370006,Cao âm 4
370007,Cao âm 4 (Thăng)
370008,Cao âm 5
370009,Cao âm 5 (Thăng)
370010,Cao âm 6
370011,Cao âm 6 (Thăng)
370012,Cao âm 7
370013,Trung âm 1
370014,Trung âm 1 (Thăng)
370015,Trung âm 2
370016,Trung âm 2 (Thăng)
370017,Trung âm 3
370018,Trung âm 4
370019,Trung âm 4 (Thăng)
370020,Trung âm 5
370021,Trung âm 5 (Thăng)
370022,Trung âm 6
370023,Trung âm 6 (Thăng)
370024,Trung âm 7
370025,Hạ âm 1
370026,Hạ âm 1 (Thăng)
370027,Hạ âm 2
370028,Hạ âm 2 (Thăng)
370029,Hạ âm 3
370030,Hạ âm 4
370031,Hạ âm 4 (Thăng)
370032,Hạ âm 5
370033,Hạ âm 5 (Thăng)
370034,Hạ âm 6
370035,Hạ âm 6 (Thăng)
370036,Hạ âm 7
380001,Phím W
380002,Phím A
380003,Phím S
380004,Phím D
380005,Phím Space
380006,Phím Shift
380007,Phím B
380008,Phím C
380009,Phím E
380010,Phím F
380011,Phím G
380012,Phím H
380013,Phím I
380014,Phím J
380015,Phím K
380016,Phím L
380017,Phím M
380018,Phím N
380019,Phím O
380020,Phím P
380021,Phím Q
380022,Phím R
380023,Phím T
380024,Phím U
380025,Phím V
380026,Phím X
380027,Phím Y
380028,Phím Z
390001,Thanh phím tắt 1
390002,Thanh phím tắt 2
390003,Thanh phím tắt 3
390004,Thanh phím tắt 4
390005,Thanh phím tắt 5
390006,Thanh phím tắt 6
390007,Thanh phím tắt 7
390008,Thanh phím tắt 8
400001,Thanh phím tắt trong sự kiện
410001,Hiệu ứng trạng thái trong sự kiện
420001,Thanh trang bị 1 (Mũ bảo hiểm)
420002,Thanh trang bị 2 (Giáp ngực)
420003,Thanh trang bị 3 (Giáp đùi)
420004,Thanh trang bị 4 (Giày)
420005,Thanh trang bị 5 (Giáp lưng)
430001,Thanh trang bị trong sự kiện
440001,Loại sinh vật đã kích hoạt sự kiện
440002,Loại sinh vật mục tiêu trong sự kiện
440003,Loại sinh vật được tạo lần cuối
450001,Công thức trong sự kiện
460001,Dung luyện trong sự kiện
470001,Cốt truyện trong sự kiện
480001,Số lượng đạo cụ trong sự kiện
490001,Kiểu văn bản
490002,Văn bản nổi
490003,Thanh tiến độ
490004,Mũi tên chỉ vào mục tiêu
490005,Mũi tên chỉ vào vị trí
490006,Khu vực hướng dẫn hướng về mục tiêu
490007,Khu vực hướng dẫn hướng về vị trí
490008,Đường dẫn hướng dẫn hướng tới mục tiêu
490009,Đường dẫn hướng dẫn hướng về vị trí
500001,Tăng dần.
500002,Giảm dần.
510001,Thành phần sự kiện
520001,Giao diện chỉnh sửa hiện tại
520002,Giao diện sự kiện
530001,Chuyến bay
530002,Chuyển động mặc định
540001,Năm
540002,Tháng
540003,Ngày
540004,Giờ
540005,Phút
540006,Giây
540007,Timestamp (giây)
550001,Chuỗi sự kiện
570001,Âm nhạc trong sự kiện
580001,Tạm dừng
580002,Tiếp tục
580003,Đóng
590001,Chọn Cửa sổ hiển thị trên thế giới
600001,Đối tượng toàn cầu
610001,Phát lặp lại
610002,Phát 1 lần
990001,Nhóm Thường
990002,Nhóm Biển
990003,Nhóm Sa Mạc
990004,Nhóm hàn đới thường
990005,Nhóm hàn đới núi cao
990006,Nhóm Núi Lửa
990007,Nhóm Đất Ngập Nước
