角色ID,马来语,马来语,马来语,马来语,马来语
17,Kapten Tom,"Bekas askar khas pasukan pengaman, kemampuan bertahan di hidup liar dan menembak adalah sangat hebat",kemampuan bertahan di hidup liar 1,"Makanan untuk memulihkan kelaparan / nyawa, masa bernafas dalam air tambah 15%",The unlocking props can be gotten from Garden fruits.
18,Kapten Tom,"Bekas askar khas pasukan pengaman, kemampuan bertahan di hidup liar dan menembak adalah sangat hebat",kemampuan bertahan di hidup liar 2,"Makanan untuk memulihkan kelaparan / nyawa, masa bernafas dalam air tambah 30%",The unlocking props can be gotten from Garden fruits.
19,Agen Laura,"Idola wanita umum di syarikat sekuriti, suka pengembaraan yang mencabar.",Jangkaan,Pengecualian kematian (Belum aktif),The unlocking props can be gotten from Garden fruits.
20,Agen Laura,"Idola wanita umum di syarikat sekuriti, suka pengembaraan yang mencabar.",Jangkaan 1,"Kecederaan melebihi 45 poin dan menyebabkan kematian, hidup kembali dengan 25% nilai nyawa, pencetus 5 minit interval",The unlocking props can be gotten from Garden fruits.
21,Agen Laura,"Idola wanita umum di syarikat sekuriti, suka pengembaraan yang mencabar.",Jangkaan 2,"Kecederaan melebihi 25 poin dan menyebabkan kematian, hidup kembali dengan 50% nilai nyawa, pencetus 3 minit interval",The unlocking props can be gotten from Garden fruits.
22,Cindy Si Nakal,"Juru penerbang pasukan arkeologi asli, berwaspada.",Lompatan Super,"Meningkatkan kemampuan melompat, Tinggi lompatan akan dua kali lipat lebih tinggi pada level 2 (Belum aktif)",The unlocking props can be gotten from Garden fruits.
23,Cindy Si Nakal,"Juru penerbang pasukan arkeologi asli, berwaspada.",Lompatan Super 1,"Ketinggian lompatan +50%, Kecederaan jatuh -10",The unlocking props can be gotten from Garden fruits.
24,Cindy Si Nakal,"Juru penerbang pasukan arkeologi asli, berwaspada.",Lompatan Super 2,"Ketinggian lompatan +50%, Kecederaan jatuh -20, boleh lompat dua kali lipat",The unlocking props can be gotten from Garden fruits.
25,Pembantu Peter,Senior menyertai pasukan arkeologi untuk menghantar assignment graduan yang cemerlang.,Penemuan,Memecahkan botol untuk menemui pelbagai alatan (Belum aktif),The unlocking props can be gotten from Garden fruits.
26,Pembantu Peter,Senior menyertai pasukan arkeologi untuk menghantar assignment graduan yang cemerlang.,Penemuan 1,Memecahkan botol ada 18% untuk menemui pelbagai bahan jarang,The unlocking props can be gotten from Garden fruits.
27,Pembantu Peter,Senior menyertai pasukan arkeologi untuk menghantar assignment graduan yang cemerlang.,Penemuan 2,Memecahkan botol ada 27% untuk menemui pelbagai bahan jarang dan blok khas,The unlocking props can be gotten from Garden fruits.
28,Profesor Stephen,Kenapa profesor pusat sains negara berada di tanah gurun ini?,Berpengetahuan luas,Menemui pelbagai bahan masa menggali batu (Belum aktif),The unlocking props can be gotten from Garden fruits.
29,Profesor Stephen,Kenapa profesor pusat sains negara berada di tanah gurun ini?,Berpengetahuan luas 1,Menggali batu ada 4% menemui bijih jarang dan bahan,The unlocking props can be gotten from Garden fruits.
30,Profesor Stephen,Kenapa profesor pusat sains negara berada di tanah gurun ini?,Berpengetahuan luas 2,"Menggali batu ada 6% menemui bijih jarang, bahan dan blok khas",The unlocking props can be gotten from Garden fruits.
