ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
10,Jingle Deer,Comel dan nakal rusa kecil di Happy Krismas Valley.,@Null@,Kesan Istimewa: Mengeluarkan aura hari Natal,Avatar: Buka kunci avatar Jingle Deer,Footprint: leaving Christmas Deer footprints wherever it passes by,,,
11,Pendekar Salji,Pendekar salji dari Waste Land. Helang adalah teman baik dia.,@Null@,Kesan Istimewa: Mengeluarkan kesan kepingan salji,Avatar: Buka kunci avatar HeathHunterSnow,Footprint: snowball footprints are left wherever he walks by,,,
12,Yuji,Bidadari cantik yang jatuh dari langit dan bertemu Murong,@Null@,Kesan Istimewa: Mengeluarkan kelopak bunga berterbangan,Avatar: Buka kunci avatar Yuji,@Null@,,,
13,Murong,Pendekar yang selalu berlatih di gunung dan bertemu Delilah,@Null@,Kesan Istimewa: Mengeluarkan visual nafas yang kuat,Avatar: Buka kunci avatar Murong,Footprint: leave footprints in the places that you walk,,,
14,Joey,Maaf. Mungkin peluruku tidak akan menarik perhatianmu.,@Null@,Kesan Istimewa: Mengeluarkan asap dan debu,Avatar: Buka kunci avatar Joey,Footprint: police star footprints,,,
15,Lucas,Pemain basket dengan IQ tinggi. Pemenang Slam Dunk. Seorang MVP di setiap permainan.,@Null@,@Null@,Avatar: Buka kunci avatar Lucas,Footprint: basketball footprints,,,
16,Clair,"Seperti Lucas, Clair juga sangat glamor dan ramai menyukainya dia.",@Null@,@Null@,Avatar: Buka kunci avatar Cheerleader,Footprint: ribbon footprints,,,
17,Rose,Apakah ada yang mau menemani aku?,@Null@,Kesan Istimewa: Mengeluarkan hati berwarna merah berterbangan,Avatar: Buka kunci avatar Rose,@Null@,,,
18,Kapten Teach,Aku ingin menjadi kapten bajak laut terhebat. Tak pernah takut dengan angin dan badai di lautan,@Null@,@Null@,Avatar: Buka kunci avatar Kaptain Teach,Footprint: leave footprints in the places that you walk,,,
19,Mary,Aku mahu jadi penolong kapten bajak laut yang terkenal,@Null@,Kesan badan: Aroma laut berwarna merah jambu,Avatar: Buka kunci avatar,@Null@,,,
20,Jinyi,Aku tidak takut dengan pedang.,@Null@,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk angin plantar,Avatar: Buka kunci avatar Jinyi,@Null@,,,
21,Xiaolou,Baik hati dan sangat lemah lembut. Jangan sakiti dia!,@Null@,Kesan Istimewa: Kesan pic berbunga,Avatar: Buka kunci avatar Xiaolou,@Null@,,,
22,Lilith,Tipu atau helah,@Null@,Kesan Istimewa: Aura ahli sihir,Avatar: Buka kunci avatar Lilith,@Null@,,,
23,Wushuang,Jangan fikir kebaikanku sebagai satu kelemahan,@Null@,Kesan Istimewa: Bunga biru,Avatar: Buka kunci avatar Wushuang,@Null@,,,
24,Dragonet,Duniamu akan aku lindungi!,@Null@,Tapak kaki: Meninggalkan asap hitam,Avatar: Buka kunci avatar Dragonet,@Null@,,,
25,Erlang,Aku akan menjauhkan kamu dari roh jahat. Kamu akan selamat..,@Null@,Kesan Istimewa: Aura positif,Avatar: Buka kunci avatar Erh-lang,@Null@,,,
26,Mermale,Mak berpesan kejarlah cita-cita detinggi langit!,@Null@,Kesan Istimewa: Berkat mimpi,Avatar: Buka kunci avatar Mermale,@Null@,,,
27,Misoso,"Ketua pembangunan environmental dari Plan Pelindung Dunia, berjuang untuk membuat dunia lebih baik.",Dapatkan shard dalam acara Protector of the World Plan,Kesan Istimewa: Berkat alam semulajadi,Avatar: Buka kunci avatar Misoso,@Null@,,,
28,Mini-X,"Penjaga masa, suka berjalan dan muzik.",@Null@,Kesan Istimewa: Dikelilingi partikel elektron,Avatar: Buka kunci avatar Mini-X,@Null@,,,
29,Mini-T,Dalam baju sejuk ada semangat berapi untuk menerajui galaksi.,@Null@,Kesan Istimewa: Dikelilingi partikel elektron,Avatar: Buka kunci avatar Mini-T,@Null@,,,
30,Peri Bulan,Dia menari dibawah cahaya bulan.,@Null@,Kesan Istimewa: Dikelilingi bulan sabit,Avatar: Buka kunci avatar pari-pari bulan,@Null@,,,
31,Pumpkie,Penyihir misteri dan kuat dengan buku penuh harta magik dan memakai penutup kepalad tidak berguna.,@Null@,Kesan Istimewa: Dikelilingi aura sihir,Avatar: Buka kunci avatar Pumpkie,@Null@,,,
32,Shelley,Puteri kecil dari kerajaan dasar laut yang misteri sesat ke Mini World. Siapa yang gembiranya dapat mendengar nyanyian merdunya.,@Null@,Kesan Istimewa: Dikelilingi titisan air,Avatar: Buka kunci avatar Shelley,Footprint: leaving sea shells footprints wherever she passes by,,,
33,Christopher,Rahsia musim sejuk yang sebenarnya kepningan salji hidup dan  saling melindungi.,@Null@,Kesan Istimewa: Dikelilingi kepingan salji,Avatar: Buka kunci avatar Christopher,@Null@,,,
34,Popo,Dodo dan Popo kawan baik Misra. Mereka tiada keyakinan. Mereka memulakan perjalanan untuk mencari planet untuk mendapatkan warna magik dengan harapan untuk menjadi kuat.,@Null@,Kesan Istimewa: Dapat berubah warna mengikut keadaan sekeliling,Avatar: Buka kunci avatar Popo,@Null@,,,
35,Dodo,Dodo dan Popo kawan baik Misra. Mereka tiada keyakinan. Mereka memulakan perjalanan untuk mencari planet untuk mendapatkan warna magik dengan harapan untuk menjadi kuat.,@Null@,Avatar: Buka kunci profil gambar Dodo,@Null@,@Null@,,,
36,Bobo,Dodo dan bobo kawan baik Misra. Mereka tiada keyakinan. Mereka memulakan perjalanan untuk mencari planet untuk mendapatkan warna magik dengan harapan untuk menjadi kuat.,@Null@,Avatar: Buka kunci profil gambar Bobo,@Null@,@Null@,,,
37,Sakura,"Gadis yang meninggalkan cita-cita untuk melancong. Bukan sahaja untuk pengembaraan , tetapi juga ingin hidup mengikuti cara dia.",@Null@,Avatar: Buka kunci profil gambar Sakura,Footprint: leaving petal footprints wherever he passes by,@Null@,,,
38,Pendekar Zhanlang,Marshal berpengalaman tinggi dalam peperangan. Dia seperti seorang komando.,@Null@,Kesan Istimewa: Dikelilingi Spindrift,Avatar: Buka kunci avatar Pendekar Zhanlang,Footprint: leaving water footprints wherever he passes by,,,
39,Eva,Bidadari baik yang selalu menyebarkan kebaikan di setiap sudut Mini World. Eva selalu menjaga para penggebara. (Hanya didapatkan melalui event),Terbuka dalam acara,Kesan Istimewa: Dikelilingi bulu pelepah,Avatar: Buka kunci avatar Eva,@Null@,,,
40,Mini Beat,DJ yang sangat menyukai musik eletronik rock. Dia adalah bintang terbaik yang tahu irama.,@Null@,Kesan Istimewa: Ekor petir,Avatar: Buka kunci avatar Mini-Beat,Footprint: You left note footprint at where you walked.,,,
41,Lancelot,"Apakah kesatriaan? Di mana mata pedang menghala, keadilan akan dicapai!",@Null@,Kesan Istimewa: Dikelilingi cahaya bintang,Avatar: Buka kunci avatar Lancelot,@Null@,,,
42,Mecha Meow,"Sambungan rangkaian diperiksa. Turret elektromagnet sudah sedia. Panggil saya geek? Tidak, tidak, ia adalah percintaan saintis! Ah?Kuasa rendah. cas naik",@Null@,@Null@,Avatar: Buka kunci avatar Mecha Meow,Footprint:Leave electronic particles wherever you go.,,,
43,Samurai Senbei,"Bijak, tetapi berani ke anda berlawan pedang saya?",@Null@,@Null@,Avatar: Buka kunci avatar Samurai Senbei,Footprint:Leaving dusty footprint.,,,
44,Meow Racer,"Kejuaraan adalah hadiah hari jadi saya! Meow Racer, yang menyukai kehidupan bandar dan baginya, kemenangan cantik adalah lebih penting.",@Null@,@Null@,Avatar: Buka kunci avatar Meow Racer,Footprint:Leaving heart-shaped footprint.,,,
45,Pendekar Li,Seorang Assassin bertenaga dan sentiasa ceria. Dia suka berkait.,@Null@,@Null@,Avatar: Buka kunci avatar Pendekar Li,Footprint:Leaving fuzzy ball footprint.,,,
46,Pendekar An,Dia mahu bermain serius di hadapan orang lain. Tetapi dia selalu dirungut kerana kecuaiannya.,@Null@,@Null@,Avatar: Buka kunci avatar Pendekar An,Footprint:Leaving dart footprint.,,,
47,Nuri YOYO,Adakah anda percaya bahawa setiap awan mempunyai baunya sendiri. Saya mahu menjadi sayapmu dan membawamu ke tempat terindah.,@Null@,Kesan Istimewa: Cahaya berwarna emas di mahkota,Avatar: Buka kunci avatar Burung Nuri YOYO,@Null@,,,
48,Mini-S,Tugasanku untuk menjaga kedamaian demi teman dan rumahku,@Null@,Kesan Istimewa: Cahaya berwarna emas di belakang,Avatar: Buka kunci avatar Mini-S,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,Joker,"Hai pengembara terhormat, ingin melihat pertunjukan silap mata yang menakjubkan? Semua persembahan hebat disini!",@Null@,@Null@,Avatar: Buka kunci avatar Joker,Footprint:Leaving magical pattern when he goes by.,,,
51,Kana,Aku suka melanggar peraturan. Adakah anda mahu mencuba manisan atau tukul saya?,@Null@,@Null@,Avatar: Buka kunci avatar Kana,Footprint:Leaving lollipop pattern when she goes by.,,,
52,Optimus Prime,"Saya, Optimus Prime dan saya mengirim pesan ini sehingga masa lalu kita akan selalu dikenang. Kerana kita hidup dalam kenangan tersebut.",@Null@,Kesan Istimewa: Boleh berubah bentuk,Avatar: Buka kunci avatar Optimus Prime,Footprint: Leaving Camp pattern when he goes by,#cda5b0aConvert: Click the button on the right to switch the form #n,#cda5b0aTransformers Exclusive Skill：Robots Attack！#n,
53,Megatron,Saya cuma lakukan ini untuk menang dalam pengkhianatan/ Saya lakukannya demi kemenangan.,@Null@,Kesan Istimewa: Dapat berubah bentuk,Avatar: Buka kunci avatar Megatron,Footprint: Leaving Camp pattern when he goes by,#cda5b0aConvert: Click the button on the right to switch the form #n,#cda5b0aTransformers Exclusive Skill：Fusion Cannon！#n,
54,Mousse,"Apakah yang paling penting saat malam Krismas? Salji, kek, dan yang pasti kamu!",@Null@,@Null@,Avatar: Buka kunci avatar Mousse,Footprint: Leaving strawberry pattern when she goes by.,,,
55,Kumquat,Salah satu anak kembar yang baru datang ke Mini World. Kumquat sangat suka mengumpulkan buah-buahan dan daun-daunan. Berkongsi adalah rahsia kekayaan.,@Null@,@Null@,Avatar: Buka kunci avatar,Tapak kaki: Tinggalkan kesan tapak kaki berbentuk berangan,,,
56,Snowe,Salah satu anak kembar yang baru datang ke Mini World. Snowe suka membantu orang lain. Dia berharap dapat berbuat kawan dan kongsikan kekayaannya ke lain.,@Null@,Kesan Istimewa: Dikelilingi bunga,Avatar: Buka kunci avatar Snowe,Footprint: Leaving Chinese knot pattern when she goes by.,,,
57,Kakek Lin,"Dia kelihatam seperti nakal. Sebenarnya dia adalah ketua kuat Kota utara dan cikgu kepada Jinyi, Assassin Li dan An.  Selepas beberapa tahun, dia tidak hiraukan orang lagi.",Terbuka dalam acara,@Null@,Avatar: Buka kunci avatar Atuk Lin,Footprint: Leaving cucurbit pattern when he goes by.,,,
58,Bumblebee,"Aku Bumblebee, sabahat kamu. Optimus Prime, aku rela berkorban demi kedamaian.",@Null@,Kesan Istimewa: Boleh berubah bentuk,Avatar: Buka kunci avatar Bumblebee,Footprint: Leaving Camp pattern when he goes by,#cda5b0aConvert: Click the button on the right to switch the form #n,#cda5b0aTransformers Exclusive Skill：Bumblebee Slash！#n,
59,Peri Bunga,Pari Bunga suka berjalan-jalan di kebun. Dia suka menanam bunga di sekitar rumahnya dan anak-anak akan tertarik dengan aroma bunganya. Tenaga magik bintang star dapat membawa perubahan yang luar biasa pada bunga.,@Null@,Kesan Istimewa: Dikelilingi cahaya,Avatar: Buka kunci avatar pari-pari bunga,@Null@,,,
60,Arell,"Arell, bintang dari langit yang dapat merealisasikan mimpi. Ketika seseorang membuat shajat, Arell akan mendengarkan dan merealisasikannya.",@Null@,Kesan Istimewa: Dikelilingi pelangi,Avatar: Buka kunci avatar Arell,@Null@,,,
61,Harimau Bintang Salji,"Lahir di gunung salji, dipilih untuk menjadi pelindung. Dia sangat lembut dan berani untuk menjaga rumahnya.",Terbuka dalam acara,Kesan Istimewa: Dikelilingi Salji,Avatar: Buka kunci avatar Harimau Kumbang Salji,@Null@,,,
62,Ellie,Ellie dibawa ke wonderland. Ini adalah sebuah pergembaraan yang tidak diketahui. Tapi Mr. Arnab adalah teman terbaik. Dia akan selalu di sisinya.,@Null@,Kesan Istimewa: Dikelilingi bunga,Avatar: Buka kunci avatar Ellie,@Null@,,,
63,Ninja Frog,Ninja Frog berlajar ninjutsu dari kecil. Kini dia seorang ketua tetapi dia paling rindu masanya ketika dia baring di kolam.,Terbuka dalam acara,@Null@,Avatar: Buka kunci avatar Katak Ninja,Footprint: Leaving frog pattern when he goes by.,,,
64,Starscream,Starscream merasa dia dilahirkan untuk menjadi pemimpin Decepticon. Dia memiliki lidah yang tajam dan sering bersaing dengan Megatron untuk kekuasaan dan keuntungan.,@Null@,Kesan Istimewa: Boleh berubah bentuk,Avatar: Buka kunci avatar Starscream,Footprint: Leaving Camp pattern when he goes by,#cda5b0aConvert: Click the button on the right to switch the form #n,#cda5b0aTransformers Exclusive Skill： Air Alert!#n,
65,Hot Rod,Tenang dan penuh tanggung jawab. Dia adalah pemimpin masa depan Autobot. Harapan baru untuk perdamaian alam semesta. Tak kenal takut walaupun di situasi yang berbahaya.,@Null@,Kesan Istimewa: Boleh berubah bentuk,Avatar: Buka kunci avatar Hot Rod,Footprint: Leaving Camp pattern when he goes by,#cda5b0aConvert: Click the button on the right to switch the form #n,#cda5b0aTransformers Exclusive Skill： Red Lightning!#n,
66,Galvatron,Lebih kuat dan lebih kejam daripada Megatron. Kepercaya diri dan cita-citanya untuk menakluki dan memerintah tidak tertandingi. Dia adalah perwujudan kekuatan.,@Null@,Kesan Istimewa: Boleh berubah bentuk,Avatar: Buka kunci avatar Galavatron,Footprint: Leaving Camp pattern when he goes by,#cda5b0aConvert: Click the button on the right to switch the form #n,#cda5b0aTransformers Exclusive Skill：Fusion Laser!#n,
67,Raul,"Hidup di dunia nyata dan virtual, Raul suka menyelesaikan permasalahnya. Jika tuah dan keuntungan tidak menyelesaikannya, waktu yang akan menyelesaikannya. Orang akan membesar seiring waktu.",Terbuka dalam acara,Kesan Istimewa: Dikelilingi huruf abjad,Avatar: Buka kunci avatar Raul,@Null@,,,
68,Lynn,Lynn suka membawa Cube pergi ke dunia nyata dan virtual. Lynn suka menjelajah mengelilingi dunia. Dia suka mecari dan menyentuh lampu neon.,Terbuka dalam acara,Kesan Istimewa: Dikelilingi partikel ungu,Avatar: Buka kunci avatar Lynn,@Null@,,,
69,Cyan,"Sebagai anak pemilik kedai zhongzi. Cyan dan keluarganya membuat keputusan, selama Cyan dapat mempertahankan reputasi kedai, maka dia dapat terus belajar guzheng. Mewarisikedai dan menjadi master guzheng adalah dua keinginannya.",@Null@,Kesan Istimewa: Dikelilingi daun,Avatar: Buka kunci avatar Cyan,@Null@,,,
70,Twilight Sparkle,Twilight Sparkle seorang yang bijak. Dia sangat suka membaca dan mempunyai sifat kepemimpinan. Putri Celestia suka membantu Twilight mempelajari keajaiban persahabatan.,@Null@,Kesan Istimewa: Dikelilingi partikel magis,Avatar: Buka kunci avatar Twilight Sparkle,@Null@,,,
71,Putri Celestia,Ketua Kerajaan Equestria yang mempunyai kekuatan magik namun tetap manis. Kue adalah kesukaan Putri Celestia,@Null@,Kesan Istimewa: Dikelilingi partikel emas,Avatar: Buka kunci avatar Puteri Celestia,@Null@,,,
72,Fluttershy,Fluttershy tinggal di pondok kayu yang ada di ujung Lembah Pony. Dia adalah teman berbagai jenis binatang. Fluttershy sering menjadi simbol kebaikan dan harmoni.,@Null@,Kesan Istimewa: Dikelilingi partikel emas,Avatar: Buka kunci avatar Fluttershy,@Null@,,,
73,Putri Luna,"Puteri Luna adalah saudara dari Puteri Celestia. Pemimpi kedua di Equestria. Dia menguasai malam, mimpi, dan bulan. Putri Luna suka menolong kuda dari mimpi buruk. Dia berhati baik.",Terbuka dalam acara,Kesan Istimewa: Dikelilingi corak bulan,Avatar: Buka kunci avatar Puteri Luna,@Null@,,,
74,Grimlock,Grimlock adalah komando terkuat Dinobot. Mempunyai kepribadian yang berani membantu dia memimpin Dinobot dan Autobot.,Terbuka dalam acara,Kesan Istimewa: Percikan elektromagnetik,Avatar: Buka kunci avatar Grimlock,Footprint: Leaving Camp pattern when he goes by,#cda5b0aConvert: Click the button on the right side to switch the autobot/dinobot form!#n,#cda5b0aTransformer exclusive skill: Dragon Roar!#n,
75,Swoop,"Keperibadian yang berani tapi syka melulu adalah ciri khas Swoop. Namun, dia adalah pejuang dengan hati baik. Swoop mempunyai peranan yang besar di pasukan Dinobot.",@Null@,Kesan Istimewa: Percikan elektromagnetik,Avatar: Buka kunci avatar Swoop,Footprint: Leaving Camp pattern when he goes by,#cda5b0aConvert: Click the button on the right side to switch the autobot/dinobot form!#n,#cda5b0aTransformer exclusive skill: Swift Wing!#n,
76,Snarl,Snarl seorang ganjil. Dia suka membiarkan orang lain berurusan dengan perkara strategik. Dia hanya perlu mengikut Grimlock dan menghadiri perang. Ini juga menjadikannya pejuang Grimlock yang paling berkuasa di medan perang.,@Null@,Kesan Istimewa: Percikan elektromagnetik,Avatar: Buka kunci avatar Snarl,Footprint: Leaving Camp pattern when he goes by,#cda5b0aConvert: Click the button on the right side to switch the autobot/dinobot form!#n,#cda5b0aTransformer exclusive skill: Bone Sweep!#n,
77,Leonardo,"Leonardo, pelukis yang suka berjelajah dan menggunakan keajaiban lukisan untuk membawa damai ke dunia. Leonardo mempunyai karakter yang bersemangat dan tenang.",Terbuka dalam acara,@Null@,Avatar: Buka kunci avatar Leornado,Footprint: Leaving blue pigment when he goes by,,,
78,Thalia,Tukar barang berharga anda dengan saya! Saya akan memberikan anda apa sahaja yang anda impikan! Surat yang ditandatangani Thalia dihantar kepada orang-orang yang gemar sihir di Alam Semesta mini. Terdapat juga pulau terapung dan Ratu Thalia yang cantik dan misteri di Planet Offa!,Terbuka dalam acara,Kesan Istimewa: Dikelilingi bunga,Avatar: Buka kunci avatar Thalia,Footprint: Leaving rose pigment when he goes by,,,
79,Uta,"Jarang orang dapat jumpa Uta. Pada musim-musim tertentu, dia akan muncul dan menggunakan magik untuk mengubati penyakit suku dan mengusir mimpi ngeri. Ramalan dan perubatannya sangat berkesan namun begitu misteri. Dia adalah seorang pertapa hutan.",@Null@,Kesan Istimewa: Dikelilingi karakter ahli sihir,Avatar: Buka kunci avatar Uta,@Null@,,,
80,Tn. Kelinci Laby,Kegembiraan terbesar Laby adalah kemampuannya untuk melakukan perjalanan dari planet ke planet. Sebuah kad yang terjatuh secara kebetulan menyatukan Ellie dan Laby. Pengembaraan yang indah pun dimulai.,Terbuka dalam acara,Kesan Istimewa: Dikelilingi corak arnab,Avatar: Buka kunci avatar Encik Arnab Laby,@Null@,#cd65b00Convert: Click the button to switch rabbit/ human mode!#n,#cd65b00Mr Rabbit skill: Hurry up!#n,
81,Pinkie Pie,"Pinkie Pie ialah ""kuda pesta"" yang paling terkenal dan mempunyai tenaga yang luar biasa. Dia suka gurauan dan nyanyian serta mempunyai perwatakan yang ceria. Dia mewakili ""ketawa"" dalam unsur keharmonian.",@Null@,Kesan Istimewa: Dikelilingi corak hati berwarna merah jambu,Avatar: Buka kunci avatar Pinkie Pie,@Null@,,,
82,Carol,"Carol suka gula-gula, kerana gula-gula sentiasa membawa tuah kepadanya. Apabila dia berjalan, seorang pemilik kedai gula-gula membawanya masuk. Dia juga bertemu hantu kecil itu dan belajar magik di sana. Ambil gula-gula! Gula Carol pasti akan mengejutkan anda!",@Null@,Kesan Istimewa: Dikelilingi cahaya magis,Avatar: Buka kunci avatar Carol,@Null@,,,
83,Jerry,"Kenapa jeli kacang merah sama ada manis atau masin? Sedikit jus lemon nampaknya membantu. Jerry penuh dengan idea aneh, sentiasa boleh menggabungkan pelbagai bahan untuk menghasilkan makanan yang paling tidak dijangka. Ini telah menyebabkan abangnya Mermale menderita. Setiap rasa adalah cabaran paling serius kepada perut.",Didapatkan dari Gashapon,@Null@,Avatar: Buka kunci avatar Jerry,Footprint: Leaving spray footprint when he goes by,,,
84,Squid,"Sebagai ahli keluarganya, Sotong tidak mahu selama-lamanya tinggal di bawah laut. Laut itu luas, tetapi dia lebih suka terapung di permukaan dan memerhatikan bintang yang terang. Walaupun dia tidak mempunyai sayap, dia membuat roket ke bintang dengan bantuan rakan-rakannya.",Didapatkan dari Gashapon,Kesan Istimewa: Dikelilingi ombak dan gelembung,Avatar: Buka kunci avatar Squid,@Null@,,,
85,Gigi Bear,"Hidup adalah pengembaraan dan cabaran. Bahaya boleh membantu anda mengenali diri sendiri. Anda tidak akan ditinggalkan jika anda terus berlari. Jika anda ingin mencabar perkara yang mustahil, ikuti pengembaraan Gigi Bear.",Didapatkan dari Gashapon,@Null@,Avatar: Buka kunci avatar Beruang Gigi,Footprint: Leaving bear footprint when he goes by,,,
86,Starlight Glimmer,"Dia memiliki kebolehan magik yang kuat tidak kurang daripada Twilight Sparkle, cuba untuk menubuhkan sebuah bandar Utopia. Dia kini menjadi kawan kuda yang lain dan pengetua Sekolah Persahabatan.",@Null@,Kesan Istimewa: Dikelilingi cahaya bintang biru,Avatar: Buka kunci avatar Starlight Grimmer,@Null@,,,
87,Rainbow Dash,"Rainbow Dashy ang berani dan peramah. Dia peminat tegar pengembaraan dan gurauan. Dia terbang dengan sangat pantas dan mempunyai ekor pelangi. Dia mewakili ""kesetiaan"" dalam unsur keharmonian.",@Null@,Kesan Istimewa: Kesan ekor pelangi,Avatar: Buka kunci avatar Rainbow Dash,@Null@,,,
88,Princess Cadence,"Dia pernah menjadi pelajar Puteri Celestia yang cantik, baik dan bertimbang rasa. Dia menjadi penjaga Empayar Kristal dengan mengalahkan Raja Sombra.",@Null@,Kesan Istimewa: Dikelilingi kristal,Avatar: Buka kunci avatar Puteri Cadence,@Null@,,,
89,Audrey,Datang dan pelajari magik alam semula jadi! Audrey dari sekolah magik sentiasa berusaha untuk mengesyorkan sihir tentang serangga. Ketekunannya membantunya memenangi hati Mysia.,@Null@,Kesan Istimewa: Dikelilingi kupu-kupu,Avatar: Buka kunci avatar Audrey,Footprint: Leaving butterfly footprint when she goes by,,,
90,Predaking,"Predaking adalah gabungan ganas kelima-lima Predacon dengan kebolehan yang lebih tinggi dan kemampuan tinggi dari Decepticons. Sebagai seorang pahlawan, dia tidak dapat dikalahkan, sebagai senjata, dia tidak dapat dihancurkan.",@Null@,Kesan Istimewa: Dikelilingi bunga,Avatar: Buka kunci avatar Predaking,Footprint: Leaving Camp pattern when he goes by,#cda5b0aTransform: Click the Transform button on the right to transform into Combiner Form! #n,#cda5b0aTransformer Exclusive Skill：Vicious Force！#n,
91,Razorclaw,@Null@,@Null@,Kesan Istimewa: Dikelilingi bunga,Avatar: Buka kunci avatar Razor,Footprint: Leaving Camp pattern when he goes by,,,
92,Headstrong,@Null@,@Null@,Kesan Istimewa: Dikelilingi bunga,Avatar: Buka kunci avatar Ironhead,Footprint: Leaving Camp pattern when he goes by,,,
93,Tantrum,@Null@,@Null@,Kesan Istimewa: Dikelilingi bunga,Avatar: Buka kunci avatar Raging Bull,Footprint: Leaving Camp pattern when he goes by,,,
94,Rampage,@Null@,@Null@,Body Effects: Can convert in game and switch the form,Avatar: Buka kunci avatar Ferocious Tiger,Footprint: Leaving Camp pattern when he goes by,,,
95,Divebomb,@Null@,@Null@,Kesan Istimewa: Dikelilingi bunga,Avatar: Buka kunci avatar Condor,Footprint: Leaving Camp pattern when he goes by,,,
96,Superion,Superion ialah Autobot pertama yang terdiri daripada Aerialbots. Dia bertindak berdasarkan dua prinsip: Musnahkan Decepticon dan Lindungi Yang Tidak Berdosa.,@Null@,Kesan Istimewa: Dikelilingi bunga,Avatar: Buka kunci avatar Superion,Footprint: Leaving Camp pattern when he goes by,#cda5b0aTransform: Click the Transform button on the right to transform into Combiner Form! #n,#cda5b0aTransformer Exclusive Skill：Fearless Force！#n,
97,Silverbolt,@Null@,@Null@,Kesan Istimewa: Dikelilingi bunga,Avatar: Buka kunci avatar Pedang Perak,Footprint: Leaving Camp pattern when he goes by,,,
98,Slingshot,@Null@,@Null@,Kesan Istimewa: Dikelilingi bunga,Avatar: Buka kunci avatar Lastik,Footprint: Leaving Camp pattern when he goes by,,,
99,Skydive,@Null@,@Null@,Kesan Istimewa: Dikelilingi bunga,Avatar:Unlock profile picture,Footprint: Leaving Camp pattern when he goes by,,,
100,Air Raid,@Null@,@Null@,Kesan Istimewa: Dikelilingi bunga,Avatar: Buka kunci avatar Air Raid,Footprint: Leaving Camp pattern when he goes by,,,
101,Fireflight,@Null@,@Null@,Kesan Istimewa: Dikelilingi bunga,Avatar: Buka kunci avatar Api Marak,Footprint: Leaving Camp pattern when he goes by,,,
102,Shengying,Aku pahlawan nombor satu di seluruh Celestia. Mari lawan aku jika anda tidak percaya.,Didapatkan dari Gashapon,Tapak kaki: Meninggalkan kesan tapak kaki kayangan yang besar,Avatar: Buka kunci avatar Shengying,@Null@,,,
103,Moyan,Aku Penguasa Api. Membakar segala-galanya dalam laluanku adalah prinsip aku.,@Null@,Kesan Istimewa: Mengeluarkan aura Demon King,Avatar: Buka kunci avatar Moyan,@Null@,#cd65b00Transform: Click on the Transform button to switch between Bull/Human form! #n,#cd65b00 Moyan Exclusive Skill: Force of the Bull! #n,
