ID,描述
118,"Banyak item di sini, apakah yang anda perlu? Anda boleh mencari saudaraku di gurun pasir dan padang salji"
119,Saya membesar di gurun pasir. Saya memerlukan lebih item untuk menjadikan oasis
120,"Padang salji sangat sejuk, bolehkah anda membekalkan sumber yang saya perlukan?"
121,Terdapat perkataan yang sensitif. Sila tulis semula.
122,Kotak simpanan tersedia untuk tuan bilik. Anda tidak boleh buka.
123,Masukkan nama baru
124,Perlu dibayar
125,Nama tidak boleh diubah dalam arkib
126,Anda berjaya menukar nama kepada
127,Gaagal menukar nama. Sila diagnosis rangkaian dan cuba lagi
128,Alat yang dibeli akan disimpan dalam stor
129,Ketik item dalam simpan untuk mengeluarkannya ke dalam Beg galas. Gunung shards telah dipindahkan ke gudang gunung shard. #cfa7a0fTap untuk melihat.#n
130,Alat ini hanya boleh dibuka dan digunakan oleh tuan bilik
131,Pembelian berjaya. Klik gudang untuk periksa
132,Pengambilan item berjaya. Sila periksa beg galas
133,Markah pengembaraan:
134,"Anda telah diminta keluar dari permainan, sila tukar permainan (0)"
135,"Tuan Bilik telah diculik oleh makhluk asing, rangkaian terputus!"
136,Bilik telah ditutup
137,Tidak dapat masuk. Peta rosak atau gagal dimuat turun. Sila buat sandaran sebelum berkongsi.
138,Tahap keaktifan:
139,Pencapaian terbuka:
140,Maklumat
141,Avatar
142,Guna
143,Buka
144,Masukan UID Pencipta
145,UID
146,Rangkai yang lemah. Periksa ulang rangkaian dan cuba lagi
147,Pilih kategori
148,Biasa
149,Bagus
150,Cemerlang
151,Tuan bilik sedang di luar talian atau bercuti...
152,"Harap maaf, sila cuba lagi selepas memuat semula senarai peta"
153,Nama
154,Pemain
155,Jenis
156,Penerangan
157,Kemas kini sekarang
158,"Versi terlalu lama, kemas kini sekarang"
159,Kongsi peta dulu agar dapat dimuat turun ulang
160,Peta ini perlu dimuat turun semula. Muat turun sekarang?
161,"Rangkaian tidak stabil, muat naik/muat turun ditangguhkan, sila periksa rangkain dan cuba lagi"
162,Tiada peta untuk diikuti. Sila periksa peta rakan anda untuk diikuti
163,Data di peta akan gerak ketika pemain memasuki permainan. Sila tunggu..
164,Bilik terakhir yang masuki
165,Anda menipu. Akibatnya teruk.
166,Judul
167,Label
168,Jenis
169,Pengenalan
170,Awam
171,Pribadi
172,Huraian yang ditulis dengan baik dapat menarik lebih banyak\n orang memuat turun peta\n (max 30 patah perkataan)
173,Kemas kini kongsi
174,Mengikuti
175,Masukan UID
176,Perkongsian saya
177,Kembali
178,Ini adalah peta yang menyeronokkan!
179,Sila nilai jika anda suka peta ini
180,Sahkan
181,Nama tidak boleh kosong
182,Kemampuan tunggangan
183,Masa menetas
184,Gambar arkib
185,Dapatkan
186,Guna
187,naik taraf
188,Belum ada peta yang anda kongsikan
189,Tidak ada peta yang dikongsi
190,Ranking lalai
191,Syor
192,Penilaian
193,Popular minggu ini
194,Terkini
195,Ranking
196,Aktifkan
197,Mematangkan
198,Ganjaran
199,Rakan yang membantu:
200,Status #c0aba1dtumbuh sihat#n
201,Status #cffda0akekurangan air#n
202,Status #cff3d2bsedang layu#n
203,Kemungkinan mendapat:
204,Masa matang:
205,(Mematangkan)
206,Aktifkan pertumbuhan
207,Kunjungi rumah rakan
208,Papan markah
209,Rakan
210,Peminat
211,Avatar
212,Nama
213,Kekalahan
214,Rakan
215,Tunggangan
216,(Pratonton)
217,Menunggu untuk mencabar lagi
218,"Tukar Akaun, Harap maklum: #r1.Jangan lupa memuat naik fail simpan penting untuk mengelakkan kerugian#r2.Sekiranya anda menemui mesej ralat kata laluan, cuba tukar dan log masuk sekali lagi"
219,"Rangkaian tidak stabil, bilik telah ditutup"
220,Semua pemain akan dikeluarkan semasa bilik ditutup
221,Semua pemain akan dikeluarkan jika tuan rumah keluar
222,Mulakan permainan: 3
223,Mulakan permainan: 2
224,Mulakan permainan: 1
225,Mula!
226,Saya sudah faham
227,Tetapan lalai
228,Berita
229,@sendiri menyerang @lain dengan keras
230,@sendiri menyerang @lain dengan tepat
231,@sendiri membawa @lain ke titik kebangkitan secara baik-baik
232,@sendiri kombo berganda!
233,@sendiri kombo tiga!
234,@sendiri sangat kuat!
235,@sendiri tidak boleh dihentikan!
236,@sendiri menguasai permainan!
237,@sendiri membawa pasukan ke kemenangan!
238,@sendiri! Siapa yang boleh menghentikannya?
239,"@sendiri luar biasa, tidak dapat dipertandingkan!"
240,"@sendiri legenda, hentikan dia!"
241,Kemas kini versi
242,Tidak ada berita
243,@sendiri mengakhiri kombo tiga @lain
244,@sendiri mengakhiri ketajaman @lain!
245,@selndiri mengakhiri keadaan @lain yang tidak dapat dihentikan!
246,@sendiri mengakhiri penguasaan permainan yang @lain!
247,@sendiri mengakhiri @lain dengan cara lain untuk mengatasi tuhan!
248,@sendiri mengakhiri kegilaan @lain
249,"@sendiri mengakhiri @lain, hebat sekali!"
250,@sendiri mengakhiri tindakan @lain yang luar biasa
251,Tunggangan anda siap dipasang sekarang!
252,Tunggangan hanya dapat menetas setelah @num hari dalam permainan
253,Anda tidak boleh duduk pada status semasa
254,Terlalu jauh untuk duduk
255,Pedagang yang mengembara
256,(Ketibaan baru)
257,Selamat datang! Ada apa yang boleh bantu?
258,Pergi
259,Tinggal:
260,Habis dijual
261,Pedagang yang mengembara
262,Pedagang yang mengembara sudah pergi
263,Rancangan
264,Halo.. Cari apa?
265,@Null@
266,Pengisian semula gagal. Sila cuba lagi nanti.
267,Versi terlalu rendah untuk mengemas kini kulit
268,"Halaman utama- Rumah saya- membuka kunci koleksi dan menggunakan, mendapatkan fragmen dari acara dan Buah Rumah"
269,Tidak dapat menyimpan kerana ruang tidak mencukupi. Padamkan dan cuba lagi
270,Menang
271,Gagal
272,Seri
273,Kod hadiah
274,Kod pengaktifan untuk hadiah
275,Diaktifkan!
276,Menuju ke kedai
277,dan klik stor
278,semak ganjaran
279,Masukkan kod pengaktifan hadiah
280,@Null@
281,Kod penebusan!
282,Rangkaian tidak stabil. Periksa kembali dan cuba lagi.
283,Kod pengaktifan telah digunakan. Anda tidak boleh mendapat hadiah berulang kali
284,Kod pengaktifan yang dimasukkan salah
285,Tahniah! Hadiah telah diaktifkan
286,Rangkaian tidak stabil/salah platform/sudah pernah ambil hadiah serupa
287,Tekan lama
288,Klik tanah untuk meletakkan Meja Tukang!
289,Arkib saya
290,Dalam talian
291,Umum
292,Bangunan
293,Mesin
294,Beg galas
295,Alat
296,Tanaman
297,Pelbagai
298,Blok
299,Edit
300,Kekurangan #cfa7a0fBahan Kayu#n. Menggali Batang Kayu untuk mengumpulkan Kayu
301,"Pilih ikon #cfa7a0fmeja tukang#n, klik butang #cfa7a0fbuat#n di sebelah kanan"
302,"Bahan untuk membuat #cfa7a0fBeliung Batu#n tidak cukup, tebang pokok untuk dapatkan #cfa7a0fBahan Kayu#n"
303,"Pilih #cfa7a0fkayu#n, klik tombol buat pada bahagian kanan"
304,"Selamat datang ke Mini World, marilah kita #cfa7a0fmembiasakan diri dengan operasi#n, #cfa7a0fklik#n pada skrin"
305,"#cfa7a0fLeret ke kanan, kiri, atas atau bawah pada skrin#n"
306,"#cfa7a0fgeser#nkayu bedik#cfa7a0untuk gerak#n, cuba berjalan ke hadapan"
307,"#cfa7a0fTekan blok lebih lama#n(tanda panah), untuk#cfa7a0fmenghancurkan blok#n"
308,Bagus! Semua blok dapat didapatkan dan dihancurkan. Klik#cfa7a0f untuk ambil\n hadiah
309,"Ikuti arah panah untuk mencari pokok, #cfa7a0ftekan lama#n pada blok pokok (Tangan) utk dapatkan #cfa7a0fKayu#n"
310,"Bagus! Tebang pokok dengan kapak, #cfa7a0fdapatkan kayu#n lebih cepat"
311,"Buka #cfa7a0fRansel#n sekarang, guna kayu untuk sintesis #cfa7a0fMeja Tukang#n"
312,Klik#cfa7a0funtuk buat ikon#n
313,"#cfa7a0fMeja Tukang#n boleh mensintesis banyak item mewah, keperluan perjalanan dan pengembaraan"
314,Masukkan #cfa7a0fMeja Tukang#n yang baru disintesis ke dalam #cfa7a0fBar Pintasas#n dan pilih
315,Klik tanah untuk letakkan #cfa7a0fMeja Tukang#n
316,#cfa7a0fKlik#n untuk membuka Meja Tukang (Tangan)
317,"Pembuatan item berjaya,guna #cfa7a0fkayu#n untuk membuka batu mineral"
318,"Klik #cfa7a0fMee#n (Letakkan di bar pintasan), akan muncul #cfa7a0fbutang Guna#n"
319,#cfa7a0fTekan lama#n pada #cfa7a0fbutang guna#n di sebelah kanan untuk memakan mee
320,#cfa7a0ftombol item#nakan muncul saat kamu sudah memilih item di bar pintasan
321,Mari cuba pakai #cfa7a0fhelmet yang anda baru dapat. Buka beg.
322,Klik watak #cfa7a0fKelengkapan#n tag
323,Klik #cfa7a0fhelmet#n
324,"Muncul penerangan dan properti#cfa7a0fhelm#n, klik#cfa7a0ftombol peralatan"
325,Hebat! Senang kan? Mari mengalahkan#cfa7a0fraksasa#n! Klik#cfa7a0fdi sudut kiri atas#nuntuk menutup
326,"Berhati-hati! Ada raksasa yang akan datang! #cfa7a0fLeret ke kanan dan kiri#n, melawan raksasa#cfa7a0fklik#n untuk menyerang raksasa"
327,"Tahniah! Tutorial pemula sudah selesai/n. Masih banyak hal lainnya yang menarik , marilah pengembaraan!"
328,Nama:
329,Misi:#cfa7a0fMengenal kawalan dasar#n
330,Misi: Tebang pokok untuk mendapatkan #cfa7a0fKayu#n
331,Misi: Membuat #cfa7a0fMeja Tukang#n.
332,Misi:Buat#cfa7a0fbeliung kayu#n
333,Misi: Makan #cfa7a0fMee#n
334,Misi:Kalahkan #cfa7a0fraksasa#n
335,Peta ini telah diperbarui. Sila muat turun versi yang terbaru.
336,@Null@
337,@Null@
338,@Null@
339,Pembaikan sistem! Tidak dapat berkongsi peta buat sementara waktu.
340,Perlu beberapa pemain lagi untuk memulai permainan
341,@Null@
342,Kebun belum mencapai level 2. Muat naik peta hanya tersedia untuk pribadi.
343,Akaun dibuat kurang dari 7 hari. Muat naik peta hanya tersedia untuk pribadi.
344,Peta hanya boleh dilihat oleh Anda dan tidak dapat dibagi.
345,"Penulis belum memberi kebenaran untuk memuat turrun, tidak dapat muat turun"
346,@Null@
347,@Null@
348,@Null@
349,Facebook
350,Aktif
351,Nama
352,Pengarang
353,Gagal log masuk-beberapa sistem tidak boleh digunakan
354,"Sedang kemas kini, sila menunggu"
355,@Null@
356,@Null@
357,Tidak boleh log masuk merentas platform
358,Simbol dalam nama ini tidak sesuai dengan peraturan
359,UID :
360,Masa semasa:
361,Versi terkini:
362,Percuma
363,(Matang)
364,(Dapat 1 buah)
365,(Dapat 10 buah)
366,Anda berada di taman rakan ini
367,@Null@
368,Panggil Tunggangan
369,Hadiah tersimpan dalam stor
370,Buka lagi
371,Buka 10x lagi
372,Kacang Mini
373,Nilai EXP
374,Kemahiran
375,Kesan
376,Jumlah kurang. Dapatkan di Buah Rumah
377,Jumlah tidak mencukupi. Boleh mendapat di Buah Rumah
378,Formula sintetis
379,Sumber fragmen:
380,Proses
381,Sah
382,Belum waktunya untuk dapat tunggangan
383,Beli Bunga Api ( Percuma #c1b9e1eKacang Mini#n )
384,"Tanamannya kosong, sila pergi ke rakan lain dan cuba"
385,"Kacang Mini kurang, mari beli dulu!"
386,Server sibuk. Sila ulangkan permainan ini semula\
387,Kitar semula semua
388,Kitar semula 1
389,Terbuka
390,Anda boleh membuka kuncinya di halaman taman-Buku Panduan Buah-Taman Saya. Shards boleh didapati dari acara atau Buah-buahan Taman.
391,Tidak boleh melahirkan bayi tunggangan di sini
392,Anda dapat tunggangan bayi!
393,Berjaya menyiram. Anda dapat pengalaman @1 dan Kacang Mini @2
394,Berjaya membasmi cacing. Anda dapat pengalaman@1 dan Kacang Mini@2
395,Rumah
396,Tambah Rakan
397,Silakan klik tombol tunggangan pada kiri peta
398,Tanaman anda merasa lebih segar sekarang
399,Klik untuk lihat peraturan Buah Rumah
400,Kacang Mini
401,Buah:
402,Siram:
403,Anda hanya boleh dapat ganjaran Kacang Mini pada kali pertama.
404,"Log masuk dan membantu rakan untuk menyiram buah, kemungkinan mendapat Kacang Mini apabila buah mekar. Menanam buah pertama akan dapat #c0aaa1aKacang Mini*200#n"
405,"Tunggu buah anda mekar. Guna Kacang Mini untuk mempercepatkan proses pemekaran. Anda boleh membuka kunci tunggangan, avatar, pakaian dan fragmen selepas buah mekar."
406,"Kunjungi Rumah dan siram buah sekerap mungkin, buah lebih cepat mekar. Bantu rakan menyiram boleh mendapat Kacang Mini dan EXP pengalaman."
407,Saya faham
408,Fragmen
409,Had untuk mendapatkan ganjaran harini telah dicapai
410,Alat ini kurang bagus
411,Bilik dikunci. Minta izin ke tuan bilik dulu!
412,Kebenaran
413,Bebas
414,Pelawat
415,Dapat merosak dan meletakkan blok\n(hak dapat diatur)
416,Tidak dapat merosak dan meletakkan blok\n(hak dapat diatur)
417,Koleksi
418,Kembara
419,Ciptaan
420,Lawan
421,Litar
422,Puzzle
423,Parkour
424,Saiz peta:
425,Muat Turun :
426,Versi terlalu rendah. Silakan upgrade.
427,Semua
428,Tutorial
429,Skip
430,Teruskan
431,Meneruskan ke game
432,Aktifkan
433,Cuba lagi
434,Teruskan muat turun
435,Beli
436,Diaktifkan
437,Minit
438,Ganjaran log masuk
439,Boleh masukan kod worldterrain
440,Komen berjaya dihantar
441,"Pertahanan:@1 , kurangi cedera yang didapat@2%"
442,Tidak ada manfaat yang tersedia buat masa ini
443,Tidak dapat dibuka pada saat yang sama
444,[Jumlah markah pertahanan akan dipengaruhi oleh tingkat daya tahan saat ini]
445,[Cedera fizikal termasuk serangan dekat/jauh dan letupan]
446,Adakah anda pasti keluar#c0aaa1a@1#ndari bilik?
447,Keluarkan?
448,Gagal
449,Ulangi cabaran#cffda0a@1#nsaat
450,Tampilkan status
451,Tuan bilik melarang alat ini
452,Bintang telah berjaya ditukar
453,Koin Mini kurang. Adakah anda ingin membelanjakan #c0aaa1a$@1#1 untuk membeli #cfa7a0f@2 Koin Mini#n?
454,US$
455,Koin mini
456,Koin Mini kurang
457,US$
458,Pembelian berjaya. Periksa bunga api dan kacang mini di gudang anda
459,Milik:
460,Tebus
461,Pengembaraan di alam liar
462,Mencipta dengan sumber tanpa had
463,Tetapan lanjut
464,Hm.. pengembaraan agak bahaya...
465,Makhluk yang tidak diketahui
466,Anda masih perlu #c0aaa1abintang@1#n. Adakah anda pasti mengguna#cfa7a0fKoin@2#n untuk menambahkan jumlah bintang?
467,Guna?
468,Tambah?
469,Bintang anda kurang
470,Cuba lagi
471,"Alat anda telah jatuh, kembali ke titik permulaan"
472,Kembali
473,#c5aea0a1 ☆Bangkit kembali dititik bangkit tidak menyebabkan alat hilang#n
474,Simpan item
475,Item utama
476,Item sekunder
477,Gabungan
478,Hiasan ini akan mengubah properti menjadi Level@1
479,Level
480,"Lebih dari 5 properti, klik hiasan untuk pilih"
481,Terdapat masalah pada properti ini
482,Pilih
483,Properti
484,Hanya boleh pilih properti setelah digabungkan. Sila pilih :
485,Sila pilih :
486,Sila pilih@1properti
487,Dapat@1@2
488,@Null@
489,"Letakkan item diatasnya, item akan otomatis dileburkan"
490,Ambil item yang sudah dileburkan
491,Tahniah! Tutorial pemula selesai.
492,Ambil
493,New /Baru
494,Lv tertinggi
495,Tidak dapat ambil 10x berturut-turut tanpa buah emas
496,Flamas
497,Monumen Sisik Naga
498,Batal kegemaran
499,Berjaya ditambahkan ke kegemaran
500,@1telah diusirkan dari bilik
501,Usir dari bilik
502,Kali
503,Boleh naik taraf
504,Anda telah muat turun
505,Masukan UID rakanmu
506,Gagal berhubung ke room server
507,Klik tombol di sebelah kanan untuk menghapus arkib
508,Sedang muat turun:
509,Menunggu
510,Henti muat turun:
511,Log masuk terakhir
512,Tidak log masuk
513,Semalam
514,Hari lalu
515,Perkongsian peta ini telah dibatalkan
516,Log masuk
517,Tulis catatan untuk peta
518,Jelajah dunia
519,Penciptaan dunia
520,Masuk
521,Batal Mengesan
522,Peta yang dikongsi dengan rakan
523,Kongsi peta ini untuk mendapat
524,Lalai
525,Akaun ini tidak tersedia
526,Akaun ini telah disekat
527,Nama ini sudah ada
528,No. versi
529,Hari pembuatan
530,Bertahan:
531,Waktu:
532,Koordinat:
533,Ketinggian:
534,Kredit sedang diproses
535,Ambil
536,(Penuh)
537,(Habis dijual)
538,Dijual
539,Tukar
540,Pembelian berjaya. Sila memperbarui.
541,Item ini telah dijual habis. Sila tetapkan semula.
542,Kejayaan
543,Tukar
544,Anda tidak mempunyai item yang cukup untuk ditukar
545,Pembelian berjaya
546,Item sudah ditetapkan semula. Sila pilih
547,Set Semula
548,Pakai
549,Rak item
550,Perlu
551,Penjejakan tugas
552,@1berjaya diperbaiki!
553,Letakkan item yang ingin diperbaiki
554,Letakkan alat untuk diperbaiki
555,Bintang anda kurang
556,Tidak perlu perbaiki
557,Ketahanan :
558,Jam
559,Saat
560,Masa pendinginan telur
561,Tunggangan anda sedang tidur. Panggil dia setelah @1 saat
562,@Null@
563,Anda tidak mempunyai peta apapun. Buat peta dulu untuk membuat room.
564,Anda belum menyimpan peta apapun di kegemaran
565,Had sudah dicapai. Sila memperbarui.
566,Bilik penuh
567,Kata laluan salah
568,Bilik telah ditutup
569,Tiada bilik
570,Internet :
571,Versi terkini :
572,Versi pemain dan versi bilik ini tidak sesuai
573,Sambungan gagal
574,Masukan UID tuan bilik
575,Klik untuk memulai kreasi
576,Tiada bilik
577,Keputusan Carian
578,Tukar
579,Pilih peta
580,Tambahkan tag
581,Kata laluan bilik
582,Masukan ID bilik
583,Gagal mencipta watak. Sila periksa rangkaian anda
584,Tetapan Asas
585,Tetapan kawalan
586,Tetapan lanjut
587,Asas
588,Kawalan
589,Lanjut
590,Nama
591,Kecerahan
592,Sembunyikan U1
593,Mod tenang
594,Musik
595,Kesan bunyi
596,Volume
597,Kepekaan
598,Y-Axis
599,Mod kiri
600,Crosshair; Mod Quasicentric
601,Auto Lompat
602,Getaran
603,Lebih permainan
604,Penambahan berjaya
605,Perlukan#c0aaa1a@2×@3untuk mendapatkan tunggangan@1. Kamu juga boleh guna#cfa7a0fKoin#nuntuk meneruskan.
606,Tunggangan masih diperlukan :
607,Anda boleh menggunakan :
608,Lengkapi :
609,Kekurangan alat
610,Beli Koin?
611,Kekal
612,Masa terhad :#cfa7a0f@1#n Hari #cfa7a0f@2#n Jam #cfa7a0f@3#n Minit
613,Penambahan gagal. Periksa semula rangkaian dan cuba lagi
614,Batal
615,@1berjaya digunakan
616,Aktif Kemahiran
617,Naik taraf kemahiran
618,Aktif kemahiran
619,Naik taraf kemahiran
620,Diguna
621,Perlukan#c0aaa1a@1×@2#n untuk mengaktifkan kemahiran ini. Kamu juga boleh mengguna#cfa7a0fKoin untuk meneruskan.
622,Perlukan#c0aaa1a@1×@2#nuntuk naik taraf kemahiran ini. Kamu juga boleh guna#cfa7a0f untuk meneruskan.
623,Masih perlu:
624,Pengalaman masa terhad: #cfa7a0f@1#n Hari #cfa7a0f@2#n Masa #cfa7a0f@3#n minit
625,"Untuk buka kunci watak ini, anda juga memerlukan#c0aaa1a@1×@2#n, dan anda juga boleh menggunakan#cfa7a0fKoin Mini#n untuk menyelesaikannya. (Hiburan dan penggunaan rasional yang sesuai)"
626,Diskaun
627,Pembelian berjaya
628,Adakah anda pasti mengekstrak#cfa7a0f@1#nke beg galas yang diarkibkan sekarang?
629,Kemas kini Diperlukan
630,Tahniah! @1 telah dibuka
631,"Rangkaian salah, tidak dapat dicas semula"
632,Tunggangan baru dibuka:
633,Naik taraf tunggangan
634,Kekal
635,Pakaian @1 menambah @ 2 hari penggunaan!
636,Kemas kini Diperlukan
637,Telah diaktifkan
638,Buka Kunci
639,Beli
640,Tempat
641,Stor
642,Pengeluaran
643,Lepas
644,Nama lalai
645,Tidak ada pelindung yang mencukupi untuk membuka kunci
646,Lihat butiran di kedai
647,Telah disimpan dalam beg talas
648,Misi Tercapai!
649,Dapat alat!
650,Dapat@1x@2
651,Pindah@1@2
652,Buang@1×@2
653,Ganjaran koleksi
654,Maklum balas
655,Maklum balas
656,Masukkan maklum balas anda di sini. Untuk maklum balas lain boleh mengirim e-mel ke: miniwantech@gmail.com
657,QQ:
658,Nombor telefon:
659,(Masukkan nombor QQ anda)
660,(Masukkan nombor telefon)
661,Hantar
662,Had penghantaran cadangan tercapai hari ini
663,Masukkan maklum balas sebelum menghantarnya
664,Maklum balas berjaya dihantar
665,Terlalu banyak pemain yang menghantar maklum balas sekarang. Sila cuba sebentar lagi
666,(Terkunci)
667,Buka kunci
668,Kitar semula fragmen
669,Kitar semula
670,Lebih banyak #c0aaa1a@1×@2#n diperlukan untuk membuka kunci item ini. Anda juga boleh menggunakan #cfa7a0f@3#n untuk mengatasi perbezaannya
671,Ganjaran berjaya diterima
672,Peraturan
673,Mod permainan
674,Peta -
675,Buat Tetapan Peta
676,Lalai
677,Panjang
678,Saiz: (1 zon panjang = 16 blok)
679,Lebar
680,Tanpa had
681,Medan:
682,Lalai
683,Rata
684,Pulau
685,Buat peta
686,Landform:
687,Rumput
688,Gurun
689,Hutan
690,Kutub
691,Lautan
692,Tebing
693,Hutan Pinus
694,Kawasan hutan
695,Penjanaan raksasa
696,Haiwan
697,Raksasa
698,Bentuk tanah ini tidak tersedia di kawasan ini
699,Masukkan kod
700,tuan bilik #cfa7a0fkeluar#n @1 #cfa7a0fdari bilik#n
701,#cfa7a0fdikeluarkan dari bilik#n
702,Perlukan lebih banyak@ItemNama
703,Memerlukan lebih banyak barang pengganti
704,Mod Kreasi permainan
705,Tetapan asas
706,Pulih\n Lalai
707,Sahkan simpan
708,Masa
709,Gagal membayar!
710,Sila masukkan nilai angka!
711,Kumpulan
712,Markah
713,Kumpulan merah
714,Kumpulan biru
715,Kumpulan hijau
716,Kumpulan Ungu
717,Kumpulan kuning
718,Kumpulan Jingga
719,Percubaan
720,Edit Peta
721,"Kredit gagal, pilih kaedah lain untuk kredit"
722,Pengisian semula sedang diproses. Sila tunggu sebentar!
723,Kredit pertolongan
724,Sila periksa sambungan rangkaian anda. Memperbarui beberapa kali dapat menyelesaikan masalah.
725,Sila kemas kini ke versi terkini
