ID,名字,描述
62,Gelombang Cahaya Super,"Semasa pesawat pejuang bergerak, gelombang cahaya akan dipancarkan secara automatik."
63,Sinar Penghancur,"Semasa pesawat pejuang bergerak, gelombang cahaya merah keemasan akan dipancarkan secara automatik."
64,Gelombang Cahaya Ilahi,"Semasa pesawat pejuang bergerak, gelombang cahaya akan dipancarkan secara automatik."
65,Sinar pemurnian,"Semasa pesawat pejuang bergerak, gelombang cahaya ungu perak akan dipancarkan secara automatik."
66,Menaiki awan,"Boleh melayang di langit dan terbang dalam jarak pendek,semasa jatuh tidak akan kehilangan HP."
67,Menembusi langit,"Boleh terbang di langit untuk jarak tertentu, semasa jatuh tidak akan kehilangan HP."
68,Lompatan masa dan ruang,"Selepas menggunakan teknik ini, akan muncul di kawasan berjarak 15 blok dari arah yang ditunjukkan."
69,Angin puyuh,"Setelah digunakan, puting beliung kecil akan mengikuti di belakang mobil"
70,Gelembung magik,Banyak gelembung akan muncul di sekeliling badan.
71,Sayap angin,"Boleh terbang di langit untuk jarak tertentu, semasa jatuh tidak akan kehilangan HP."
72,Aliran air magik,Akan dikelilingi oleh aliran air biru.
73,Air mata ajaib,Boleh membentuk satu perisai tenaga.
74,Cahaya Merah,Akan dikelilingi oleh cahaya merah secara berterusan.
75,Cahaya emas,Akan dikelilingi oleh cahaya emas secara berterusan.
76,Cahaya biru,Akan dikelilingi oleh cahaya biru secara berterusan.
77,Kelopak jatuh,Kelopak kecil jatuh di sekeliling anda
78,Rama-rama terbang,Kupu-kupu dan bunga mekar di sekitarmu
79,Kelopak terbang,Kelopak bunga merah muda terbang di sekitar Anda
80,Berlayar,Tekan butang Lompat untuk mempercepat 20% selama 10 saat.
81,Panggilan pemula,Tekan butang Lompat untuk memanggil 1 jin kecil yang mengikuti Anda.
82,Panggilan Sederhana,Klik butang Lompat dan Genie Star akan muncul untuk diikuti.
83,Panggilan Canggih,Klik butang Lompat dan Genie Pearl akan muncul.
84,Dewa tersembunyi,"Selepas mengklik butang Lompat, klik butang Lompat sekali lagi di Mid-Air untuk memasukkan keadaan yang tidak dapat dilihat."
85,Semangat yang hilang,Roda emas akan muncul di sekeliling badan.
86,Petir ungu,Petir ungu akan muncul di sekeliling badan.
87,Windfury.,Tekan lama butang melompat untuk mengumpul tenaga untuk memanggil Tornado untuk meniup sesiapa di hadapan anda.
88,Penerbangan spiral.,"Selepas mengklik butang Lompat, klik butang Lompat sekali lagi di udara untuk berlegar di langit."
89,Gelombang suara,Lampu lazer bercahaya akan menyelembungi diri
90,Suara Elektronik,Lampu berwarna warni bercahaya akan menyelembungi diri
91,Ayunan berirama,Tekan lama butang lumpat untuk menaikkan nyawa anda bagi diri sendiri atau ahli pasukan dalam jarak tertentu
92,Superstar tiba,Tekan lama butang  lumpat untuk meningkatkan nyawa dalam jarak tertentu dan mengurangkan nyawa raksasa dalam jarak tertentu.
93,Bunga  berterbangan,Ada kelopak bunga yang bertenbangan di merata badan
94,Awam terapung,Tekan butang dengan lama untuk lompat dan terbang ke berberapa jarak di udara
95,Ling Long,Anda boleh berjalan di atas air
96,Angin nyaman,Terdapat kelopak yang berterbangan di seluruh badan.
97,Kipas Menari,Terdapat kelopak yang berterbangan di seluruh badan.
98,bergoyang,Tekan lama butang lompat untuk terbang pada jarak tertentu di udara.
99,Ekstasi,"Klik butang guna untuk mengaktifkan bulatan silap mata hantu, dan raksasa dalam bulatan sihir itu akan terperanjat."
100,Fortune Befall,Klik untuk menggunakan kekunci untuk menjatuhkan tulang daging ke udara.
101,Api Biru,Menembak api biru keluar dari belakang.
102,Api Naga,Api oren mengelilingi badan.
103,Maharaja Meriam,"Membakar meriam tenaga. Sebaik sahaja terkena, kerosakan akan diambil."
104,Naga Melambung,Terbang ke langit. Melayang bebas di udara.
105,Auspicious,Tompok emas dan jongkong kecil mengelilingi badan.
106,Harimau Auspicious,Lampu jatuh dan syiling dengan awan dan kabus mengelilingi badan.
107,Lompat Harimau,Lompat ke hadapan untuk memukul dengan kerosakan.
108,Mengaum Gunung,Mengaum untuk memukul dengan kerosakan dalam julat tertentu.
109,Meteor,Bintang berwarna merah jambu dan biru mengelilingi badan
110,Bunga Emas,Bunga-bunga putih dan aura keemasan mengelilingi badan
111,Hati merah jambu,Hati merah jambu dan aura biru menyelubungi badan
112,Bulu Terbang,Tekan lompat untuk terbang jarak tertentu di udara
113,Kekayaan,Meningkatkan penyembuhan apabila mengambil kerosakan kritikal
114,Angin,Daun buluh dan awan mengelilingi badan
115,bayang,Bayang-bayang gunung dan sungai mengelilingi badan
116,Percuma,Meningkatkan kelajuan pergerakan semasa mengambil kerosakan
117,Panoramik,Klik butang guna untuk menangani kerosakan kepada raksasa di hadapan anda
118,Bayang Bintang,Dikelilingi oleh zarah yang berkelip.
119,Shenghui,Dikelilingi oleh cahaya yang berubah.
120,Bu Meng,Tekan butang lompat dan tahan untuk melepaskan sihir dan dapat manfaat tambahan secara rawak.
121,Maharaja Dao,Pancang pedang akan membentuk api.
122,Jalan Suci,Terdapat nbentuk api di sekeliling.
123,Pedang Terbang,Tekan lama butang lompat untuk terbang jarak tertentu di udara.
124,Pendekar Terbang,"Anda boleh menunggang bersama rakan anda, dan pedang 2 orang juga boleh meningkatkan kelajuan pergerakan."
125,Mandi buih,Buih-buih terapung.
126,Nota mandi buih,Terdapat buih dan nota muzik berterbangan.
127,Berjalan tidur,Boleh terapung di atas air.
128,Buih terapung,Tekan lama butang lompat untuk buat raksasa di sekeliling anda terapung di udara yang dibalut buih.
129,Berlakon comel,Terdapat banyak cinta yang melayang.
130,Mimpi terapung," Seluruh badan akan ditaburkan dengan bunga merah di sebelah."
131,Ringan," Klik butang lompat dan di udara untuk melompat 2 kali."
132,Seribu Fantasi," Tekan lama butang lompat untuk membuat raksasa berdekatan jatuh ke dalam ilusi dan menyerang satu sama lain."
133,Menumpang,Tapak kaki kucing bertaburan di seluruh badan
134,Pasir Terbang,Pasir mengelilingi badan.
135,Memijak Pasir,Kecederaan ribut pasir boleh dikurangkan selepas menunggang.
136,Sijin,Bulu putih mengelilingi badan.
137,Hijau Terapung,Bulu hijau mengelilingi badan.
138,Lin Lang,Bulu mewah mengelilingi badan.
139,Merayau,Tekan lama pada butang lompat untuk terbang jauh di udara.
140,Roh Mekar,"Selepas menunggang, kecerahan penglihatan bertambah baik, juga boleh melihat persekitaran dengan jelas pada waktu malam."
141,Pasir Jerlus,Inti pasir jerlus emas mengelilingi badan.
142,Ling Xi,Osmanthus emas mengelilingi badan.
143,Bulan Terapung,Boleh terapung di atas permukaan air.
144,Pukul Kek,Tekan lama pada butang lompat untuk menjana alat makanan secara rawak.
145,Lupa Kebimbangan,Orkid lembah merah jambu dan bayang-bayang mengelilingi badan
146,Tanpa Kebimbangan,"Orkid lembah merah jambu, bayang-bayang serta rama-rama mengelilingi badan."
147,Lonceng Angin,Tekan lama pada butang lompat untuk terbang jauh di udara.
148,Wangi Terapung,Terdapat kelajuan pergerakan yang sangat pantas.
149,Gelongsor,Daun maple dan cahaya akan bergerak bersama angin.
150,Pecutan,Tekan lama pada butang lompat untuk memecut ke hadapan.
151,Juruterbang,"Klik dua kali butang lompat untuk meneruskan penerbangan rendah, tidak boleh terbang di permukaan air dan lava. Klik dua kali butang lompat sekali lagi untuk mendarat."
152,Serangan Babi,"Apabila diserangan secara berterusan, kecederaan serangan akan dikembali kepada musuh"
153,Cahaya Lilin,Bintik cahaya mengelilingi badan.
154,Lompat,Tekan lama butang lompat untuk melompat lebih tinggi.
155,Serangan Arnab,Klik pada butang Lompat di udara boleh memusnahkan blok di atas tanah dengan cepat.
156,Kelembutan,Bayang bintang dan kelopak mengelilingi badan.
157,Merah Jambu,"Bayang bintang, kelopak dan jalur cahaya merah jambu mengelilingi badan."
158,Berjalan Di Alam Fantasi,Tekan lama butang lompat untuk terbang sesetengah jarak di udara.
159,Ruang Penciptaan Impian,Klik butang guna di dua lokasi untuk menetapkan teleport dua arah.
160,Salji Terbang,Cahaya biru dan emping salji kecil mengelilingi badan.
161,Medan Ais,Raksasa yang memasuki kawasan sekitar akan diperlahankan.
162,Sifar Mutlak,Tekan lama butang lompat untuk membekukan raksasa berhampiran
163,Tenaga Hebat,Bulatan cahaya mengelilingi badan.
164,Hajat,Bintang kecil mengelilingi badan
165,Kejutan,Tekan lama butang lompat untuk teleport ke depan pada jarak tertentu
166,Tunggangan berdua,Boleh menunggang dengan rakan
167,Grunt,Pelbagai titik cahaya Raksasa Grunt mengelilingi badan
168,Tenaga Ajaib,Tekan lama butang lompat untuk menjana telur makhluk secara rawak
169,Berkibar,"Klik dua kali butang lompat untuk meneruskan penerbangan pada altitud rendah, tetapi tidak boleh terbang di permukaan air dan lava. Klik dua kali butang lompat sekali lagi untuk mendarat."
170,Kewangian Ladu Nasi,Ladu nasi mengelilingi badan
171,Berlayar,Boleh terapung di permukaan air
172,Memancing,Tekan lama butang lompat di permukaan air untuk melontar ladu nasi dan mendapatkan makhluk laut
173,Asap Awan,Awan berkabus mengelilingi badan.
174,Pemandangan Gunung,Memanggil tunggangan untuk menggali dengan lebih cepat
175,Kelopak Air-Bulan,"Tekan lama [Lompat] untuk memanggil makhluk secara rawak, serang raksasa berdekatan secara aktif"
176,,"Gula-gula, zarah dan cinta mengelilingi badan."
177,Fantasi,"HP berkurangan, ATK pemain meningkat beransur-ansur"
178,Pesta Anak Patung,"Tahan [Lompat] untuk Beruang Bahagia, mengekalkan suhu pemain dan tunggangan."
179,,
180,,
181,Melodi Muzik,Dikelilingi oleh nota muzik
182,Bunyi Kejar Bulan,Dikelilingi oleh nota muzik ungu emas dan bulan bintang.
183,Bunyi Muzik,Klik dua kali butang lompat untuk mempercepatkan dan memulihkan HP untuk satu tempoh masa.
184,Kegembiraan Langit Bintang,Tekan lama butang lompat untuk mengejutkan raksasa berdekatan.
185,Daun Hijau,Dikelilingi oleh daun hijau.
186,Perlindungan Hijau,"Dikelilingi oleh tenaga hijau, bunga dan daun."
187,Berkat Hutan,Klik dua kali butang lompat untuk memulihkan kesihatan untuk satu tempoh masa.
188,Resonans Semula Jadi,Tekan lama butang lompat untuk menyebabkan kerosakan pada raksasa berdekatan.
189,Cahaya Ajaib,Bersinar di seluruh badan.
190,Penari Sutera Laut,Berkilau dengan cahaya kehidupan laut.
191,Halangan Karang,Ketuk dua kali untuk perisai kerosakan
192,Amarah Pasang Surut,"Tekan dan tahan untuk melompat dan menyembur, mengusir monster"
193,Lampu Koi,Cahaya mengeliilingi badan.
194,Tarian Koi Tanglung Renang,Koi kecil dan bintik cahaya mengelilingi badan.
195,Skrin keberkatan,Klik dua kali butang lompat untuk mendapatkan perisai untuk menahan sedikit kerosakan.
196,Tarian Kemakmuran,Tekan lama butang lompat untuk melepaskan kuasa koi dan memulihkan sejumlah HP.
197,Fantasi,Cahaya mengelilingi badan
198,Tarian Impian Zaman Kanak-kanak,kuda dongeng yang menari mengelilingi badan
199,Galop Cahaya Bintang,Klik dua kali butang lompat untuk kesan mempercepatkan ringkas.
200,Resonans Melodi,"Tekan lama butang lompat untuk melepaskan melodi dongeng, menyebabkan raksasa di sekeliling koma seketika."
201,Perjalanan yang baik,Habuk mengelilingi badan
202,Serangan gula-gula,Baling lolipop ke sekeliling
203,Bayangan Ilusi,Terdapat hantu kuali yang terapung-apung.
