ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
52,Optimus Prime,"Sono Optimus Prime, e scrivo questo messaggio in modo che il nostro passato sia ricordato per sempre anche nel futuro più lontano. É grazie a questi ricordi che noi possiamo vivere.",@Null@,Effetti speciali: può cambiar forma all'interno del gioco.,Avatar: sblocca l'avatar di Optimus Prime.,Impronte: campi.,#cda5b0a Deformazione: fai clic sul pulsante Deformazione a sinistra per cambiare la forma del robot / veicolo! #n,#cda5b0a Transformers abilità esclusive: Autobot attacco e difesa! #n,
53,Megatron,Io faccio questo solo per il bene dei miei progetti malevoli. E non mi piace che tu ne puoi anche aprofittare.,@Null@,Effetti speciali: può cambiar forma all'interno del gioco.,Avatar: sblocca l'avatar di Megatron.,Impronte: campi.,#cda5b0a Deformazione: fai clic sul pulsante Deformazione a sinistra per cambiare la forma del robot / veicolo! #n,#cda5b0a Transformers abilità esclusiva: Fusion Cannon! #n,
54,Mousse,"Le cose più importanti del natale? Beh, ovviamente la neve, torte, magia e meravigliarti!",@Null@,@Null@,Avatar: sblocca avatar di Mousse.,Impronte: fragole.,,,
55,Kumquat,"Uno dei gemelli che sono appena arrivati su Mini World. Questi gemelli provengono da un luogo ricco. Quando é all'aperto, Kumquat ama raccogliere frutti autunnali, foglie cadute dagli alberi, e farne oggetti carini da regalare agli amici. Nel suo mondo, condividere i propri averi é il segreto per diventare ricchi!",@Null@,@Null@,Avatar: sblocca avatar di Kumquat.,Impronte: castagne.,,,
56,Snowe,"Uno dei gemelli che sono appena arrivati su Mini World. Questi gemelli provengono da un luogo ricco. Snowe lavora duramente per aiutare al meglio gli amici. Dopo esser arrivata du Mini World, ha sperato di fare molti più amici e passare ricchezza agli altri.",@Null@,Effetti speciali: fiori.,Avatar: sblocca avatar di Snowe.,Impronte: simboli orientali.,,,
57,Nonno Lin,"A prima vista sembra uno sciatto kidult, ma attualmente, é il potente signore della città del nord e anche l'insegnante di Jinyi, e gli assasini Li e An. Dopo vari anni di combattimento, adesso non rivolge più attenzione agli affari della vita umana.",Sblocca dall'evento,@Null@,Avatar: sblocca avatar del nonno Lin.,Impronte: patate.,,,
58,Bumblebee,"Io sono Bumblebee, il tuo miglior amico. Optimus Prime, io farò qualsiasi sacrificio per garantire la pace su questo mondo.",@Null@,Effetti speciali: può cambiar forma all'interno del gioco.,Avatar: sblocca avatar di Bumblebee.,Impronte: campi.,#cda5b0aDeformazione: fai clic sul pulsante Deformazione a sinistra per cambiare la forma del robot / veicolo! #n,#cda5b0aTransformers Esclusiva Abilità: Wasp Stab! #n,
59,Fata dei fiori,"La fata dei fiori ama passeggiare nel suo giardino, dove pianta coloratissimi fiori. I bambini che si avventurano attorno alla sua casa sono attirati dal dolce profumo. In questo periodo, Ha sentito che la magia delle stelle cambierà i fiori. Da grande giardiniera, ne é molto entusiasta.",@Null@,Effetti speciali: luce stellare.,Avatar: sblocca avatar della fata dei fiori.,@Null@,,,
60,Arell,"Arell, la stella luminosa che illumina i cieli notturni e realizzatore di sogni. Quando qualcuno fa un desiderio, Arell lo sente e crea un nuovo mondo con lui o lei.",@Null@,Effetti speciali: arcobaleno.,Avatar: sblocca avatar di Arell.,@Null@,,,
61,Leopardo delle nevi,"Nata sulle montagne innevate, é stata scelta come protettrice del luogo. Lei é morbida ma dimostra grande aggressività quando si tratta di proteggere la sua casa.",Sblocca dall'evento,Effetti speciali: fiocchi di neve.,Avatar: sblocca avatar del leopardo delle nevi.,@Null@,,,
62,Ellie,"Ellie é stata portata nel paese delle meraviglie da una carta da Poker. Questa sarà un'avventura piena di pericoli. Ma, il signor coniglio é il suo miglior amico. Lui sarà sempre vicino a lei, in qualsiasi momento.",@Null@,effetti speciali: fiorellini.,Avatar: sblocca avatar di Ellie.,@Null@,,,
63,Rana ninja,"la rana ninja ha iniziato ad imparare ninjutsu fin dai primi anni. Ora, é un'indiscutibile maestro, ma quello che le manca di più, é il tempo di quando era una semplice rana, nello stagno dove é nata.",Sblocca dall'evento,@Null@,Avatar: sblocca avatar della rana ninja.,Impronte: sagome di rana.,,,
64,Starscream,Starscream pensa che sia nato per essere il leader della Decempticon. Lui ha una lingua acuta e spesso contende il potere con Megatron. Il suo comportamento spesso da fastidio a Megatron.,@Null@,effetti speciali: può cambiar forma all'interno del gioco.,Avatar: sblocca avatar di Starscream.,Impronte: campi.,#cda5b0aDeformazione: fai clic sul pulsante Deformazione a sinistra per cambiare la forma del robot / veicolo! #n,#cda5b0a Transformers Exclusive Skills: Aerial Alert! #n,
65,Hot Rod,"Lui é calmo e pieno di responsabilità, perché é il futuro leader della Autobot, la nuova speranza di pace nell'universo. Non importa quanto la situazione sia pericolosa, lui la risolve immediatamente senza esitazione.",@Null@,effetti speciali: puó cambiar forma all'interno del gioco.,Avatar: sblocca avatar di Hot Rod.,Impronte: campi.,#cda5b0aDeformazione: fai clic sul pulsante Deformazione a sinistra per cambiare la forma del robot / veicolo! #n,#cda5b0aTransformers Esclusiva Abilità: Red Lightning! #n,
66,Galvatron,"Lui, é più forte e crudele di Megatron. La sua autosicurezza e l'ambizione della conquista e delle regole sono incontrollabili. L'universo non può soddisfare lo spietato tiranno.",@Null@,Effetti speciali: può cambiar forma all'interno del gioco.,Avatar: sblocca avatar di Galvatron.,Impronte: Campi.,#cda5b0aDeformazione: fai clic sul pulsante Deformazione a sinistra per cambiare la forma del robot / veicolo! #n,#cda5b0aTransformers Competenze esclusive: Fusion Laser! #n,
67,Raul,"Viaggiando tra la realtà virtuale e la realtà vera, Raul é usato per risolvere i bug del gioco, uno ad uno. Se la fortuna e l'abilità nonnposaono aiutarlo, allora lascia i bug per risolverli a tempo debito. Il tempo consente esperienza. E alla fin fine, é l'esperienza quella che conta per risolvere qualsiasi bug.",Sblocca dall'evento,Effetti di corpo: Circondato da personaggi,Avatar: sblocca avatar.,@Null@,,,
68,Lynn,"Lynn ama spostarsi con il suo piccolo cubo tra la realtà e quella virtuale. Esplorare il mondo e gioire con gli amici significa molto per lei. Non si fermerà mai, e sarà sempre alla ricerca del neon che la tocchi.",Sblocca dall'evento,Effetti speciali: particelle viola.,Avatar: sblocca avatar di Lynn.,@Null@,,,
69,Cyan,"Come discendente del primo negozio di zongzi al mondo, Cyan e i suoi genitori fanno mercato, finché Cyan può mantenere alta la reputazione del negozio, quindi ella impara il guzheng. Ereditare il negozio di zongzi e diventare una maestra di gusheng non é abbastanza per Cyan, perché lei li vuole tutti e 2.",@Null@,Effetti speciali: foglioline.,Avatar: sblocca avatar di Cyan.,@Null@,,,
70,Twilight Sparkle,Twilight Sparkle is the most knowledgeble. She likes reading and has leadership. Princess Celestia helps her to learn the magic of friendship and create more.,@Null@,Body Effects: Surrounded by magical particle,Avatar: sblocca avatar.,@Null@,,,
71,Princess Celestia,"She, the ruler of the Kingdom of Equestria, has the great magic power. But she is a cute girl and very easy-going. Cake is always her favorite.",@Null@,Body Effects: Surrounded by golden particle,Avatar: sblocca avatar.,@Null@,,,
72,Fluttershy,"Fluttershy vive in una capannna di legno, vicino a Pony Valley, ed é amica di una grande varietà di animali. lei spesso li aiuta, come simbolo di gentilezza e armonia.",@Null@,Effetti speciali: glitter d'oro.,Avatar: sblocca avatar di Fluttershy.,@Null@,,,
73,Principessa Luna,"La principessa Luna é sorella della principessa Celestia. La seconda sovrana di Equestria che ama la notte, i sogni e il sorgere della luna dopo il tramonto. Sembra misteriosa ma in realtà sotto quell'apparenza é una persona molto gentile.",Sblocca dall'evento,Effetti speciali: sagome di lune.,Avatar: sblocca avatar della principessa Luna.,@Null@,,,
74,Grimlock,Grimlock é il comandante dei dinobot e anche il più forte tra loro. La sua forte personalità mette ansia agli autobot. ma avvolte conduce i dinobot a salvare gli autobot molto spesso.,Sblocca dall'evento,Effetti speciali: particelle elettromagnetiche.,Avatar: sblocca avatar di Grimlock.,Impronte: campi.,#cda5b0aDeformazione: fai clic sul pulsante Deformazione a sinistra per cambiare la forma del robot / dinosauro meccanico! #n,#cda5b0aTransformers Abilità esclusiva: Tyrannosaurus Roar! #n,
75,Swoop,Swoop’s simple thoughts and reckless behavior are really annoying. But he is a kind-hearted warrior. He plays a huge role in the dinobots team and shoulders the important missions.,@Null@,Body Effects: Electromagnetic sparks,Avatar: sblocca avatar.,Footprint: Leaving Camp pattern when he goes by.,#cda5b0aDeformazione: fai clic sul pulsante Deformazione a sinistra per cambiare la forma del robot / dinosauro meccanico! #n,#cda5b0aTransformers Abilità esclusiva: Swift Wings! #n,
76,Snarl,Snarl é un ragazzo solitario. A lui piace lasciare gli altri vincere con strategia. Ha bisogno solo di seguire la spedizione di Grimlock e proseguire la guerra. Questo lo fa anche essere il più forte combattente di Grimlock.,@Null@,Effetti speciali: particelle elettromagnetiche.,Avatar: sblocca avatar di Snarl.,Empronte: campi.,#cda5b0aDeformazione: fai clic sul pulsante Deformazione a sinistra per cambiare la forma del robot / dinosauro meccanico! #n,#cda5b0aTransformers Abilità esclusiva: Bone Spurs Sweep! #n,
77,Leonardo,"Si dice che é un pittore vagabondo, il quale usa la magia dei colori per purificare il mondo. I colori caldi sono mutevoli, e quelli freddi tranquilli. La stessa cosa accade con Leonardo: la combinazione dell'arancione e del blu, rappresenta la calma e l'entusiasmo del suo personaggio.",Sblocca dall'evento,@Null@,Avatar: sblocca avatar di Leonardo.,Impronte: pigmento blu.,,,
78,Thalia,"Scambia i tuoi oggetti preziosi con me! Ti donerò qualsiasi cosa sogni! Lettere firmate da Thalia sono inviate alle persone che le vogliono bene nell'universo di Mini World. C'é anche un'isola volante con sopra una bellissima, ma misteriosa regina, Thalia, su Offa Planet!",Ottenuto in Gashapon,Effetti speciali: Fiori viola.,Avatar: sblocca avatar di thalia.,Impronte: pigmento rosa.,,,
79,Uta,"É raro trovare Uta. Durante specifiche stagioni, poteva apparire e usare la magia per curare i disturbi delle tribù e bandire gli incubi. La sua divinazione e le medicine erano così efficaci, tanto misteriose. Lui era un eremita e un degno figlio della foresta.",@Null@,Effetti speciali: accompagnato da un piccolo bambolotto.,Avatar: sblocca l'avatar di Uta.,@Null@,,,
80,Mr. Coniglio Laby,"La gioia più grande per Laby é poter viaggiare da un pianeta all'altro come Mr. Rabbit. Ma Ellie sembra in grado di vedere oltre il suo costume. Una carta caduta per sbaglio porta a loro l'inizio di una meravigliosa avventura. É questa la magia del poker? No, questa é la magia del fato!",Sblocca dall'evento,Effetti speciali: sagome di conigli.,Avatar: sblocca avatar del Mr. coniglio Laby.,@Null@,#cd65b00Deformazione: fai clic sul pulsante Deformazione a sinistra per cambiare la forma coniglio / umanoide! #n,#cd65b00Mr. Rabbit Exclusive Skill: Il tempo sta per scadere! #n,
81,Pinkie Pie,Pinkie Pie is the most famous “party pony” and has extraordinary energy. She loves pranks and singing and has a cheerful character. She represents “laughter” in the element of harmony.,@Null@,Effetto Corpo: Circondato da cuori rosa,Avatar: sblocca avatar.,@Null@,,,
82,Carol,"Carol ama le caramelle, perché le portano sempre fortuna. Quando cammina per le strade, i proprietari dei negozi di dolci la invitano ad entrare. Lei incontra anche il piccolo fantasmino e gli insegna la magia. Prendi la caramella! Lo zucchero di Carol ti sorprenderà eccome!",@Null@,Effetti speciali: Luce magica.,Avatar: sblocca l'avatar di Carol.,@Null@,,,
83,Jerry,"Perché la gelatina di beancourd é dolce o salata? Perché non può essere dolce o salata? Un piccolo succo al limone sembra che faccia al caso nostro. Jerry é pieno di idee cappricciose, riesce sempre a combinare gli ingredienti per per creare il piatto più stravagante. Questo é la causa della sofferenza di suo fratello Mermale. Qualsiasi gusto é la sfida più grande sfida per lo stomaco.",Ottenuto in Gashapon,@Null@,Avatar: sblocca l'avatar di Jerry.,Impronte: impronte.,,,
84,Squid,"Come membro della sua famiglia, Squid non vuole vivere nell'oceano per sempre. L'oceano é vasto, ma Squid preferisce galleggiare sulla superficie e osservare le stelle luminose in cielo. Lui non ha delle ali, ma può costruire un razzo per le stelle grazie all'aiuto dei suoi amici.",Ottenuto in Gashapon,Effetti speciali: onde sonore.,Avatar: sblocca avatar di Jerry.,@Null@,,,
85,Gigi Orso,"La vita: un'avventura, costernata di sfide. Il pericolo é il momento in cui riesci a conoscere te stesso. Non sarai abbandonato se corri, e se vuoi sfidare l'impossibile, vai in un'avventura con Gigi Orso.",Ottenuto in Gashapon,@Null@,Avatar: sblocca avatar di Gigi Orso.,Impronte: sagome di orso.,,,
86,Starlight Glimmer,Lei possiede abilità magiche non da meno di Twilight. Provando a fondare una città utopica. Ora diventa un'amica degli altri pony e la preside della scuola dell'amicizia.,@Null@,effetto Corpo: Circondato dalla luce delle stelle blu,Avatar: sblocca avatar.,@Null@,,,
87,rainbow Dash,Rainbow Dash è coraggioso e out-going. Lei è un grande fan di avventura e di scherzo. Lei vola molto veloce e ha il tailing arcobaleno. Lei rappresenta “fedeltà” nell'elemento di armonia.,@Null@,effetto Corpo: Hanno arcobaleno tailing,Avatar: sblocca avatar.,@Null@,,,
88,principessa Cadence,"She used to be the beautiful, kind and considerate student of Princess Celestia. She becomes the guardian of the Crystal Empire by defeating King Sombra.",@Null@,effetto body: circondato dal cristallo,Avatar: sblocca avatar.,@Null@,,,
89,Audrey,"Vieni a studiare la magia della natura! Audrey, dalla scuola della magia, scambia sempre sforzi con magia raccomandata sugli insetti. La sua diligenza aiuta la sua vittoria a favore di Mysia.",@Null@,Effetti speciali: Farfalle luminose.,Avatar: sblocca avatar di Audrey.,impronte: sagome di farfalla.,,,
90,Predaking,"Predaking è la fusione feroce tutti e cinque i Predacons con abilità superiori e la macchina da guerra deadilest dei Decepticons. Come un guerriero, egli è invincibile, come arma, che è indistruttibile.",@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,#cda5b0aDeformazione: fai clic sul pulsante Deformazione a sinistra per cambiare la modalità di combinazione multiplayer! #n,#cda5b0aTransformers Abilità esclusiva: Hideous Power! #n,
91,Razorclaw,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
92,Headstrong,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
93,Tantrum,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
94,Rampage,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
95,Divebomb,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
96,Superion,Superion é il primo Autobot composto dagli Aerialbot. Lui ha 3 obbiettivi: Distruggere il male e proteggere gli innocenti,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,#cda5b0aDeformazione: fai clic sul pulsante Deformazione a sinistra per cambiare la modalità di combinazione multiplayer! #n,#cda5b0aTransformers Abilità esclusiva: Fearless! #n,
97,Silverbolt,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
98,Slingshot,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
99,Skydive,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
100,Air Raid,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
101,Fireflight,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
102,Shengying,"Nel cielo, sono conosciuta come la numero uno nel lanciare frecce. Vieni e combatti con me se non ci credi.",Ottenuto in Gashapon,Impronte: cieli enormi.,Aavatar: sblocca l'avatar di shengying.,@Null@,,,
