ID,名字,描述
34,Sweep Bone,"Istruzioni attacco per scuotere la coda, causando 3 danni alle creature un'area a forma di ventola posteriore"
35,Luce stellare,"Spara stars verso l'alto per l'illuminazione, 15 CD."
36,Chiaro di luna,Premere a lungo Vai a volare per un breve tratto. non perderà HP quando cade
37,Sbrigati,Esegui avanzamento rapido per un po '
38,Doppio animale da sella,Può trasportare due passeggeri. Invita un amico a cavalcarlo con te!
39,sopra neve,Passo sulla neve e passeggiata all'aria. non perderà HP quando cade
40,Tuk Tuk Charge,Consente di utilizzare i clacson e flash delle luci anteriori della vettura
41,Great Harvest,"Quando uso, lingotti e monete gettare i dintorni."
42,4 Man Carriage,Può trasportare fino a 4 giocatori
43,spazio Ordito,"In grado di mantenere il tempo di volo per una distanza impostata, cadendo non causerà alcun danno da caduta."
44,Leviathan Isola,Possono immergersi in acqua
45,Forza del Toro,Premere a lungo salto al potere accumularsi. Esso decelera la creatura avanti quando atterra.
46,Sciopero del Toro,Premere a lungo salto al potere accumularsi. Sarà respingere l'avanti creatura in una breve distanza quando atterra.
47,Fluttering Blossom,"Può scivolare in aria per una certa distanza, non sarà possibile ottenere i danni durante la caduta"
48,Scattering Swan,"Può scivolare in aria per una certa distanza, non sarà possibile ottenere i danni durante la caduta"
49,foglia Danza,"Quando utilizzato, attiva effetto foglie galleggianti"
50,Wheel Sun,Utilizzare per ottenere uno scudo che assorbirà 20 danni
51,Ray di Dio,Utilizzare per aumentare i danni giocatore del 5%
52,magici fuochi d'artificio,"Dopo la carica, grilletto quando la terra dopo il salto, fuochi d'artificio sparerà fuori intorno al monte e la musica verrà suonata"
53,glamorous Fireworks,"Dopo la carica, grilletto quando la terra dopo il salto, fuochi d'artificio sparerà fuori intorno al monte e la musica verrà suonata"
54,Caricare,avanti Charge
55,Contraccolpo,Carica in avanti e knockback creature di fronte a voi
56,librarsi,"Quando si utilizza il supporto, il carattere si libra da terra e l'effetto audio rotante dell'elica verrà riprodotto automaticamente allo stesso tempo."
57,basso Gliding,"Glide a bassa quota per un breve tratto, il pulsante di salto di contenimento, mentre cade impedirà di danneggiare te stesso"
58,alta Gliding,"Glide a bassa quota per una distanza più lunga, tasto di salto di contenimento, mentre cade impedirà di danneggiare te stesso"
59,Luci e piume,Evoca 3 piccoli cigni Phantom per nuotare intorno al Monte dopo l'uso
60,Il lago dei cigni,Può immergersi nell'acqua per nuotare
61,Volo mattutino,Può volare per una certa distanza nell'aria e non esaurisce la salute durante la caduta
62,Super Lightwave.,"Quando si muove, emetterà automaticamente onde luminose fresche"
63,Distruzione ray.,"Quando si muove, emetterà automaticamente una fresca ondata di luce rossa dorata"
64,Divina Lightwave.,"Quando si muove, emetterà automaticamente onde luminose fresche"
65,Raggi purificanti,"Quando si muove, emetterà automaticamente fresco onde luminose viola-viola"
66,Crescente cloud.,Può galleggiare in aria per una breve distanza e non si esaurisce durante la caduta
67,Sfondamento,Può volare per una certa distanza nell'aria e non si esaurisce durante la caduta
68,Salto dimensionale,Sembrerà 15 blocchi di distanza nella direzione appuntita dopo aver usato l'abilità
69,Whirlwind.,"Dopo l'uso, un piccolo tornado seguirà dietro la macchina"
70,Bolla magica,Molte bolle appariranno tutto intorno al corpo.
71,Wings Zephyr.,Può volare per una certa distanza nell'aria e non si esaurisce durante la caduta
72,Magic Gush.,Il flusso d'acqua blu apparirà intorno a te.
73,Lacrime miracolose,Può essere formato uno scudo energetico.
74,Glow rosso,Glow rosso che ruota intorno a te.
75,Fascio d'oro,Fagiolo dorato che ruota intorno a te.
76,Blue Glow.,Bagliore blu che ruota intorno a te.
77,Petali cadenti,Piccoli petali che cadono intorno a te
78,Farfalla flutter.,Farfalle e fiori che fioriscono intorno a te
79,Petali volanti,Petali rosa e fiori che volano intorno a te
80,Salpare,Toccare il pulsante Salta per accelerare il 20% per 10 secondi.
81,Evocazione per principianti,Tocca il pulsante Salta per evocare 1 piccolo genio che ti segue.
82,Convocazione intermedia,Fare clic sul pulsante Jump e un Genie Star apparirà da seguire.
83,Convocazione avanzata,Fare clic sul pulsante Salta e un Genie di Pearl apparirà da seguire.
84,God nascosto,"Dopo aver fatto clic sul pulsante Salta, fare nuovamente clic sul pulsante Salta in mezz'aria per inserire lo stato invisibile."
85,Spirito lontano.,Gli ingranaggi dorati appariranno attorno al corpo.
86,Purple Lightning.,Il fulmine viola apparirà intorno al corpo.
87,Windfury.,Premere a lungo il pulsante di salto per accumulare energia per evocare il tornado per soffiare via chiunque di fronte a te.
88,Volo a spirale,"Dopo aver fatto clic sul pulsante Jump, fare nuovamente clic sul pulsante Salta in mezz'aria per movimentato il cielo."
89,Onde sonore,Effetto laser luminoso che circonda il corpo.
90,Suono elettronico,Lampo colorato che circonda il corpo.
91,Dondolo ritmico,Premere a lungo il pulsante di salto per aumentare la salute per te stesso e compagni di squadra all'interno di un determinato intervallo.
92,La superstar arriva,Premere a lungo il pulsante di salto per aumentare la salute degli alleati in una determinata gamma e ridurre la salute dei mostri all'interno della gamma.
93,Fiori svolazzanti,Ci sono petali che volano in tutto il corpo.
94,Nuvole galleggianti,Premere a lungo il tasto di salto per volare una certa distanza nell'aria.
95,Linglong.,Puoi camminare sull'acqua.
96,Brezza leggera,Ci sono petali che volano in tutto il corpo.
97,Fan della danza,Ci sono petali che volano in tutto il corpo.
98,Ondeggiamento,Premere a lungo il pulsante di salto per volare una certa distanza nell'aria.
99,Estasi,"Fare clic sul pulsante Usa per attivare il cerchio Magic Phantom, ei mostri nel cerchio magico cadranno in una stordita."
100,Fortune Badill.,Fare clic per utilizzare il tasto per far cadere le ossa di carne nell'aria.
101,Fiamma blu,Spara fiamme blu da dietro.
102,Drago Fiamma,Fiamme arancioni circondano il corpo.
103,Cannone imperatore,"Spara un cannone a energia. Una volta colpito, il danno sarà preso."
104,Volare del drago,Vola nel cielo. Volare liberamente nell'aria.
105,Di buon auspicio,Macchie dorate e piccoli lingotti circondano il corpo.
106,Tigre di buon auspicio,Luci cadenti e monete con nuvole e nebbia circondano il corpo.
107,Salto della tigre,Balza in avanti per colpire con danni.
108,Ruggito di montagna,Ruggire per colpire con danni entro un certo raggio.
109,Meteora,Stelle blu mignolo circondano il corpo
110,Fiore giallo,Fiori bianchi e fluorescenza gialla circondano il corpo
111,Cuore rosa,Cuori rosa e fluorescenza blu circondano il corpo
112,Piuma volante,Premi a lungo il pulsante di salto per volare per una certa distanza in aria.
113,Benedizione,Salute aumentata quando si subiscono danni mortali
114,Il vento,Foglie e nuvole di bambù circondano il corpo
115,Ombra,Le ombre delle montagne e dei fiumi circondano il corpo
116,Libero,Aumenta la velocità di movimento quando subisci danni
117,Panoramico,Fai clic sul pulsante Usa per infliggere danni ai mostri di fronte a te
118,Stella ombre,Spotò in giro.
119,Glow divino,Luce trans fluida intorno.
120,Sogno divino,Tieni premuto il tasto Jump per incantare e ottenere buff in modo casuale.
121,Imperatore Dao,La punta formerà una fiamma figurativa.
122,Via Santa,Ci sono fiamme di stelle filanti su tutto il corpo.
123,Spada che vola,Premere a lungo il pulsante di salto per volare a una certa distanza in aria.
124,Spada Imperiale Doppia Mosca,"Puoi guidare con i tuoi amici, e la doppia spada può anche aumentare la velocità di movimento."
125,Bagno di bolle,Ci sono bolle che galleggiano intorno.
126,Bagno a bolle con note musicali,Ci sono bolle e note musicali che volano in giro.
127,Sonnambulismo,Può galleggiare sull'acqua.
128,Bolla galleggiante,Premere a lungo il pulsante di salto per far galleggiare i mostri intorno a te nell'aria avvolti in bolle.
129,Fai il carino,C'è molto amore che galleggia in giro.
130,Sogno galleggiante,Tutto il corpo sarà cosparso di fiori rossi.
131,Luce,"Dopo aver fatto clic sul pulsante di salto, fare clic sul pulsante di salto di nuovo in aria per saltare in due fasi."
132,Mille Illusioni,Premere a lungo il pulsante di salto può far cadere i mostri vicini in una fantasia e attaccarsi a vicenda.
133,Vai a fare un giro,Ci sono impronte di gatto che galleggiano su tutto il corpo.
134,Sabbia volante,C'erano granelli di sabbia che galleggiavano intorno.
135,Sabbia passo,"Dopo la guida, può ridurre i danni delle tempeste di sabbia."
136,Come il broccato,Piume bianche svolazzavano su tutto il corpo.
137,Fucui,Ci sono piume verdi che galleggiano intorno.
138,Linlang,Splendide piume svolazzavano intorno al corpo.
139,Vagare,Premere a lungo il pulsante di salto per volare a distanza in aria.
140,Spirito dell'uccello,"Dopo la guida, la luminosità del campo visivo è notevolmente migliorata, e l'ambiente intorno a voi può essere visto chiaramente di notte."
141,Sabbie mobili,Circondato dalla sabbia dorata che scorre riempiendo il cuore.
142,Spinaci,Fiori dorati di osmanto svolazzavano su tutto il corpo.
143,Luna galleggiante,Può galleggiare sull'acqua.
144,Battere la torta,Premere a lungo il pulsante di salto per generare casualmente un alimento.
145,Dimentica le preoccupazioni,Circondato da gigli rosa della valle e un po 'di luce e ombra
146,Non preoccuparti,"Circondato da gigli rosa della valle, piccole luci e farfalle"
147,Campane eoliche,Premere a lungo il pulsante di salto per volare a distanza in aria.
148,Fragrante,Ha una velocità di movimento super veloce.
149,Scorrevole,Ci saranno foglie d'acero e luce su tutto il corpo che si muove con il vento.
150,Accelerazione di potenza,Premere a lungo il pulsante di salto per sprintare in avanti per una distanza.
151,Pilota,"Fai doppio clic sul tasto di salto per continuare a volare a bassa quota, ma non può volare sull'acqua e sulla lava. Fai di nuovo doppio clic sul tasto di salto per atterrare."
152,I maiali reagiscono,"Quando è sottoposto ad attacchi successivi, il danno dell'attacco del nemico viene restituito al nemico."
153,A lume di candela,Ci sono macchie di luce che galleggiano intorno.
154,Salto,Premere a lungo il pulsante di salto per risparmiare energia per saltare più in alto.
155,Coniglio whack,Fai clic sul pulsante di salto in aria per atterrare rapidamente e distruggere i blocchi a terra.
156,Tenerezza,"Circondato da stelle, ombre e petali."
157,Polvere,"Circondato da stelle, petali e fasce di luce rosa chiaro."
158,Viaggia intorno alla fantasia,Premere a lungo il pulsante di salto per volare a distanza in aria.
159,Spazio da sogno,Fare clic sul pulsante Usa in ciascuna delle due posizioni per impostare un array di trasporto bidirezionale.
160,Neve,Circondato da luce blu e piccoli fiocchi di neve.
161,Campo di ghiaccio,I mostri che entrano nell'area circostante saranno rallentati.
162,Zero assoluto,Premere a lungo il pulsante di salto per congelare i mostri vicini.
163,Super energia,Circondato da un'apertura
164,esprimi un desiderio,Circondato da piccole stelle.
165,sorpresa,Premere a lungo il pulsante di salto per teletrasportarsi in avanti di una distanza.
166,Doppia corsa,Puoi cavalcare con i tuoi amici.
167,Gollum,Circondato da tutti i tipi di piccoli punti luce Gollum Beast.
168,Energia miracolosa,Premere a lungo il pulsante di salto per generare casualmente un uovo biologico.
169,Flutter,"Fare doppio clic sul pulsante di salto può continuare a volare a bassa quota, ma non può volare sulla superficie dell'acqua e sul magma. Fare di nuovo doppio clic sul pulsante di salto può atterrare."
170,Incenso per gnocchi,Ci sono piccoli zongzi delicati che galleggiano intorno al corpo.
171,salpare,Può galleggiare sull'acqua.
172,pesca in mare,Premi a lungo il pulsante di salto sull'acqua per lanciare zongzi e ottenere una creatura marina.
173,Nube di fumo,Nuvole nebbiose
174,Paesaggio di montagna,Evoca sella per scavare più velocemente
175,Petali d'Acqua-Luna,"Tieni salto per evocare creatura, attacca mostri."
176,Sogno,"Caramelle, particelle, cuori intorno"
177,Fantasia,"HP diminuisce, ATK aumenta."
178,Festa delle Bambole,Tieni premuto [Salta] per Oso Felice e temperatura.
179,,
180,,
181,ritmo,Circondato da note musicali battenti.
182,Voce della Luna,Ci sono note musicali viola e dorate che battono su tutto il corpo accompagnate dalle stelle e dalla luna.
183,musica,Fare doppio clic sul tasto di salto può accelerare e ripristinare i punti di salute per un po '.
184,Star Vault Piacere,Premere a lungo il pulsante di salto può stordire i mostri vicini.
185,Biye,Circondato da foglie verdi.
186,Asilo verde,Circondato da energia verde e fiori e foglie verdi.
187,Benedizione della foresta,Fare doppio clic sul tasto Salta può ripristinare i punti di salute per un periodo di tempo.
188,risonanza naturale,Premendo a lungo il pulsante di salto si possono infliggere danni ai mostri vicini.
189,Luce Meravigliosa,Luccica ovunque.
190,Ballerina di Seta del Mare,Luccicante con la luce della vita marina.
191,Barriera Corallina,Doppio tocco per scudo danni
192,Furia delle Maree,"Premi a lungo per saltare e spruzzare, respingendo i mostri"
193,Lanterna a forma di carpa.,Il corpo emana una luce brillante.
194,La danza dei pesci lanterna.,Il corpo è circondato da piccoli carpe koi e punti di luce che fluttuano.
195,Schermo di Jin Fu.,Doppio tocco del tasto salto ti permette di ottenere uno scudo che resiste ad una parte del danno.
196,Danza della fortuna e prosperità di Fuchun.,"Premendo a lungo il pulsante di salto, è possibile rilasciare il potere del koi e recuperare una certa quantità di punti vita."
197,Onirico.,Il corpo è scintillante di punti luminosi.
198,Il sogno dell'infanzia danza.,Tutti intorno a me ballano elegantemente i cavalli da fiaba.
199,Galoppa sotto le stelle,Premere due volte il tasto di salto ti darà un effetto di accelerazione temporanea.
200,Risonanza della melodia.,"Premi a lungo il tasto del salto per rilasciare la melodia delle favole, che metterà momentaneamente i mostri circostanti in uno stato di stordimento."
201,Un cavallo che scompare nella polvere.,Il corpo è coperto di polvere.
202,Attacco di dolci.,Lanciare caramelle in giro.
203,Ombra illusoria.,Il corpo è circondato da un'ombra di padella a basso profilo fluttuante.
