ID,名字,描述,追踪
1011,พี่จะรวยแล้ว,ใช้อีเต้อเหล็กหรือเพชรเก็บแร่ทอง#r(ลึกลงไปใต้ดิน),สร้าง #cfa7a0fเก็บแร่ทอง
1012,ว้าว เพชรจ้า,ใช้อีเต้อเหล็กหรือเพชรเก็บเพชรดิบ#r(ลึกลงไปใต้ดิน),เก็บ #cfa7a0fเพชร
1013,สัมผัสไฟครั้งแรก,ใช้อีเต้อเหล็กหรือเพชรเก็บแก๊ซอะเซทิลีน#r(ลึกลงไปใต้ดิน),เก็บแก๊ซอะเซทิลีน
1014,ของแข็ง,ใช้เพชรเก็บออบซิเดียน#r(อาจอยู่ใกล้ๆแมกมา),ได้รับ #cfa7a0fออบซิเดียน
1015,นักเวทย์,คราฟต์หีบร่ายมนต์#r(ต้องใช้หีบเครื่องมือ ใช้เครื่องมือร่ายมนต์ได้),สร้าง #cfa7a0fหีบร่ายมนต์
1016,บางสิ่งกำลังจ้องมองฉัน,ชนะมนุษย์แกนโลกได้ดวงตาแกนโลก#r(เหมือนดวงตาแกนโลกจะบินไปที่ใดที่หนึ่ง),ได้รับ #cfa7a0fดวงตาแกนโลก
1017,อัญมณีโบราณ,รับอัญมณีโบราณจากดันเจี้ยน โยนทิ้งแล้วหยิบขึ้นมา เพราะมันคลายเวทมนตร์โบราณ...,ได้รับ #cfa7a0fอัญมณีโบราณ
1018,อิฐประตูแกนโลก,อัญมณีโบราณ หอกดำ และอื่นๆ #L#cfa7a0f อิฐประตูแกนโลก #n,สร้าง #cfa7a0fอิฐประตูแกนโลก
1022,ประตูวาร์ปแกนโลก,สร้างประตูวาร์ปและใส่กรอบประตูของวาร์ปเพื่อเปิดประตูวาร์ป#r (พื้นที่ 2*3 ของจุดศูนย์กลาง),สร้าง #cfa7a0fประตูวาร์ปแกนโลก
1023,อีกโลกหนึ่ง,ไปยังแกนโลกปราบยักษ์ลาวา @1#r (โลกนี้เต็มไปด้วยเปลวเพลิง),ชนะ #cfa7a0fยักษ์ลาวา
1024,ดราก้อนสเลเยอร์,กำจัดมังกรดำโบราณในดาว Flamus@1,ชนะ #cfa7a0fมังกรดำโบราณ
1025,ของที่ระลึก,รับ #L#cfa7a0f รูปปั้นมังกรดำ #n@1#r (ดูเหมือนหมูป่าจะกลัวรูปปั้นมังกรดำ),เก็บ #cfa7a0fอนุสรณ์มังกร
1026,โลกปริศนา,นี่คือจุดสิ้นสุด? หรือนี่เป็นเพียงจุดเริ่มต้น! #r (ใครบางคน: ฉันจะกลับมา),โลกปริศนา
1027,ถังเหล็ก,สร้าง #L#cfa7a0f ถังเหล็ก #n เพื่อตักน้ำ#r (น้ำ 1 แปลง เพื่อทดแทนน้ำรอบพื้นที่เพาะปลูก 4 แปลง),สร้าง #cfa7a0fถังเหล็ก
1028,ฤดูเพาะปลูก,ใช้ #L#cfa7a0f เมล็ดข้าวสาลี #n เพื่อปลูก #r ในพื้นที่เกษตรกรรม (ปลูกได้ในพื้นที่การเกษตรเท่านั้น),ใช้เมล็ดพันธุ์ข้าวสาลี
1029,ฤดูเก็บเกี่ยว,รับ #L#cfa7a0f ข้าวสาลี #n#r (สามารถรับข้าวสาลีได้หลังจากที่พืชผลเติบโตและโตเต็มที่เท่านั้น),ได้ข้าวสาลี
1030,อบขนมปัง,ทำขนมปังข้าวสาลี#l#cfa7a0f#n@1#r (กินตอนไหนก็ไม่หิว),คราฟต์ขนมปังโฮลวีต
1031,เชฟขนมปัง,ทำ #L#cfa7a0f ขนมปังฝรั่งเศส#n@1,คราฟต์ขนมปังฝรั่งเศส
1032,เชฟขนมเค้ก,ทำ #L#cfa7a0f เค้ก #n@1,คราฟต์เค้ก
1033,มาทาดอร์,กำจัดวัวเพื่อรับ #L#cfa7a0f สเต็กดิบ #n@1#r (วัวกินหญ้า มูมู),ได้เนื้อดิบ
1034,หนัง,กำจัดวัวเพื่อรับ #L#cfa7a0f หนังอ่อน #n@1,ได้หนังอ่อน
1035,ย่างสเต็กเนื้อ,ใช้เตาหลอมทำ#L#cfa7a0f สเต็กย่าง #n@1,ย่างสเต็กเนื้อ
1036,ไก่จ๋า จะไปไหน,"กำจัดไก่เพื่อรับ #L#cfa7a0f ไก่ดิบ #n@1#r (ไก่กินเมล็ดข้าวสาลี, เจี๊ยบเจี๊ยบ)",ได้เนื้อไก่ดิบ
1037,ไข่ทองไข่เงิน,หยิบ #L#cfa7a0f ไข่#n@1,ได้ไข่ไก่
1038,ไก่ย่าง,ใช้เตาหลอมทำ #L#cfa7a0f ไก่ย่าง #n@1,ย่างเนื้อไก่ย่าง
1039,แม๊ะ,กำจัดแกะเพื่อรับ #L#cfa7a0f ขาแกะดิบ #n@1#r (แกะกินหญ้า แบ๊ะๆ),ได้น่องแกะดิบ
1040,ปล้นขนแกะ,กำจัดแกะหรือใช้กรรไกรเพื่อหยิบ #L#cfa7a0f ขนแกะ #n@1,ได้ขน
1041,พรมขน,สร้าง #L#cfa7a0f พรม #n@1,คราฟต์พรม
1042,หัวใจแห่งความงาม,หยิบ #l#cfa7a0f ดอกไม้ #n@1#r (ดอกไม้สวย ค่อนข้างหายาก),ได้ดอกไม้
1043,โลกแห่งสีสัน,สร้าง #L#cfa7a0f สี #n@1,คราฟต์สีย้อม
1044,โหย สวยจัง,สร้าง #L#cfa7a0f ขนสีแดง #n@1,คราฟต์ขนสีแดง
1045,ท่องทางรถไฟ,สร้าง #L#cfa7a0f ข้อต่อเหล็กรางรถไฟ #n@1,คราฟต์ทางรถไฟ
1046,เดินทาง!,สร้าง #L#cfa7a0f รถไฟ #n@1,คราฟต์รถไฟ
1047,กุ๊ก,เสร็จสิ้นภารกิจโดยอัตโนมัติ หลังจากทำภารกิจก่อนหน้าได้สำเร็จ,ทำอาหารมื้อใหญ่
1048,เข้าใจชีวิต,เสร็จสิ้นภารกิจโดยอัตโนมัติ หลังจากทำภารกิจก่อนหน้าได้สำเร็จ,คราฟต์กระจกสีแดง
1049,ผู้เพาะเลี้ยงอัลปาก้า,ถือหญ้า / อาหารเนื้อสัตว์หรือแตงกวามื้อใหญ่ให้เป็นอาหารอัลปาก้าสองตัวในข้างๆกองหญ้า จะทำให้มันขยายพันธุ์ลูกอัลปาก้าถึง 200 ตัว@1,ขยายพันธุ์#cfa7a0fอัลปาก้า
1050,เลี้ยงวอวอ,ถือวัชพืชหรือธัญพืชให้เป็นอาหารวอวอสองตัวในข้างๆกองหญ้า จะทำให้มันขยายพันธุ์ลูกวอวอถึง 200 ตัว@1,ขยายพันธุ์#cfa7a0fวอวอ
1051,ผู้เพาะเลี้ยงกวางเขา,ถือวัชพืชหรือธัญพืชให้เป็นอาหารกวางเขาสองตัวในข้างๆกองหญ้า จะทำให้มันขยายพันธุ์ลูกกวางเขาถึง 200 ตัว@1,ขยายพันธุ์#cfa7a0fกวางเขา
1052,อัญเชิญลูกเจี๊ยบ,ถือธัญพืชให้เป็นอาหารไก่ในข้างๆรัง จะทำให้มันขยายพันธุ์ลูกเจี๊ยบถึง 200 ตัว@1,ขยายพันธุ์#cfa7a0fไก่
1053,ฐานเพาะพันธุ์ขนาดใหญ่,เสร็จสิ้นภารกิจโดยอัตโนมัติ หลังจากทำภารกิจก่อนหน้าได้สำเร็จ,สำเร็จ #cfa7a0f ความสำเร็จของซีรีย์ผสมพันธุ์สัตว์
1054,หอกหิน,สร้าง #L#cfa7a0f หอกหิน #n@1#r (อันตรายมักปรากฏในความมืดเสมอ),คราฟต์หอกหิน
1055,คมกว่า,สร้าง #L#cfa7a0f ดาบสั้น#n@1#r (การสร้างบ้านสามารถป้องกันตัวเองได้อย่างมีประสิทธิภาพ),คราฟต์ดาบสั้น
1056,วัตถุติบไร้ประโยชน์,สร้าง #L#cfa7a0f หอกหิน#n@1#r (อุปกรณ์ครบครัน ไม่ต้องกลัวโดนโจมตี),คราฟต์หลาว
1057,ฆ่าคนป่าอย่างง่ายตาย,สร้าง #L#cfa7a0f ดาบพลังงาน #n@1#r (ตอนนี้เราต้องลงโทษพวกหมูป่าที่กลั่นแกล้ง),คราฟต์ดาบพลังงาน
1058,ตีระยะไกล,สร้าง #L#cfa7a0f ธนูสั้น#n@1#r (คันธนูสั้นสามารถยิงได้ไกลขึ้นเมื่อดึงจนสุดและต้องใช้ลูกศร),คราฟต์ธนูไม้แบบสั้น
1059,ต้องการลูกศรหิน,สร้าง #L#cfa7a0f ลูกศร #n@1,คราฟต์ลูกศรหิน
1060,หมวกหนัง,สร้าง #L#cfa7a0f หมวกหนัง #n@1#r (สามารถสวมใส่เพื่อเพิ่มพลังป้องกันได้),คราฟต์หมวกหนัง
1061,หมวกเหล็ก,สร้าง #L#cfa7a0f หมวกเหล็ก #n@1#r (อุปกรณ์ขั้นพอใช้ เพิ่มพลังป้องกัน),คราฟต์หมวกเหล็ก
1062,หมวกเพชร,สร้าง #L#cfa7a0f หมวกเพชร #n@1#r (อุปกรณ์ขั้นสูง เพิ่มการป้องกันสูง),คราฟต์หมวกเพชร
1063,เกราะหน้าอกหนัง,สร้าง #L#cfa7a0f เกราะหนัง #n@1#r (สามารถสวมใส่เพื่อเพิ่มพลังป้องกันได้),คราฟต์เกราะหนัง
1064,เกราะหน้าอกเหล็ก,สร้าง #L#cfa7a0f เกราะเหล็ก #n@1#r (อุปกรณ์ขั้นพอใช้ เพิ่มพลังป้องกัน),คราฟต์เกราะเหล็ก
1065,เกราะหน้าอกเพชร,สร้าง #L#cfa7a0f เกราะเพชร #n@1#r (อุปกรณ์ระดับสูง เพิ่มพลังป้องกันเยอะมาก),คราฟต์เกราะเพชร
1066,เกราะหุ้มขาหนัง,สร้าง #L#cfa7a0f สนับแข้งหนัง #n@1#r (สามารถสวมใส่เพื่อเพิ่มพลังป้องกัน),คราฟต์สนับขาหนัง
1067,เกราะหุ้มขาเหล็ก,สร้าง #L#cfa7a0f สนับแข้งเหล็ก #n@1#r (อุปกรณ์ขั้นพอใช้ เพิ่มพลังป้องกัน),คราฟต์สนับขาเหล็ก
1068,เกราะหุ้มขาเพชร,สร้าง #L#cfa7a0f สนับแข้งเพชร #n@1#r (อุปกรณ์ระดับสูง เพิ่มพลังป้องกันเยอะมาก),คราฟต์สนับขาเพชร
1069,เกราะเท้าหนัง,สร้าง #L#cfa7a0f บูทหนัง #n@1#r (สวมใส่เพื่อเพิ่มพลังป้องกัน),ทำ #cfa7a0fLeather boot
1070,เกราะเท้าเหล็ก,สร้าง #L#cfa7a0f บูทเหล็ก #n@1#r (อุปกรณ์ขั้นพอใช้ เพิ่มพลังป้องกัน),คราฟต์บูทเหล็ก
1071,เกราะเท้าเพชร,สร้าง #L#cfa7a0f บูทเพชร #n@1#r (อุปกรณ์ขั้นสูง เพิ่มการป้องกันเยอะมาก),คราฟต์บูทเพชร
1072,@Null@,@Null@,@Null@
1073,ปรมาจารย์อุปกรณ์,คุณได้กลายเป็นปรมาจารย์อุปกรณ์@1,เสร็จสิ้นทั้งหมด #cfa7a0fความสำเร็จของป้องกัน
1074,ต้องการกระดาษ,สร้าง #L#cfa7a0f กระดาษ@1#r (สร้างโดยรวบรวมอ้อย),สร้าง #cfa7a0fกระดาษ
1075,สมุดเวทมนต์,สร้าง #L#cfa7a0f สมุดเปล่า #n@1,สร้าง #cfa7a0fสมุดเปล่า
1076,ปรมาจารย์เวทมนต์,เสร็จสิ้นภารกิจโดยอัตโนมัติ หลังจากทำภารกิจก่อนหน้าได้สำเร็จ,เสร็จสิ้นทั้งหมด  #cfa7a0fความสำเร็จของร่ายมนต์
1077,ฆ่าพวกเขา,เสร็จสิ้นภารกิจโดยอัตโนมัติ หลังจากทำภารกิจก่อนหน้าได้สำเร็จ,Defeat #cfa7a0fสัตว์ประหลาด
1078,ศัตรูนักล่า,กำจัด 200 นักล่าคนป่า @1,ชนะนักล่าคนป่า
1079,ศัตรูแกนโลก,กำจัดทูตแห่งความว่างเปล่า 100 ตัว@1,กำจัด#cfa7a0fทูตแห่งความว่างเปล่า
1080,ศัตรูคนป่า,กำจัด 500 คนป่า @1,ชนะคนป่า
1081,ไข่ระเบิด,กำจัด 200 ไข่ตูมตาม @1,ชนะไข่ตูมตาม
1082,เท่าเทียมกับพระเจ้า,เสร็จสิ้นภารกิจโดยอัตโนมัติ หลังจากทำภารกิจก่อนหน้าได้สำเร็จ,@Null@
1083,นักขุดแร่ I,คราฟต์#L#cfa7a0fอีเตอร์แร่หิน#n@1#r x100 (อีเตอร์แร่หินสามารถขุดมิธริลได้),คราฟต์#cfa7a0fอีเตอร์แร่หิน
1084,นักขุดแร่ II,คราฟต์#L#cfa7a0fอีเตอร์มิธริล#n@1#r x50 (อีเตอร์มิธริลสามารถขุดแร่ขั้นสูงได้),คราฟต์#cfa7a0fอีเตอร์มิธริล
1085,นักขุดแร่ III,คราฟต์#L#cfa7a0fดอกสว่าน#n@1#r x20  (ดอกสว่านสามารถขุดแร่ได้),คราฟต์#cfa7a0fดอกสว่าน
1086,กระจก I,หลอม#L#cfa7a0fบล็อกกระจก#n@1 x10,หลอม#cfa7a0fบล็อกกระจก
1087,กระจก II,หลอม#L#cfa7a0fบล็อกกระจก#n@1 x500,หลอม#cfa7a0fบล็อกกระจก
1088,กระจก III,หลอม#L#cfa7a0fบล็อกกระจก#n@1 x2000,หลอม#cfa7a0fบล็อกกระจก
1089,หลอมมิธริล (I),หลอม#L#cfa7a0fมิธริล#n@1 x10,หลอม#cfa7a0fมิธริล
1090,หลอมมิธริล (II),หลอม#L#cfa7a0fมิธริล#n@1 x100,หลอม#cfa7a0fมิธริล
1091,หลอมมิธริล (III),หลอม#L#cfa7a0fมิธริล#n@1 x300,หลอม#cfa7a0fมิธริล
1092,แร่ทองทังสเตน (I),ขุด#L#cfa7a0fแร่ทองทังสเตน#n@1 x10,ขุด#cfa7a0fแร่ทองทังสเตน
1093,แร่ทองทังสเตน (II),ขุด#L#cfa7a0fแร่ทองทังสเตน#n@1 x50,ขุด#cfa7a0fแร่ทองทังสเตน
1094,แร่ทองทังสเตน (III),ขุด#L#cfa7a0fแร่ทองทังสเตน#n@1 x200,ขุด#cfa7a0fแร่ทองทังสเตน
1095,มาสเตอร์ฝึกจิ้งจอก (I),ฝึกจิ้งจอก 1 ตัว@1ให้เชื่องด้วยไข่ไก่,ฝึก#cfa7a0fจิ้งจอกให้เชื่อง
1096,มาสเตอร์ฝึกจิ้งจอก(II),ฝึกจิ้งจอก 5 ตัว@1ให้เชื่องด้วยไข่ไก่,ฝึก#cfa7a0fจิ้งจอกให้เชื่อง
1097,มาสเตอร์ฝึกจิ้งจอก (III),ฝึกจิ้งจอก 20 ตัว@1ให้เชื่องด้วยไข่ไก่,ฝึก#cfa7a0fจิ้งจอกให้เชื่อง
1098,ลุกโชน (I),หลอม#L#cfa7a0fลุกโชน#n@1 x5,หลอม#cfa7a0fลุกโชน
1099,ลุกโชน (II),หลอม#L#cfa7a0fลุกโชน#n@1 x100,หลอม#cfa7a0fลุกโชน
1100,ลุกโชน (III),หลอม#L#cfa7a0fลุกโชน#n@1 x500,หลอม#cfa7a0fลุกโชน
1101,มาสเตอร์พลังงานดาว  (I),ขุด#L#cfa7a0fแร่พลังงานดาว#n@1 x10,ขุด#cfa7a0fแร่พลังงานดาว
1102,มาสเตอร์พลังงานดาว  (II),ขุด#L#cfa7a0fแร่พลังงานดาว#n@1 x200,ขุด#cfa7a0fแร่พลังงานดาว
1103,มาสเตอร์พลังงานดาว  (III),ขุด#L#cfa7a0fแร่พลังงานดาว#n@1 x500,ขุด#cfa7a0fแร่พลังงานดาว
1104,ลูกศรหิน I,สร้าง 10 #L#cfa7a0f ลูกศร#n@1,คราฟต์ลูกศรหิน
1105,ลูกศรหิน II,สร้าง 100 #L#cfa7a0f ลูกศร#n@1,คราฟต์ลูกศรหิน
1106,ลูกศรหิน III,สร้าง 1000 #L#cfa7a0f ลูกศร#n@1,คราฟต์ลูกศรหิน
1107,ผู้พิทักษ์ป่า (I),ปลูกต้นไม้มากกว่า 10 ต้น@1#r (ถือ#L#cfa7a0fเมล็ดพันธุ์ต้นไม้#nปลูกในหลุมดิน),ปลูก#cfa7a0fต้นไม้
1108,ผู้พิทักษ์ป่า (II),ปลูกต้นไม้มากกว่า 200 ต้น@1#r (ถือ#L#cfa7a0fเมล็ดพันธุ์ต้นไม้#nปลูกในหลุมดิน),ปลูก#cfa7a0fต้นไม้
1109,ผู้พิทักษ์ป่า (III),ปลูกต้นไม้มากกว่า 2000 ต้น@1#r (ถือ#L#cfa7a0fเมล็ดพันธุ์ต้นไม้#nปลูกในหลุมดิน),ปลูก#cfa7a0fต้นไม้
1110,สเต็กอัลปาก้า (I),คราฟต์#L#cfa7a0fสเต็กอัลปาก้า x50#n@1,คราฟต์#cfa7a0fสเต็กอัลปาก้า
1111,สเต็กอัลปาก้า (II),คราฟต์#L#cfa7a0fสเต็กอัลปาก้า x200#n@1,คราฟต์#cfa7a0fสเต็กอัลปาก้า
1112,สเต็กอัลปาก้า (III),คราฟต์#L#cfa7a0fสเต็กอัลปาก้า x1000#n@1,คราฟต์#cfa7a0fสเต็กอัลปาก้า
1113,เนื้อวอวอ (I),คราฟต์#L#cfa7a0fเนื้อวอวอย่าง x50#n@1,คราฟต์#cfa7a0fเนื้อวอวอย่าง
1114,เนื้อวอวอ (II),คราฟต์#L#cfa7a0fเนื้อวอวอย่าง x200#n@1,คราฟต์#cfa7a0fเนื้อวอวอย่าง
1115,เนื้อวอวอ (III),คราฟต์#L#cfa7a0fเนื้อวอวอย่าง x1000#n@1,คราฟต์#cfa7a0fเนื้อวอวอย่าง
1116,ไก่ย่าง (I),ย่าง#L#cfa7a0fไก่ย่าง x50#n@1,ย่าง#cfa7a0fไก่ย่าง
1117,ไก่ย่าง (II),ย่าง#L#cfa7a0fไก่ย่าง x200#n@1,ย่าง#cfa7a0fไก่ย่าง
1118,ไก่ย่าง (III),ย่าง#L#cfa7a0fไก่ย่าง x1000#n@1,ย่าง#cfa7a0fไก่ย่าง
1119,เนื้อกวางเขาย่าง (I),คราฟต์#L#cfa7a0fเนื้อกวางเขาย่าง x50#n@1,คราฟต์#cfa7a0fเนื้อกวางเขาย่าง
1120,เนื้อกวางเขาย่าง (II),คราฟต์#L#cfa7a0fเนื้อกวางเขาย่าง x200#n@1,คราฟต์#cfa7a0fเนื้อกวางเขาย่าง
1121,เนื้อกวางเขาย่าง (III),คราฟต์#L#cfa7a0fเนื้อกวางเขาย่าง x1000#n@1,คราฟต์#cfa7a0fเนื้อกวางเขาย่าง
1122,ฝ้าย I,สร้าง 50 #L#cfa7a0f บล็อกฝ้าย #n@1,ได้รับ #cfa7a0fขน
1123,ฝ้าย II,สร้าง 200 #L#cfa7a0f บล็อกฝ้าย #n@1,ได้รับ #cfa7a0fขน
1124,ฝ้าย III,สร้าง 1000 #L#cfa7a0f บล็อกฝ้าย #n@1,ได้รับ #cfa7a0fขน
1125,ผู้เชี่ยวชาญด้านการขุด (I),ขุด#L#cfa7a0fหิน x100#n@1,ขุด#cfa7a0fหิน
1126,ผู้เชี่ยวชาญด้านการขุด (II),ขุด#L#cfa7a0fหิน x1000#n@1,ขุด#cfa7a0fหิน
1127,ผู้เชี่ยวชาญด้านการขุด (III),ขุด#L#cfa7a0fหิน x5000#n@1,ขุด#cfa7a0fหิน
1128,ฉันกลัวความมืด (I),คราฟต์#L#cfa7a0fคบเพลิงติดไฟ  x50#n@1,คราฟต์#cfa7a0fคบเพลิงติดไฟ
1129,ฉันกลัวความมืด (II),คราฟต์#L#cfa7a0fคบเพลิงติดไฟ  x200#n@1,คราฟต์#cfa7a0fคบเพลิงติดไฟ
1130,ฉันกลัวความมืด (III),คราฟต์#L#cfa7a0fคบเพลิงติดไฟ  x500#n@1,คราฟต์#cfa7a0fคบเพลิงติดไฟ
1131,ฟื้นชีพ I,ล้มเหลว 1 ครั้ง@1,แพ้
1132,ฟื้นชีพ II,ล้มเหลว 100 ครั้ง@1,แพ้
1133,ฟื้นชีพ III,ล้มเหลว 500 ครั้ง@1,แพ้
1134,อาหารทะเล (I),คราฟต์#L#cfa7a0fปลาบ๊องแบ๊วย่าง x1#n,คราฟต์#cfa7a0fปลาบ๊องแบ๊วย่าง
1135,อาหารทะเล  (II),คราฟต์#L#cfa7a0fปลาบ๊องแบ๊วย่าง x10#n,คราฟต์#cfa7a0fปลาบ๊องแบ๊วย่าง
1136,อาหารทะเล (III),คราฟต์#L#cfa7a0fปลาบ๊องแบ๊วย่าง x100#n,คราฟต์#cfa7a0fปลาบ๊องแบ๊วย่าง
1137,ผู้พิชิตอลวน,กำจัดมังกรดำโกลาหล#r (มังกรดำโกลาหล: \(-^-)/)@1,ชนะมังกรอลวน
1138,การทำยานอวกาศ,เก็บวัตถุดิบเพื่อสร้าง #L#cfa7a0f จรวด#n@1,การทำ#cfa7a0fยานอวกาศ
1139,เข้าสู่ดาวโฮราส,ขึ้นจรวดไป Horas เพื่อสะสม#L#cfa7a0f หินโฮราส#n@1,เข้าสู่#cfa7a0fดาวโฮราส
1140,เปิดใช้โทเทม,ใช้#L#cfa7a0fรูนฟื้นฟู#nเพื่อเปิดใช้งานโทเทม@1,เปิดใช้#cfa7a0fโทเทม
1141,อีเต้อดาวทองแดง,สร้าง#L#cfa7a0f สว่านทองแดงฮอรัส#n@1,การทำ#cfa7a0fอีเต้อดาวทองแดง
1142,ตะขอกรงเล็บ,สร้าง #L#cfa7a0f ตะขอกรงเล็บ#n@1,การทำ#cfa7a0fตะขอกรงเล็บ
1143,จะดำเนินต่อไป ...,การผจญภัยเพิ่มเติมกำลังจะมา,การผจญภัยเพิ่มเติมกำลังจะมาเร็วๆ นี้
1144,นักประดิษฐ์ออกซิเจน,ใช้ไข่มุก หินโสโครก ทองแดง และวัตถุดิบไม้เพื่อคราฟต์#L#cfa7a0fเครื่องกลั่นแก๊ส#n@1,คราฟต์#cfa7a0fเครื่องกลั่นแก๊ส
1145,เตรียมพร้อมอย่างดี,ใช้กระจก ทองแดงเพื่อคราฟต์#L#cfa7a0fถังแก๊ส#n@1,คราฟต์#cfa7a0fถังแก๊ส
1146,ความสุขในอวกาศ,ใช้ถังแก๊สและหินดาวทองแดงเพื่อคราฟต์#L#cfa7a0fกระเป๋าเป้ออกซิเจน#n@1,คราฟต์#cfa7a0fกระเป๋าเป้ออกซิเจน
1147,ดินอวกาศ,ใช้บล็อกหญ้าโฮราส บล็อกหินโฮราส น้ำขวด และปุ๋ยสัตว์เพื่อคราฟต์#L#cfa7a0fสารเพาะพืช#n@1,คราฟต์#cfa7a0สารเพาะพืช
1148,นักผจญภัยแห่งจักรวาล,ภารกิจสำเร็จโดยอัตโนมัติ หลังจากเสร็จสิ้นภารกิจก่อนหน้า,จักรวาลเป็นเวทีการผจญภัยที่กว้างขึ้น
1149,ชนะดิงดิง,กำจัดดิงดิง 200 ตัว@1,ชนะ#cfa7a0fดิงดิง
1150,ชนะดงดง,กำจัดดงดง 200 ตัว@1,ชนะ#cfa7a0fดงดง
1151,ชนะดังดัง,กำจัดดังดัง  200 ตัว@1,ชนะ#cfa7a0fดังดัง
1152,ชนะพ่อมดแรงถ่วง,กำจัดซิวซิว  100 ตัว@1,ชนะ#cfa7a0fพ่อมดแรงถ่วง
1153,K.O.,ภารกิจสำเร็จโดยอัตโนมัติ หลังจากเสร็จสิ้นภารกิจก่อนหน้า,@Null@
1154,มีชีวิตรอดในดาวโฮราสI,เอาตัวรอด 7 วันบนดาว Horas @1,#cfa7a0fมีชีวิตรอด#nในดาวโฮราส
1155,มีชีวิตรอดในดาวโฮราสII,เอาตัวรอด 60 วันบนดาว Horas @1,#cfa7a0fมีชีวิตรอด#nในดาวโฮราส
1156,มีชีวิตรอดในดาวโฮราสIII,เอาตัวรอด 365 วันบนดาว Horas @1,#cfa7a0fมีชีวิตรอด#nในดาวโฮราส
1157,ผลออกซิเจนI,กิน 10#L#cfa7a0f ผลออกซิเจน#n@1,ทาน#cfa7a0fผลออกซิเจน
1158,ผลออกซิเจนII,กิน 100#L#cfa7a0f ผลออกซิเจน#n@1,ทาน#cfa7a0fผลออกซิเจน
1159,ผลออกซิเจนIII,กิน 500#L#cfa7a0f ผลออกซิเจน#n@1,ทาน#cfa7a0fผลออกซิเจน
1160,เปิดใช้โทเทมI,เปิดใช้งาน 5#L#cfa7a0fโทเทม#n@1,เปิดใช้#cfa7a0fโทเทม
1161,เปิดใช้โทเทมII,เปิดใช้งาน 50#L#cfa7a0fโทเทม#n@1,เปิดใช้#cfa7a0fโทเทม
1162,เปิดใช้โทเทมIII,เปิดใช้งาน 300#L#cfa7a0fโทเทม#n@1,เปิดใช้#cfa7a0fโทเทม
1163,ให้โทเทมสว่างI,จุดไฟ 5#L#cfa7a0f โทเทม#n@1,ให้#cfa7a0fโทเทม#nสว่าง
1164,ให้โทเทมสว่างII,จุดไฟ 50#L#cfa7a0f โทเทม#n@1,ให้#cfa7a0fโทเทม#nสว่าง
1165,ให้โทเทมสว่างIII,จุดไฟ 300#L#cfa7a0f โทเทม#n@1,ให้#cfa7a0fโทเทม#nสว่าง
1166,แร่ดาวทองแดง (I),ขุด#L#cfa7a0fแร่ดาวทองแดง x10#n@1,ขุด#cfa7a0fแร่ดาวทองแดง
