ID,名字,描述
23,โล่พลังงาน,สามารถสร้างโล่พลังงานที่สามารถปกป้องคุณและเพื่อนของคุณ
24,นั่งคนเดียว,สามารถบรรทุกผู้โดยสารหนึ่งคน
25,Air Alert,สามารถบินได้ในระยะไกลในอากาศ และจะไม่ลดเลือดในระหว่างการตก
26,สายฟ้าสีแดง,พุ่งสุดตัวไปข้างหน้าเป็นระยะเวลาหนึ่ง
27,เลเซอร์ฟิวชั่น,ยิงจรวดเชิงเส้นตรง
28,นรกไฟ,คลิก [โจมตี] ยิงออกเปลวไฟที่ก่อให้เกิดการเผาไหม้เป็นหนังเกี่ยวกับสิ่งมีชีวิตในหน้าของคุณ
29,ไฟผี,คลิก [โจมตี] ยิงออกเปลวไฟที่ก่อให้เกิดการเผาไหม้เป็นหนังเกี่ยวกับสิ่งมีชีวิตในหน้าของคุณ
30,กระพือปีก,ลองกด [ไป] จะบินเป็นระยะเวลาสั้น คุณจะไม่สูญเสีย HP เมื่อคุณตกอยู่
31,ปีกแพร่กระจาย,ลองกด [ไป] จะบินเป็นระยะเวลานาน คุณจะไม่สูญเสีย HP เมื่อคุณตกอยู่
32,มังกรคำราม,คลิกเพื่อคำราม ทำให้สิ่งมีชีวิตที่อยู่ด้านหน้าเคลื่อนที่ช้าลง
33,กระพือปีก,กดค้าง จะกระโดดและบินในระยะสั้นๆ จะไม่ลดHP ขณะตกจากที่สูง
34,หางอันทรงพลัง,คลิกโจมตีเพื่อสะบัดหาง สร้างความเสียหาย3หน่วยต่อสิ่งมีชีวิตที่อยู่ในรัศมีการสะบัด
35,แสงดาว,ปล่อยตัวดาวขึ้นเพื่อสาดแสง เวลาเย็น 15 วินาที
36,แสงจันทร์,กดปุ่มกระโดดค้างไว้สามารถบินไปในอากาศเป็นระยะทางสั้น ๆ ไม่ต้องเสียเลือดระหว่างการตกลง
37,เวลากำลังจะหมด,วิ่งไปข้างหน้าอย่างรวดเร็วในช่วงเวลาหนึ่ง
38,นั่งสองคน,สามารถบรรทุกผู้โดยสารสองคน
39,เกล็ดหิมะ,สามารถเดินในอากาศบนเกล็ดหิมะ ไม่ต้องเสียเลือดระหว่างการตกลง
40,รถตุ๊กๆ,สามารถใช้แตรรถ และไฟหน้าของรถได้
41,เก็บเกี่ยวยิ่งใหญ่,เมื่อใช้ จะโยนทองคำและเหรียญไปรอบๆ
42,ขนส่ง 4 คน,สามารถบรรทุกได้ 4 คน
43,กระสวยอวกาศ,บินได้ช่วงสั้นๆ หากตกลงมาจะไม่เกิดความเสียหาย
44,เกาะเลวีอาธาน,สามารถขับในน้ำได้
45,บังคับวัวกระทิง,กดปุ่มกระโดดค้างไว้เพื่อสะสมพลัง นำ buff ช้าลงให้กับสิ่งมีชีวิตที่อยู่ข้างหน้าเมื่อกระโดดลงสู่พื้น
46,กระทิงโจมตี,กดปุ่มกระโดดค้างไว้เพื่อสะสมพลัง สามารถโจมตีสิ่งมีชีวิตที่อยู่ข้างหน้าให้ถอยหลังระยะสั้นเมื่อกระโดดลงสู่พื้น
47,ดอกไม้บิน,สามารถบินบนอากาศได้ในระยะเวลาหนึ่ง และจะไม่ได้รับความเสียหายจากการตก
48,หงส์กระเจิง,สามารถบินบนอากาศได้ในระยะเวลาหนึ่ง และจะไม่ได้รับความเสียหายจากการตก
49,ระบำใบไม้,เมื่อใช้แล้วจะเปิดใช้งานเอฟเฟกต์ใบไม้ลอย
50,กงล้อพระอาทิตย์,ใช้เพื่อได้รับโล่ที่ช่วยดูดซับ 20 ดาเมจ
51,เทพเจ้าเรย์,ใช้เพื่อเพิ่มความเสียหายของผู้เล่น 5%
52,ดอกไม้ไฟวิเศษ,หลังจากชาร์จแล้วจะทริกเกอร์เมื่อกระโดดและลงพื้น ดอกไม้ไฟจะถูกจุดรอบๆ ภูเขา และจะเล่นเอฟเฟกต์เสียง
53,ดอกไม้ไฟที่มีเสน่ห์,หลังพุ่งแล้วจะทริกเกอร์เมื่อกระโดดและลงพื้น ดอกไม้ไฟถูกจุดรอบๆ ภูเขา และมีเอฟเฟกต์เสียง
54,ชาจ,พุ่งไปข้างหน้า
55,กระเด็น,พุ่งไปข้างหน้าแล้วจะผลักสิ่งมีชีวิตที่อยู่ข้างหน้าคุณ
56,โผบิน,เมื่อใช้สัตว์ขี่ ตัวละครจะโฉบลงมาจากพื้น และเอฟเฟกต์เสียงหมุนของใบพัดจะเล่นโดยอัตโนมัติพร้อมกัน
57,ร่อนต่ำ,ร่อนที่ระดับความสูงต่ำเป็นระยะทางสั้นๆ โดยกดปุ่มกระโดดค้างไว้ ขณะตกลงมาจะป้องกันอันตรายต่อตัวคุณเอง
58,ร่อนสูง,ร่อนที่ระดับความสูงต่ำเป็นระยะทางไกลขึ้น โดยกดปุ่มกระโดดค้างไว้ ขณะตกลงมาจะป้องกันอันตรายต่อตัวคุณเอง
59,แสงและขนนก,เรียกผีหงส์ตัวเล็ก 3 ตัวมาว่ายรอบๆ สัตว์ขี่หลังการใช้งาน
60,ทะเลสาบสวอน,ดำน้ำเล่นน้ำได้
61,เที่ยวบินช่วงเช้า,สามารถบินได้ไกลในอากาศและไม่ทำลายสุขภาพในช่วงฤดูใบไม้ร่วง
62,ซูเปอร์คลื่นแสง,เมื่อเคลื่อนที่จะปล่อยคลื่นแสงเย็นโดยอัตโนมัติ
63,ลำแสงทำลายล้าง,เมื่อเคลื่อนที่ก็จะปล่อยคลื่นแสงสีแดงทองออกมาโดยอัตโนมัติ
64,คลื่นแสงศักดิ์สิทธิ์,เมื่อเคลื่อนที่จะปล่อยคลื่นแสงเย็นโดยอัตโนมัติ
65,ลำแสงบริสุทธิ์,เมื่อเคลื่อนที่ มันจะปล่อยคลื่นแสงสีเงิน-ม่วงเย็นโดยอัตโนมัติ
66,การตื่นขึ้นของเมฆ,สามารถลอยในอากาศได้ในระยะทางสั้นๆ และจะไม่หมดสิ้นในช่วงฤดูใบไม้ร่วง
67,ฝ่าฟันอุปสรรค,สามารถบินได้ไกลในอากาศและจะไม่หมดลงในช่วงฤดูใบไม้ร่วง
68,กระโดดข้ามมิติ,จะปรากฏตัวห่างออกไป 15 บล็อกในทิศทางที่ชี้หลังจากใช้สกิล
69,ลมกรด,หลังจากใช้งานจะมีพายุทอร์นาโดลูกเล็กๆ ตามมาหลังรถ
70,ฟองวิเศษ,ฟองจำนวนมากจะปรากฏขึ้นรอบๆร่างกาย
71,ปีกเซเฟอร์,สามารถบินได้ไกลในอากาศและจะไม่หมดลงในช่วงฤดูใบไม้ร่วง
72,พลังเวทย์พรั่งพรู,กระแสน้ำสีฟ้าจะปรากฏขึ้นรอบตัวคุณ
73,น้ำตาปาฏิหาริย์,สามารถสร้างโล่พลังงานได้
74,ประกายแสงสีแดง,แสงสีแดงปรากฏขึ้นทั่วร่างกายอย่างต่อเนื่อง
75,ประกายแสงสีทอง,แสงสีทองปรากฏขึ้นทั่วร่างกายอย่างต่อเนื่อง
76,ประกายแสงสีฟ้า,แสงสีฟ้าอย่างต่อเนื่อง
77,กลีบดอกไม้ร่วง,กลีบดอกไม้เล็กร่วงหล่นรอบตัวคุณ
78,ผีเสื้อกระพือปีก,ผีเสื้อและดอกไม้เบ่งบานรอบตัวคุณ
79,กลีบดอกไม้ปลิว,กลีบและดอกไม้สีชมพูปลิวอยู่รอบตัวคุณ
80,ออกเดินทาง,แตะปุ่มกระโดดเพื่อเร่งความเร็ว 20% เป็นเวลา 10 วินาที
81,อัญเชิญขั้นต้น,แตะที่ปุ่มกระโดดเพื่อเรียกจินนี่จิ๋ว 1 ตัวมาติดตามคุณ
82,อัญเชิญขั้นกลาง,คลิกที่ปุ่มกระโดดและภูติดวงดาวจะปรากฏมาติดตาม
83,อัญเชิญขั้นสูง,คลิกที่ปุ่มกระโดดและภูติดวงดาวจะปรากฏมาติดตาม
84,เทพซ่อนเร้น,หลังจากคลิกปุ่มกระโดดแล้ว ให้คลิกปุ่มกระโดดอีกครั้งกลางอากาศเพื่อเข้าสู่สถานะล่องหน
85,ออกไปสนุก,เฟืองสีทองจะปรากฏขึ้นรอบๆร่างกาย
86,สายฟ้าสีม่วง,สายฟ้าสีม่วงจะปรากฏขึ้นรอบๆร่างกาย
87,พายุคลั่ง,กดปุ่มกระโดดค้างไว้เพื่อสะสมพลังงาน เรียกพายุทอร์นาโดพัดใครก็ตามที่อยู่ข้างหน้าคุณ
88,เหินเวหา,หลังจากคลิกปุ่มกระโดด ให้คลิกปุ่มกระโดดอีกครั้งกลางอากาศเพื่อลอยขึ้นไปบนท้องฟ้า
89,คลื่นเสียง,เอฟเฟกต์แสงเลเซอร์รอบๆตัว
90,เสียงอิเล็กทรอนิกส์,สายฟ้าหลากสีรอบๆตัว
91,จังหวะสวิง,กดปุ่มกระโดดค้างไว้เพื่อเพิ่มเลือดให้กับตนเองและเพื่อนภายในระยะที่กำหนด
92,ซุปตาร์มาแล้ว,กดปุ่มกระโดดค้างไว้เพื่อเลือดของพันธมิตรในระยะที่กำหนดและลดเลือดของมอนสเตอร์ภายในระยะ
93,ดอกไม้พลิ้วไสว,มีกลีบปลิวไปทั้งตัว
94,เมฆลอยฟ้า,กดปุ่มกระโดดค้างไว้เพื่อบินขึ้นไปในอากาศในระยะทางที่กำหนด
95,หลิงหลง,สามารถเดินบนน้ำได้
96,สายลมที่อ่อนโยน,มีกลีบดอกไม้ปลิวอยู่รอบตัว
97,ระบำพัด,มีกลีบดอกไม้ปลิวอยู่รอบตัว
98,โยกเยก,กดปุ่มกระโดดค้างไว้เพื่อบินขึ้นไปบนอากาศในระยะทางที่กำหนด
99,ความปีติยินดี,คลิกปุ่มใช้ เพื่อเปิดใช้งานวงแหวนเวทย์มนตร์ สัตว์ประหลาดในวงแหวนเวทย์มนตร์จะถูกทำให้มึนงง
100,เสี่ยงโชค,กดปุ่มใช้ จะมีกระดูกเนื้อดรอปและตกลงจากท้องฟ้า
101,เปลวไฟสีฟ้า,ยิงเปลวเพลิงสีน้ำเงินออกมาจากด้านหลัง
102,มังกรเพลิง,เปลวเพลิงสีส้มล้อมรอบร่างกาย
103,ปืนใหญ่จักรพรรดิ,ยิงปืนใหญ่พลังงาน เมื่อโดนโจมตีจะได้รับความเสียหาย
104,มังกรทะยาน,บินขึ้นไปบนท้องฟ้า ทะยานอย่างอิสระในอากาศ
105,รุ่งเรือง,จุดสีทองและแท่งโลหะเล็กๆ ล้อมรอบร่างกาย
106,เสือมงคล,มีเมฆและหมอกลอยขึ้นอยู่รอบๆ แสงและเหรียญทองตกลงไปรอบๆ
107,เสือกระโดด,กระโดดไปข้างหน้า สร้างความเสียหายแก่มอนสเตอร์ที่โดน
108,เสือภูเขาคำราม,ปล่อยเสียงคำราม สร้างความเสียหายแก่มอนสเตอร์ในระยะที่กำหนด
109,ดาวตก,ดาวฟ้าและชมพูล้อมรอบร่างกาย
110,จันทร์งาม,ดอกไม้สีขาวและเหลืองเรืองแสงล้อมรอบร่างกาย
111,หัวใจสีชมพู,หัวใจสีชมพูและสีฟ้าเรืองแสงล้อมรอบร่างกาย
112,ปีกบิน,กดปุ่มกระโดดค้างไว้เพื่อบินขึ้นไปในอากาศได้ระยะหนึ่ง
113,พร,เมื่อได้รับดาเมจจะได้พรเพื่อเพิ่มHP
114,ลม,ใบไผ่และเมฆปรากฏรอบร่างกาย
115,เงา,เงาของภูเขาและแม่น้ำปรากฏรอบร่างกาย
116,อิสระ,เพิ่มความเร็วในการเคลื่อนที่เมื่อได้รับความเสียหาย
117,พาโนรามา,คลิกปุ่มใช้เพื่อเรียกสัตว์ขี่มาสร้างความเสียหายแก่มอนสเตอร์ที่อยู่ตรงหน้าคุณ
118,เงาดวงดาว,จุดประกายแสงสว่างรอบๆ
119,แสงสวรรค์,เปลี่ยนแสงที่ไหลอยู่รอบๆ
120,ทำนายฝัน,กดปุ่มกระโดดค้างไว้เพื่อร่ายมนต์และรับบัฟแบบสุ่ม
121,เส้นทางจักรพรรดิ,คมดาบจะก่อตัวเป็นเปลวไฟที่มีรูปร่าง
122,เส้นทางศักดิ์สิทธิ์,มีเปลวไฟรอบล้อมตัว
123,ดาบบิน,กดปุ่มกระโดดค้างไว้เพื่อบินบนอากาศช่วงระยะหนึ่ง
124,ดาบคู่เหินเวหา,สามารถขี่ดาบร่วมกับเพื่อนของคุณ และเพิ่มความเร็วการเคลื่อนที่
125,ฟองสบู่อาบน้ำ,มีฟองสบู่ลอยอยู่รอบตัว
126,โน้ตฟองสบู่อาบน้ำ,มีฟองสบู่และโน้ตลอยอยู่รอบตัว
127,เดินละเมอ,สามารถลอยบนน้ำได้
128,ฟองลอย,กดปุ่มกระโดดค้างไว้เพื่อให้สัตว์ประหลาดรอบตัวคุณลอยอยู่ในอากาศด้วยฟองสบู่
129,น่ารัก,มีหัวใจมากมายลอยอยู่รอบตัว
130,ความฝันลอย,มีดอกไม้สีแดงลอยอยู่รอบตัว
131,ไลท์โซล,หลังจากคลิกปุ่มกระโดดแล้ว ให้คลิกปุ่มกระโดดอีกครั้งในอากาศเพื่อกระโดดอีกครั้ง
132,แฟนตาซี,กดปุ่มกระโดดค้างไว้เพื่อส่งมอนสเตอร์ที่อยู่ใกล้เคียงเข้าสู่ภาพลวงตาและโจมตีกัน
133,รับลม,มีรอยเท้าแมวลอยอยู่รอบตัว
134,ทรายบิน,มีเม็ดทรายลอยอยู่รอบตัว
135,ทรายบดขยี้,หลังขี่สามารถลดความเสียหายจากพายุทรายได้
136,ขนนก,มีขนนกสีขาวลอยอยู่รอบตัว
137,มรกต,มีขนนกสีเขียวลอยอยู่รอบตัว
138,ติดปีก,มีขนนกที่งดงามลอยอยู่รอบตัว
139,พเนจร,กดปุ่มกระโดดค้างไว้เพื่อบินในอากาศเป็นระยะทางไกล
140,วิญญาณนกยูง,หลังจากขี่ความสว่างของการมองเห็นจะดีขึ้นอย่างมาก ยังสามารถเห็นสภาพแวดล้อมรอบตัวในเวลากลางคืน
141,ทรายดูด,ล้อมรอบด้วยทรายสีทองที่ไหลออกมา
142,กลิ่นหอม,มีออสมันตัสสีทองลอยอยู่รอบตัว
143,ลอยฟ้า,สามารถลอยอยู่บนน้ำได้
144,เค้ก,กดปุ่มกระโดดค้างไว้เพื่อสร้างอุปกรณ์อาหารแบบสุ่ม
145,เพลิดเพลิน,ล้อมรอบด้วยดอกลิลลี่สีชมพูและแสงเงาเล็กน้อย
146,รื่นรมย์,ล้อมรอบด้วยดอกลิลลี่สีชมพู แสงเงาและผีเสื้อ
147,กระดิ่งลม,กดปุ่มกระโดดค้างไว้เพื่อบินในอากาศเป็นระยะทางไกล
148,ไร้ตัวตน,ความเร็วในการเคลื่อนที่รวจเร็วมาก
149,สไลด์,มีใบเมเปิลและแสงรอบๆ ตัวที่เคลื่อนไปตามลม
150,เพิ่มพลัง,กดปุ่มกระโดดค้างไว้เพื่อวิ่งไปข้างหน้าเป็นระยะทางหนึ่ง
151,บินถลา,คลิกปุ่มกระโดด 2 ครั้ง เพื่อบินต่อที่ระดับความสูงต่ำ แต่ไม่สามารถบินบนผิวน้ำและแมกมาได้ คลิกปุ่มกระโดดอีก 2 ครั้งเพื่อลงจอด
152,ลูกหมูสวนกลับ,เมื่อถูกโจมตีอย่างต่อเนื่อง จะสะท้อนดาเมจกลับไปยังศัตรู
153,แสงเทียน,เปร่งแสงสว่างออกไปรอบๆ ตัว
154,กระโดด,กดปุ่มกระโดดค้างไว้เพื่อชาร์จและกระโดดให้สูงขึ้น
155,บันนี่แสลมป์,กดปุ่มกระโดดขึ้นไปบนอากาศเพื่อทำลายบล็อกบนพื้นอย่างรวดเร็ว
156,ความอ่อนโยน,ล้อมรอบด้วยแสงดวงดาว เงา และกลีบดอกไม้
157,ระลอก,ปล่อยแสงดาว เงากลีบดอกไม้และแถบแสงสีชมพูอ่อนรอบๆ ตัว
158,ท่องนภา,กดปุ่มกระโดดค้างไว้เพื่อบินบนอากาศเป็นระยะทางช่วงหนึ่ง
159,พื้นที่แห่งฝัน,"คลิกปุ่ม ""ใช้"" ในพื้นที่ทั้ง 2 จุดเพื่อตั้งค่าการเคลื่อนย้ายแบบสองทาง"
160,หิมะโปรย,ล้อมรอบด้วยแสงสีฟ้าและเกล็ดหิมะขนาดเล็ก
161,ทุ่งน้ำแข็ง,สัตว์ประหลาดที่เข้ามาในบริเวณโดยรอบจะถูกทำให้ช้าลง
162,ศูนย์สัมบูรณ์,กดปุ่มกระโดดค้างไว้เพื่อแช่แข็งมอนสเตอร์ที่อยู่ใกล้เคียง
163,สุดยอดพลังงาน,มีพลังงานแสงล้อมรอบตัว
164,อธิษฐาน,มีดวงดาวลอยอยู่รอบตัว
165,เซอร์ไพร์ส,กดปุ่มกระโดดค้างไว้เพื่อเคลื่อนย้ายไปข้างหน้าเป็นระยะทางหนึ่ง
166,สัตว์ขี่คู่,สามารถขี่กับเพื่อนได้
167,กูรู,มีจุดแสงสัตว์กูรูเล็ก ๆ น้อย ๆ ลอยอยู่รอบตัว
168,พลังงานมหัศจรรย์,กดปุ่มกระโดดค้างไว้เพื่อดรอปไข่ชีวภาพแบบสุ่ม
169,กระพือ,ดับเบิลคลิกที่ปุ่มกระโดดเพื่อบินที่ระดับความสูงต่ำอย่างยั่งยืน แต่ไม่สามารถบินบนผิวน้ำและหินหนืดได้ ดับเบิลคลิกที่ปุ่มกระโดดอีกครั้งเพื่อลงจอด
170,บ๊ะจ่างหอม,มีบ๊ะจ่างเล็ก ๆ ลอยอยู่รอบตัว
171,แล่นเรือ,ลอยบนน้ำได้
172,ตกปลาทะเล,กดปุ่มกระโดดบนน้ำค้างไว้เพื่อโยนบ๊ะจ่างและรับสัตว์ทะเลหนี่งตัว
173,เมฆหมอก,ร่างถูกปกคลุมไปด้วยเมฆหมอกและควัน
174,วิวภูเขา,อัญเชิญสัตว์ขี่สามารถเพิ่มความเร็วในการขุดได้
175,น้ำจันทร์,กดปุ่มกระโดดค้างไว้เพื่อเรียกสิ่งมีชีวิตแบบสุ่ม มันจะโจมตีมอนสเตอร์ที่อยู่ใกล้เคียง
176,ฝันดี,รายล้อมไปด้วยลูกกวาด อนุภาค และหัวใจ
177,จินตนาการ,เมื่อHPของผู้เล่นลดลง พลังโจมตีของผู้เล่นจะค่อยๆ เพิ่มขึ้น
178,ปาร์ตี้ตุ๊กตา,กดปุ่มกระโดดค้างไว้เพื่อเรียกเจ้าหมีแสนสุข เพื่อผู้เล่นและสัตว์ขี่สามารถรักษาอุณหภูมิร่างกายที่เหมาะสมไว้ได้
179,,
180,,
181,ท่วงทำนอง,ล้อมรอบด้วยตัวโน้ต
182,เสียงแห่งจันทร์,มีโน้ตสีม่วงและสีทองเต้นอยู่รอบๆ พร้อมด้วยดวงดาวและดวงจันทร์ล้อมรอบ
183,ดนตรี,ดับเบิลคลิกที่ปุ่มกระโดดเพื่อเร่งความเร็วและฟื้นฟูHPในช่วงระยะเวลาหนึ่ง
184,ความสุขแห่งดาว,กดปุ่มกระโดดค้างไว้เพื่อทำให้มอนสเตอร์ที่อยู่ใกล้เคียงมึนงง
185,ใบเชียวชอุ่ม,ใบไม้สีเขียวหมุนวนล้อมรอบตัว
186,ที่พักพิงสีเขียว,ล้อมรอบตัวมีพลังงานสีเขียวและใบไม้สีเขียวหมุนวนล้อมรอบตัว
187,คำอวยพรแห่งป่า,กดปุ่มกระโดดสองครั้งจะสามารถฟื้นฟู HP ได้ต่อเนื่องระยะหนึ่ง
188,เสียงร้องธรรมชาติ,กดปุ่มกระโดดจะสามารถสร้างดาเมจให้กับมอนสเตอร์ที่อยู่ใกล้เคียงได้
189,แสงมหัศจรรย์,ส่องสว่างทั่วทั้งร่างกาย
190,นักเต้นทะเลไหล,แสงสะท้อนด้วยแสงชีวิตในทะเล
191,กั้นปะการัง,ดับเบิลแท็ปกระโดดเพื่อได้รับการป้องกัน
192,กระแสน้ำโกรธ,กดค้างเพื่อกระโดดและทำให้น้ำสาด
193,โคมปลาคาร์พ,มีแสงสว่างอยู่รอบตัว
194,ระบำปลาคาร์พว่ายในโคม,มีปลาคาร์พและแสงส่องสว่างรอบตัว
195,หน้าจอโชคลาภ,ดับเบิ้ลคลิกปุ่มกระโดดเพื่อรับโล่หนึ่งอันต้านทานดาเมจบางส่วน
196,ระบำสิริมงคล,กดค้างปุ่มกระโดดเพื่อปล่อยพลังปลาคาร์พ และฟื้นฟู HP ที่กำหนด
197,ในฝัน,ส่องสว่างออกไปรอบตัว
198,ระบำความฝันวัยเด็ก,ม้าเทพนิยายที่เต้นรำวนเวียนอยู่รอบตัว
199,ม้าแสงดาว,ดับเบิ้ลคลิกปุ่มกระโดดจะสามารถรับเอฟเฟกต์เร่งความเร็วได้ชั่วคราว
200,สั่นเป็นทำนอง,กดค้างปุ่มกระโดดจะปล่อยทำนองเทพนิยาย ทำให้มอนสเตอร์บริเวณรอบตกอยู่ในสถานะมึนงงชั่วขณะ
201,เร็วฝุ่นตลบ,มีฝุ่นลอยอยู่รอบตัว
202,แคนดี้แอทแทค,โยนแคนดี้ไปรอบๆ
203,เงามายา,ปล่อยเงากระทะอยู่รอบตัว
