"序号","中文名称","英文名称","繁体中文名字","泰语","西班牙语","巴西葡萄牙语","法语","阿拉伯语","日语","韩语","越南语","俄语","土耳其语","意大利语","德语","印尼语"
26,"pluginres\en02.png","pluginres\en02.png","pluginres\en02.png","pluginres\en02.png","pluginres\en02.png","pluginres\en02.png","pluginres\en02.png","pluginres\en02.png","pluginres\en02.png","pluginres\en02.png","pluginres\en02.png","pluginres\en02.png","pluginres\en02.png","pluginres\en02.png","pluginres\en02.png","pluginres\en02.png"
27,"pluginres\en03.png","pluginres\en03.png","pluginres\en03.png","pluginres\en03.png","pluginres\en03.png","pluginres\en03.png","pluginres\en03.png","pluginres\en03.png","pluginres\en03.png","pluginres\en03.png","pluginres\en03.png","pluginres\en03.png","pluginres\en03.png","pluginres\en03.png","pluginres\en03.png","pluginres\en03.png"
28,"迷你號格式不正確","UID is not correct","迷你號格式不正確","รูปแบบเลขไอดีไม่ถูกต้อง","UID incorrecto","UID incorreto","UID est incorrect","UID is not correct","UIDの形式が正しくない","UID의 형식이 잘못","UID không đúng","UID не является правильным","UID doğru değil","UID non è corretto","UID ist nicht korrekt","UID tidak benar"
29,"密碼不能為空","Please enter your password","密碼不能為空","กรุณาใส่รหัสผ่านของคุณ","Pon Contras.","Coloque a Senha","s'il vous plait entrez votre mot de passe","Please enter your password","パスワードは空にできない","암호는 비워 둘 수 없다","Sai mật khẩu","Введите пароль","Lütfen Şifrenizi girin","per favore inserisci LA TUA password","Bitte geben Sie Ihr Passwort ein","Masukkan kata sandi Anda"
30,"你還未同意用戶協議","Please check User Policy","你還未同意用戶協議","คุณยังไม่ได้ตกลงกับข้อตกลงผู้ใช้","Clic en De Acuerdo","Clique de Acordo","S'il vous plaît vérifier la politique de l'utilisateur","Please check User Policy","ユーザー契約に同意していない","사용자 계약에 동의하지 않는","Hãy đồng ý điều khoản người dùng","Ознакомьтесь с правилами пользователя","Lütfen Kullanıcı Politikasını kontrol edin","Si prega di verificare la politica di utente","Bitte überprüfen Sie Benutzerrichtlinien","Silakan cek Kebijakan Pengguna"
31,"答案不能為空","Please enter your answer","答案不能為空","กรุณาใส่คำตอบของคุณ","Pon Respuestas","Coloque sua Resposta","S'il vous plaît entrer votre réponse","Please enter your answer","答えを空にすることはできない","답변을 비울 수 없다","Hãy nhập câu trả lời","Введите свой ответ","Lütfen cevabınızı yazın","per favore inserisci LA TUA RISPOSTA","Bitte gib deine Antwort ein","tolong masukan jawaban anda"
32,"正在為您更新迷你世界，進度%d%%","MiniWorld is Updating: %d%%","正在為您更新迷你世界，進度%d%%","กำลังอัปเดต คืบหน้า: %d%%","Mini World está actualizando: %d%%","MiniWorld está actualizando: %d%%","Miniworld est mise à jour:%d%%","MiniWorld is Updating: %d%%","ミニワールドは更新中。進度 %d%%","미니 월드는 업데이트 중입니다. 진도 %d%%","Đang cập nhật Mini World: %d%%","Mini World является Обновление:%d%%","MiniWorld Güncelleniyor:%d%%","Miniworld sta aggiornando:%d%%","Miniworld wird aktualisiert:%d%%","Miniworld adalah Memperbarui:%d%%"
33,"pluginres\btn_orange_e1_tw_h.png","pluginres\btn_orange_e1_en_h.png","pluginres\btn_orange_e1_tw_h.png","pluginres\ty4_h.png","pluginres\btn_orange_e1_esn_h.png","pluginres\btn_orange_e1_ptb_h.png","pluginres\btn_orange_e1_fra_h.png","pluginres\btn_orange_e1_en_h.png","pluginres\btn_orange_e1_jpn_h.png","pluginres\hy4_h.png","pluginres\yn1_h.png","pluginres\btn_orange_e1_rus_h.png","pluginres\tur1_h.png","pluginres\btn_orange_e1_ita_h.png","pluginres\btn_orange_e1_en_h.png","pluginres\btn_orange_e1_en_h.png"
34,"pluginres\btn_orange_e1_tw_s.png","pluginres\btn_orange_e1_en_s.png","pluginres\btn_orange_e1_tw_s.png","pluginres\ty4_s.png","pluginres\btn_orange_e1_esn_s.png","pluginres\btn_orange_e1_ptb_s.png","pluginres\btn_orange_e1_fra_s.png","pluginres\btn_orange_e1_en_s.png","pluginres\btn_orange_e1_jpn_s.png","pluginres\hy4_s.png","pluginres\yn1_s.png","pluginres\btn_orange_e1_rus_s.png","pluginres\tur1_s.png","pluginres\btn_orange_e1_ita_s.png","pluginres\btn_orange_e1_en_s.png","pluginres\btn_orange_e1_en_s.png"
35,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
36,"安全提示","Notification","安全提示","เตือนความปลอดภัย","Notificación","Notificação","Notification","Notification","安全通告","안전 통보","Cảnh báo an toàn","уведомление","Bildirim","Notifica","Benachrichtigung","Pemberitahuan"
37,"您的迷你號:%s已設置密碼，為了您的賬號安全，請使用密碼登錄遊戲!","Your Account:%s has set the Password, to keep your account security, please login with your Password.","您的迷你號:%s已設置密碼，為了您的賬號安全，請使用密碼登錄遊戲!","UID:%s ของคุณได้รับการตั้งค่ารหัสผ่านแล้ว เพื่อความปลอดภัยของบัญชีของคุณ โปรดใช้รหัสผ่านเพื่อเข้าสู่เกม!","Su cuenta :%s ha establecido una contraseña. Para la seguridad de la misma, le recomendamos iniciar sesión con la contraseña.","Sua conta :%s definiu a senha. Para manter a segurança da sua conta, faça login com sua senha.","Votre :%s compte a mis le mot de passe, pour maintenir la sécurité de votre compte, s'il vous plaît vous connecter avec votre mot de passe.","Your Account:%s  has set the Password, to keep your account security, please login with your Password.","UID:%s にはパスワードが設定されています。アカウント安全性のため、パスワードでログインしてください！","UID:%s 에는 암호가 설정되어 있습니다. 계정 보안을 위해 암호로 로그인하십시오!","Tài khoản :%s của bạn đã được cài mật khẩu, hãy dùng nhập mật khẩu để đăng nhập nhằm đảm bảo an toàn cho tài khoản của bạn!","Ваш счет установил пароль :%s, чтобы сохранить безопасность аккаунта, пожалуйста, войдите с паролем.","Hesabınız Şifreyi belirledi :%s, hesap güvenliğinizi korumak için, lütfen Şifrenizle giriş yapın.","Il tuo account:%s ha impostato la password, per mantenere la tua sicurezza account, effettua il login con la vostra password.","Ihr Konto:%s hat das Passwort festgelegt, die Sicherheit Ihres Kontos zu halten, wenden Sie sich bitte mit Ihrem Passwort einloggen.","Akun Anda telah:%s menetapkan Password, untuk menjaga keamanan akun Anda, silakan login dengan Password Anda."
38,"登錄","Login","登錄","เข้าสู่ระบบ","Entrar","Login","S'identifier","Login","ログイン","로그인","Đăng nhập","Авторизоваться","Oturum aç","Accesso","Einloggen","Gabung"
39,"驗證登錄","Login Verification","驗證登錄","ยืนยันการเข้าสู่ระบบ","Verificación para Iniciar Sesión","Verificação de login","Identification","新增待译1025","ログインを検証する","로그인을 검증하기","Xác nhận đăng nhập","Войти Проверка","Giriş doğrulaması","verifica accesso","Anmeldebestätigung","Verifikasi Login"
40,"手機","Mobile phone","手機","มือถือ","Teléfono móvil","Celular","Téléphone mobile","الهاتف","携帯電話","모바일 폰","Điện Thoại","Моб. тел.","Mobil telefon","Telefono cellulare","Handy","HP"
41,"郵箱","Email","郵箱","อีเมล์","Correo elec.","E-mail","E-mail","البريد الالكتروني","メールアドレス","이메일","Mail","Эл. почта","E-posta","Email","Email","Email"
42,"輸入驗證碼","Verification code","輸入驗證碼","ป้อนรหัสยืนยัน","Código verificación","Código de Verificação","Code de vérification","ادخل رقم التأكيد","認証コード入力","인증 코드","Nhập mã xác nhận","Введите Код подтверждения","Onay kodu","Il codice di verifica","Bestätigungscode","Kode verifikasi"
43,"手機驗證","Mobile Verification","手機驗證","การยืนยันมือถือ","Verificación del Teléfono Móvil","Verificação para celular","Vérification mobile","新增待译1025","モバイル検証","모바일 검증","Xác nhận qua điện thoại","Мобильная Verification","Mobil Doğrulama","verifica mobile","Mobile Verification","Verifikasi ponsel"
44,"郵箱驗證","Email Verification","郵箱驗證","การยืนยันอีเมล","Verificación de E-mails","verificação de e-mail","vérification de l'E-mail","新增待译1025","メールボックス検証","사서함 확인","Xác nhận qua Gmail","Подтверждение по элетронной почте","Eposta Doğrulama","verifica email","E-Mail-Verifizierung","Verifikasi email"
45,"發送","Send","發送","ส่ง","Enviar","Enviar","Envoyer","ارسال","送信","전송","Gửi","Отправить","Gönder","Invia","Senden","Kirim"
46,"確保您的賬號安全，請先進行驗證登錄。","Please verify the login to make sure your account is safe.","確保您的賬號安全，請先進行驗證登錄。","เพื่อความปลอดภัยของบัญชีของคุณ โปรดยืนยันการเข้าสู่ระบบ","Verifica la iniciación de sesión por favor para asegurar la seguridad de tu cuenta","Verifique o login para garantir que sua conta esteja segura.","S'il vous plaît vérifier la connexion pour vous assurer que votre compte est en sécurité.","新增待译1025","アカウントが安全であることを保証するには、最初に検証ログインしてください。","계정이 안전하다는 것을 보장하기 위해 먼저 검증 로그인하십시오.","Để đảm bảo an toàn cho tài khoản của bạn, cần xác nhận trước khi đăng nhập","Пожалуйста, проверьте логин, чтобы убедиться, что ваша учетная запись является безопасной.","Lütfen hesabınızın güvende olduğundan emin olmak için giriş bilgilerini doğrulayın.","Si prega di verificare il login per assicurarsi che il tuo account è sicuro.","Bitte überprüfen Sie die Login um sicherzustellen, dass Ihr Konto sicher ist.","Harap verifikasi login untuk memastikan akun Anda aman."
47,"驗證失敗，請核對郵箱與驗證碼","Verification failed. Please check your email and verification code.","驗證失敗，請核對郵箱與驗證碼","การยืนยันล้มเหลว โปรดตรวจสอบอีเมลและรหัสยืนยัน","Verificación falla. Por favor, confirma tu email y el código de verificación","Falha na verificação. Verifique seu e-mail e código de verificação.","Échec de la vérification. S'il vous plaît vérifier votre e-mail et le code de vérification.","新增待译1025","認証失敗。メールと認証コードを確認してください。","인증 실패. 이메일로 인증 코드를 확인하십시오.","Xác nhận thất bại, vui lòng kiểm tra lại Gmail và mã xác nhận của bạn ","Проверка не удалась. Пожалуйста, проверьте свою электронную почту и код подтверждения.","Doğrulama başarısız oldu. Lütfen e-posta adresinizi ve doğrulama kodunuzu kontrol edin.","Verifica fallita. Si prega di controllare la posta elettronica e il codice di verifica.","Überprüfung fehlgeschlagen. Bitte überprüfen Sie Ihre E-Mail und Verifizierungscode.","Verifikasi gagal. Silahkan cek email Anda dan kode verifikasi."
48,"驗證失敗，請核對手機號與驗證碼","Verification failed. Please check your mobile number and verification code.","驗證失敗，請核對手機號與驗證碼","การยืนยันล้มเหลว โปรดตรวจสอบเบอร์โทรและรหัสยืนยัน","Verificación falla. Por favor, confirma tu email y el código de verificación","Falha na verificação. Verifique seu número de celular e código de verificação.","Échec de la vérification. S'il vous plaît vérifier votre numéro de téléphone mobile et le code de vérification.","新增待译1025","認証失敗。携帯番号と認証コードを確認してください。","인증 실패. 휴대폰 번호와 인증 코드를 확인하십시오.","Xác nhận thất bại, vui lòng kiểm tra lại số điện thoại và mã xác nhận của bạn","Проверка не удалась. Пожалуйста, проверьте свой номер мобильного телефона и код подтверждения.","Doğrulama başarısız oldu. Lütfen cep numaranızı ve doğrulama kodunuzu kontrol edin.","Verifica fallita. Si prega di verificare il tuo numero e la verifica codice mobile.","Überprüfung fehlgeschlagen. Bitte überprüfen Sie Ihre Handy-Nummer und Bestätigungscode.","Verifikasi gagal. Silakan periksa nomor dan kode verifikasi ponsel Anda."
49,"發送(%d)","Send(%d)","發送(%d)","ส่ง(%d)","Enviar(%d)","Enviar(%d)","Envoyer(%d)","ارسال","送信(%d)","전송(%d)","Gửi(%d)","Отправить(%d)","Gönder(%d)","Invia(%d)","Senden(%d)","Kirim(%d)"
50,"驗證碼已發送","Verification code is sent","驗證碼已發送","ส่งรหัสยืนยันแล้ว","Código de verificación enviado.","O código de verificação foi enviado.","Code de vérification envoyé","تم ارسال كود التأكيد","認証コードを送信しました","인증 코드를 보냈습니다","Đã gửi mã xác nhận","Код подтверждения уже отправлен","Onay kodu gönderildi","Il codice di verifica è stato inviato","Der Bestätigungscode wurde versendet","Kode sudah dikirim"
