ID,名称,描述,说明
10025,Булев,Логическое значение%1,
10026,числовое значение,Значение%1,
10027,Струна,Строка%1,
10028,Тип внешности,Тип возникновения%1,
10029,Группа булевых значений,Логическая группа%1,
10030,Численная группа,Численная группа%1,
10031,Струнная группа,Строковая группа%1,
10032,Получить количество значений в любой группе,Получить число медианных значений в%1,
10033,Получить количество произвольных значений в любой группе,Получить число%2 в%1,
10034,Получить номер любого значения в любой группе,Получить число%2 в%1,
10035,Любое оценочное суждение существует в любой группе,%2 в%1,
10036,Любая группа указанное число существование значение суждение,Значение существует в позиции%2 в%1,
10037,Перехват строки,Перехват%2-%3 цифр%1,
10038,Преобразовать строку в значение,Преобразовать%1 в значение,
10039,Получить время хост-устройства,Получить устройство%1 раз,
10040,Получить полное время хост-устройства,Получить полное время устройства,
10041,Тип случайного блока,Тип случайного блока,
10042,Разделенная строка,"Разделить%1, разделить на%2, перехватить сегмент%3 после разделения",
10043,Obtain the string with the JSON-specified mark,"Obtain %1 in JSON, content with the key name being %2",
10044,Получить время игрового сервера,Получить время игрового сервера%1,
10045,Конвертировать метку времени в единицу времени,Преобразовать отметку времени%1 в%2,
10046,Получить полное время сервера,Получить полное время сервера,
10047,Конвертировать timestamp в full time,Преобразовать временную метку%1 в полную,
10048,Получить длину строки,Получить длину%1,
10049,Название типа статуса,Имя типа для%1,
10050,описание типа состояния,Описание модуля для%1,
10051,Получить координаты типа блока,"Получить ближайшие координаты%2 из%1, искать по оси XYZ радиус%3 квадратов",
10052,Рюкзак реквизит бар,Получить%1,
10053,Кнопка панели ярлыков,Получить%1,
10054,Колонна оборудования,Получить%1,
10055,Преобразование типа блока в тип элемента,%1 преобразует в тип элемента,
10056,Преобразование типа элемента в тип блока,Преобразовать%1 в тип блока,
10057,Получить идентификатор текущего номера,Получить идентификатор текущего номера,
1010001,Изменение погоды,Когда погода меняется,"Погода меняется с солнечной на дождливую, когда дождливая на солнечную"
1010002,Когда погода на местности группа меняется,Когда погода для указанного%1 изменится,общая группа: равнина / лес / скала / джунгли / бассейн / пустой остров / река; группа океана: пляж / глубокое море / мелкое море / остров; группа пустыни: пустыня / оазис; обычная холодная зона: хвойный лес / ледяное поле; пиковая холодная зона: айсберг; вулканическая группа: вулкан; группа водно-болотных угодий: тропический лес / болото; плоский пустой остров
1020001,Создание игры,Когда игра будет создана,"После окончания обратного отсчета для входа в игру 3, 2, 1, когда игра начинается"
1020002,Время игры,Когда время игры%1,Когда текущее время игры в указанный момент времени
1020003,Время выполнения игры,Когда игра запускается%1 секунд,"После входа в игру, запустить после указанного времени"
1020004,Победы игроков,Когда игрок выигрывает,
1020005,Игрок терпит неудачу,Когда игрок терпит неудачу,
1020007,Игрок вступает в игру,Когда игрок входит в игру,
1020008,Игрок выходит из игры,Когда игрок выходит из игры,
1020009,Смена таймера,Когда меняется таймер,При изменении любой переменной таймера в библиотеке переменных
1020010,Укажите изменение таймера,Когда изменится%1,При изменении указанной переменной таймера в библиотеке переменных
1020011,"Всякий раз, когда игра работает (цикл)",Каждую%1 секунду запускается игра,"1. Минимальное значение 0,05 секунд, 0.01-0 .09 займет 0,05
2. Игра будет запускаться (циклически) каждый раз, когда она работает в течение определенного времени"
1020012,Когда комната облачного сервиса получает любое сообщение,Когда облачный сервер получает любую информацию,
1020013,Принимать трансляцию,"Получено, трансляция%1",
1020014,Условия устанавливаются,Когда установлен%1,
1020015,При размещении чертежей,Когда план размещен,
1020016,Когда облачная серверная комната получает серверное широковещательное сообщение,Когда облачная серверная комната получает серверную трансляцию%1,
1030001,Игрок побежден,Когда игрок терпит поражение,
1030002,Воскрешение игрока,Когда игрок воскрес,
1030003,Изменение атрибутов игрока,При изменении атрибута игрока%1,"Когда атрибут игрока, такой как HP, меняется"
1030004,Игрок бьет цель,"Когда игрок побеждает цель,","Когда игрок побеждает другого игрока, существо. Побежденный игрок, существо является целевым игроком в событии, существо"
1030005,Атаки игроков,Когда игрок начинает атаковать,
1030006,Атака игрока,"Когда, игрок, атака попадает","Когда игрок атакует и бьет другого игрока, существо. Хит игрока, существо является целевым игроком в событии, существо"
1030007,Игрок наносит урон,"Когда игрок наносит урон,","Когда игрок наносит повреждения другим игрокам или существам. Травмированный игрок, существо является целевым игроком в событии, существо"
1030008,Игрок получает урон,Если игрок получил травму,
1030009,Движение игрока,Когда игрок перемещается на одно место,
1030010,Игроки используют анимированные выражения,Когда игроки используют анимированные выражения,
1030011,Игроки используют предметы,Когда игроки используют реквизит,
1030012,Игроки получают предметы,Когда игрок получает предмет,
1030013,Игрок потребляет предметы,Когда игрок потребляет предметы,
1030014,Игрок нажимает на существо или игрока,"Когда игрок, нажмите на существо или игрока",
1030015,Игрок нажимает на блок,Когда игрок нажимает на квадрат,
1030016,Поездка игрока,Когда игрок едет на маунте / транспортном средстве,
1030017,Игрок отменяет поездку,Когда игрок отменяет поездку,
1030018,Изменение состояния движения игрока,Когда запускается игрок%1,
1030019,Игроки сталкиваются,Когда игрок сталкивается с любым игроком / существом,
1030020,Игрок подбирает предметы,Когда игрок поднимает падение,
1030021,Зона входа игрока,Когда игрок входит в%1,"Ввод и выход из области событий не может инициировать действия, связанные с разработчиком, такие как воспроизведение рекламы, отображение окон покупки продукта, открытие магазинов разработчиков."
1030022,Игрок покидает зону,Когда игрок покидает%1,"Ввод и выход из области событий не может инициировать действия, связанные с разработчиком, такие как воспроизведение рекламы, отображение окон покупки продукта, открытие магазинов разработчиков."
1030023,Изменения в панели оборудования игрока,Когда меняется полоса экипировки игрока,
1030024,Изменения в рюкзаке игрока,Когда меняется полоса рюкзака игрока,
1030025,Изменения панели ярлыков игроков,Когда переключатель игрока меняется,
1030026,Игрок выбирает панель быстрого доступа,Когда игрок выбирает сочетание клавиш,
1030027,Игрок сбрасывает предметы,"Когда игрок отбрасывает предмет,",
1030028,Игрок надевает снаряжение,"Когда, игрок, наденьте свое снаряжение",
1030029,Игрок снимает экипировку,"Когда игрок, сними снаряжение",
1030030,Игрок отображает информацию чата,Когда окно чата проигрывателя показывает%1,
1030031,Игрок вводит информацию чата,Когда игрок отправляет%1 в чат,
1030032,Игрок нажимает на кнопку,Когда игрок нажимает%1,
1030033,Игрок нажимает длинную кнопку,"Когда игрок, долго нажимайте%1",
1030034,Игрок отпускает кнопку,Когда игрок выпускает%1,
1030035,Игрок получает статус,Когда игрок получает статус,
1030036,Игрок теряет состояние,Когда игрок теряет состояние,
1030037,Игрок теряет указанное состояние,Когда игрок теряет статус%1,
1030038,Уровень игрока изменился,Когда уровень игрока меняется,
1030039,Игрок вводит информацию чата (включая строку),"Когда любой игрок вводит в чат сообщение, содержащее%1",Когда игрок вводит указанный текст в поле чата и отправляет его
1030040,Когда игрок выбирает указанный предмет,Когда игрок выбирает%1 в панели ярлыков,
1030041,Игрок приглашает друзей,Когда игрок приглашает друзей,
1040001,Существам причиняется вред,Когда тварь ранена,
1040002,Биологическая атака,Когда существа начинают атаковать,
1040003,Биологическая атака ударила,Когда попадает атака существа,
1040004,Существа наносят урон,"Когда, существа, причиняют ущерб",
1040005,Твари побеждены,Когда существа побеждены,
1040006,Существо бьет цель,Когда существо бьет цель,
1040007,Биологическая зона входа,Когда существо входит в%1,
1040008,Биологическая зона вылета,Когда существо покинет%1,
1040009,Изменения в состоянии биологического движения,Когда существо запускается%1,
1040010,Биологическое столкновение,Когда существо сталкивается с любым игроком / существом,
1040011,Изменения биологических свойств,При изменении свойства%1 существа,
1040012,Существа создаются,Когда создаётся существо,
1040013,Биологическое состояние приобретения,Когда существо приобретает состояние,
1040014,Биологическая потеря состояния,Когда существа теряют свое состояние,
1040015,Существа теряют свое назначенное состояние,Когда существо потеряет%1,
1040016,Это существо пострадало,Когда вредят такие существа,
1040017,Это существо атакует,Когда такие существа начинают атаковать,
1040018,Это существо атакует,Когда такие существа нападают на цель,
1040019,Это существо наносит урон,Когда такие существа наносят урон цели,
1040020,Это существо побеждено,Когда такие существа побеждены,
1040021,Это существо бьет по цели,Когда такие существа побеждают цель,
1040022,Состояние этого существа меняется,Когда такое существо начинает%1,
1040023,Это существо сталкивается,Когда такое существо сталкивается с любым игроком / существом,
1040024,Это биологическое свойство меняет,Когда свойства такого существа%1 изменятся,
1040025,Это существо было создано,Когда такие существа создаются,
1040026,Это существо получает статус,Когда такие существа приобретают состояние,
1040027,Это существо теряет свое состояние,Когда такие существа теряют свое состояние,
1040028,Это существо кликает игрок,Когда такие существа нажимаются игроком,
1050001,Блок был раскопан,Когда куб вырыт,
1050002,Куб уничтожен,Когда куб уничтожен,
1050003,Изменение состояния выключателя блока,Когда состояние переключателя блока меняется,
1050004,Изделия контейнера для хранения изменились,Когда содержимое контейнера для хранения меняется,
1050005,Блоки создаются,Когда создается блок,
1050006,Складские контейнеры помещаются в реквизит,Когда контейнер для хранения помещен в опору,
1050007,Складской контейнер удаляется реквизит,Когда контейнер для хранения удаляется из элемента,
1050008,Блоки добываются,Когда блоки добываются,
1050009,Блок прерывается майнингом,"Когда блок добыт, но прерван",
1050010,Этот блок добывается,Когда такие блоки добываются,
1050011,Этот блок был раскопан,"Когда, такой блок, майнинг закончен",
1050012,Этот блок был прерван майнингом,Когда для таких блоков прерывается майнинг,
1050013,Этот блок разрушен,Когда такие блоки уничтожают,
1050014,Этот блок создается,Когда создается такой блок,
1050015,Это изменение состояния переключателя блока,Когда состояние переключения такого блока меняется,
1050016,Этот блок приобретается,Когда игрок / существо получает такой блок,
1050017,Этот блок нажимается игроком,Когда игрок нажимает на такой блок,
1050018,Квадратное изменение цвета,Когда меняется цвет куба,
1060001,Снаряд попадает в цель,Когда бросок попадает в любого игрока / существо / блок,
1060002,Зона входа,При выбрасывании объектов введите%1,
1060003,Метатели покидают зону,Когда бросок покинет%1,
1060004,Зона входа,При входе объекта%1,
1060005,Зона высадки,Когда потерянный объект покидает%1,
1060006,Fallout подхватили,Когда выпавшие предметы подобраны,
1060007,Fallout исчезает,"Когда, падая, исчезая",
1060008,Метатели создаются,Когда бросок создан,
1060009,,,
1060010,Этот предмет отбрасывается,Когда такой реквизит отбрасывают,
1060011,Этот предмет исчезает,"Когда такой реквизит, капля пропадает",
1060012,Этот товар поврежден,Когда такие реквизита повреждены,
1060013,Этот снаряд попадает в цель,Когда такой снаряд попадает в любую цель,
1060014,Этот бросок был создан или потреблен,Когда такие снаряды создаются или потребляются,
1060015,Этот элемент потребляется,Когда такие предметы потребляются,
1060016,Этот пакет открыт,Когда открывается такой реквизит пакета,
1060017,Это оборудование надевается,Когда надевают такое оборудование и реквизит,
1060018,Это оборудование снимается,Когда снимают такую технику и реквизит,
1060019,Это оборудование уничтожается,Когда такие предметы снаряжения уничтожаются игроком / существом,
1060020,Этот элемент используется,Когда такие предметы используются игроком,
1060021,Когда дроп создается указанным способом,Когда дроп был создан как%1,
1060022,Когда по-любому создается дроп,Когда по-любому создается дроп,
1070001,Создаются эффекты расположения,Когда спецэффекты создаются в локации,
1070002,Специальные эффекты создаются на плеере,Когда на плеере создаются спецэффекты,
1070003,Специальные эффекты на существо создаются,Когда в существах создают спецэффекты,
1070004,Создаются эффекты метательных объектов,Когда на бросках создаются спецэффекты,
1070005,Когда создаются спецэффекты на выпавшие предметы,Когда создаются спецэффекты на выпавшие предметы,
1080001,Это состояние приобретается существами,Когда организм приобретает такое состояние,
1080002,Это состояние снимается с существа,Когда живые существа теряют это состояние,
1080003,Этот статус получает игрок,Когда игрок получает такое состояние,
1080004,Этот статус удаляется из плеера,Когда игрок теряет такое состояние,
1090001,Этот рецепт полный,Когда такие составы синтезируются,
1090002,Синтез рецептуры завершен,Когда формула синтезируется,
1100001,Таяние начинается,"Когда начинается плавка,",
1100002,Плавка завершена,"Когда выплавка, сделано",
1100003,Начинается эта плавка,Когда начинается такая плавка,
1100004,Эта плавка завершена,Когда такая плавка закончена,
110001,Автомобиль игрока,Транспортное средство%1,
1110001,Сюжет начинается,Когда начинается сюжет,
1110002,Конец истории,Когда кончается сюжет,
1110003,Этот сюжет начинается,"Когда, этот сюжет начинается",
1110004,Конец этого эпизода,Когда закончится этот эпизод,
1120001,Кнопка отпускается,Любая кнопка на текущем интерфейсе освобождается,
1120002,Открыт интерфейс,Открыт текущий интерфейс,
1120003,Интерфейс закрыт,Текущий интерфейс закрыт,
1120004,Кнопка нажата,Любая кнопка на текущем интерфейсе нажата,
1120005,Игрок вводит строку на интерфейсе,Когда игрок вводит любую строку в интерфейс,
1120006,Кнопка текущего интерфейса освобождена,Выпущено%1 текущего интерфейса,
1120007,Нажимается кнопка текущего интерфейса,Нажимается%1 текущего интерфейса,
1120008,Когда проигрыватель вводит содержимое в текстовое поле текущего интерфейса,Когда проигрыватель вводит содержимое в%1 текущего интерфейса,
1130001,воспроизведение музыки,Когда начинает играть интерфейсная музыка,
1140001,Покупка основного участника (1 месяц),Когда игрок покупает 1-месячное членство,
1140002,Purchase Membership (3 Months),When player subscribed 3 months of Membership,
1140003,Любой игрок покупает или извлекает предметы из магазина разработчиков,Когда игрок покупает или извлекает предметы из магазина разработчика,
120001,Тип случайного эффекта,Тип случайного эффекта,
120002,Тип эффекта,Тип эффекта%1,
120003,Тип эффекта Группа,Тип эффекта Группа%1,
130001,Получить название текущего игрового рекламного слота,Получить название текущего игрового рекламного слота,
140001,Тип блока,Тип блока%1,
140002,Тип блока Группа,Тип блока Группа%1,
140003,Название типа блока,Имя типа для%1,
140004,Тип блока Описание,Описание модуля для%1,
140005,Внешний вид типов блоков,Внешний вид%1,
150001,Доска слов,"Текстовая доска с содержимым%1, размером шрифта%2, непрозрачностью%3%, числом%4, Автоматический переход на новую строку %5",
150002,плавающий текст,"Плавающий текст с содержимым%1, размером шрифта%2, номером%3",
150003,прогресс бар,"Текущее значение%1, индикатор выполнения для максимального значения%2, цвет%3, число%4",
150004,"Стрелка, указывающая на объект","Стрелка указывает на%1, размер%2, цвет%3, число%4",
150005,"Стрелка, указывающая на местоположение","Стрелка указывает на%1, размер%2, цвет%3, число%4",
150006,Направляющая поверхность к объекту,"Направляющая поверхность указывает на%1, размер%2, цвет%3, номер%4",
150007,Направляющая опорная поверхность,"Направляющая поверхность указывает на%1, размер%2, цвет%3, номер%4",
150008,Направляющая линия к объекту,"Руководство по%1, размер%2, цвет%3, число%4",
150009,"Направляющая линия, указывающая на местоположение","Руководство по%1, размер%2, цвет%3, число%4",
150010,картина,"Изображение%1, размер%2x, непрозрачность%3%, число%4",
160001,Случайный цвет,Случайный цвет,
170001,Местоположение указанного номера в группе местоположений,Номер позиции%2 в%1,
170002,Случайное расположение в группе местоположений,Случайная позиция в%1,
180001,Указанная номерная область в группе областей,Площадь пронумерована%2 в%1,
180002,Случайные области в группах областей,Случайная область в%1,
190001,Числовое значение указанного числа в числовой группе,Значение пронумеровано%2 в%1,
190002,Случайные значения в числовых группах,Случайное значение в%1,
190003,Получить максимальное значение в числовой группе,Получить максимальное значение в%1,
190004,Получает наименьшее значение в числовой группе,Получить минимальное значение в%1,
200001,Строка Строка с заданным числом в группе,%2 строка в%1,
200002,Строка Случайная строка в группе,Случайная строка в%1,
20001,Численная операция,%1%2%3,
20002,излишки,%1Мод%2,
20003,случайное число,Генерация случайных чисел: от%1 до%2,
20004,максимальная ценность,%1 и%3 из%2,
20005,делимый,%1 делит%2,
20006,Значение координат местоположения,%2 значение координат%1,
20007,Горизонтальный угол между позициями,Горизонтальный угол между%1 и%2,
20008,Вертикальный угол между позициями,Вертикальный угол между%1 и%2,
20009,Экспоненция,%1 к мощности%2,
20010,квадрат,%1 к мощности%2,
20011,абсолютная ценность,Абсолютное значение%1,
20012,тригонометрическая функция,%1%2%3,
20013,Фиксированная нижняя логарифмическая функция,%1%2,
20014,Произвольная нижняя логарифмическая функция,Журнал%1%2,
20015,округление,%2%1,
20016,Угловое и радиановое преобразование,Преобразовать%1 в%2,
20019,Логический XOR,%1 XOR%2,
20020,Продвинутая арифметика,%1%2%3,
2010001,численное сравнение,%1%2%3,
2010002,случайное число,%1%2%3,
2010003,Максимальное или минимальное значение,%1%2%3,
2010004,делимый,%1%2%3,
2010005,Значение координат местоположения,%1%2%3,
2010006,Горизонтальный угол положения и положения,%1%2%3,
2010007,Вертикальный угол положения к положению,%1%2%3,
2010008,Экспоненция,%1%2%3,
2010009,квадрат,%1%2%3,
2010010,абсолютная ценность,%1%2%3,
2010011,тригонометрическая функция,%1%2%3,
2010012,округление,%1%2%3,
2010013,Угловое и радиановое преобразование,%1%2%3,
2010018,Произвольное сравнение стоимости,%1%2%3,
2010019,логической и,%1 и%2,
2010020,Логическая или,%1 или%2,
2010021,Логическое не,Не%1,
2020001,Время игры,%1%2%3,
2020002,Количество игроков,%1%2%3,
2020003,Суждение о погоде,%1%2%3,
2020004,Гравитационное суждение,%1%2%3,
2020005,Триггерное суждение о статусе,%1 включено,
2020006,Триггерное групповое суждение о статусе,%1 включено,
2030001,Суждение по атрибутам команды,%1%2%3,
2040001,Атрибут игрока суждение,%1%2%3,
2040002,Количество принадлежащих предметов,%1%2%3,
2040003,Суждение о номере игрока в группе,%1%2%3,
2040004,суждение команды игрока,%1%2%3,
2040005,Индивидуальное суждение игрока,%1%2%3,
2040006,Ориентация игрока,%1%2%3,
2040007,Суждение в группе игроков,%1%2 в%3,
2040008,Player is in area to determine,%1%2 is in %3,
2040009,Оценка эффекта статуса игрока,%1%2 в%3,
2040010,Анимация выражение суждение,%1%2 это%3,
2040011,Игрок выносит суждение,%2 из%1 это%3,
2040012,Выберите клавишу быстрого доступа,%1%2%3,
2040013,Суждение о типе портативного предмета,%1%2%3,
2040014,Суждение колонки оборудования,%1%2%3,
2040015,Игрок носит оборудование суждение,%1%2 носит%3,
2040016,Суждение о внешности игрока,%1%2%3,
2040017,Рюкзак игрока космическое суждение,Ярлык%1 и рюкзак могут сэкономить%2%3 для%4,
2040018,"Рюкзак игрока держит реквизит, чтобы судить",%2 из%1 содержит%3 для%4,
2040019,Суждение о типе целевого объекта,Тип целевого объекта в случае%1 для%2,
2040020,Определить дружбу игроков,%1%2 это дружеские отношения%3,
2040021,Whether player follows the author,%1 has %2,
2050001,Количество игроков в группе игроков,%1%2%3,
2050002,Количество игроков в группе игроков,%1%2%3,
2050003,Игроки с указанным номером в группе игроков,%1%2%3,
2060001,биологические свойства,%1%2%3,
2060003,Суждение в биологической группе,%1%2 в%3,
2060004,Суждение о биологическом типе,%1%2%3,
2060005,Биологическое индивидуальное суждение,%1%2%3,
2060006,Биологическая ориентация,%1%2%3,
2060007,Creature is in area to determine,%1%2 is in %3,
2060008,Суждение об эффекте биологического состояния,%1%2 в%3,
2060009,Суждение биологической команды,%1%2%3,
2060010,Суждение о биологическом числе в биологической группе,%1%2%3,
2060011,Биологическая установка суждения,%2 из%1 это%3,
2060012,Биологическое суждение о внешности,%1%2%3,
2070001,Количество организмов в биоме,%1%2%3,
2070002,Определенное количество организмов в биологической группе,%1%2%3,
2080001,Суждение о количестве упавших предметов,%1%2%3,
2080002,Капля в районе,%1%2 в%3,
2080003,Тип предмета суждение,%1%2%3,
2080004,Снаряд находится в районе,%1%2 в%3,
2090001,Расстояние между местоположением и местоположением,%1%2%3,
2090002,Суждение типа блока,%1%2%3,
2090003,Суждение о состоянии выключателя блока,Состояние переключения блоков для%1 -%2,
2090004,Блок находится в районе суда,%1%2 в%3,
2090005,Блочная ориентация суждения,Блоки%1 с%2 являются%3,
2090006,Тип блока в указанном месте,Тип блока%2%3 в%1,
2090007,Блочная установка суждения,%2 из%1 это%3,
2100001,Таймер время суждения,%1%2%3,
2100002,Логическое сравнение,%1%2%3,
2100003,Сравнение струн,%1%2%3,
2100004,Суждение типа музыки,%1%2%3,
2100005,Получить значение из таблицы сервера для завершения решения,Получить значение из серверной таблицы или таблицы лидеров полное суждение%1,"1. Выполните действия для получения значений из таблиц или лидеров
2. Будут переданы все параметры события (например, запуск игрока события, запуск существа события и т. д.)"
2100006,Судить о членстве игрока,%1%2 Большой участник Mini World -%3,
210001,Логическое значение указанного числа в группе значений Boolean,Логический номер%2 в%1,
210002,Случайные логические значения в булевых группах,Случайное логическое значение в%1,
2110001,Транспортные средства для конкретных игроков,%1%2%3,
2120001,эффект суждение,%1%2%3,
2130001,"Воспроизвести рекламу, чтобы завершить суждение",Текущее воспроизводимое объявление определено как%1,
2140001,Статус эффект суждение,%1%2%3,
2140002,Решение о строительном блоке,%2 из%1 обнаружен%3 требуется режим обнаружения%4%5,
2140003,Исполняемое решение о строительном блоке,Обнаружение%2 исполняемого строительного блока%1 для режима обнаружения%3%4 требование%5,
2140004,Суждение об операционной среде,"Проверьте, работает ли он в настоящее время в классе",
2150001,Компонентное суждение,%1%2%3 из%4,
2150002,Страница суждения,%1%2%3,
220001,Тип блока с заданным номером в группе типов блока,Тип блока пронумерован%2 в%1,
220002,Случайный тип блока в группе типов блока,Случайный тип блока в%1,
221001,"Обнаружение, сходство областей",Подобие области обнаружения: исходная область%1 источник назначения%2 режим обнаружения%3,
221002,Группа типов блоков в зоне,Получить группу типов блоков в%1,
221003,Общее количество блоков в районе,Получить общее количество блоков в%1,
221004,Количество блоков указанного типа в зоне,Получить количество блоков типа%2 в%1,
230001,Тип элемента с заданным номером в группе типов элемента,Тип элемента пронумерован%2 в%1,
230002,Случайный тип элемента в группе типов элементов,Случайный тип элемента в%1,
240001,Тип организма с заданным числом в группе биологических типов,Биологический тип пронумерован%2 в%1,
240002,Случайные биологические типы в группе биологических типов,Случайный тип существа в%1,
250001,Таймер с заданным номером в группе таймеров,Номер таймера%2 в%1,
250002,Случайный таймер в группе таймеров,Случайный таймер в%1,
260001,Тип эффекта с заданным числом в группе типов эффекта,Тип эффекта пронумерован%2 в%1,
260002,Случайные типы эффектов в группе типов эффектов,Тип случайного эффекта в%1,
270004,Иконка для типа элемента,Иконка%1,
270005,Биологическая икона,Иконка%1,
270006,Иконка типа существа,Иконка%1,
270007,Иконка статуса,Иконка%1,
270008,Значок типа блока,Иконка%1,
270009,Текущий значок персонажа игрока,Иконка текущей роли%1,
270010,Получить значок панели ярлыков игрока,Значок панели клавиш%1 для%2,
280001,Тип случайного броска,Тип случайного броска,
290001,Случайный звук,Случайный звук,
300001,"Местоположение, полученное сервером","Местоположение, полученное сервером",
300002,"Область, приобретенная сервером","Область, приобретенная сервером",
300003,"Значение, полученное сервером","Значение, полученное сервером",
300004,"Строка, полученная сервером","Строка, полученная сервером",
300005,"Логическое значение, полученное сервером","Логическое значение, полученное сервером",
300006,"Игрок, приобретенный сервером","Игрок, приобретенный сервером",
300007,"Тип блока, получаемого сервером","Тип блока, получаемого сервером",
300008,"Тип элемента, получаемый сервером","Тип элемента, получаемый сервером",
300009,"Существа, приобретенные сервером","Существа, приобретенные сервером",
30001,Текущее время игры,Текущее время игры,
300010,"Тип существа, полученного сервером","Тип существа, полученного сервером",
300011,"Таймер, полученный сервером","Таймер, полученный сервером",
300012,"Тип эффекта, получаемого сервером","Тип эффекта, получаемого сервером",
300013,Рейтинг Получить рейтинг,Рейтинг Получить рейтинг,
300014,"Имя (ключ), полученное сервером",Получить имена индексов сервера и таблицы лидеров (ключи),
300015,"Игрок (ключ), приобретенный сервером",Получить сервер и лидеров индексируются игроки (ключ),
30002,Команды с определенным рейтингом,Команды с рейтингом%1,
30003,Текущая игра Умножение силы тяжести,Текущая игра Гравитация,
3010001,Установите глобальный режим погоды,Установите глобальный режим погоды на%1,
3010002,Установить время,Установить время игры в%1,
3010003,Установите гравитацию,Установите гравитацию на%1,
3010004,"Установите игру, чтобы присоединиться на полпути",Установить midway присоединиться к игре на%1,
3010005,Отправляй трансляцию,Отправить трансляцию%1,
3010006,Отправляй эфир и жди,Отправить трансляцию%1 и ждать,
3010007,Установите скорость таймлапса,Установите скорость истечения времени игры на%1x,
3010008,Установить карту скайбокса,Установите%1 на%2,"1. Настройка карты неба приведет к провалу звезд и облаков
2. Установка карты неба сделает недействительным цвет верхней, поясной и нижней части небесной коробки."
3010009,Установить цвет скайбокса,Установите%1%2 на%3,
3010010,Задать параметры скайбокса,Установите%1%2 на%3,
3010011,Отправка серверных трансляций во все облачные серверные комнаты,Отправка трансляций сервера%1 во все облачные серверные комнаты,"1. Он также вступит в силу при выполнении на одной машине, но он вступит в силу только локально и не будет отправлен в комнату облачного обслуживания.
2. Изоляция: Отладка облачного сервиса будет отправлена только себе. Если вам нужно транслировать в публичный облачный сервис, вам нужно выполнить ее в комнате публичного облачного сервиса.
3. Ограничение: только одну трансляцию можно отправить каждые 15 секунд в номер"
3010012,Установить шаблон скайбокса,Установите текущий скайбокс на%1,
3010013,Установить Terrain Group Погода,Установите погоду для%1 в%2,
3010014,Установить переключатель скайбокс,Установите%1%2 на%3,
3020001,Запустить триггер,"Выполнить%1, проверить, является ли условие%2, выполнить действие",
3020002,Петлевой триггер,"Из%1 в%2, выполните%3",
3020003,Изменить состояние триггера,Изменить статус%1 на%2,
3020004,Изменить состояние триггерной группы,Изменить статус%1 на%2,
3040001,Создать блок,"Создайте%2 в%1, перед%3",
3040002,Удалить блок,Удалить блок на%1,
3040003,Заменить блоки,"Замените квадрат на%1 на%2, обращенный к%3",
3040004,Установить статус переключателя блока,Установите статус переключателя блока%1 на%2,
3040005,Установка разрешений блока,Установите%2 из%1 в%3,
3040006,Заполните площадь квадратами,"Заполните%2%1, перед%3",
3040007,Очистить квадраты в области,Очистить%2 в%1,
3040008,Копирование блоков в области в указанную точку,"Скопируйте квадраты внутри%1 и поместите их в%2, в сторону%3",
3040009,Блок замены зоны,"Заменить%2 в%1 на%3, в сторону%4",
3040010,Куб разрушения,Разбить квадраты на%1,
3040011,Создание цветных квадратов,"Создать%2 в%1, ориентация%3, цвет%4 (допустимы только цветные квадраты)",
