ID,任务名,任务描述,任务追踪
1004017,자연광,@item_837#@item_905# 또는 @item_907#@1#r(언제든지 꺼질 수 있는 횃불 대신 영구적으로 조명이 켜진 자연광)을 사용합니다.,처리 @item_905 # 또는 @item_907#@1
1005001,거친 피부,@item_11307#@1을 얻기 위해 사냥하십시오#r (@item_11307#을 얻기 위해서는 위버 야수나 여우를 물리쳐야 합니다. 주의 깊게 살펴봐야 합니다.),@item_11307#@1을 얻으십시오.
1005002,황동 기어!,"@item_12216#@1과 같은 황동 장비를 가공하고 착용하십시오#r(황동 장비를 교체한 후에는 구타에 더 강합니다, 하하!)",모든 황동 장비를 처리하고 착용하십시오 @1
1005003,더욱 예리한 무기입니다.,@item_11329#과 @item_11323#을 사용하여 @item_12004#을 가공합니다. 그러면 능력치가 직선적으로 상승하여 전투 능력이 향상됩니다.,@item_12004#을 가공합니다.
1005004,도둑을 잡다,보이드 사도들을 물리치고 @item_11911#@1을 얻으십시오#r (보이드 팬텀은 이 사도들의 그룹에 의존하여 창조의 힘을 훔치고 있습니다. 그들은 멈춰야 합니다!),보이드 사도를 물리치고 @item_11911#@1을 얻으십시오.
1005005,장인 테이블을 업그레이드하십시오!,업그레이드 @item_800#to @item_797#@1 #r(핸드헬드 @item_11911#@item_800 #을 클릭하여 업그레이드하고 @item_797#모든 처리 레시피를 직접 볼 수 있음),핸드헬드 @item_11911
1005006,새로운,"도구 또는 장비 수리 @1#r (@item_797# 또는 @item_800#을 사용하여 장인 책상을 클릭하여 페이지를 열고 왼쪽에서 ""Prop Reair""를 선택한 다음 수리해야 할 항목을 넣습니다.)",도구 또는 장비 수리 수행@1
1005007,제련 효율성 향상,@item_799##r @item_11329#로 처리 (더 발전된 제련대로 교체한 후 한 번에 여러 그룹의 미네랄을 제련할 수 있으며 효율성은 두 배로 증가함),가공 @item_799
1005008,더 신뢰할 수 있는 광물,수집 @item_401#1 #r (@item_401 #은 @item_451 #보다 어렵고 광물 분포가 더 깊습니다. 그것을 찾기 위해 땅에 몇 겹을 더 파야 하지만 너무 깊이 파지는 마세요),@item_401#@1 캡처
1005009,금속 제련: 미트릴,제련은 @item_11209#@1 #r(@item_11209 #로 더 내구성이 뛰어난 도구와 장비를 처리할 수 있으며 더 많은 블록을 처리할 수 있습니다. 더 많이 예약하는 것이 좋습니다.),제련 획득 @item_11209
1005010,미트릴 도구!,처리 @item_11013 #@1#r(@item_11013#광산은 @item_11011 #보다 훨씬 빠르며 보다 효율적인 능력을 위해 룬 모자이크를 사용할 수 있음),가공 @item_11013
1005011,자연의 힘,"처리 @item_785#@1#r (@item_785#를 사용하여 룬으로 상감된 도구, 무기 또는 장비를 제공하고 많은 종류의 룬 스톤이 있으며 지하에서 탐색합니다.)",가공 @item_785
1005012,룬의 힘을 자극,룬 모자이크 #r (@item_785#를 클릭하여 페이지를 열면 왼쪽에 있는 도구와 룬 스톤 중에서 자유롭게 선택할 수 있습니다. 몇 번 더 시도하면 매번 룬 모자이크가 성공하지 못합니다. 그러나 mitril 또는 더 많은 도구가 룬을 삽입할 수 있음),룬 모자이크에 @item_785# 사용
1005013,더 가세요!,"""숙련된 탐험가"" 목표에서 모든 임무를 완료하십시오. #r (당신은 이미 혼자입니다. 계속해서 자신을 강화하고 공허의 유령을 물리치십시오!)","""숙련된 탐험가"" 목표에서 모든 임무를 완료하십시오."
1006001,과거의 파편,"지하에서 @item_598을 수집하여 @item_11205#@1 #r (@item_11331 #은 @item_11205 #로 구성되어 있으며, 오래 전에 Mira 깊은 곳에 묻힌 @item_598 #이 많이 있습니다)",지하 수집 @item_598
1006002,스타링크 에너지,@item_11205#를 사용하여 @item_11331#@1을 처리합니다#r(이름에서 알 수 있듯이 @item_11331#은 스타 스테이션의 전원 공급 장치의 핵심 소품입니다),가공 @item_11331
1006003,하늘의 섬?!,"Myra의 섬 생태 #r에 발을 들여 놓으십시오(Myra의 놀라운 생태, 표면은 서스펜션에서 하늘로 분리되지만 매우 안정적인 상태로 유지됩니다).",텅 빈 섬의 생태에 발을 들여 놓으십시오.
1006004,외부인 거래,"빈 섬 상인 @item_11334#@1에서 구입#r(안젤로 사람들은 우주 어디에서나 보물을 수집하는 습관이 있으며, 동시에 높은 곳과 마찬가지로 빈 섬에서 보물을 찾을 수 있어야 합니다. 많이 가지고 있을 것입니다 @item_11334#)",스카이 머천트 @item_11334#@1에서 구입했습니다.
1006005,조립이 완료되었습니다!,처리 @item_11335#@1#r(Myra의 스타 스테이션은 기본적으로 공허에 의해 파괴됩니다. 활성화 후에도 행성 내에서만 전송될 수 있으며 순간 이동 모듈을 복원하려면 @item_11335#를 사용해야 합니다.),가공 @item_11335
1006006,복원 스타 스테이션,@item_11331#클릭 @item_594#@1을 사용하여 다시 활성화하십시오#r (활성화 후 스타 스테이션은 스타 링크 네트워크에 다시 연결할 수 있습니다. 더 많은 스타 스테이션을 활성화하는 한 훨씬 더 쉽게 이동할 수 있습니다.),@item_11331#을 사용하여 @item_594#@1을 클릭합니다.
1006007,스타 스테이션 업그레이드,@item_11335#@item_595#@1을 클릭하여 업그레이드하십시오#r (인접 행성 간 전송을 위해 @item_597 #로 업그레이드),@item_11335#클릭 @item_595 #
1006008,행성 여행의 큰 발걸음,"""스타링크 엔지니어"" 목표의 모든 미션을 완료하십시오. #r(스타 스테이션을 수리하고 나면 불꽃 별과 귀여운 눈 별로 갈 수 있으며 공허의 유령을 물리치는 데 한 걸음 더 가까워집니다.)","""스타링크 엔지니어"" 목표의 모든 미션 완료"
1007001,열대우림에 발을 들여놓다,"Myra의 열대우림 생태 #r에 발을 들여 놓으십시오. (Myra의 열대우림 나무는 키가 크고 매우 울창하며 위험으로 가득 차 있습니다. 열대우림에서 뇌우가 몰아칠 때는 외출하지 않는 것이 가장 좋고, 번개를 맞는 것은 장난이 아닙니다!)",열대우림 생태계에 발을 들여 놓으십시오.
1007002,열대우림의 핵심,파괴 @item_396 #get @item_11601 #@1 #r (일부 수정은 때때로 열대우림 나무 줄기에 침전하므로 진정하고 주의 깊게 찾아야 합니다),@item_11601#@1을 얻으십시오.
1007003,고대 키,"@item_11601#및 @item_11329 #로 처리하여 @item_11597#1 #r(@item_11597 #에는 고대 미라족의 언어가 새겨져 ""열대우림 사원""을 여는 방법을 기록함)",처리 get@item_11597#@1
1007004,열대우림 사원!,열대우림에서 @item_578#을 찾은 후 @item_11597#을 클릭하여 열대우림 사원을 활성화하고 소환합니다#r(깃털 뱀 신이 안에 있습니다!),열대우림 사원 소환
1007005,깃털 달린 뱀,"깃털 뱀 신을 물리치십시오#r (깃털 뱀 신의 탄생은 사고에서 비롯되었습니다. ""신성한 과일""은 몸 깊숙한 곳에 숨겨져 있으며 알 수 없는 수년을 거쳤습니다. ..)",깃털 달린 뱀을 물리칩니다.
1007006,신성한 씨앗,"@item_591#@1을 얻으십시오#r(""Sacred Fruit""에 퇴적된 봉인 키는 유전학을 통해 대대로 전해집니다. ..)",@item_591#@1을 얻으십시오.
1007007,인생의 기적,@item_591#을 구덩이에 심고 신성한 나무를 심는다 @1#r (신성한 나무는 다른 식물과 다르며 성장 속도를 높이기 위해 @item_11311#을 사용할 수 없으며 천천히 기다릴 수 밖에 없습니다),식물 @item_591#@1
1007008,"""삶""을 상징하는 열쇠","신성한 나무의 높이에서 모아서 @item_587#@1 #r (신성한 나무는 구름 위로 솟아 있고, 열매는 높이에서 줄기 안에서 자랍니다. 따기 과정은 매우 위험하고 주의가 필요합니다.)",@item_587#@1을 얻으십시오.
1007009,날개를 펴고 날아오르세요,처리 및 착용 @item_11591#@1#r(깃털뱀 신의 날개와 깃털은 매우 강하지만 유난히 가볍고 등에 @item_11591#을 메고 활공할 수 있습니다),가공 및 착용 @item_11591
1007010,반짝이는 나뭇잎,밤에 열대 우림에서 빛나는 나무 잎을 수집하여 @item_11596#@1을 얻으십시오#r(낮이 되면 나뭇잎의 별빛 먼지가 사라진다는 것을 기억하십시오),@item_11596#@1을 얻으십시오.
1007011,마법?,처리 @item_11569#@1#r (내장형 스파가 없으면 나무 막대기일 뿐),가공 @item_11569
1007012,마법! !!,@item_11580#과 같은 모든 직원을 처리하십시오#r(여러 유형의 스파가 있으며 야만인 성직자들은 다양한 능력을 갖기 위해 이러한 스파에 의존합니다),모든 직원 처리 @1
1007013,"커튼 콜! ""삶의 장""","""Lost in the RainForest"" 목표의 모든 미션 완료","""Lost in the RainForest"" 목표의 모든 미션 완료"
1008001,불타는 별에 도착,"화염 별에 도달하기 위해 별 정거장을 이용하세요#r (화염 별은 은하계에서 별에 가장 가까운 행성이고, 표면 온도는 매우 높으며, 거의 용암으로 덮여 있습니다. 화염 별에 가기 전에 잘 준비해야 합니다.)",스타 스테이션을 타고 불꽃 별에 부드럽게 도달
1008002,흑룡 재판 I,"고대 흑룡을 무찌르십시오! #r (흑룡은 몇 년 동안 불타는 부서진 검을 지키고 있었지만, '어스트스트스트스트'와 맺은 합의를 잊지 않고 있습니다. ""불타는 부서진 검""을 얻으려면 먼저 통과해야 합니다. 흑룡에게 당신의 힘을 증명하기 위한 재판!)",고대 흑룡을 물리치다
1008003,"""용기""를 나타내는 열쇠",@item_588##r(화염의 부서진 검이 봉인 키 중 하나를 저장했습니다. 화산 봉인을 들어 올리는 것은 필수적입니다.),@item_588을 받으세요
1008004,난이도가 높아졌습니다!,"프로세스 @item_11215#, 활성화 @item_740#, 용암 흑룡 소환",용암 드래곤 소환
1008005,흑룡 재판 II,용암 흑룡을 물리치십시오! #r(흑룡은 용암 형태로 화신하여 두 번째 시련을 시작하고 물리치고 더 강해집니다!),용암 드래곤을 물리치십시오!
1008006,난이도가 가득!,"프로세스 @item_11216#, 활성화 @item_741#, 혼돈 흑룡 소환",혼돈의 흑룡 소환
1008007,흑룡 재판,"혼란스러운 흑룡을 물리치십시오! #r(흑룡은 혼란스러운 형태로 화신되어 3단계 재판을 열었는데, 이는 가장 어려운 시험이며 적절한 준비가 필요합니다.)",혼돈의 흑룡을 물리치십시오!
1008008,Yan 게 껍질 획득,Yanyan Crab을 물리치고 @item_12605#@1을 얻으십시오#r (Yanyan Crab은 불꽃 별의 높은 온도에서 살아남을 수 있고 마그마에서 수영할 수도 있습니다. 몸에 있는 이 마법의 껍질과 떼어놓을 수 없습니다.),@item_12605#@1을 얻으십시오.
1008009,내화 백팩 장착,처리 및 착용 @item_12277#@1#r (@item_12277#불꽃별의 열기를 견딜 수 있음),가공 및 착용 @item_12277#@1
1008010,"커튼 콜! ""용기의 장""","""고대 시험"" 목표의 모든 임무 완료","""고대 시험"" 목표의 모든 임무 완료"
1009001,귀여운 눈에 도착,스타 스테이션을 타고 귀여운 아이 스타 #r(귀여운 아이 스타는 미라의 유일한 위성이며 매력적인 힘은 미라의 위성보다 훨씬 작습니다. 이 행성에 살고 있는 독특해 보이는 토착 생물들과 소통하는 것은 조금 어려워 보입니다...),스타 스테이션을 타고 귀여운 아이 스타에 부드럽게 도달
1009002,공허 침식 제거,"고대 거인들이 공허의 침식을 없애도록 도와주세요#r (고대 거인들은 공허에 의해 너무 깊이 부식되어 회복될 수 없습니다. 유일한 방법은 그들을 파괴하는 것입니다. #r 제단을 찾아서 @item_1042 #, @item_409 #, @item_449 #, @item_450#옆에 @item_408 #을 내려놓아야 합니다. 고대 거인)",고대 거인들이 공허의 침식에서 벗어날 수 있도록 도와주세요
1009003,"""지혜""를 나타내는 열쇠",@item_589#@1#r(@item_589#는 파이어 마운틴 씰의 세 가지 열쇠 중 하나를 저장한 고대 미라 사람들에게 인공 생명 분야에서 중요한 돌파구였습니다.),@item_589#@1을 얻으십시오.
1009004,"""딩딩 어드벤처""","귀여운 눈동자를 물리치고 @item_11077#@1#r (귀여운 눈동자를 구별하는 방법은 그들의 색깔을 보는 것이고, ""귀여운 눈동자""의 색깔은 하얗고, 매우 무섭지만, 그들이 뱉은 폭탄은 조심하세요)",@item_11077#@1을 얻으십시오.
1009005,싱치 스톤,@item_11077#을 사용하여 @item_11075# 1#r (@item_11075# 전에 귀여운 아이스타에서 @item_11090#을 찾아야 합니다),가공 @item_11075
1009006,귀여운 아이스타 토템 활성화,@item_11075#를 사용하여 @item_1042#@1을 활성화하십시오#r(활성화 후에는 큰 산소 영역이 생성될 수 있으며 산소 영역의 저산소증에 대해 걱정할 필요가 없습니다),@item_1042#@1 활성화
1009007,싱통 광석,"수집 @item_445 #get @item_11073 #@1#r (@item_445 #는 귀여운 아이스타의 독특한 미네랄 중 하나이며, 질감은 황동보다 훨씬 단단합니다)",@item_445 #Get @item_11073 #@1 캡처
1009008,스타 동공 드릴,처리 @item_11016 #@1#r (@item_11016 #을 처리하려면 먼저 @item_11087 #을 받아야 합니다),처리 @item_11016#
1009009,보라색 광석,@item_446#을 수집하여 @item_11074#@1을 얻으십시오#r(@item_446#은 Mengyan Star의 고유한 광물 중 하나이기도 하지만 수율이 매우 낮으며 Mengyan Star Sky Island에서는 거의 찾을 수 없습니다),@item_446 #Get @item_11074 #@1 캡처
1009010,하늘로 날아가 탈출하세요!,처리 @item_12006 #@1#r (@item_12006 #을 처리하려면 먼저 @item_11088 #을 받아야 합니다),가공 @item_12006#@1
1009011,"커튼 콜! ""지혜의 장""","""Super'Stone' Sky Rescue"" 목표의 모든 미션을 완료하십시오.","""Super'Stone' Sky Rescue"" 목표의 모든 미션을 완료하십시오."
2001001,돌도끼 1세,처리 @item_11002#@1#r(주로 소모품 @item_11006# 및 @item_11627#에서 처리),가공 @item_11002
2001002,돌도끼 II,처리 @item_11002#@1#r(주로 소모품 @item_11006# 및 @item_11627#에서 처리),가공 @item_11002
2001003,황동 도끼 1,처리 @item_11001#@1#r(주로 소모품 @item_11006#및 @item_11329#에서 처리),가공 @item_11001
2001004,황동 도끼 II,처리 @item_11001#@1#r(주로 소모품 @item_11006#및 @item_11329#에서 처리),가공 @item_11001
2001005,미트릴 도끼 1세,처리 @item_11003#@1#r(주로 소모품 @item_11006#및 @item_11209#에서 처리),가공 @item_11003
2001006,미트릴 액스 II,처리 @item_11003#@1#r(주로 소모품 @item_11006#및 @item_11209#에서 처리),가공 @item_11003
2001007,티타늄 도끼 I,처리 @item_11004#@1#r(주로 소모품 @item_11006#및 @item_11330#에서 처리),가공 @item_11004
2001008,티타늄 도끼 II,처리 @item_11004#@1#r(주로 소모품 @item_11006#및 @item_11330#에서 처리),가공 @item_11004
2001009,전기톱 Ⅰ,@item_11005#을(를) 가공하여 @item_11203#과 @item_11911#을 소모하여 제작합니다.,@item_11005#을(를) 가공합니다.
2001010,전기톱Ⅱ,@item_11005#을(를) 가공합니다.@1#r(주요 재료로 @item_11203#과 @item_11911#를 사용하여 제작됩니다),@item_11005#을(를) 가공합니다.@1
2001011,스톤 삽 1,처리 @item_11022#@1#r(주로 소모품 @item_11006# 및 @item_11627#에서 처리),가공 @item_11022#@1
2001012,스톤 삽 II,처리 @item_11022#@1#r(주로 소모품 @item_11006# 및 @item_11627#에서 처리),가공 @item_11022#@1
2001013,황동삽 I,처리 @item_11021#@1#r(주로 소모품 @item_11006#및 @item_11329#에서 처리),가공 @item_11021
2001014,황동삽,처리 @item_11021#@1#r(주로 소모품 @item_11006#및 @item_11329#에서 처리),가공 @item_11021
2001015,미트릴 삽 I,처리 @item_11023#@1#r(주로 소모품 @item_11006# 및 @item_11209#에서 처리),가공 @item_11023#@1
2001016,미트릴 삽 II,처리 @item_11023#@1#r(주로 소모품 @item_11006# 및 @item_11209#에서 처리),가공 @item_11023#@1
2001017,티타늄 합금 삽 I,처리 @item_11024#@1#r(주로 소모품 @item_11006#및 @item_11330#에서 처리),가공 @item_11024
2001018,티타늄 합금 삽,처리 @item_11024#@1#r(주로 소모품 @item_11006#및 @item_11330#에서 처리),가공 @item_11024
2001019,텅스텐 삽곡창Ⅰ,@item_11025#을(를) 가공하여 @item_11203#과 @item_11911# 소모로 주로 제작합니다.,@item_11025#을(를) 가공합니다.
2001020,钨金铲Ⅱ,"@item_11025#을(를) 가공하여 @item_11203#과 @item_11911# 소모로 제작하거나, @item_11025#을(를) 가공하여 제작합니다.",텅스텐 곡괭이Ⅱ
2001021,스톤 레이크 1세,처리 @item_11032#@1#r(주로 소모품 @item_11006# 및 @item_11627#에서 처리),가공 @item_11032#@1
2001022,스톤 레이크 II,처리 @item_11032#@1#r(주로 소모품 @item_11006# 및 @item_11627#에서 처리),가공 @item_11032#@1
2001023,황동 갈퀴 I,처리 @item_11031#@1#r(주로 소모품 @item_11006# 및 @item_11329#에서 처리),가공 @item_11031#@1
2001024,브라스 레이크 II,처리 @item_11031#@1#r(주로 소모품 @item_11006# 및 @item_11329#에서 처리),가공 @item_11031#@1
2001025,미트릴 레이크 1세,처리 @item_11033#@1#r(주로 소모품 @item_11006# 및 @item_11209#에서 처리),가공 @item_11033
2001026,미트릴 레이크 II,처리 @item_11033#@1#r(주로 소모품 @item_11006# 및 @item_11209#에서 처리),가공 @item_11033
2001027,티타늄 합금 레이크 I,처리 @item_11034#@1#r(주로 소모품 @item_11006# 및 @item_11330#에서 처리),가공 @item_11034#@1
2001028,티타늄 합금 레이크,처리 @item_11034#@1#r(주로 소모품 @item_11006# 및 @item_11330#에서 처리),가공 @item_11034#@1
2001029,钨金耙Ⅰ,@item_11035#을(를) 가공합니다@1#r(주로 소비재 @item_11203#와 @item_11911#으로 가공)|이(가) @item_11035#을(를) 가공합니다@1|텅스텐 곡사기 1,加工@item_11035#@1
2001030,텅스텐 고급 갈퀴Ⅱ,@item_11035#을(를) 가공@1#r(주로 소비재료 @item_11203#과(와) @item_11911#을(를) 소비하여 가공됨),@item_11035#을(를) 가공@1
2001031,스톤 픽 I,처리 @item_11012#@1#r(주로 소모품 @item_11006# 및 @item_11627#에서 처리),가공 @item_11012#@1
2001032,스톤 픽 II,처리 @item_11012#@1#r(주로 소모품 @item_11006# 및 @item_11627#에서 처리),가공 @item_11012#@1
