ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
13,Murong,Un ermite qui s'entraîne aux environs de la montagne et qui rencontre Deliah par chance.,@Null@,Eff. SP : souffle vigoureux,Avatar : débloquer l'avatar de Samson.,Empreinte : laissez des empreintes dans les endroits où vous marchez,,,
14,Joey,"Désolé, mes balles ne vous aiment peut-être pas.",@Null@,Eff. SP : avec de la fumée et de la poussière autour du cowboy,Avatar : débloquer l'avatar de Joey.,Empreinte : empreintes d'étoile de police,,,
15,Lucas,"Super QI de basket. Positionnement excellent sur le terrain.
Slam dunk splendide. Il est le meilleur joueur de la partie.",@Null@,@Null@,Avatar : débloquer l'avatar de Lucas.,Empreinte : empreintes de basket,,,
16,Clair,Comme Lucas. Elle est si glamour qu'elle attire tous les regards.,@Null@,@Null@,Avatar : débloquer l'avatar de la majorette.,Empreinte : empreintes de ruban,,,
17,Rose,Quelqu'un voudrait-il m'accompagner aux régions lointaines ?,@Null@,Eff. SP : ♥ rouges autour,Avatar : débloquer l'avatar de Rose,@Null@,,,
18,Capitaine Teach,"Je veux devenir le capitaine pirate le plus célèbre, recherchant des trésors au fond des océans.",@Null@,@Null@,Avatar : débloquer l'avatar du Captain.,Empreinte : laissez des empreintes dans les endroits où vous marchez,,,
19,Mary,Je veux donc devenir la domestique du capitaine pirate le plus célèbre.,@Null@,Eff. SP : ♥ rouges autour,Avatar : débloquer l'avatar.,@Null@,,,
20,Jinyi,Je n'évite pas l'épée.,@Null@,Empreinte :Semelle de vent,Avatar : débloquer l'avatar.,@Null@,,,
21,Xiaolou,"Est le centre d'attention, ressemble à un lotus d'eau. Très gentil.",@Null@,Eff. SP : Après un autre flottant fleur de pêcher,Avatar : débloquer l'avatar.,@Null@,,,
22,Lilith,Farce ou friandise,@Null@,Eff. SP : Le souffle de diffuser la sorcière,Avatar : débloquer l'avatar.,@Null@,,,
23,Wushuang,Ne confondez pas ma gentillesse pour la faiblesse,@Null@,Effets de corps: fleurs bleues,Avatar: débloque l'avatar de Wushuang.,@Null@,,,
24,Dragonet,Votre monde pour moi de garder!,@Null@,Empreinte: fumée noire,Avatar: déverrouille l'avatar du Dragonet.,@Null@,,,
25,Erlang,Je vais aider à éloigner les mauvais esprits et à vous garder en sécurité.,@Null@,Effet de corps: vibrations positives,Avatar: débloque l'avatar d'Erh-lang.,@Null@,,,
26,Mermale,"Maman m'a toujours dit de ne pas courir, ne courez pas sans fils de rêve.",@Null@,Effet corporel: la bénédiction du rêve,Avatar: débloquez l'avatar de Mermale.,@Null@,,,
27,Misoso,"Constructeur de rêves environnementaux en chef du Plan mondial de protection, luttez pour rendre le monde meilleur.",Vous pouvez obtenir des fragments de l'événement Protector of the World Plan.,Effet corporel: la bénédiction de la nature,Avatar: débloquez l'avatar de Misoso.,@Null@,,,
28,Mini-X,"Garde du temps, aime voyager et la musique.",@Null@,Effet de corps: Entouré de particules électroniques,Avatar: Débloquer l'avatar de Mini-X,@Null@,,,
29,Mini-T,"Ce qui est à l'intérieur du costume froid, c'est l'âme brûlante, qui vise la vaste galaxie infinie.",@Null@,Effet de corps: Entouré de particules électroniques,Avatar: Débloquer l'avatar de Mini-T,@Null@,,,
30,Fée de la lune,Elle danse à la lumière de la lune,@Null@,Effet corporel: forme de croissant de lune dérive autour d'elle,Avatar : débloquer l'avatar.,@Null@,,,
31,Pumpkie,"Un mage mystérieux et puissant, avec un livre rempli de magie de trésor et une coiffe magique apparemment inutile",@Null@,Effet corporel: dégage une aura magique,Avatar: déverrouiller la photo de profil citrouille,@Null@,,,
32,Shelley,La petite princesse du mystérieux royaume sous-marin se perd au profit du Mini World. Ceux qui la rendent heureuse l'entendront chanter.,@Null@,Effet corporel: gouttelette flottant autour d'elle,Avatar: Entsperre Shelley-Profilbild,Empreinte de pas: laisser des empreintes de coquillages partout où elle passe,,,
33,Christopher,"Le secret de l'hiver, c'est que chaque flocon de neige est vivant et se protège mutuellement.",@Null@,Effets corporels: chute de flocons de neige autour du corps,Avatar: déverrouiller photo de profil de Christopher,@Null@,,,
34,Popo,Dodo et Bobo sont les meilleurs amis avec Misra. Ils ont l'estime de soi très faible car ils sont faibles. Ils ont mis sur un voyage pour trouver une planète où ils peuvent obtenir le Color Magic avec l'espoir de plus en plus forte.,@Null@,Effets corps: change de couleur pour se fondre dans l'environnement,Avatar: déverrouiller la photo de profil,@Null@,,,
35,Dodo,Dodo et Bobo sont les meilleurs amis avec Misra. Ils ont l'estime de soi très faible car ils sont faibles. Ils ont mis sur un voyage pour trouver une planète où ils peuvent obtenir le Color Magic avec l'espoir de plus en plus forte.,@Null@,Avatar: déverrouiller la photo de profil,@Null@,@Null@,,,
36,Bobo,Dodo et Bobo sont les meilleurs amis avec Misra. Ils ont l'estime de soi très faible car ils sont faibles. Ils ont mis sur un voyage pour trouver une planète où ils peuvent obtenir le Color Magic avec l'espoir de plus en plus forte.,@Null@,Avatar: déverrouiller la photo de profil,@Null@,@Null@,,,
37,Sakura,"Une fille qui a quitté ses rêves voulait voyager. Non seulement pour l'aventure, mais aussi pour vivre comme elle le souhaite.",@Null@,Avatar: déverrouiller la photo de profil,Empreinte: laisser des empreintes partout où il passe,@Null@,,,
38,Maréchal Zhanlang,Ce maréchal a connu de nombreuses guerres. Il ressemble à un commandant des forces navales célestes.,@Null@,Effets corporels: tache brisée disséminée autour de lui,Avatar: déverrouiller l'avatar.,Empreinte: laisser des empreintes partout où il passe,,,
39,Eva,Angelos qui est venu du pays des fées est plein d'amour et de justice. Elle utilise le sceptre pour répandre l’amour aux quatre coins de Mini World. (Angelos ne peut que traverser l'événement),Débloquer de l'événement,Effets corporels: plumes flottant,Avatar: déverrouiller l'avatar.,@Null@,,,
40,Mini-Beat,Un DJ du vide qui aime le rock électronique. Il est la star la plus éblouissante de la scène avec un sens aigu du rythme.,@Null@,Effet corporel: Des queues éclairantes!,Avatar: déverrouiller l'avatar.,Empreinte: Vous avez laissé une empreinte de note là où vous avez marché.,,,
41,Lancelot,"Qu'est-ce que la chevalerie? Là où le sabre pointe, justice sera rendue!",@Null@,Effet corps: entouré de lumière des étoiles,Avatar: déverrouiller l'avatar.,@Null@,,,
42,Mecha Meow,"Connexion réseau vérifiée. La tourelle électromagnétique est prête. Appelez-moi un geek? Non, non, c'est la romance du scientifique! Ah? Le pouvoir est faible. Chargeons",@Null@,@Null@,Avatar: déverrouiller l'avatar.,Empreinte: laissez les particules électroniques partout où vous allez.,,,
43,Samurai Senbei,Bon mouvement Mais êtes-vous sûr de rivaliser avec mon double poignet?,@Null@,@Null@,Avatar: déverrouiller l'avatar.,Empreinte: Laissant une empreinte poussiéreuse.,,,
44,Meow Racer,"Ce trophée de champion est mon cadeau d'anniversaire! Meow Racer, qui aime la vie urbaine, apparaît à nouveau sur le terrain. Pour elle, gagner magnifiquement est beaucoup plus important que la victoire.",@Null@,@Null@,Avatar: déverrouiller l'avatar.,Empreinte: laissant une empreinte en forme de cœur.,,,
45,Assassin Li,Un assassin énergique. Toujours se remonter le moral. Elle adore utiliser des aiguilles et confectionne un costume en laine pour tout.,@Null@,@Null@,Avatar: déverrouiller l'avatar.,Empreinte: Laissant une empreinte de balle floue.,,,
46,Assassin An,Il veut jouer cool devant les autres. Mais il se fait toujours plaindre par son partenaire à cause de sa négligence.,@Null@,@Null@,Avatar: déverrouiller l'avatar.,Empreinte: Laisser l’empreinte de la fléchette.,,,
47,Parrot YOYO,Croyez-vous que chaque nuage a sa propre odeur. Je veux être votre aile et vous amène à la plus belle place dans le monde.,@Null@,Effet spécial: La lumière dorée brille sur la couronne,Avatar: déverrouiller l'avatar.,@Null@,,,
48,Mini-S,"Il est de mon devoir de garder la paix, pour mes amis et ma maison!",@Null@,Effet spécial: Mecha sur le dos est éclairé par les rayons dorés.,Avatar: déverrouiller l'avatar.,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,Joker,"Hé, mon cher voyageur, voulez-vous voir le spectacle de magie incroyable? Toutes les performances fantastiques sont là!",@Null@,@Null@,Avatar: déverrouiller l'avatar.,Empreinte: Leaving modèle magique quand il passe.,,,
51,Kana,Je suis là pour briser les règles. Voulez-vous essayer quelques bonbons ou mon marteau?,@Null@,@Null@,Avatar: déverrouiller l'avatar.,Empreinte: Leaving modèle de sucettes quand elle passe.,,,
52,Optimus Prime,"I am Optimus Prime, and I send this message so that our pasts will always be remembered, for in those memories we live on.",@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,#cda5b0a Déformation: Cliquez sur le bouton Déformation à gauche pour changer la forme du robot / véhicule ! #n,#cda5b0a compétences exclusives des transformateurs: attaque et défense des autobots ! #n,
53,Megatron,I do this only for the benefit of my deceptions. It grieves me that you may also profit.,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,#cda5b0a Déformation: Cliquez sur le bouton Déformation à gauche pour changer la forme du robot / véhicule ! #n,#cda5b0a compétence exclusive des transformateurs: Canon à fusion ! #n,
54,Mousse,"Qu'est-ce que les choses les plus importantes de la veille de Noël? Neige, gâteau, magie et merveilleux que vous!",@Null@,@Null@,Avatar: déverrouiller l'avatar.,Empreinte: Leaving modèle de fraise quand elle passe.,,,
55,kumquat,"L'un des jumeaux mignons qui vient juste pour Mini monde. Les jumeaux sont d'un lieu riche. Kumpquat sortant aime la collecte des fruits et la chute des feuilles et de faire des choses pour les autres. Dans ses mots, le partage est le secret d'être riche!",@Null@,@Null@,Avatar: déverrouiller l'avatar.,Empreinte: Leaving modèle de châtaignier quand il passe.,,,
56,Snowe,"L'un des jumeaux mignons qui vient juste pour Mini monde. Les jumeaux sont d'un lieu riche. Snowe travaillent dur passe beaucoup de temps à aider les autres. Après elle vient Mini mondiale, elle espère qu'elle peut faire plus d'amis et de passer la force de la richesse aux autres.",@Null@,effet du corps: des fleurs dispersées autour du corps.,Avatar: déverrouiller l'avatar.,Empreinte: Leaving modèle noeud chinois quand elle passe.,,,
57,Grand-père Lin,"Il semble comme un kidult débraillé. En fait, il est le puissant seigneur de la ville du Nord et aussi le professeur de Jinyi, Assassin LI et An. Après le combat de tant d'années, maintenant il ne fait pas attention aux affaires de la vie humaine.",Débloquer de l'événement,@Null@,Avatar: déverrouiller l'avatar.,Empreinte: Leaving modèle de cucurbitacées quand il passe.,,,
58,Bumblebee,"I am Bumblebee, your best friend. Optimus Prime, I was willing to make any sacrifice for peace.",@Null@,Body Effects: Can convert in game and switch the form,Avatar: déverrouiller l'avatar.,Footprint: Leaving Camp pattern when he goes by.,#cda5b0a Déformation: Cliquez sur le bouton Déformation à gauche pour changer la forme du robot / véhicule ! #n,#cda5b0a compétence exclusive Transformers: Wasp Stab ! #n,
59,fleur Fée,"Fée de fleur aime errant dans le jardin. Elle plante beaucoup de fleurs autour de sa maison. Les enfants qui marchent en sont tous attirés par le frangrance. Cette fois-ci, elle entend que le pouvoir sur l'étoile magique changera les fleurs. En tant que jardinier, elle est très heureuse de venir.",@Null@,Effet corps: entouré de lumière des étoiles,Avatar: déverrouiller l'avatar.,@Null@,,,
60,Arell,"Arell, l'étoile shinny du ciel et peut réaliser des rêves. Quand quelqu'un fait un vœu, Arell entendra cela et créer un nouveau monde avec lui / elle.",@Null@,Effet du corps: Entouré par arc en ciel,Avatar: déverrouiller l'avatar.,@Null@,,,
61,Léopard des neiges,"Né sur la montagne de neige, choisi pour être le protecteur du plateau. Elle est douce, mais montre un grand courage pour défendre sa maison.",Débloquer de l'événement,Effet Corps: Entouré par ssnow,Avatar: déverrouiller l'avatar.,@Null@,,,
62,Ellie,Ellie est prise au pays des merveilles par une carte de poker. Ceci est une aventure inconnue. Mais M. Lapin est le meilleur compagnon. Il sera toujours à ses côtés.,@Null@,effet Corps: Entouré de fleurs,Avatar: déverrouiller l'avatar.,@Null@,,,
63,Ninja Frog,"Ninja Frog a commencé à apprendre le ninjutsu à un jeune âge. Maintenant, il est devenu un maître, mais le temps lui manque le plus est quand il était près de l'étang.",Débloquer de l'événement,@Null@,Avatar: déverrouiller l'avatar.,Empreinte: Leaving modèle de grenouille quand il passe.,,,
64,Starscream,Starscream thinks that he is born to be the leader of Decepticon. He has a sharp tongue and often contends for power and profit with Megatron. His behavior often makes Megatron really annoyed,@Null@,Body Effects: Can convert in game and switch the form,Avatar: déverrouiller l'avatar.,Footprint: Leaving Camp pattern when he goes by.,#cda5b0a Déformation: Cliquez sur le bouton Déformation à gauche pour changer la forme du robot / véhicule ! #n,#cda5b0a Transformers Compétences exclusives: Alerte aérienne ! #n,
65,Hot Rod,"He is calm and full of responsibility. He is the future leader of the Autobot, the new hope of peace in the universe. No matter how dangerous the situation is, he will act immediately without hesitation.",@Null@,Body Effects: Can convert in game and switch the form,Avatar: déverrouiller l'avatar.,Footprint: Leaving Camp pattern when he goes by.,#cda5b0a Déformation: Cliquez sur le bouton Déformation à gauche pour changer la forme du robot / véhicule ! #n,#cda5b0a compétence exclusive Transformers: Red Lightning ! #n,
66,Galvatron,He is stronger and more cruel than the Megatron. His self-confidence and ambition of conquest and rule are unmatched. He is the embodiment of power. The entire universe cannot satisfy the appetite of this ruthless tyrant.,@Null@,Body Effects: Can convert in game and switch the form,Avatar: déverrouiller l'avatar.,Footprint: Leaving Camp pattern when he goes by.,#cda5b0a Déformation: Cliquez sur le bouton Déformation à gauche pour changer la forme du robot / véhicule ! #n,#cda5b0a Transformers Compétences exclusives: Fusion Laser ! #n,
67,Raul,"Marcher entre le virtuel et le réel, Raul utilisé pour prend les problèmes quotidiens que les niveaux de jeu et de les résoudre un par un. Si la chance et la capacité ne peuvent pas travailler, puis les laisser au temps. Le temps fait les gens à grandir. Et la croissance est aussi la réponse ultime de chaque question.",Débloquer de l'événement,Effets corps: Entouré par des personnages,Avatar: déverrouiller l'avatar.,@Null@,,,
68,Lynn,Lynn aime prendre son petit ami Cube entre le virtuel-vient et le réel. Explorer le monde et profiter du plaisir de cela signifie beaucoup pour elle. Elle ne cesse jamais et cherche toujours la lumière au néon qui peut la toucher.,Débloquer de l'événement,Effets corps: Entouré par des particules pourpres,Avatar: déverrouiller l'avatar.,@Null@,,,
69,Cyan,"En tant que descendant de premier atelier de zongzi, Cyan a cependant un rêve du monde pour devenir un maître de guzheng. Cyan et les parents font un accord, aussi longtemps que cyan peut maintenir la réputation de l'atelier Zongzi, puis elle peut continuer à apprendre guzheng. Héritant atelier Zongyi et de devenir un maître de guzheng ne sont pas en conflit pour Cyan, parce qu'elle veut à la fois.",@Null@,Effets corporels: Entouré de feuilles,Avatar: déverrouiller l'avatar.,@Null@,,,
70,Twilight Sparkle,Twilight Sparkle is the most knowledgeble. She likes reading and has leadership. Princess Celestia helps her to learn the magic of friendship and create more.,@Null@,Body Effects: Surrounded by magical particle,Avatar: déverrouiller l'avatar.,@Null@,,,
71,Princess Celestia,"She, the ruler of the Kingdom of Equestria, has the great magic power. But she is a cute girl and very easy-going. Cake is always her favorite.",@Null@,Body Effects: Surrounded by golden particle,Avatar: déverrouiller l'avatar.,@Null@,,,
72,Fluttershy,vie Fluttershy vit dans une cabane en bois sur le bord de la vallée Pony et lie d'amitié avec une variété d'animaux. Elle les dirige souvent d'agir ensemble comme le symbole de la bonté en harmonie,@Null@,Body Effects: Surrounded by golden particle,Avatar: déverrouiller l'avatar.,@Null@,,,
73,Princesse Luna,"Princesse Luna est la soeur de la princesse Celestia. La deuxième règle de Equestria qui prend en charge la nuit, le rêve et la lune montante. Elle sauve souvent les poneys dans les cauchemars. Elle semble mystérieuse et lointaine, mais elle est gentille en effet.",Débloquer de l'événement,Body Effects: Surrounded by moon pattern,Avatar: déverrouiller l'avatar.,@Null@,,,
74,Grimlock,Grimlock est le commandant des Dinobots et aussi le plus puissant. Sa personnalité téméraire fait autobos très anxieux. Mais il conduit aussi les Dinobots et enregistrer les Autobots plusieurs fois.,Débloquer de l'événement,Body Effects: Electromagnetic sparks,Avatar: déverrouiller l'avatar.,Footprint: Leaving Camp pattern when he goes by.,#cda5b0a Déformation: Cliquez sur le bouton Déformation à gauche pour changer la forme robot / dinosaure mécanique ! #n,#cda5b0a compétence exclusive Transformers: Rugissement du tyrannosaure ! #n,
75,descente en piqué,Swoop’s simple thoughts and reckless behavior are really annoying. But he is a kind-hearted warrior. He plays a huge role in the dinobots team and shoulders the important missions.,@Null@,Body Effects: Electromagnetic sparks,Avatar: déverrouiller l'avatar.,Footprint: Leaving Camp pattern when he goes by.,#cda5b0a Déformation: Cliquez sur le bouton Déformation à gauche pour changer la forme robot / dinosaure mécanique ! #n,#cda5b0a compétence exclusive des transformateurs: ailes rapides ! #n,
76,Gronder,Grognement est un hors-groupe gars. Il aime à laisser les autres portent sur des questions stratégiques. Il n'a besoin que de suivre l'expédition de Grimlock et assister à la guerre. Cela lui fait aussi le plus puissant combattant de Grimlock sur le champ de bataille,@Null@,Body Effects: Electromagnetic sparks,Avatar: déverrouiller l'avatar.,Footprint: Leaving Camp pattern when he goes by.,#cda5b0a Déformation: Cliquez sur le bouton Déformation à gauche pour changer la forme robot / dinosaure mécanique ! #n,#cda5b0a compétence exclusive des transformateurs: balayage des éperons osseux ! #n,
77,Leonardo,"On dit qu'il est un peintre voyageur qui utilise la magie des couleurs pour purifier le monde. Les couleurs chaudes sont modifiables, et les couleurs froides sont calmes. La même chose est vraie pour Leonardo: la combinaison orange et bleu est tout comme son calme de caractère et de l'enthousiasme",Débloquer de l'événement,@Null@,Avatar: déverrouiller l'avatar.,Empreinte: Leaving pigment bleu quand il passe,,,
78,Thalia,"Échangez vos choses précieuses avec moi! Je vais vous donner tout ce dont vous rêvez! Un jour, des lettres signées Thalia sont envoyés aux personnes qui aiment la magie dans le mini-univers. Il y a aussi une île flottante et une belle, mystérieuse reine Thalia sur Offa planète!",Obtenu en Gashapon,Body Effet: Entouré par fleur pourpre,Avatar: déverrouiller l'avatar.,Empreinte: Leaving rose pigment quand il passe,,,
79,Uta,"Il est rare que quelqu'un trouve la Uta. Il se cache toujours profondément dans la forêt, la communication avec les animaux et les elfes. Au cours de certaines saisons, il semble et utiliser la magie pour guérir les maux nightmares.His et Bannir de la tribu de divination et de la médecine étaient si efficaces et si mysterious.He était un ermite et un digne fils de la forêt.",@Null@,Body Effet: Entouré par le caractère sorcellerie,Avatar: déverrouiller l'avatar.,@Null@,,,
80,M. Lapin Laby,"La plus grande joie de Laby est sa capacité à Voyage de planète en planète comme M. Rabbit.But Ellie semble être en mesure de voir à travers sa carte disguise.A abandonné par hasard les rassemble et une merveilleuse aventure commence. Est-ce la magie du poker? Non, c'est la magie du destin!",Débloquer de l'événement,Body Effet: Entouré par modèle de lapin,Avatar: déverrouiller l'avatar.,@Null@,#cd65b00 Déformation: Cliquez sur le bouton Déformation à gauche pour changer la forme lapin / humanoïde ! #n,#cd65b00 Compétence exclusive de M. Lapin: Le temps presse ! #n,
81,Pinkie Pie,Pinkie Pie is the most famous “party pony” and has extraordinary energy. She loves pranks and singing and has a cheerful character. She represents “laughter” in the element of harmony.,@Null@,Effet Corps: Entouré par coeurs roses,Avatar: déverrouiller l'avatar.,@Null@,,,
82,Carol,"Carol aime les bonbons, parce que les bonbons apporte toujours sa bonne chance. Quand elle clochards dans la rue, un propriétaire de magasin de bonbons emmène. Elle rencontre aussi le petit fantôme et apprend la magie là-bas. Prenez un bonbon! pot de sucre de Carol va certainement vous surprendre!",@Null@,Effet Corps: Entouré par magie lumière,Avatar: déverrouiller l'avatar.,@Null@,,,
83,Jerry,"Pourquoi Beancurd gelée soit sucré ou salé? Pourquoi ne peut-il être sucré et salé? Un peu de jus de citron semble être utile. Jerry est plein d'idées fantaisistes, peut toujours combiner divers ingrédients pour produire la nourriture la plus inattendue. Cela a causé son frère Mermale à souffrir. Tous les goûts est le plus sérieux défi à l'estomac.",Obtenu en Gashapon,@Null@,Avatar: déverrouiller l'avatar.,Empreinte,,,
84,Calamar,"En tant que membre de sa famille, Squid ne veut pas vivre sous la mer pour toujours. La mer est vaste, mais il préfère flotter à la surface et observe la brillante stars.Though il n'a pas d'ailes, il peut faire une fusée aux étoiles avec l'aide de ses amis.",Obtenu en Gashapon,effet du corps: Entouré par onde sonore,Avatar: déverrouiller l'avatar.,@Null@,,,
85,Gigi Ours,"La vie est une aventure et un défi. Danger peut vous aider à vous itendify. Vous ne serez pas abandonnés par les temps si vous continuez à courir. Si vous voulez contester l'impossible, partir à l'aventure avec Gigi Ours.",Obtenu en Gashapon,@Null@,Avatar: déverrouiller l'avatar.,Footprint: Laissant l'empreinte d'ours quand il passe,,,
86,Starlight Glimmer,"She possesses a powerful magical ability no less than Twilight Sparkle, trying to establish a Utopian town. She now becomes a friend of the other ponies and the principal of Friendship School.",@Null@,effet Corps: Entouré par starlight bleu,Avatar: déverrouiller l'avatar.,@Null@,,,
87,rainbow Dash,Rainbow Dash est courageux et sortant. Elle est un grand fan d'aventure et polisson. Elle vole très vite et a la queue d'arc en ciel. Elle représente « loyauté » dans l'élément de l'harmonie.,@Null@,effet du corps: Ont tailing arc-en-,Avatar: déverrouiller l'avatar.,@Null@,,,
88,Princesse Cadence,"She used to be the beautiful, kind and considerate student of Princess Celestia. She becomes the guardian of the Crystal Empire by defeating King Sombra.",@Null@,effet Corps: Entouré de cristal,Avatar: déverrouiller l'avatar.,@Null@,,,
89,Audrey,Venez étudier la magie de la nature! Audrey de l'école magique toujours pas les efforts de rechange de recommander magique d'insectes. Sa diligence son aide à gagner la faveur de Mysie.,@Null@,effet Corps: Entouré de papillon brillant,Avatar: déverrouiller l'avatar.,Footprint: Laissant l'empreinte papillon quand elle passe,,,
90,Predaking,"Predaking est la fusion féroce de tous les cinq des Predacons avec des capacités supérieures et la machine de guerre deadilest des Decepticons. Comme un guerrier, il est invincible, comme une arme, il est indestructible.",@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,#cda5b0a Déformation: Cliquez sur le bouton Déformation à gauche pour changer de mode de combinaison multijoueur ! #n,#cda5b0a compétence exclusive des transformateurs: pouvoir hideux ! #n,
91,Razorclaw,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
92,Headstrong,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
93,Tantrum,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
94,Rampage,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
95,Divebomb,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
96,Superion,Superion est le premier Autobot combineur qui composent des Aerialbots. Il agit sur deux principes: détruire les Decepticons et protéger les innocents.,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,#cda5b0a Déformation: Cliquez sur le bouton Déformation à gauche pour changer de mode de combinaison multijoueur ! #n,#cda5b0a compétence exclusive Transformers: intrépide ! #n,
97,Silverbolt,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
98,Slingshot,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
99,Skydive,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
100,Air Raid,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
101,Fireflight,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
102,Shengying,Je suis le numéro un lancier dans toute la zone céleste. Venez me bataille si vous ne croyez pas.,Obtenu en Gashapon,Empreinte: laisse une empreinte géante,Avatar:unlock profile picture,@Null@,,,
103,Moyan,Je suis le seigneur du feu. Blazing tout dans mon chemin est mon credo.,@Null@,Effets corps: Emet l'aura d'un roi démon,Avatar:unlock profile picture,@Null@,#cd65b00 Déformation: Cliquez sur le bouton Déformation à gauche pour changer la forme vache / humanoïde ! #n,#cd65b00 compétence exclusive Flamme magique: Bull Power ! #n,
104,Lingyao,"Les légendes disent que, dans le palais du dieu du Vent, vivait une dame beauitful et élégante. Oh, ça doit être moi.",@Null@,Effets corporels: pétales de fleurs d'or flotte autour de vous,Avatar:unlock profile picture,@Null@,,,
